* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -11,6 dBFS, measurement signal peak level -10,6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 6/10/2024 11:16:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0319 ms (-11 mm, -0,43 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 18,9 ppm
* Measurement: V16 mic 1
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.236	81.1514
20.299999	90.312	80.4796
20.600000	90.397	79.8585
20.900000	90.493	79.2291
21.200001	90.593	78.5405
21.400000	90.658	78.0422
21.799999	90.775	76.9852
22.000000	90.825	76.4509
22.400000	90.913	75.4300
22.700001	90.973	74.7277
23.000000	91.036	74.0678
23.299999	91.104	73.4116
23.600000	91.175	72.7280
24.000000	91.266	71.7521
24.299999	91.326	70.9899
24.700001	91.393	69.9888
25.000000	91.435	69.2856
25.400000	91.488	68.4283
25.799999	91.544	67.6382
26.200001	91.603	66.8797
26.500000	91.646	66.3275
26.900000	91.703	65.6306
27.200001	91.745	65.1512
27.600000	91.808	64.5675
28.000000	91.881	64.0048
28.500000	91.984	63.2385
29.000000	92.081	62.3531
29.500000	92.158	61.4106
30.000000	92.210	60.5406
30.400000	92.244	59.9564
30.700001	92.273	59.5832
31.100000	92.320	59.1304
31.500000	92.379	58.6678
32.000000	92.461	57.9964
32.500000	92.535	57.2158
33.000000	92.592	56.4106
33.500000	92.636	55.6614
34.000000	92.678	54.9767
34.500000	92.721	54.3194
35.000000	92.763	53.6816
35.500000	92.804	53.0811
36.000000	92.851	52.4941
36.500000	92.901	51.8618
37.000000	92.941	51.1864
37.500000	92.967	50.5651
38.200001	93.009	49.9011
38.700001	93.065	49.4412
39.500000	93.156	48.3963
40.000000	93.177	47.7095
40.599998	93.180	47.1699
41.200001	93.216	46.9141
41.799999	93.295	46.5699
42.500000	93.376	45.8433
43.099998	93.402	45.2331
43.700001	93.422	44.8099
44.400002	93.460	44.2959
45.000000	93.474	43.7115
45.500000	93.462	43.2865
46.200001	93.450	42.9136
46.799999	93.475	42.6002
47.500000	93.525	42.0333
48.200001	93.585	41.2531
48.700001	93.622	40.5439
49.400002	93.634	39.5128
50.000000	93.621	38.9216
50.799999	93.646	38.5278
51.500000	93.703	38.2295
52.200001	93.771	37.9106
53.000000	93.818	37.3665
53.799999	93.784	37.2594
54.500000	93.846	37.5735
55.200001	93.942	36.7360
56.000000	93.768	35.6165
57.000000	93.799	36.4247
58.000000	93.845	32.1021
59.000000	92.841	32.6472
60.000000	93.509	38.2887
60.799999	94.123	34.3698
61.500000	93.948	31.6144
62.200001	93.854	32.0841
63.000000	94.062	31.9318
64.000000	94.092	31.0741
65.000000	94.166	31.1229
66.000000	94.160	30.7263
67.000000	94.171	30.7682
68.000000	94.149	30.1078
69.000000	94.094	29.9181
70.000000	94.128	29.4221
71.000000	94.118	28.6916
72.000000	94.122	28.3309
73.000000	94.166	27.9281
74.000000	94.181	27.5385
75.000000	94.207	27.3356
76.199997	94.224	26.9518
77.500000	94.257	26.5393
78.800003	94.230	25.8849
80.000000	94.255	25.7626
81.199997	94.297	25.0854
82.500000	94.264	24.7023
83.800003	94.287	24.6747
85.000000	94.307	24.2714
86.199997	94.280	24.0962
87.500000	94.315	23.9093
88.500000	94.328	23.4608
90.000000	94.302	23.0033
91.199997	94.313	22.7772
92.500000	94.312	22.4999
93.800003	94.341	22.1730
95.000000	94.316	21.8223
96.199997	94.341	21.7355
97.500000	94.344	21.3015
98.800003	94.358	21.1644
100.000000	94.356	20.9744
101.500000	94.393	20.7018
103.000000	94.360	20.5337
104.400002	94.379	20.2023
106.000000	94.355	19.8925
107.500000	94.341	19.6752
109.000000	94.345	19.3904
110.599998	94.334	19.2321
112.000000	94.351	18.9226
113.800003	94.341	18.7375
115.000000	94.366	18.3602
117.199997	94.347	18.0052
118.000000	94.352	18.0081
120.599998	94.316	17.5514
122.000000	94.327	17.4080
124.099998	94.322	17.1895
125.000000	94.319	16.9839
126.500000	94.316	16.8501
128.000000	94.335	16.7259
