* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -11,8 dBFS, measurement signal peak level -10,5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 7/10/2024 02:25:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0321 ms (-11 mm, -0,43 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 20,1 ppm
* Measurement: V19 mic 1
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.881	77.2329
20.299999	94.953	76.3093
20.600000	95.021	75.4612
20.900000	95.092	74.6779
21.200001	95.171	73.9190
21.400000	95.228	73.3983
21.799999	95.342	72.2961
22.000000	95.396	71.7140
22.400000	95.488	70.5241
22.700001	95.544	69.6637
23.000000	95.591	68.8780
23.299999	95.637	68.1788
23.600000	95.687	67.5491
24.000000	95.768	66.7625
24.299999	95.836	66.1620
24.700001	95.932	65.3057
25.000000	96.001	64.6195
25.400000	96.082	63.6725
25.799999	96.150	62.7367
26.200001	96.205	61.8567
26.500000	96.243	61.2488
26.900000	96.292	60.5084
27.200001	96.331	59.9923
27.600000	96.389	59.3253
28.000000	96.452	58.6417
28.500000	96.530	57.7293
29.000000	96.597	56.7773
29.500000	96.650	55.8491
30.000000	96.697	54.9859
30.400000	96.735	54.3343
30.700001	96.765	53.8572
31.100000	96.805	53.2283
31.500000	96.845	52.6091
32.000000	96.895	51.8539
32.500000	96.948	51.1120
33.000000	97.001	50.3680
33.500000	97.051	49.6260
34.000000	97.099	48.9097
34.500000	97.148	48.2234
35.000000	97.200	47.5349
35.500000	97.249	46.8130
36.000000	97.287	46.0836
36.500000	97.314	45.4172
37.000000	97.340	44.8530
37.500000	97.379	44.3394
38.200001	97.446	43.5278
38.700001	97.486	42.8568
39.500000	97.520	41.8442
40.000000	97.538	41.3192
40.599998	97.569	40.7340
41.200001	97.604	40.1227
41.799999	97.636	39.4993
42.500000	97.667	38.8101
43.099998	97.693	38.2705
43.700001	97.724	37.7656
44.400002	97.769	37.1421
45.000000	97.802	36.5262
45.500000	97.818	36.0053
46.200001	97.828	35.3675
46.799999	97.840	34.8828
47.500000	97.857	34.3056
48.200001	97.872	33.7556
48.700001	97.887	33.3756
49.400002	97.910	32.7934
50.000000	97.922	32.3095
50.799999	97.949	31.7800
51.500000	97.992	31.2053
52.200001	98.010	30.5144
53.000000	98.008	29.9439
53.799999	98.030	29.4446
54.500000	98.036	28.9336
55.200001	98.035	28.5858
56.000000	98.065	28.1493
57.000000	98.069	27.3602
58.000000	98.085	26.6857
59.000000	98.038	25.5110
60.000000	97.918	25.5441
60.799999	98.018	25.7371
61.500000	98.113	24.9568
62.200001	98.099	24.1329
63.000000	98.079	23.8244
64.000000	98.130	23.3624
65.000000	98.145	22.7526
66.000000	98.156	22.3271
67.000000	98.172	21.9084
68.000000	98.185	21.4376
69.000000	98.187	20.9702
70.000000	98.194	20.4669
71.000000	98.182	19.9376
72.000000	98.181	19.5461
73.000000	98.185	19.0188
74.000000	98.172	18.6635
75.000000	98.201	18.2822
76.199997	98.181	17.5939
77.500000	98.177	17.3783
78.800003	98.190	16.7746
80.000000	98.178	16.4496
81.199997	98.193	16.0259
82.500000	98.186	15.5402
83.800003	98.190	15.0959
85.000000	98.176	14.5945
86.199997	98.154	14.2230
87.500000	98.134	13.8979
88.500000	98.137	13.6193
90.000000	98.119	13.0720
91.199997	98.097	12.7341
92.500000	98.088	12.5490
93.800003	98.114	12.1541
95.000000	98.096	11.6904
96.199997	98.076	11.4822
97.500000	98.078	11.0718
98.800003	98.038	10.8121
100.000000	98.050	10.5634
101.500000	98.032	10.1284
103.000000	98.018	9.6633
104.400002	97.993	9.5253
106.000000	97.997	9.1393
107.500000	97.983	8.8876
109.000000	97.953	8.4667
110.599998	97.925	8.1670
112.000000	97.902	7.9795
113.800003	97.892	7.5493
115.000000	97.886	7.4003
117.199997	97.861	6.9337
118.000000	97.852	6.8785
120.599998	97.824	6.5142
122.000000	97.811	6.2078
124.099998	97.796	6.0223
125.000000	97.775	5.8194
126.500000	97.759	5.6661
128.000000	97.736	5.4429
131.500000	97.677	4.8870
132.000000	97.673	4.8063
134.000000	97.662	4.5560
136.000000	97.648	4.4025
138.000000	97.597	3.9432
140.000000	97.565	3.9106
143.000000	97.534	3.3899
145.000000	97.510	3.3033
147.500000	97.478	2.9554
150.000000	97.444	2.7793
152.500000	97.423	2.6326
155.000000	97.372	2.3760
157.500000	97.353	2.1399
160.000000	97.288	1.9426
162.500000	97.277	1.8264
165.000000	97.240	1.6185
167.500000	97.206	1.4875
170.000000	97.155	1.3740
172.500000	97.090	0.7687
175.000000	97.088	0.8599
177.500000	97.055	0.7830
180.000000	97.009	0.7330
182.500000	96.956	0.8617
185.000000	96.936	0.5582
187.500000	96.865	0.4104
190.000000	96.844	0.0815
192.500000	96.808	-0.0426
195.000000	96.751	-0.0822
197.500000	96.711	0.0229
200.000000	96.648	0.3361
203.000000	96.589	0.3950
206.000000	96.605	0.5228
209.000000	96.597	0.8069
212.000000	96.560	0.8318
214.000000	96.549	0.6924
218.000000	96.636	0.9292
220.000000	96.539	0.7613
224.000000	96.479	0.3174
227.000000	96.470	0.2949
230.000000	96.425	0.2646
233.000000	96.373	0.2409
236.000000	96.341	0.0151
240.000000	96.290	0.1211
243.000000	96.263	0.0210
247.000000	96.214	0.1804
250.000000	96.188	0.1271
254.000000	96.156	0.2773
258.000000	96.103	0.2675
262.000000	96.052	0.2646
265.000000	96.015	0.5097
269.000000	95.956	0.3838
272.000000	95.913	0.4550
276.000000	95.918	0.5696
280.000000	95.815	0.6320
285.000000	95.805	0.6265
290.000000	95.742	1.0028
295.000000	95.683	1.1009
300.000000	95.581	1.3970
304.000000	95.579	1.2191
307.000000	95.557	1.4362
311.000000	95.517	1.6985
315.000000	95.469	1.8105
320.000000	95.430	1.9627
325.000000	95.348	2.1235
330.000000	95.307	2.3968
335.000000	95.243	2.6041
340.000000	95.193	2.8416
345.000000	95.142	3.2935
350.000000	95.108	3.2489
355.000000	95.047	3.6090
360.000000	94.988	4.0551
365.000000	94.966	4.1187
370.000000	94.908	4.7220
375.000000	94.890	4.8567
382.000000	94.835	5.4010
387.000000	94.757	5.7359
395.000000	94.706	6.4016
400.000000	94.645	6.6628
406.000000	94.580	7.2368
412.000000	94.560	7.5349
418.000000	94.510	8.0146
425.000000	94.444	8.8231
431.000000	94.403	9.6158
437.000000	94.373	10.0302
444.000000	94.315	10.8093
450.000000	94.307	11.2611
455.000000	94.297	11.7597
462.000000	94.247	12.2620
468.000000	94.236	12.8610
475.000000	94.226	13.5963
482.000000	94.179	14.2898
487.000000	94.190	14.6606
494.000000	94.197	15.4448
500.000000	94.179	16.1313
508.000000	94.167	17.0103
515.000000	94.167	17.6091
522.000000	94.175	18.5017
530.000000	94.149	19.0524
538.000000	94.162	19.8832
545.000000	94.178	20.6370
552.000000	94.183	21.1962
560.000000	94.218	21.9924
570.000000	94.226	22.9188
580.000000	94.248	23.7973
590.000000	94.299	24.8652
600.000000	94.333	25.6620
608.000000	94.391	26.3868
615.000000	94.435	27.0760
622.000000	94.434	27.6019
630.000000	94.486	28.3887
640.000000	94.531	28.9762
650.000000	94.607	29.8997
660.000000	94.577	30.4920
670.000000	94.707	31.5186
680.000000	94.771	32.0664
690.000000	94.851	32.9520
700.000000	94.931	33.6420
710.000000	94.994	34.5289
720.000000	95.037	34.9886
730.000000	95.111	35.6505
740.000000	95.177	36.3963
750.000000	95.260	36.9992
762.000000	95.338	37.7978
775.000000	95.452	38.6136
788.000000	95.546	39.3571
800.000000	95.627	39.9725
812.000000	95.712	40.6219
825.000000	95.813	41.4788
838.000000	95.918	41.9356
850.000000	95.993	42.8536
862.000000	96.081	43.3032
875.000000	96.176	44.0284
885.000000	96.263	44.5663
900.000000	96.352	45.4847
912.000000	96.477	46.1287
925.000000	96.585	47.0858
938.000000	96.679	47.6174
950.000000	96.765	48.3420
962.000000	96.891	49.0647
975.000000	96.986	49.8347
988.000000	97.158	50.7532
1000.000000	97.300	51.4407
1015.000000	97.496	52.4336
1030.000000	97.709	53.1802
1044.000000	97.865	53.8833
1060.000000	98.123	54.5676
1075.000000	98.384	55.0529
1090.000000	98.685	55.3658
1106.000000	98.985	55.3232
