* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -15,4 dBFS, measurement signal peak level -14,0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 12/09/2024 06:47:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0336 ms (-12 mm, -0,45 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 18,8 ppm
* Measurement: 712 d6 mic 2 cD 7
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.343	95.6198
20.299999	93.448	94.7616
20.600000	93.566	93.9839
20.900000	93.701	93.2037
21.200001	93.849	92.3216
21.400000	93.946	91.6516
21.799999	94.117	90.1666
22.000000	94.186	89.4005
22.400000	94.291	87.9635
22.700001	94.352	87.0535
23.000000	94.417	86.2982
23.299999	94.496	85.6214
23.600000	94.589	84.9363
24.000000	94.724	83.9066
24.299999	94.817	83.0392
24.700001	94.918	81.8408
25.000000	94.979	80.9915
25.400000	95.051	79.9851
25.799999	95.129	79.0911
26.200001	95.220	78.2163
26.500000	95.291	77.5320
26.900000	95.383	76.5821
27.200001	95.447	75.8681
27.600000	95.528	74.9495
28.000000	95.609	74.0729
28.500000	95.715	72.9820
29.000000	95.816	71.8409
29.500000	95.898	70.6923
30.000000	95.957	69.6693
30.400000	96.000	69.0075
30.700001	96.039	68.5956
31.100000	96.106	68.0903
31.500000	96.188	67.5475
32.000000	96.294	66.7325
32.500000	96.383	65.8127
33.000000	96.451	64.9211
33.500000	96.514	64.1017
34.000000	96.580	63.2742
34.500000	96.637	62.3794
35.000000	96.673	61.4963
35.500000	96.698	60.7570
36.000000	96.736	60.1573
36.500000	96.798	59.5439
37.000000	96.868	58.7857
37.500000	96.920	57.9206
38.200001	96.957	56.8010
38.700001	96.975	56.1783
39.500000	97.027	55.3985
40.000000	97.078	54.9363
40.599998	97.152	54.3069
41.200001	97.225	53.5440
41.799999	97.278	52.6932
42.500000	97.313	51.7416
43.099998	97.333	51.0516
43.700001	97.362	50.4414
44.400002	97.408	49.7133
45.000000	97.447	49.0540
45.500000	97.477	48.5247
46.200001	97.524	47.7981
46.799999	97.560	47.1158
47.500000	97.571	46.4011
48.200001	97.585	46.0262
48.700001	97.628	45.8216
49.400002	97.707	45.2401
50.000000	97.740	44.5848
50.799999	97.760	43.9500
51.500000	97.804	43.3622
52.200001	97.823	42.5705
53.000000	97.812	41.9604
53.799999	97.859	41.5079
54.500000	97.907	40.8743
55.200001	97.936	40.3280
56.000000	97.991	39.7835
57.000000	98.015	39.1274
58.000000	98.084	39.1958
59.000000	98.239	38.5365
60.000000	98.255	37.5062
60.799999	98.238	36.9318
61.500000	98.207	36.4405
62.200001	98.174	36.1214
63.000000	98.184	35.6653
64.000000	98.150	34.6045
65.000000	98.071	34.2768
66.000000	98.141	34.0641
67.000000	98.181	33.2602
68.000000	98.203	32.9740
69.000000	98.269	32.4158
70.000000	98.256	31.9754
71.000000	98.307	31.8007
72.000000	98.330	31.0506
73.000000	98.301	30.6356
74.000000	98.318	30.2861
75.000000	98.343	29.8125
76.199997	98.358	29.1254
77.500000	98.374	28.8197
78.800003	98.436	28.1480
80.000000	98.426	27.7418
81.199997	98.463	27.2849
82.500000	98.434	26.8888
83.800003	98.482	26.5290
85.000000	98.466	26.1215
86.199997	98.510	25.7150
87.500000	98.470	25.2351
88.500000	98.502	25.0844
90.000000	98.485	24.4114
91.199997	98.488	24.2536
92.500000	98.508	23.9187
93.800003	98.537	23.4944
95.000000	98.529	23.0362
96.199997	98.529	22.8564
97.500000	98.542	22.4758
98.800003	98.553	22.3134
100.000000	98.586	21.8259
101.500000	98.568	21.5021
103.000000	98.588	21.0338
104.400002	98.595	20.7562
106.000000	98.590	20.2843
107.500000	98.587	20.0761
109.000000	98.600	19.8577
110.599998	98.587	19.5960
112.000000	98.591	19.3221
113.800003	98.609	18.9305
115.000000	98.609	18.3419
117.199997	98.557	18.1028
118.000000	98.622	17.7874
120.599998	98.592	17.8181
122.000000	98.642	17.1404
124.099998	98.584	16.8881
125.000000	98.603	16.9208
126.500000	98.621	16.6017
128.000000	98.618	16.2954
131.500000	98.636	15.7793
132.000000	98.640	15.7249
134.000000	98.627	15.4830
136.000000	98.614	15.1520
138.000000	98.645	14.8860
140.000000	98.641	14.4559
143.000000	98.629	14.1097
145.000000	98.658	13.9681
147.500000	98.652	13.3234
150.000000	98.659	13.4531
152.500000	98.632	13.0706
155.000000	98.624	12.8406
157.500000	98.612	12.4775
160.000000	98.628	12.0837
162.500000	98.600	11.8844
165.000000	98.623	11.7319
167.500000	98.607	11.4371
170.000000	98.602	11.1796
172.500000	98.599	10.9663
175.000000	98.616	10.7363
177.500000	98.575	10.5746
180.000000	98.586	10.4336
182.500000	98.548	10.0763
185.000000	98.545	9.6147
187.500000	98.527	9.5187
190.000000	98.550	9.5056
192.500000	98.531	9.3801
195.000000	98.498	9.1431
197.500000	98.488	8.9795
200.000000	98.498	8.8750
203.000000	98.490	8.8873
206.000000	98.471	8.5013
209.000000	98.480	8.4592
212.000000	98.479	8.2510
214.000000	98.441	8.2403
218.000000	98.471	8.0924
220.000000	98.455	8.1011
224.000000	98.439	7.7490
227.000000	98.454	7.5856
230.000000	98.439	7.4495
233.000000	98.438	7.1103
236.000000	98.505	7.4030
240.000000	98.490	6.7292
243.000000	98.399	6.8926
247.000000	98.394	6.5858
250.000000	98.371	6.4308
254.000000	98.405	6.2345
258.000000	98.397	6.1497
262.000000	98.365	5.7432
265.000000	98.349	5.9656
269.000000	98.308	5.7582
272.000000	98.321	5.4187
276.000000	98.312	5.5792
280.000000	98.257	5.3844
285.000000	98.265	4.9892
290.000000	98.254	5.0934
295.000000	98.212	4.7445
300.000000	98.172	4.3385
304.000000	98.162	4.6003
307.000000	98.154	4.6880
311.000000	98.104	4.5840
315.000000	98.108	4.5018
320.000000	98.083	4.6931
325.000000	98.063	4.7542
330.000000	98.074	4.6702
335.000000	98.099	4.6337
340.000000	98.065	4.4945
345.000000	98.083	4.3625
350.000000	98.060	4.1945
355.000000	98.043	4.0710
360.000000	98.034	4.2709
365.000000	98.024	3.9404
370.000000	98.018	3.8381
375.000000	97.969	3.8628
382.000000	97.953	3.6407
387.000000	97.915	3.6344
395.000000	97.879	3.4744
400.000000	97.866	3.6145
406.000000	97.845	3.4180
412.000000	97.819	3.4559
418.000000	97.770	3.3421
425.000000	97.761	3.2645
431.000000	97.728	3.4398
437.000000	97.715	3.3824
444.000000	97.666	3.4456
450.000000	97.632	3.2589
455.000000	97.643	3.4443
462.000000	97.579	3.3606
468.000000	97.547	3.3450
475.000000	97.533	3.6847
482.000000	97.449	3.7753
487.000000	97.440	3.8890
494.000000	97.416	3.9257
500.000000	97.410	4.2079
508.000000	97.416	4.3275
515.000000	97.391	4.3040
522.000000	97.393	4.3995
530.000000	97.352	4.5826
538.000000	97.359	4.5936
545.000000	97.326	4.6638
552.000000	97.311	4.6303
560.000000	97.301	4.4291
570.000000	97.231	4.7237
580.000000	97.182	4.9570
590.000000	97.161	4.8546
600.000000	97.118	4.9670
608.000000	97.088	5.1819
615.000000	97.038	5.2957
622.000000	97.032	5.4788
630.000000	97.007	5.5520
640.000000	96.967	5.6890
650.000000	96.933	5.8905
660.000000	96.805	6.0350
670.000000	96.848	6.3851
680.000000	96.822	6.7702
690.000000	96.752	6.8568
700.000000	96.722	7.1959
710.000000	96.685	7.3246
720.000000	96.665	7.6431
730.000000	96.624	8.0696
740.000000	96.573	8.1906
750.000000	96.507	8.6970
762.000000	96.488	9.1042
775.000000	96.442	9.5316
788.000000	96.382	9.8702
800.000000	96.309	10.4785
812.000000	96.304	11.1398
825.000000	96.219	11.4570
838.000000	96.158	12.0417
850.000000	96.161	12.5038
862.000000	96.098	13.2241
875.000000	96.049	13.9219
885.000000	96.016	14.4017
900.000000	95.962	15.0913
912.000000	95.961	16.0635
925.000000	95.892	17.0886
938.000000	95.872	17.9495
950.000000	95.846	18.6886
962.000000	95.833	19.7734
975.000000	95.799	20.8153
988.000000	95.791	21.8809
1000.000000	95.772	23.2568
1015.000000	95.772	24.8820
1030.000000	95.883	26.6942
1044.000000	96.023	27.9812
1060.000000	96.179	29.7719
1075.000000	96.394	31.1517
1090.000000	96.614	31.9435
1106.000000	96.850	32.6913
1120.000000	97.057	33.2297
1138.000000	97.301	33.3763
1150.000000	97.473	33.2787
1172.000000	97.666	33.1165
1180.000000	97.759	33.1405
1206.000000	97.978	32.7988
1220.000000	98.058	32.5015
1241.000000	98.176	32.3602
1250.000000	98.206	32.3952
1265.000000	98.281	32.2135
1280.000000	98.325	32.1432
1315.000000	98.462	32.0854
1320.000000	98.453	32.0638
1340.000000	98.521	32.1555
1360.000000	98.574	32.3526
1380.000000	98.613	32.4441
1400.000000	98.700	32.5352
1430.000000	98.772	32.9971
1450.000000	98.828	33.2313
1475.000000	98.909	33.5202
1500.000000	98.966	33.8823
1525.000000	99.069	34.3358
1550.000000	99.161	34.7938
1575.000000	99.252	35.1245
1600.000000	99.347	35.5018
1625.000000	99.424	36.0402
1650.000000	99.541	36.3457
