* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -9,8 dBFS, measurement signal peak level -9,5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 12/09/2024 06:44:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0336 ms (-12 mm, -0,45 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 18,8 ppm
* Measurement: 712 d6 mic 1 cD 7
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.286	79.4577
20.299999	95.368	78.1783
20.600000	95.413	76.9116
20.900000	95.426	75.8160
21.200001	95.431	74.9946
21.400000	95.447	74.5775
21.799999	95.522	73.8849
22.000000	95.582	73.5102
22.400000	95.727	72.5214
22.700001	95.832	71.5545
23.000000	95.912	70.4829
23.299999	95.966	69.4382
23.600000	96.001	68.5092
24.000000	96.040	67.5070
24.299999	96.080	66.8875
24.700001	96.153	66.1167
25.000000	96.216	65.5125
25.400000	96.297	64.6574
25.799999	96.366	63.8077
26.200001	96.426	63.0282
26.500000	96.471	62.4922
26.900000	96.535	61.8047
27.200001	96.584	61.2759
27.600000	96.644	60.5349
28.000000	96.691	59.7831
28.500000	96.733	58.9214
29.000000	96.773	58.1930
29.500000	96.827	57.5026
30.000000	96.888	56.7013
30.400000	96.921	55.9857
30.700001	96.933	55.4733
31.100000	96.939	54.9361
31.500000	96.959	54.5977
32.000000	97.039	54.2581
32.500000	97.171	53.6057
33.000000	97.286	52.4687
33.500000	97.328	51.1678
34.000000	97.310	50.2076
34.500000	97.306	49.7292
35.000000	97.359	49.3995
35.500000	97.444	48.8364
36.000000	97.506	48.0580
36.500000	97.531	47.3362
37.000000	97.546	46.8202
37.500000	97.574	46.4142
38.200001	97.623	45.8359
38.700001	97.658	45.4470
39.500000	97.735	44.7962
40.000000	97.786	44.2190
40.599998	97.817	43.4222
41.200001	97.822	42.7503
41.799999	97.833	42.2153
42.500000	97.856	41.5872
43.099998	97.871	41.0917
43.700001	97.897	40.7156
44.400002	97.960	40.2335
45.000000	98.016	39.6218
45.500000	98.041	39.0488
46.200001	98.048	38.3593
46.799999	98.050	37.9282
47.500000	98.062	37.5016
48.200001	98.081	37.0786
48.700001	98.100	36.7809
49.400002	98.138	36.3133
50.000000	98.173	35.7680
50.799999	98.187	34.9707
51.500000	98.191	34.4927
52.200001	98.228	34.0704
53.000000	98.268	33.4045
53.799999	98.280	32.9387
54.500000	98.318	32.6794
55.200001	98.353	32.2650
56.000000	98.353	31.9366
57.000000	98.383	31.6042
58.000000	98.305	31.0901
59.000000	98.277	31.8625
60.000000	98.483	31.4276
60.799999	98.507	30.0717
61.500000	98.458	29.3117
62.200001	98.431	28.7789
63.000000	98.408	28.3935
64.000000	98.518	28.1533
65.000000	98.615	26.5250
66.000000	98.460	25.8005
67.000000	98.486	26.3901
68.000000	98.562	25.9969
69.000000	98.567	25.7432
70.000000	98.586	25.3802
71.000000	98.570	25.0463
72.000000	98.582	24.7286
73.000000	98.584	24.3025
74.000000	98.599	23.9567
75.000000	98.613	23.5217
76.199997	98.627	23.1497
77.500000	98.644	22.6443
78.800003	98.644	22.3585
80.000000	98.667	21.9684
81.199997	98.676	21.6021
82.500000	98.680	21.1183
83.800003	98.689	20.8781
85.000000	98.702	20.4709
86.199997	98.706	20.2457
87.500000	98.714	19.8580
88.500000	98.714	19.6400
90.000000	98.710	19.2074
91.199997	98.716	19.0162
92.500000	98.735	18.5935
93.800003	98.733	18.2482
95.000000	98.741	18.0278
96.199997	98.763	17.7090
97.500000	98.743	17.3928
98.800003	98.761	17.2701
100.000000	98.754	16.9456
101.500000	98.763	16.7406
103.000000	98.750	16.3903
104.400002	98.768	16.1838
106.000000	98.753	15.8089
107.500000	98.777	15.6889
109.000000	98.774	15.2573
110.599998	98.769	15.0177
112.000000	98.771	14.6462
113.800003	98.769	14.4824
115.000000	98.785	14.0161
117.199997	98.784	13.7140
118.000000	98.730	13.7347
120.599998	98.782	13.3830
122.000000	98.778	13.5015
124.099998	98.773	12.9413
125.000000	98.767	12.8287
126.500000	98.794	12.5569
128.000000	98.769	12.2770
131.500000	98.755	12.0957
132.000000	98.768	11.9078
134.000000	98.684	11.6447
136.000000	98.724	11.4282
138.000000	98.737	11.2991
140.000000	98.700	10.8262
143.000000	98.688	10.6538
145.000000	98.675	10.4372
147.500000	98.684	10.1447
150.000000	98.677	10.2299
152.500000	98.669	10.0928
155.000000	98.659	9.8690
157.500000	98.681	9.6338
160.000000	98.690	9.5293
162.500000	98.694	9.2145
165.000000	98.695	8.9899
167.500000	98.711	8.8367
170.000000	98.707	8.7644
172.500000	98.655	8.4883
175.000000	98.712	8.2993
177.500000	98.693	8.0269
180.000000	98.674	7.7732
182.500000	98.650	7.4129
185.000000	98.658	7.6349
187.500000	98.649	7.3580
190.000000	98.644	7.3059
192.500000	98.637	7.0978
195.000000	98.632	7.1076
197.500000	98.638	6.8578
