* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -11,1 dBFS, measurement signal peak level -10,7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 12/09/2024 06:36:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0313 ms (-11 mm, -0,42 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 18,8 ppm
* Measurement: 712 d6 mic 1 v 1-3
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.118	75.1991
20.299999	97.216	74.1194
20.600000	97.295	72.9821
20.900000	97.352	71.8642
21.200001	97.389	70.8599
21.400000	97.409	70.2865
21.799999	97.456	69.3497
22.000000	97.488	68.9546
22.400000	97.577	68.2005
22.700001	97.657	67.5911
23.000000	97.737	66.9229
23.299999	97.810	66.2335
23.600000	97.878	65.5621
24.000000	97.964	64.7263
24.299999	98.032	64.1227
24.700001	98.127	63.2847
25.000000	98.193	62.6040
25.400000	98.266	61.6519
25.799999	98.317	60.7355
26.200001	98.357	59.9189
26.500000	98.385	59.3618
26.900000	98.426	58.6451
27.200001	98.456	58.1050
27.600000	98.493	57.3942
28.000000	98.530	56.7266
28.500000	98.595	55.8849
29.000000	98.675	54.7791
29.500000	98.713	53.3048
30.000000	98.655	51.8781
30.400000	98.557	51.2406
30.700001	98.495	51.1894
31.100000	98.490	51.4965
31.500000	98.596	51.7371
32.000000	98.813	51.2255
32.500000	98.977	49.8136
33.000000	99.012	48.3280
33.500000	98.982	47.4937
34.000000	99.009	47.2336
34.500000	99.121	46.8257
35.000000	99.232	45.8925
35.500000	99.264	44.7906
36.000000	99.235	44.0855
36.500000	99.226	43.8625
37.000000	99.275	43.6951
37.500000	99.344	43.2598
38.200001	99.396	42.4780
38.700001	99.426	42.0782
39.500000	99.528	41.2650
40.000000	99.576	40.4028
