* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -11,7 dBFS, measurement signal peak level -10,3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 12/09/2024 12:14:42 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0319 ms (-11 mm, -0,43 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 19,4 ppm
* Measurement: 712 d6 mic 1
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.736	78.8526
20.299999	91.837	78.1357
20.600000	91.944	77.3577
20.900000	92.046	76.4948
21.200001	92.135	75.5646
21.400000	92.184	74.9413
21.799999	92.257	73.7612
22.000000	92.286	73.2360
22.400000	92.343	72.3446
22.700001	92.395	71.7789
23.000000	92.460	71.2336
23.299999	92.535	70.6482
23.600000	92.614	69.9959
24.000000	92.713	69.0270
24.299999	92.777	68.2657
24.700001	92.848	67.2667
25.000000	92.895	66.5570
25.400000	92.953	65.6689
25.799999	93.010	64.8324
26.200001	93.064	64.0421
26.500000	93.104	63.4863
26.900000	93.159	62.8012
27.200001	93.204	62.3207
27.600000	93.271	61.6940
28.000000	93.341	61.0407
28.500000	93.423	60.1666
29.000000	93.486	59.2999
29.500000	93.535	58.5479
30.000000	93.588	57.9366
30.400000	93.644	57.4781
30.700001	93.695	57.0995
31.100000	93.763	56.5021
31.500000	93.824	55.8011
32.000000	93.874	54.8593
32.500000	93.897	53.9794
33.000000	93.908	53.2668
33.500000	93.928	52.7277
34.000000	93.975	52.2601
34.500000	94.048	51.6961
35.000000	94.124	50.9311
35.500000	94.172	50.0386
36.000000	94.185	49.2470
36.500000	94.186	48.7290
37.000000	94.212	48.4184
37.500000	94.272	48.0804
38.200001	94.358	47.3418
38.700001	94.393	46.7653
39.500000	94.430	46.0594
40.000000	94.464	45.6713
40.599998	94.511	45.1257
41.200001	94.550	44.4677
41.799999	94.569	43.7579
42.500000	94.564	43.0637
43.099998	94.571	42.7030
43.700001	94.621	42.3549
44.400002	94.698	41.6620
45.000000	94.734	40.9543
45.500000	94.748	40.4967
46.200001	94.786	40.0466
46.799999	94.838	39.6151
47.500000	94.883	38.9668
48.200001	94.891	38.3872
48.700001	94.891	38.1169
49.400002	94.911	37.8020
50.000000	94.936	37.4042
50.799999	94.949	36.8058
51.500000	94.967	36.2761
52.200001	94.973	35.6033
53.000000	94.956	35.1948
53.799999	95.050	34.9252
54.500000	95.114	33.9723
55.200001	95.058	33.5976
56.000000	95.169	34.0952
57.000000	95.261	32.5519
58.000000	95.085	34.6078
59.000000	95.845	34.6888
60.000000	95.665	28.9557
60.799999	95.081	29.9796
61.500000	95.194	31.8485
62.200001	95.335	30.7950
63.000000	95.194	30.0051
64.000000	95.251	30.0049
65.000000	95.233	28.8549
66.000000	95.252	28.8189
67.000000	95.318	28.0316
68.000000	95.307	27.8020
69.000000	95.350	27.5309
70.000000	95.350	27.2897
71.000000	95.374	26.9932
72.000000	95.355	26.5494
73.000000	95.348	26.3785
74.000000	95.386	26.0022
75.000000	95.392	25.4399
76.199997	95.393	25.0886
77.500000	95.401	24.7230
78.800003	95.434	24.5122
80.000000	95.437	23.9907
81.199997	95.421	23.7971
82.500000	95.443	23.4606
83.800003	95.452	23.0521
85.000000	95.465	22.7550
86.199997	95.486	22.3607
87.500000	95.468	22.0388
88.500000	95.479	21.9366
90.000000	95.497	21.5540
91.199997	95.497	21.2133
92.500000	95.484	21.0139
93.800003	95.514	20.7842
95.000000	95.510	20.4233
96.199997	95.511	20.2889
97.500000	95.522	19.9817
98.800003	95.508	19.8530
100.000000	95.538	19.6850
101.500000	95.520	19.3403
103.000000	95.538	19.1379
104.400002	95.526	18.8144
106.000000	95.515	18.5146
107.500000	95.523	18.3679
109.000000	95.535	18.1166
110.599998	95.544	17.8900
112.000000	95.542	17.7860
113.800003	95.547	17.4308
115.000000	95.521	17.3984
117.199997	95.511	16.7422
118.000000	95.492	16.9481
120.599998	95.536	16.4547
122.000000	95.545	16.3201
124.099998	95.542	16.2837
125.000000	95.533	16.1130
126.500000	95.532	16.1461
128.000000	95.545	15.7701
131.500000	95.528	15.4747
132.000000	95.530	15.4850
134.000000	95.555	15.3607
136.000000	95.529	14.9838
138.000000	95.541	14.8757
140.000000	95.537	14.8141
143.000000	95.544	14.5927
145.000000	95.533	14.3198
147.500000	95.500	14.2896
150.000000	95.519	14.1455
152.500000	95.487	13.9599
155.000000	95.530	13.7212
157.500000	95.529	13.5266
160.000000	95.509	13.3976
162.500000	95.504	13.4061
165.000000	95.470	13.3210
167.500000	95.486	13.1288
170.000000	95.496	13.0978
172.500000	95.488	12.8929
175.000000	95.464	12.6412
177.500000	95.503	12.7438
180.000000	95.499	12.4498
182.500000	95.503	12.4868
185.000000	95.465	12.4025
187.500000	95.494	12.3044
190.000000	95.461	12.2758
192.500000	95.471	12.1898
195.000000	95.445	12.1007
197.500000	95.435	12.0043
