* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -10,2 dBFS, measurement signal peak level -8,7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 12/09/2024 12:28:52 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,1184 ms (-41 mm, -1,6 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 19,6 ppm
* Measurement: 712 flaco mic 2
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.422	98.4827
20.299999	93.576	97.5203
20.600000	93.724	96.4240
20.900000	93.853	95.2293
21.200001	93.953	94.0289
21.400000	94.005	93.2882
21.799999	94.093	92.0132
22.000000	94.138	91.4852
22.400000	94.247	90.5776
22.700001	94.352	89.9054
23.000000	94.468	89.1336
23.299999	94.581	88.2397
23.600000	94.678	87.2648
24.000000	94.778	85.9583
24.299999	94.836	85.0679
24.700001	94.910	84.0450
25.000000	94.973	83.3601
25.400000	95.073	82.4533
25.799999	95.180	81.4703
26.200001	95.277	80.4346
26.500000	95.341	79.6831
26.900000	95.421	78.7738
27.200001	95.486	78.1572
27.600000	95.585	77.3597
28.000000	95.691	76.5053
28.500000	95.813	75.3388
29.000000	95.907	74.2036
29.500000	95.984	73.2263
30.000000	96.067	72.3661
30.400000	96.137	71.6746
30.700001	96.188	71.1314
31.100000	96.248	70.3882
31.500000	96.299	69.6480
32.000000	96.353	68.7404
32.500000	96.398	67.8529
33.000000	96.435	67.0298
33.500000	96.480	66.3120
34.000000	96.548	65.6188
34.500000	96.637	64.7893
35.000000	96.717	63.7932
35.500000	96.769	62.8035
36.000000	96.807	62.0110
36.500000	96.857	61.4236
37.000000	96.930	60.8884
37.500000	97.011	60.2808
38.200001	97.100	59.3315
38.700001	97.135	58.7047
39.500000	97.173	57.9255
40.000000	97.202	57.4725
40.599998	97.237	56.8141
41.200001	97.258	56.0700
41.799999	97.279	55.3329
42.500000	97.323	54.3817
43.099998	97.361	53.4697
43.700001	97.402	52.6680
44.400002	97.487	51.8594
45.000000	97.574	51.1195
45.500000	97.633	50.5668
46.200001	97.706	50.0382
46.799999	97.766	49.6860
47.500000	97.804	49.3659
48.200001	97.826	49.1215
48.700001	97.824	48.8182
49.400002	97.771	48.3658
50.000000	97.745	48.0473
50.799999	97.744	46.8213
51.500000	97.653	45.6417
52.200001	97.705	45.1682
53.000000	97.922	42.9660
53.799999	97.794	41.5596
54.500000	98.039	43.2912
55.200001	98.566	41.7083
56.000000	98.202	40.1584
57.000000	98.669	47.2347
58.000000	98.409	39.8823
59.000000	96.473	66.3585
60.000000	101.598	65.6102
60.799999	101.656	43.7642
61.500000	99.161	35.3036
62.200001	97.895	44.5274
63.000000	98.666	43.4528
64.000000	97.781	37.3626
65.000000	97.971	38.8542
66.000000	98.125	34.5298
67.000000	98.204	35.1443
68.000000	98.471	34.0638
69.000000	98.472	34.6609
70.000000	98.560	34.7775
71.000000	98.476	34.7778
72.000000	98.432	34.3962
73.000000	98.355	33.6243
74.000000	98.326	32.8782
75.000000	98.377	32.2773
76.199997	98.461	31.3851
77.500000	98.538	31.2150
78.800003	98.573	30.7956
80.000000	98.541	30.7625
81.199997	98.542	30.3973
82.500000	98.532	29.7757
83.800003	98.574	28.9686
85.000000	98.585	28.3886
86.199997	98.611	28.0765
87.500000	98.633	27.9543
88.500000	98.647	27.6760
90.000000	98.616	27.2937
91.199997	98.615	26.9285
92.500000	98.624	26.4298
93.800003	98.622	25.9715
95.000000	98.642	25.7951
96.199997	98.656	25.4912
97.500000	98.674	25.2891
98.800003	98.660	24.8435
100.000000	98.665	24.7427
101.500000	98.671	24.1744
103.000000	98.701	23.9825
104.400002	98.697	23.4153
106.000000	98.705	23.2656
107.500000	98.705	22.9536
109.000000	98.720	22.7343
