* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -17,7 dBFS, measurement signal peak level -15,8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 12/09/2024 12:46:17 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0328 ms (-11 mm, -0,44 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 19,7 ppm
* Measurement: 712 gordo mic 1
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.164	93.4980
20.299999	89.255	91.8051
20.600000	89.271	90.2954
20.900000	89.242	89.2553
21.200001	89.226	88.8110
21.400000	89.257	88.7307
21.799999	89.431	88.6311
22.000000	89.565	88.3863
22.400000	89.862	87.1947
22.700001	90.047	85.7860
23.000000	90.167	84.2222
23.299999	90.227	82.7972
23.600000	90.254	81.6726
24.000000	90.294	80.6773
24.299999	90.357	80.1391
24.700001	90.485	79.3908
25.000000	90.590	78.6821
25.400000	90.709	77.5851
25.799999	90.790	76.5384
26.200001	90.851	75.7313
26.500000	90.905	75.2813
26.900000	91.004	74.7587
27.200001	91.096	74.3013
27.600000	91.223	73.5031
28.000000	91.326	72.5325
28.500000	91.401	71.3654
29.000000	91.455	70.5664
29.500000	91.558	70.0303
30.000000	91.719	69.2208
30.400000	91.836	68.1669
30.700001	91.886	67.2399
31.100000	91.894	66.1568
31.500000	91.875	65.5252
32.000000	91.916	65.2838
32.500000	92.066	64.8577
33.000000	92.218	63.6537
33.500000	92.253	62.1324
34.000000	92.193	61.2305
34.500000	92.185	61.1192
35.000000	92.302	60.9489
35.500000	92.441	59.9753
36.000000	92.469	58.5719
36.500000	92.387	57.6402
37.000000	92.318	57.5594
37.500000	92.359	57.7926
38.200001	92.528	57.4405
38.700001	92.626	56.7238
39.500000	92.727	55.5599
40.000000	92.781	54.8317
40.599998	92.820	53.9185
41.200001	92.828	53.2159
41.799999	92.849	52.8335
42.500000	92.933	52.4000
43.099998	93.012	51.7181
43.700001	93.044	50.9472
44.400002	93.045	50.4225
45.000000	93.089	50.2701
45.500000	93.168	49.9831
46.200001	93.263	49.1052
46.799999	93.281	48.3105
47.500000	93.295	47.7790
48.200001	93.365	47.1837
48.700001	93.406	46.4567
49.400002	93.381	45.4119
50.000000	93.322	45.0023
50.799999	93.319	45.0465
51.500000	93.410	44.9532
52.200001	93.522	44.3839
53.000000	93.588	43.3835
53.799999	93.583	42.6693
54.500000	93.593	42.3995
55.200001	93.624	42.0645
56.000000	93.627	41.7132
57.000000	93.683	41.5139
58.000000	93.677	40.1655
59.000000	93.402	40.2867
60.000000	93.566	41.8823
60.799999	93.807	40.5050
61.500000	93.762	38.8449
62.200001	93.666	38.3358
63.000000	93.700	37.9365
64.000000	93.694	36.7943
65.000000	93.670	36.7083
66.000000	93.798	36.5148
67.000000	93.866	35.7840
68.000000	93.931	35.5370
69.000000	94.034	34.2114
70.000000	93.779	32.9247
71.000000	93.646	34.7304
72.000000	93.914	34.9614
73.000000	93.988	34.0261
74.000000	94.065	33.4785
75.000000	94.069	32.7435
76.199997	94.114	32.5192
77.500000	94.101	31.9543
78.800003	94.137	31.7552
80.000000	94.135	31.3604
81.199997	94.154	30.9435
82.500000	94.205	30.7371
83.800003	94.212	29.6636
85.000000	94.156	30.0128
86.199997	94.226	29.6973
87.500000	94.204	29.7376
88.500000	94.292	29.2599
90.000000	94.181	28.4326
91.199997	94.244	28.5548
92.500000	94.262	27.8432
93.800003	94.300	27.9918
95.000000	94.361	27.4858
96.199997	94.338	27.5481
97.500000	94.416	27.0572
98.800003	94.306	26.8259
100.000000	94.388	26.8560
101.500000	94.361	26.2433
103.000000	94.398	25.9344
104.400002	94.418	26.0474
106.000000	94.415	25.4404
107.500000	94.457	25.7733
109.000000	94.439	25.0138
110.599998	94.449	24.7646
112.000000	94.400	24.3928
113.800003	94.490	24.5734
115.000000	94.469	23.8046
117.199997	94.458	23.5801
118.000000	94.395	23.7466
120.599998	94.395	23.5005
122.000000	94.549	23.3804
124.099998	94.517	23.0152
125.000000	94.545	22.9116
126.500000	94.541	22.5782
128.000000	94.553	22.5505
131.500000	94.568	22.0955
132.000000	94.526	21.9932
134.000000	94.574	21.9613
136.000000	94.592	21.7004
138.000000	94.577	21.9282
140.000000	94.513	21.3925
143.000000	94.562	20.6037
145.000000	94.613	20.6115
147.500000	94.608	20.5509
150.000000	94.562	20.1559
152.500000	94.582	20.3157
155.000000	94.683	20.0946
157.500000	94.825	20.0504
160.000000	94.648	22.2642
162.500000	94.370	18.7259
165.000000	94.527	18.4860
167.500000	94.936	18.6037
170.000000	94.457	18.0618
172.500000	94.671	20.7895
175.000000	94.705	21.2362
177.500000	94.602	17.8758
180.000000	94.795	17.6825
182.500000	94.510	20.7588
185.000000	94.782	19.3051
187.500000	94.713	20.1905
190.000000	94.706	18.4408
192.500000	94.722	18.7651
195.000000	94.712	18.6682
197.500000	94.727	18.3269
200.000000	94.759	18.5437
203.000000	94.809	18.1374
206.000000	94.716	17.7913
209.000000	94.858	18.0763
212.000000	94.811	17.8864
214.000000	95.257	20.4843
218.000000	94.764	17.8441
220.000000	94.837	17.4623
224.000000	94.790	17.2122
227.000000	94.931	17.5038
230.000000	94.849	17.4586
233.000000	94.810	17.5496
236.000000	94.858	17.4574
240.000000	94.861	17.3330
243.000000	94.908	17.4922
247.000000	94.936	17.1504
250.000000	94.913	17.2873
254.000000	94.899	17.1524
258.000000	94.931	16.4891
262.000000	94.896	16.1402
265.000000	94.970	16.8502
269.000000	94.857	17.1441
272.000000	94.924	16.7027
276.000000	94.926	16.9396
280.000000	94.908	17.3437
285.000000	94.755	16.1306
290.000000	94.938	16.8854
295.000000	94.899	16.7809
300.000000	95.009	16.5138
304.000000	95.007	16.8000
307.000000	95.014	16.4178
311.000000	94.962	16.8462
315.000000	95.002	16.2101
320.000000	94.968	16.5429
325.000000	95.031	16.0947
330.000000	94.988	16.2417
335.000000	94.981	16.1430
340.000000	95.031	16.5640
345.000000	95.002	16.7716
350.000000	94.983	16.6186
355.000000	95.013	16.6428
360.000000	95.076	16.5855
365.000000	95.062	16.9475
370.000000	95.048	16.9253
375.000000	95.075	16.9006
382.000000	95.084	17.3776
387.000000	95.101	17.0944
395.000000	95.140	16.9149
400.000000	95.164	17.1229
