* Measurement data measured by REW V5.20.9
* Source: Trace Arithmetic result Merge B to A
* Format: Trace Arithmetic result Merge B to A
* Dated: Jul 9, 2023 4:58:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic B to A at 4,045 Hz A = AA DF NEUTAL B = NT B was scaled by -0.6 dB
* Measurement: AA NEUTRAL 2023
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	94.210
20.299999	94.210
20.600000	94.210
20.900000	94.210
21.200001	94.209
21.400000	94.208
21.799999	94.207
22.000000	94.206
22.400000	94.203
22.700001	94.202
23.000000	94.200
23.299999	94.198
23.600000	94.197
24.000000	94.195
24.299999	94.193
24.700001	94.192
25.000000	94.191
25.400000	94.190
25.799999	94.190
26.200001	94.190
26.500000	94.190
26.900000	94.190
27.200001	94.190
27.600000	94.190
28.000000	94.190
28.500000	94.190
29.000000	94.190
29.500000	94.189
30.000000	94.187
30.400000	94.186
30.700001	94.185
31.100000	94.183
31.500000	94.182
32.000000	94.179
32.500000	94.177
33.000000	94.175
33.500000	94.174
34.000000	94.172
34.500000	94.171
35.000000	94.170
35.500000	94.169
36.000000	94.169
36.500000	94.169
37.000000	94.169
37.500000	94.169
38.200001	94.169
38.700001	94.169
39.500000	94.169
40.000000	94.170
40.599998	94.170
41.200001	94.170
41.799999	94.171
42.500000	94.171
43.099998	94.171
43.700001	94.172
44.400002	94.172
45.000000	94.172
45.500000	94.171
46.200001	94.171
46.799999	94.170
47.500000	94.169
48.200001	94.168
48.700001	94.166
49.400002	94.164
50.000000	94.162
50.799999	94.159
51.500000	94.156
52.200001	94.154
53.000000	94.151
53.799999	94.148
54.500000	94.145
55.200001	94.143
56.000000	94.141
57.000000	94.139
58.000000	94.137
59.000000	94.136
60.000000	94.135
60.799999	94.134
61.500000	94.134
62.200001	94.133
63.000000	94.132
64.000000	94.131
65.000000	94.130
66.000000	94.129
67.000000	94.128
68.000000	94.126
69.000000	94.124
70.000000	94.122
71.000000	94.120
72.000000	94.118
73.000000	94.117
74.000000	94.115
75.000000	94.114
76.199997	94.112
77.500000	94.111
78.800003	94.110
80.000000	94.110
81.199997	94.110
82.500000	94.110
83.800003	94.110
85.000000	94.110
86.199997	94.110
87.500000	94.110
88.500000	94.110
90.000000	94.110
91.199997	94.109
92.500000	94.108
93.800003	94.106
95.000000	94.105
96.199997	94.103
97.500000	94.101
98.800003	94.100
100.000000	94.098
101.500000	94.096
103.000000	94.094
104.400002	94.093
106.000000	94.091
107.500000	94.090
109.000000	94.090
110.599998	94.089
112.000000	94.089
113.800003	94.089
115.000000	94.089
117.199997	94.089
118.000000	94.089
120.599998	94.089
122.000000	94.089
124.099998	94.090
125.000000	94.090
126.500000	94.090
128.000000	94.090
131.500000	94.090
132.000000	94.090
134.000000	94.090
136.000000	94.091
138.000000	94.091
140.000000	94.091
143.000000	94.090
145.000000	94.090
147.500000	94.090
150.000000	94.089
152.500000	94.089
155.000000	94.088
157.500000	94.087
160.000000	94.086
162.500000	94.085
165.000000	94.084
167.500000	94.083
170.000000	94.082
172.500000	94.080
175.000000	94.079
177.500000	94.077
180.000000	94.075
182.500000	94.073
185.000000	94.072
187.500000	94.070
190.000000	94.068
192.500000	94.067
195.000000	94.065
197.500000	94.064
200.000000	94.062
203.000000	94.061
206.000000	94.060
209.000000	94.060
212.000000	94.060
214.000000	94.060
218.000000	94.060
220.000000	94.060
224.000000	94.060
227.000000	94.060
230.000000	94.060
233.000000	94.060
236.000000	94.060
240.000000	94.058
243.000000	94.057
247.000000	94.054
250.000000	94.052
254.000000	94.049
258.000000	94.046
262.000000	94.043
265.000000	94.041
269.000000	94.038
272.000000	94.036
276.000000	94.034
280.000000	94.032
285.000000	94.031
290.000000	94.031
295.000000	94.032
300.000000	94.033
304.000000	94.034
307.000000	94.035
311.000000	94.036
315.000000	94.036
320.000000	94.038
325.000000	94.038
330.000000	94.039
335.000000	94.038
340.000000	94.037
345.000000	94.036
350.000000	94.034
355.000000	94.032
360.000000	94.030
365.000000	94.028
370.000000	94.027
375.000000	94.025
382.000000	94.023
387.000000	94.021
395.000000	94.020
400.000000	94.020
406.000000	94.020
412.000000	94.020
418.000000	94.020
425.000000	94.020
431.000000	94.020
437.000000	94.020
444.000000	94.020
450.000000	94.020
455.000000	94.019
462.000000	94.017
468.000000	94.015
475.000000	94.013
482.000000	94.010
487.000000	94.008
494.000000	94.005
500.000000	94.003
508.000000	93.999
515.000000	93.997
522.000000	93.994
530.000000	93.992
538.000000	93.991
545.000000	93.991
552.000000	93.991
560.000000	93.991
570.000000	93.992
580.000000	93.993
590.000000	93.994
600.000000	93.995
608.000000	93.997
615.000000	93.998
622.000000	93.998
630.000000	93.999
640.000000	94.000
650.000000	94.001
660.000000	94.001
670.000000	94.001
680.000000	94.002
690.000000	94.002
700.000000	94.002
710.000000	94.001
720.000000	94.001
730.000000	94.000
740.000000	93.999
750.000000	93.997
762.000000	93.994
775.000000	93.990
788.000000	93.986
800.000000	93.983
812.000000	93.981
825.000000	93.979
838.000000	93.978
850.000000	93.978
862.000000	93.980
875.000000	93.983
885.000000	93.987
900.000000	93.995
912.000000	94.002
925.000000	94.012
938.000000	94.023
950.000000	94.034
962.000000	94.048
975.000000	94.064
988.000000	94.082
1000.000000	94.101
1015.000000	94.126
1030.000000	94.155
1044.000000	94.185
1060.000000	94.221
1075.000000	94.258
1090.000000	94.298
1106.000000	94.342
1120.000000	94.384
1138.000000	94.441
1150.000000	94.481
1172.000000	94.559
1180.000000	94.588
1206.000000	94.692
1220.000000	94.751
1241.000000	94.844
1250.000000	94.885
1265.000000	94.955
1280.000000	95.027
1315.000000	95.201
1320.000000	95.227
1340.000000	95.331
1360.000000	95.437
1380.000000	95.545
1400.000000	95.655
1430.000000	95.821
1450.000000	95.934
1475.000000	96.076
1500.000000	96.221
1525.000000	96.367
1550.000000	96.516
1575.000000	96.668
1600.000000	96.822
1625.000000	96.979
1650.000000	97.139
1675.000000	97.303
1700.000000	97.469
1725.000000	97.635
1750.000000	97.803
1775.000000	97.970
1800.000000	98.137
1825.000000	98.304
1850.000000	98.469
1875.000000	98.633
1900.000000	98.795
1925.000000	98.955
1950.000000	99.113
1975.000000	99.268
2000.000000	99.420
2030.000000	99.598
2060.000000	99.771
2090.000000	99.938
2120.000000	100.097
2140.000000	100.200
2180.000000	100.395
2200.000000	100.488
2240.000000	100.667
2270.000000	100.794
2300.000000	100.917
2330.000000	101.035
2360.000000	101.148
2400.000000	101.290
2430.000000	101.391
2470.000000	101.516
2500.000000	101.604
2540.000000	101.711
2580.000000	101.810
2620.000000	101.901
2650.000000	101.965
2690.000000	102.044
2720.000000	102.099
2760.000000	102.168
2800.000000	102.232
2850.000000	102.304
2900.000000	102.372
2950.000000	102.435
3000.000000	102.496
3040.000000	102.541
3070.000000	102.572
3110.000000	102.611
3150.000000	102.645
3200.000000	102.683
3250.000000	102.751
3300.000000	102.811
3350.000000	102.852
3400.000000	102.874
3450.000000	102.879
3500.000000	102.868
3550.000000	102.844
3600.000000	102.822
3650.000000	102.790
3700.000000	102.752
3750.000000	102.707
3820.000000	102.635
3870.000000	102.579
3950.000000	102.454
4000.000000	102.348
4060.000000	102.210
4120.000000	102.065
4180.000000	101.914
4250.000000	101.733
4310.000000	101.573
4370.000000	101.426
4440.000000	101.319
4500.000000	101.284
4550.000000	101.265
4620.000000	101.244
4680.000000	101.231
4750.000000	101.277
4820.000000	101.432
4870.000000	101.544
4940.000000	101.686
5000.000000	101.872
5080.000000	102.121
5150.000000	102.256
5220.000000	102.410
5300.000000	102.517
5380.000000	102.472
5450.000000	102.422
5520.000000	102.398
5600.000000	102.323
5700.000000	102.208
5800.000000	102.138
5900.000000	101.965
6000.000000	101.591
6080.000000	101.244
6150.000000	100.847
6220.000000	100.392
6300.000000	99.887
6400.000000	99.281
6500.000000	98.790
6600.000000	98.414
6700.000000	98.067
6800.000000	97.739
6900.000000	97.507
7000.000000	97.386
7100.000000	97.445
7200.000000	97.610
7300.000000	97.787
7400.000000	97.960
7500.000000	98.132
7620.000000	98.329
7750.000000	98.476
7880.000000	98.582
8000.000000	98.749
8120.000000	98.868
8250.000000	98.882
8380.000000	98.787
8500.000000	98.526
8620.000000	98.095
8750.000000	97.604
8850.000000	97.160
9000.000000	95.826
9120.000000	94.597
9250.000000	93.318
9380.000000	92.155
9500.000000	91.233
9620.000000	90.446
9750.000000	89.655
9880.000000	88.827
10000.000000	88.123
10150.000000	87.669
10300.000000	87.544
10440.000000	87.468
10600.000000	87.377
10750.000000	87.376
10900.000000	87.721
11060.000000	88.352
11200.000000	89.021
11380.000000	89.877
11500.000000	90.984
11720.000000	92.313
11800.000000	92.685
12060.000000	92.748
12200.000000	92.337
12410.000000	91.712
12500.000000	91.471
12650.000000	91.089
12800.000000	90.672
13150.000000	89.415
13200.000000	89.238
13400.000000	88.624
13600.000000	88.099
13800.000000	87.526
14000.000000	87.075
14300.000000	86.722
14500.000000	86.510
14750.000000	86.252
15000.000000	86.000
15250.000000	85.754
15500.000000	85.515
15750.000000	85.281
16000.000000	85.053
16250.000000	84.830
16500.000000	84.614
16750.000000	84.359
17000.000000	84.094
17250.000000	83.885
17500.000000	83.685
17750.000000	83.488
18000.000000	83.295
18250.000000	83.096
18500.000000	82.836
18750.000000	82.629
19000.000000	82.518
19250.000000	82.382
19500.000000	82.187
19750.000000	81.975
