* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 907, R 908, R 909, R 910
* Dated: 6/08/2025 01:18:56 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 907, R 908, R 909, R 910
* Measurement: R C1 AVG 100PT
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	83.179
20.299999	83.323
20.600000	83.451
20.900000	83.569
21.200001	83.687
21.400000	83.772
21.799999	83.956
22.000000	84.055
22.400000	84.256
22.700001	84.401
23.000000	84.533
23.299999	84.655
23.600000	84.773
24.000000	84.935
24.299999	85.067
24.700001	85.254
25.000000	85.395
25.400000	85.571
25.799999	85.733
26.200001	85.890
26.500000	86.012
26.900000	86.182
27.200001	86.309
27.600000	86.465
28.000000	86.601
28.500000	86.756
29.000000	86.927
29.500000	87.127
30.000000	87.329
30.400000	87.476
30.700001	87.578
31.100000	87.714
31.500000	87.858
32.000000	88.046
32.500000	88.223
33.000000	88.382
33.500000	88.542
34.000000	88.719
34.500000	88.900
35.000000	89.062
35.500000	89.203
36.000000	89.351
36.500000	89.520
37.000000	89.692
37.500000	89.845
38.200001	90.031
38.700001	90.170
39.500000	90.409
40.000000	90.548
40.599998	90.703
41.200001	90.863
41.799999	91.029
42.500000	91.221
43.099998	91.380
43.700001	91.525
44.400002	91.676
45.000000	91.808
45.500000	91.933
46.200001	92.110
46.799999	92.239
47.500000	92.382
48.200001	92.558
48.700001	92.690
49.400002	92.839
50.000000	92.937
50.799999	93.075
51.500000	93.204
52.200001	93.329
53.000000	93.478
53.799999	93.610
54.500000	93.701
55.200001	93.799
56.000000	93.916
57.000000	94.048
58.000000	94.226
59.000000	94.357
60.000000	94.469
60.799999	94.565
61.500000	94.622
62.200001	94.689
63.000000	94.777
64.000000	94.866
65.000000	94.970
66.000000	95.016
67.000000	95.079
68.000000	95.139
69.000000	95.150
70.000000	95.162
71.000000	95.113
72.000000	95.058
73.000000	94.985
74.000000	94.947
75.000000	94.978
76.199997	95.020
77.500000	95.100
78.800003	95.166
80.000000	95.190
81.199997	95.150
82.500000	95.078
83.800003	95.025
85.000000	95.030
86.199997	95.021
87.500000	94.993
88.500000	94.995
90.000000	94.943
91.199997	94.908
92.500000	94.882
93.800003	94.822
95.000000	94.768
96.199997	94.716
97.500000	94.654
98.800003	94.615
100.000000	94.557
101.500000	94.477
103.000000	94.409
104.400002	94.367
106.000000	94.278
107.500000	94.196
109.000000	94.119
110.599998	94.060
112.000000	94.018
113.800003	93.977
115.000000	93.925
117.199997	93.756
118.000000	93.580
120.599998	93.736
122.000000	93.636
124.099998	93.554
125.000000	93.508
126.500000	93.534
128.000000	93.457
131.500000	93.354
132.000000	93.327
134.000000	93.287
136.000000	93.265
138.000000	93.197
140.000000	93.148
143.000000	93.130
145.000000	93.133
147.500000	93.123
150.000000	93.102
152.500000	93.104
155.000000	93.085
157.500000	93.106
160.000000	93.060
162.500000	93.061
165.000000	93.018
167.500000	93.030
170.000000	93.014
172.500000	92.969
175.000000	93.001
177.500000	92.980
180.000000	93.014
182.500000	93.002
185.000000	92.975
187.500000	92.978
190.000000	92.940
192.500000	92.961
195.000000	92.964
197.500000	92.973
200.000000	92.979
203.000000	92.963
206.000000	92.996
209.000000	93.018
212.000000	93.020
214.000000	93.041
218.000000	93.057
220.000000	93.054
224.000000	93.041
227.000000	93.034
230.000000	93.038
233.000000	93.033
236.000000	93.002
240.000000	93.005
243.000000	93.008
247.000000	93.004
250.000000	93.011
254.000000	93.036
258.000000	93.060
262.000000	93.113
265.000000	93.189
269.000000	93.307
272.000000	93.413
276.000000	93.538
280.000000	93.694
285.000000	93.869
290.000000	93.958
295.000000	94.021
300.000000	94.037
304.000000	94.010
307.000000	94.012
311.000000	93.986
315.000000	93.972
320.000000	93.948
325.000000	93.915
330.000000	93.892
335.000000	93.886
340.000000	93.842
345.000000	93.855
350.000000	93.828
355.000000	93.809
360.000000	93.816
365.000000	93.758
370.000000	93.760
375.000000	93.761
382.000000	93.770
387.000000	93.760
395.000000	93.788
400.000000	93.793
406.000000	93.798
412.000000	93.790
418.000000	93.791
425.000000	93.841
431.000000	93.874
437.000000	93.887
444.000000	93.918
450.000000	93.938
455.000000	93.953
462.000000	94.002
468.000000	94.034
475.000000	94.060
482.000000	94.093
487.000000	94.124
494.000000	94.161
500.000000	94.191
508.000000	94.212
515.000000	94.261
522.000000	94.291
530.000000	94.311
538.000000	94.360
545.000000	94.360
552.000000	94.368
560.000000	94.418
570.000000	94.457
580.000000	94.505
590.000000	94.549
600.000000	94.593
608.000000	94.654
615.000000	94.710
622.000000	94.767
630.000000	94.803
640.000000	94.909
650.000000	94.966
660.000000	95.015
670.000000	95.083
680.000000	95.147
690.000000	95.194
700.000000	95.250
710.000000	95.260
720.000000	95.339
730.000000	95.437
740.000000	95.456
750.000000	95.521
762.000000	95.538
775.000000	95.618
788.000000	95.745
800.000000	95.784
812.000000	95.853
825.000000	95.880
838.000000	95.951
850.000000	96.033
862.000000	96.114
875.000000	96.222
885.000000	96.259
900.000000	96.279
912.000000	96.364
925.000000	96.424
938.000000	96.397
950.000000	96.397
962.000000	96.447
975.000000	96.636
988.000000	96.706
1000.000000	96.666
1015.000000	96.656
1030.000000	96.620
1044.000000	96.563
1060.000000	96.707
1075.000000	96.739
1090.000000	96.872
1106.000000	96.893
1120.000000	96.855
1138.000000	96.977
1150.000000	97.032
1172.000000	97.173
1180.000000	97.153
1206.000000	96.942
1220.000000	97.026
1241.000000	97.136
1250.000000	97.130
1265.000000	97.126
1280.000000	97.331
1315.000000	97.616
1320.000000	97.625
1340.000000	97.605
1360.000000	97.512
1380.000000	97.344
1400.000000	97.343
1430.000000	97.574
1450.000000	97.452
1475.000000	97.651
1500.000000	98.187
1525.000000	97.624
1550.000000	97.439
1575.000000	97.693
1600.000000	97.963
1625.000000	97.934
1650.000000	97.874
1675.000000	98.087
1700.000000	97.779
1725.000000	98.232
1750.000000	97.997
1775.000000	97.884
1800.000000	97.489
1825.000000	97.669
1850.000000	97.687
1875.000000	97.466
1900.000000	97.385
1925.000000	97.652
1950.000000	97.738
1975.000000	97.919
2000.000000	98.491
2030.000000	98.886
2060.000000	99.307
2090.000000	100.160
2120.000000	100.243
2140.000000	100.677
2180.000000	101.252
2200.000000	101.254
2240.000000	101.799
2270.000000	102.363
2300.000000	102.413
2330.000000	102.500
2360.000000	102.663
2400.000000	102.599
2430.000000	102.417
2470.000000	102.412
2500.000000	102.262
2540.000000	101.887
2580.000000	101.658
2620.000000	101.429
2650.000000	101.456
2690.000000	101.199
2720.000000	101.430
2760.000000	101.592
2800.000000	101.610
2850.000000	101.289
2900.000000	101.600
2950.000000	101.591
3000.000000	101.989
3040.000000	102.107
3070.000000	102.179
3110.000000	102.268
3150.000000	102.139
3200.000000	102.026
3250.000000	102.082
3300.000000	101.895
3350.000000	101.773
3400.000000	101.674
3450.000000	101.577
3500.000000	101.400
3550.000000	101.081
3600.000000	100.826
3650.000000	100.561
3700.000000	100.253
3750.000000	100.202
3820.000000	100.008
3870.000000	99.891
3950.000000	99.718
4000.000000	99.582
4060.000000	99.369
4120.000000	99.077
4180.000000	98.894
4250.000000	98.853
4310.000000	98.926
4370.000000	98.948
4440.000000	98.914
4500.000000	98.887
4550.000000	98.891
4620.000000	98.841
4680.000000	98.889
4750.000000	98.897
4820.000000	99.085
4870.000000	99.280
4940.000000	99.645
5000.000000	100.084
5080.000000	100.815
5150.000000	101.691
5220.000000	102.702
5300.000000	104.044
5380.000000	105.429
5450.000000	106.559
5520.000000	107.368
5600.000000	107.675
5700.000000	106.970
5800.000000	105.220
5900.000000	102.860
6000.000000	100.599
6080.000000	98.917
6150.000000	97.699
6220.000000	96.697
6300.000000	95.819
6400.000000	95.107
6500.000000	94.906
6600.000000	95.153
6700.000000	95.628
6800.000000	96.070
6900.000000	96.824
7000.000000	97.757
7100.000000	98.467
7200.000000	99.066
7300.000000	99.435
7400.000000	99.782
7500.000000	99.988
7620.000000	100.124
7750.000000	100.248
7880.000000	100.244
8000.000000	100.082
8120.000000	99.743
8250.000000	99.059
8380.000000	97.995
8500.000000	96.753
8620.000000	95.422
8750.000000	94.035
8850.000000	93.146
9000.000000	92.556
9120.000000	93.136
9250.000000	93.966
9380.000000	94.197
9500.000000	93.768
9620.000000	92.819
9750.000000	91.619
9880.000000	90.325
10000.000000	89.106
10150.000000	87.620
10300.000000	86.329
10440.000000	85.704
10600.000000	87.018
10750.000000	89.821
10900.000000	92.769
11060.000000	95.018
11200.000000	95.998
11380.000000	96.218
11500.000000	95.952
11720.000000	94.922
11800.000000	94.483
12060.000000	92.522
12200.000000	91.437
12410.000000	90.172
12500.000000	89.925
12650.000000	89.313
12800.000000	88.038
13150.000000	80.498
13200.000000	80.473
13400.000000	81.392
13600.000000	80.704
13800.000000	78.903
14000.000000	77.309
14300.000000	78.034
14500.000000	79.089
14750.000000	79.960
15000.000000	81.061
15250.000000	82.789
15500.000000	83.715
15750.000000	82.724
16000.000000	80.885
16250.000000	80.919
16500.000000	82.805
16750.000000	83.689
17000.000000	83.025
17250.000000	82.836
17500.000000	83.963
17750.000000	84.620
18000.000000	82.830
18250.000000	79.472
18500.000000	76.027
18750.000000	73.104
19000.000000	70.967
19250.000000	72.140
19500.000000	75.480
19750.000000	77.490
