* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 915, L 916, L 918, L 919
* Dated: 6/08/2025 01:27:34 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 915, L 916, L 918, L 919
* Measurement: L AVG 110
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	79.463
20.299999	79.587
20.600000	79.745
20.900000	79.925
21.200001	80.104
21.400000	80.211
21.799999	80.392
22.000000	80.470
22.400000	80.619
22.700001	80.745
23.000000	80.894
23.299999	81.058
23.600000	81.227
24.000000	81.438
24.299999	81.578
24.700001	81.743
25.000000	81.863
25.400000	82.031
25.799999	82.209
26.200001	82.383
26.500000	82.501
26.900000	82.639
27.200001	82.738
27.600000	82.879
28.000000	83.043
28.500000	83.265
29.000000	83.467
29.500000	83.637
30.000000	83.807
30.400000	83.962
30.700001	84.087
31.100000	84.247
31.500000	84.387
32.000000	84.534
32.500000	84.683
33.000000	84.856
33.500000	85.039
34.000000	85.211
34.500000	85.379
35.000000	85.554
35.500000	85.728
36.000000	85.883
36.500000	86.025
37.000000	86.183
37.500000	86.367
38.200001	86.615
38.700001	86.757
39.500000	86.982
40.000000	87.145
40.599998	87.332
41.200001	87.499
41.799999	87.672
42.500000	87.880
43.099998	88.026
43.700001	88.161
44.400002	88.355
45.000000	88.520
45.500000	88.631
46.200001	88.790
46.799999	88.972
47.500000	89.168
48.200001	89.291
48.700001	89.375
49.400002	89.532
50.000000	89.674
50.799999	89.861
51.500000	90.030
52.200001	90.163
53.000000	90.298
53.799999	90.459
54.500000	90.555
55.200001	90.643
56.000000	90.791
57.000000	90.921
58.000000	91.219
59.000000	91.392
60.000000	91.189
60.799999	91.388
61.500000	91.663
62.200001	91.734
63.000000	91.763
64.000000	91.938
65.000000	92.021
66.000000	92.122
67.000000	92.214
68.000000	92.248
69.000000	92.340
70.000000	92.415
71.000000	92.462
72.000000	92.494
73.000000	92.502
74.000000	92.478
75.000000	92.390
76.199997	92.229
77.500000	92.057
78.800003	92.084
80.000000	92.144
81.199997	92.226
82.500000	92.204
83.800003	92.085
85.000000	91.894
86.199997	91.803
87.500000	91.792
88.500000	91.831
90.000000	91.887
91.199997	91.943
92.500000	91.959
93.800003	91.937
95.000000	91.941
96.199997	91.916
97.500000	91.889
98.800003	91.861
100.000000	91.851
101.500000	91.819
103.000000	91.830
104.400002	91.800
106.000000	91.816
107.500000	91.817
109.000000	91.830
110.599998	91.831
112.000000	91.863
113.800003	91.877
115.000000	91.853
117.199997	91.873
118.000000	92.087
120.599998	91.761
122.000000	91.937
124.099998	91.924
125.000000	91.894
126.500000	91.912
128.000000	91.842
131.500000	91.842
132.000000	91.852
134.000000	91.776
136.000000	91.763
138.000000	91.699
140.000000	91.629
143.000000	91.603
145.000000	91.589
147.500000	91.539
150.000000	91.533
152.500000	91.478
155.000000	91.432
157.500000	91.421
160.000000	91.388
162.500000	91.346
165.000000	91.340
167.500000	91.288
170.000000	91.252
172.500000	91.197
175.000000	91.145
177.500000	91.147
180.000000	91.102
182.500000	91.059
185.000000	91.018
187.500000	90.968
190.000000	90.921
192.500000	90.909
195.000000	90.901
197.500000	90.893
200.000000	90.880
203.000000	90.881
206.000000	90.902
209.000000	90.895
212.000000	90.871
214.000000	90.838
218.000000	90.774
220.000000	90.763
224.000000	90.666
227.000000	90.666
230.000000	90.633
233.000000	90.560
236.000000	90.644
240.000000	90.614
243.000000	90.599
247.000000	90.588
250.000000	90.638
254.000000	90.797
258.000000	91.066
262.000000	91.261
265.000000	91.401
269.000000	91.642
272.000000	91.764
276.000000	91.880
280.000000	91.958
285.000000	91.971
290.000000	92.010
295.000000	92.001
300.000000	91.953
304.000000	91.897
307.000000	91.874
311.000000	91.833
315.000000	91.822
320.000000	91.832
325.000000	91.814
330.000000	91.808
335.000000	91.802
340.000000	91.799
345.000000	91.818
350.000000	91.849
355.000000	91.897
360.000000	91.891
365.000000	91.884
370.000000	91.908
375.000000	91.917
382.000000	91.957
387.000000	91.967
395.000000	91.996
400.000000	91.970
406.000000	91.975
412.000000	91.989
418.000000	91.963
425.000000	91.993
431.000000	92.014
437.000000	92.036
444.000000	92.042
450.000000	92.052
455.000000	92.030
462.000000	92.030
468.000000	92.033
475.000000	92.039
482.000000	92.025
487.000000	92.076
494.000000	92.108
500.000000	92.108
508.000000	92.117
515.000000	92.156
522.000000	92.177
530.000000	92.217
538.000000	92.272
545.000000	92.282
552.000000	92.310
560.000000	92.321
570.000000	92.396
580.000000	92.431
590.000000	92.502
600.000000	92.543
608.000000	92.594
615.000000	92.656
622.000000	92.691
630.000000	92.737
640.000000	92.811
650.000000	92.862
660.000000	92.949
670.000000	93.013
680.000000	93.107
690.000000	93.066
700.000000	93.087
710.000000	93.086
720.000000	93.062
730.000000	93.085
740.000000	93.088
750.000000	93.142
762.000000	93.168
775.000000	93.225
788.000000	93.350
800.000000	93.469
812.000000	93.551
825.000000	93.633
838.000000	93.713
850.000000	93.858
862.000000	94.020
875.000000	94.228
885.000000	94.282
900.000000	94.416
912.000000	94.582
925.000000	94.682
938.000000	94.707
950.000000	94.715
962.000000	94.776
975.000000	94.995
