* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 894, R 895, R 896, R 897
* Dated: 6/08/2025 01:05:16 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 894, R 895, R 896, R 897
* Measurement: R C1 AVG 100 T
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	83.839
20.299999	84.016
20.600000	84.198
20.900000	84.373
21.200001	84.534
21.400000	84.633
21.799999	84.812
22.000000	84.896
22.400000	85.065
22.700001	85.199
23.000000	85.344
23.299999	85.497
23.600000	85.653
24.000000	85.852
24.299999	85.989
24.700001	86.153
25.000000	86.268
25.400000	86.424
25.799999	86.594
26.200001	86.776
26.500000	86.912
26.900000	87.082
27.200001	87.196
27.600000	87.337
28.000000	87.480
28.500000	87.681
29.000000	87.897
29.500000	88.103
30.000000	88.284
30.400000	88.421
30.700001	88.527
31.100000	88.678
31.500000	88.835
32.000000	89.028
32.500000	89.202
33.000000	89.361
33.500000	89.515
34.000000	89.673
34.500000	89.836
35.000000	90.003
35.500000	90.170
36.000000	90.331
36.500000	90.484
37.000000	90.628
37.500000	90.773
38.200001	90.990
38.700001	91.155
39.500000	91.409
40.000000	91.554
40.599998	91.723
41.200001	91.898
41.799999	92.069
42.500000	92.252
43.099998	92.406
43.700001	92.568
44.400002	92.756
45.000000	92.906
45.500000	93.021
46.200001	93.174
46.799999	93.299
47.500000	93.455
48.200001	93.631
48.700001	93.754
49.400002	93.903
50.000000	94.022
50.799999	94.191
51.500000	94.336
52.200001	94.462
53.000000	94.605
53.799999	94.753
54.500000	94.865
55.200001	94.964
56.000000	95.086
57.000000	95.236
58.000000	95.357
59.000000	95.477
60.000000	95.602
60.799999	95.717
61.500000	95.826
62.200001	95.920
63.000000	96.000
64.000000	96.101
65.000000	96.203
66.000000	96.257
67.000000	96.290
68.000000	96.315
69.000000	96.291
70.000000	96.260
71.000000	96.234
72.000000	96.181
73.000000	96.152
74.000000	96.117
75.000000	96.095
76.199997	96.121
77.500000	96.166
78.800003	96.224
80.000000	96.241
81.199997	96.265
82.500000	96.275
83.800003	96.258
85.000000	96.219
86.199997	96.212
87.500000	96.195
88.500000	96.188
90.000000	96.216
91.199997	96.227
92.500000	96.219
93.800003	96.207
95.000000	96.187
96.199997	96.159
97.500000	96.125
98.800003	96.087
100.000000	96.050
101.500000	96.018
103.000000	95.974
104.400002	95.939
106.000000	95.892
107.500000	95.848
109.000000	95.812
110.599998	95.775
112.000000	95.735
113.800003	95.691
115.000000	95.642
117.199997	95.584
118.000000	95.566
