* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 3, L 875, L 876, L 877
* Dated: 1/08/2025 04:51:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 3, L 875, L 876, L 877
* Measurement: L AVG 100 3
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	76.463
20.299999	76.369
20.600000	76.784
20.900000	77.558
21.200001	78.355
21.400000	78.780
21.799999	79.319
22.000000	79.428
22.400000	79.398
22.700001	79.270
23.000000	79.179
23.299999	79.192
23.600000	79.310
24.000000	79.564
24.299999	79.764
24.700001	80.009
25.000000	80.184
25.400000	80.427
25.799999	80.662
26.200001	80.848
26.500000	80.944
26.900000	81.041
27.200001	81.129
27.600000	81.294
28.000000	81.477
28.500000	81.597
29.000000	81.542
29.500000	81.513
30.000000	81.826
30.400000	82.311
30.700001	82.696
31.100000	83.090
31.500000	83.290
32.000000	83.337
32.500000	83.347
33.000000	83.434
33.500000	83.528
34.000000	83.552
34.500000	83.570
35.000000	83.697
35.500000	83.925
36.000000	84.147
36.500000	84.326
37.000000	84.525
37.500000	84.780
38.200001	85.068
38.700001	85.088
39.500000	84.895
40.000000	84.893
40.599998	85.182
41.200001	85.615
41.799999	85.929
42.500000	86.053
43.099998	86.098
43.700001	86.243
44.400002	86.542
45.000000	86.773
45.500000	86.872
46.200001	86.930
46.799999	87.068
47.500000	87.382
48.200001	87.641
48.700001	87.714
49.400002	87.764
50.000000	87.875
50.799999	88.082
51.500000	88.235
52.200001	88.396
53.000000	88.590
53.799999	88.702
54.500000	88.767
55.200001	88.903
56.000000	89.172
57.000000	89.452
58.000000	89.629
59.000000	89.982
60.000000	90.039
60.799999	90.011
61.500000	90.150
62.200001	90.230
63.000000	90.332
64.000000	90.763
65.000000	90.693
66.000000	90.577
67.000000	90.747
68.000000	90.597
69.000000	90.607
70.000000	90.662
71.000000	90.859
72.000000	91.101
73.000000	91.355
74.000000	91.625
75.000000	91.736
76.199997	91.902
77.500000	91.882
78.800003	91.845
80.000000	91.871
81.199997	91.958
82.500000	92.116
83.800003	92.191
85.000000	92.389
86.199997	92.447
87.500000	92.432
88.500000	92.503
90.000000	92.623
91.199997	92.568
92.500000	92.580
93.800003	92.608
95.000000	92.547
96.199997	92.594
97.500000	92.553
98.800003	92.535
100.000000	92.507
101.500000	92.472
103.000000	92.444
104.400002	92.357
106.000000	92.361
107.500000	92.298
109.000000	92.295
110.599998	92.246
112.000000	92.212
113.800003	92.132
115.000000	92.111
117.199997	91.970
118.000000	91.957
120.599998	91.874
122.000000	91.721
124.099998	91.600
125.000000	91.531
126.500000	91.502
128.000000	91.447
131.500000	91.236
132.000000	91.210
134.000000	91.078
136.000000	91.025
138.000000	90.961
140.000000	90.760
143.000000	90.676
145.000000	90.591
147.500000	90.471
150.000000	90.336
152.500000	90.209
155.000000	90.111
157.500000	90.060
160.000000	89.939
162.500000	89.811
165.000000	89.752
167.500000	89.607
170.000000	89.451
172.500000	89.425
175.000000	89.370
177.500000	89.185
180.000000	89.146
182.500000	89.063
185.000000	88.921
187.500000	88.945
190.000000	88.757
192.500000	88.700
195.000000	88.668
197.500000	88.553
200.000000	88.472
203.000000	88.399
206.000000	88.329
209.000000	88.284
212.000000	88.178
214.000000	88.138
218.000000	88.052
220.000000	87.973
224.000000	87.868
227.000000	87.889
230.000000	87.899
233.000000	87.798
236.000000	87.850
240.000000	87.831
243.000000	87.793
247.000000	87.752
250.000000	87.731
254.000000	87.702
258.000000	87.711
262.000000	87.632
265.000000	87.672
269.000000	87.614
272.000000	87.657
276.000000	87.673
280.000000	87.670
285.000000	87.642
290.000000	87.718
295.000000	87.677
300.000000	87.607
304.000000	87.574
307.000000	87.512
311.000000	87.415
315.000000	87.312
320.000000	87.224
325.000000	87.176
330.000000	87.152
335.000000	86.995
340.000000	87.002
345.000000	86.888
350.000000	86.771
355.000000	86.746
360.000000	86.770
365.000000	86.685
370.000000	86.699
375.000000	86.631
382.000000	86.543
387.000000	86.488
395.000000	86.445
400.000000	86.392
406.000000	86.317
412.000000	86.298
418.000000	86.245
425.000000	86.222
431.000000	86.190
437.000000	86.173
444.000000	86.162
450.000000	86.126
455.000000	86.074
462.000000	85.972
468.000000	86.124
475.000000	86.067
482.000000	85.979
487.000000	85.984
494.000000	85.889
500.000000	86.004
508.000000	85.933
515.000000	85.892
522.000000	85.755
530.000000	85.844
538.000000	85.826
545.000000	85.761
552.000000	85.833
560.000000	85.666
570.000000	85.695
580.000000	85.677
590.000000	85.568
600.000000	85.593
608.000000	85.669
615.000000	85.567
622.000000	85.700
630.000000	85.533
640.000000	85.542
650.000000	85.696
660.000000	85.726
670.000000	85.746
680.000000	85.809
690.000000	85.855
700.000000	85.803
710.000000	85.937
720.000000	85.925
730.000000	86.074
740.000000	86.100
750.000000	86.197
762.000000	86.255
775.000000	86.250
788.000000	86.263
800.000000	86.333
812.000000	86.214
825.000000	86.334
838.000000	86.355
850.000000	86.384
862.000000	86.486
875.000000	86.536
885.000000	86.540
900.000000	86.626
912.000000	86.696
925.000000	86.675
938.000000	86.747
950.000000	86.779
962.000000	86.990
975.000000	87.059
988.000000	86.979
1000.000000	87.094
1015.000000	87.166
1030.000000	87.111
1044.000000	87.241
1060.000000	87.440
1075.000000	87.509
1090.000000	87.665
1106.000000	87.719
1120.000000	87.719
1138.000000	87.878
1150.000000	87.839
1172.000000	87.963
1180.000000	88.057
1206.000000	87.971
1220.000000	88.022
1241.000000	88.209
1250.000000	88.054
1265.000000	88.111
1280.000000	88.232
1315.000000	88.542
1320.000000	88.578
1340.000000	88.653
1360.000000	88.587
1380.000000	88.642
1400.000000	88.730
1430.000000	88.971
1450.000000	88.693
1475.000000	88.898
1500.000000	88.897
1525.000000	88.595
1550.000000	88.778
1575.000000	89.183
1600.000000	89.164
1625.000000	89.158
1650.000000	89.429
1675.000000	89.660
1700.000000	89.420
1725.000000	89.839
1750.000000	89.873
1775.000000	90.003
1800.000000	90.230
1825.000000	90.872
1850.000000	90.450
1875.000000	90.718
1900.000000	90.344
1925.000000	90.863
1950.000000	90.667
1975.000000	90.927
2000.000000	91.330
2030.000000	91.585
2060.000000	92.286
2090.000000	91.222
2120.000000	91.880
2140.000000	92.660
2180.000000	92.119
2200.000000	92.646
2240.000000	93.352
2270.000000	93.497
2300.000000	93.996
2330.000000	94.410
2360.000000	94.926
2400.000000	95.113
2430.000000	95.602
2470.000000	96.127
2500.000000	96.526
2540.000000	96.875
2580.000000	97.118
2620.000000	97.489
2650.000000	97.289
2690.000000	97.613
2720.000000	97.775
2760.000000	97.384
2800.000000	97.515
2850.000000	97.413
2900.000000	97.161
2950.000000	97.084
3000.000000	96.808
3040.000000	96.555
3070.000000	96.387
3110.000000	95.973
3150.000000	95.429
3200.000000	94.799
3250.000000	94.155
3300.000000	93.668
3350.000000	93.276
3400.000000	93.099
3450.000000	92.906
3500.000000	92.992
3550.000000	93.028
3600.000000	93.092
3650.000000	93.260
3700.000000	93.189
3750.000000	93.182
3820.000000	92.948
3870.000000	92.774
3950.000000	92.456
4000.000000	92.183
4060.000000	92.027
4120.000000	91.775
4180.000000	91.672
4250.000000	91.386
4310.000000	91.217
4370.000000	91.085
4440.000000	90.977
4500.000000	90.762
4550.000000	90.561
4620.000000	90.299
4680.000000	90.118
4750.000000	90.043
4820.000000	89.884
4870.000000	89.826
4940.000000	89.843
5000.000000	90.212
5080.000000	90.418
5150.000000	90.936
5220.000000	91.631
5300.000000	92.558
5380.000000	93.443
5450.000000	94.375
5520.000000	95.274
5600.000000	96.240
5700.000000	96.634
5800.000000	96.361
5900.000000	95.286
6000.000000	94.051
6080.000000	92.999
6150.000000	92.276
6220.000000	91.505
6300.000000	90.913
6400.000000	90.584
6500.000000	90.313
6600.000000	90.542
6700.000000	90.976
6800.000000	91.445
6900.000000	91.974
7000.000000	92.517
7100.000000	92.956
7200.000000	93.175
7300.000000	93.281
7400.000000	93.165
7500.000000	93.028
7620.000000	92.856
7750.000000	92.650
7880.000000	92.590
8000.000000	92.548
8120.000000	92.640
8250.000000	92.659
8380.000000	92.610
8500.000000	92.376
8620.000000	91.698
8750.000000	90.663
8850.000000	89.608
9000.000000	87.802
9120.000000	86.478
9250.000000	85.270
9380.000000	84.857
9500.000000	84.998
9620.000000	85.583
9750.000000	86.031
9880.000000	85.650
10000.000000	84.560
