* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 256, L 257, L 258, L 259, L 260, L 261, RMS Average 1
* Dated: 3/08/2024 03:50:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 256, L 257, L 258, L 259, L 260, L 261, RMS Average 1
* Measurement: L AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	68.920
20.299999	69.254
20.600000	69.532
20.900000	69.753
21.200001	69.930
21.400000	70.032
21.799999	70.215
22.000000	70.298
22.400000	70.443
22.700001	70.531
23.000000	70.611
23.299999	70.701
23.600000	70.827
24.000000	71.082
24.299999	71.328
24.700001	71.677
25.000000	71.910
25.400000	72.151
25.799999	72.336
26.200001	72.537
26.500000	72.737
26.900000	73.067
27.200001	73.327
27.600000	73.627
28.000000	73.837
28.500000	74.028
29.000000	74.306
29.500000	74.751
30.000000	75.237
30.400000	75.535
30.700001	75.677
31.100000	75.772
31.500000	75.823
32.000000	75.941
32.500000	76.170
33.000000	76.461
33.500000	76.738
34.000000	76.969
34.500000	77.164
35.000000	77.360
35.500000	77.581
36.000000	77.824
36.500000	78.065
37.000000	78.293
37.500000	78.516
38.200001	78.830
38.700001	79.036
39.500000	79.308
40.000000	79.481
40.599998	79.733
41.200001	80.005
41.799999	80.246
42.500000	80.495
43.099998	80.716
43.700001	80.949
44.400002	81.204
45.000000	81.399
45.500000	81.556
46.200001	81.782
46.799999	81.976
47.500000	82.189
48.200001	82.411
48.700001	82.586
49.400002	82.828
50.000000	83.005
50.799999	83.218
51.500000	83.429
52.200001	83.643
53.000000	83.851
53.799999	84.054
54.500000	84.250
55.200001	84.432
56.000000	84.619
57.000000	84.873
58.000000	85.111
59.000000	85.333
60.000000	85.565
60.799999	85.727
61.500000	85.867
62.200001	86.020
63.000000	86.199
64.000000	86.418
65.000000	86.624
66.000000	86.808
67.000000	86.990
68.000000	87.173
69.000000	87.346
70.000000	87.515
71.000000	87.674
72.000000	87.841
73.000000	87.982
74.000000	88.117
75.000000	88.285
76.199997	88.418
77.500000	88.602
78.800003	88.778
80.000000	88.934
81.199997	89.109
82.500000	89.267
83.800003	89.442
85.000000	89.596
86.199997	89.718
87.500000	89.890
88.500000	90.011
90.000000	90.172
91.199997	90.307
92.500000	90.461
93.800003	90.586
95.000000	90.702
96.199997	90.817
97.500000	90.951
98.800003	91.058
100.000000	91.158
101.500000	91.295
103.000000	91.413
104.400002	91.510
106.000000	91.635
107.500000	91.736
109.000000	91.844
110.599998	91.939
112.000000	92.017
113.800003	92.139
115.000000	92.209
117.199997	92.331
118.000000	92.384
120.599998	92.511
122.000000	92.573
124.099998	92.673
125.000000	92.709
126.500000	92.767
128.000000	92.807
131.500000	92.937
132.000000	92.958
