* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 546, R 547, R 548, R 549, R 550
* Dated: 22-ago-2024 0:45:24
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 546, R 547, R 548, R 549, R 550
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	79.305
20.299999	79.394
20.600000	79.469
20.900000	79.528
21.200001	79.576
21.400000	79.608
21.799999	79.687
22.000000	79.737
22.400000	79.858
22.700001	79.955
23.000000	80.045
23.299999	80.120
23.600000	80.178
24.000000	80.242
24.299999	80.294
24.700001	80.382
25.000000	80.458
25.400000	80.554
25.799999	80.620
26.200001	80.653
26.500000	80.669
26.900000	80.703
27.200001	80.746
27.600000	80.817
28.000000	80.880
28.500000	80.930
29.000000	80.987
29.500000	81.096
30.000000	81.224
30.400000	81.277
30.700001	81.268
31.100000	81.209
31.500000	81.160
32.000000	81.221
32.500000	81.418
33.000000	81.619
33.500000	81.713
34.000000	81.713
34.500000	81.704
35.000000	81.736
35.500000	81.787
36.000000	81.820
36.500000	81.844
37.000000	81.885
37.500000	81.937
38.200001	81.976
38.700001	81.979
39.500000	82.034
40.000000	82.107
40.599998	82.179
41.200001	82.207
41.799999	82.237
42.500000	82.323
43.099998	82.398
43.700001	82.419
44.400002	82.419
45.000000	82.472
45.500000	82.545
46.200001	82.616
46.799999	82.631
47.500000	82.657
48.200001	82.720
48.700001	82.763
49.400002	82.801
50.000000	82.820
50.799999	82.834
51.500000	82.863
52.200001	82.933
53.000000	82.996
53.799999	82.997
54.500000	83.008
55.200001	83.048
56.000000	83.090
57.000000	83.135
58.000000	83.153
59.000000	83.192
60.000000	83.203
60.799999	83.194
61.500000	83.250
62.200001	83.335
63.000000	83.395
64.000000	83.425
65.000000	83.467
66.000000	83.506
67.000000	83.533
68.000000	83.572
69.000000	83.590
70.000000	83.614
71.000000	83.597
72.000000	83.552
73.000000	83.534
74.000000	83.554
75.000000	83.627
76.199997	83.677
77.500000	83.611
78.800003	83.466
80.000000	83.270
81.199997	83.143
82.500000	83.181
83.800003	83.290
85.000000	83.448
86.199997	83.553
87.500000	83.654
88.500000	83.799
90.000000	83.864
91.199997	83.934
92.500000	84.076
93.800003	84.108
95.000000	84.171
96.199997	84.250
97.500000	84.296
98.800003	84.343
100.000000	84.371
101.500000	84.429
103.000000	84.520
104.400002	84.596
106.000000	84.620
107.500000	84.650
109.000000	84.681
110.599998	84.715
112.000000	84.757
113.800003	84.841
115.000000	84.879
117.199997	84.961
118.000000	85.012
120.599998	85.081
122.000000	85.081
124.099998	85.156
125.000000	85.164
126.500000	85.210
128.000000	85.285
131.500000	85.337
132.000000	85.330
134.000000	85.401
136.000000	85.436
138.000000	85.448
140.000000	85.480
143.000000	85.530
145.000000	85.561
147.500000	85.531
150.000000	85.493
152.500000	85.488
155.000000	85.538
157.500000	85.599
160.000000	85.593
162.500000	85.596
165.000000	85.618
167.500000	85.642
170.000000	85.736
172.500000	85.742
175.000000	85.745
177.500000	85.900
180.000000	85.905
182.500000	85.958
185.000000	85.952
187.500000	85.988
190.000000	86.055
192.500000	86.056
195.000000	86.110
197.500000	86.121
200.000000	86.143
203.000000	86.195
206.000000	86.218
209.000000	86.281
212.000000	86.336
214.000000	86.349
218.000000	86.410
220.000000	86.480
224.000000	86.480
227.000000	86.498
230.000000	86.539
233.000000	86.603
236.000000	86.650
240.000000	86.668
243.000000	86.744
247.000000	86.796
250.000000	86.830
254.000000	86.903
258.000000	86.934
262.000000	87.008
265.000000	87.064
269.000000	87.131
272.000000	87.171
276.000000	87.250
280.000000	87.325
285.000000	87.396
290.000000	87.502
295.000000	87.536
300.000000	87.618
304.000000	87.621
307.000000	87.670
311.000000	87.724
315.000000	87.727
320.000000	87.782
325.000000	87.779
330.000000	87.833
335.000000	87.828
340.000000	87.921
345.000000	87.960
350.000000	87.982
355.000000	88.037
360.000000	88.053
365.000000	88.108
370.000000	88.164
375.000000	88.209
382.000000	88.306
387.000000	88.382
395.000000	88.477
400.000000	88.507
406.000000	88.584
412.000000	88.623
418.000000	88.672
425.000000	88.718
431.000000	88.811
437.000000	88.833
444.000000	88.922
450.000000	88.967
455.000000	88.988
462.000000	89.070
468.000000	89.128
475.000000	89.205
482.000000	89.272
487.000000	89.320
494.000000	89.361
500.000000	89.426
508.000000	89.485
515.000000	89.561
522.000000	89.632
530.000000	89.731
538.000000	89.845
545.000000	89.946
552.000000	90.023
560.000000	90.097
570.000000	90.193
580.000000	90.335
590.000000	90.411
600.000000	90.504
608.000000	90.602
615.000000	90.656
622.000000	90.724
630.000000	90.789
640.000000	90.903
650.000000	91.011
660.000000	91.115
670.000000	91.189
680.000000	91.292
690.000000	91.362
700.000000	91.460
710.000000	91.527
720.000000	91.657
730.000000	91.796
740.000000	91.906
750.000000	91.859
762.000000	91.735
775.000000	91.953
788.000000	92.216
800.000000	92.347
812.000000	92.514
825.000000	92.607
838.000000	92.782
850.000000	92.884
862.000000	92.847
875.000000	92.786
885.000000	92.694
900.000000	92.798
912.000000	92.980
925.000000	93.263
938.000000	93.512
950.000000	93.735
962.000000	93.923
975.000000	94.014
988.000000	93.921
1000.000000	93.586
1015.000000	93.652
1030.000000	94.214
1044.000000	94.575
1060.000000	94.818
1075.000000	95.021
1090.000000	95.200
1106.000000	95.304
1120.000000	95.487
1138.000000	95.677
1150.000000	95.804
1172.000000	96.105
1180.000000	96.131
1206.000000	96.415
1220.000000	96.657
1241.000000	96.773
1250.000000	96.794
1265.000000	97.093
1280.000000	97.309
1315.000000	97.771
1320.000000	97.746
1340.000000	97.909
1360.000000	97.890
