* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 615, R 616, R 617, R 618, R 619
* Dated: 28/08/2024 02:39:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 615, R 616, R 617, R 618, R 619
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	86.029
20.299999	86.205
20.600000	86.373
20.900000	86.526
21.200001	86.661
21.400000	86.744
21.799999	86.903
22.000000	86.985
22.400000	87.160
22.700001	87.301
23.000000	87.445
23.299999	87.585
23.600000	87.715
24.000000	87.871
24.299999	87.980
24.700001	88.124
25.000000	88.238
25.400000	88.396
25.799999	88.559
26.200001	88.718
26.500000	88.833
26.900000	88.984
27.200001	89.096
27.600000	89.244
28.000000	89.392
28.500000	89.574
29.000000	89.754
29.500000	89.933
30.000000	90.109
30.400000	90.247
30.700001	90.348
31.100000	90.480
31.500000	90.610
32.000000	90.776
32.500000	90.946
33.000000	91.118
33.500000	91.284
34.000000	91.443
34.500000	91.598
35.000000	91.756
35.500000	91.917
36.000000	92.076
36.500000	92.227
37.000000	92.372
37.500000	92.517
38.200001	92.722
38.700001	92.866
39.500000	93.085
40.000000	93.221
40.599998	93.388
41.200001	93.555
41.799999	93.714
42.500000	93.887
43.099998	94.033
43.700001	94.181
44.400002	94.350
45.000000	94.492
45.500000	94.615
46.200001	94.791
46.799999	94.931
47.500000	95.072
48.200001	95.206
48.700001	95.311
49.400002	95.467
50.000000	95.597
50.799999	95.765
51.500000	95.901
52.200001	96.027
53.000000	96.171
53.799999	96.313
54.500000	96.421
55.200001	96.526
56.000000	96.654
57.000000	96.796
58.000000	96.920
59.000000	97.052
60.000000	97.172
60.799999	97.258
61.500000	97.318
62.200001	97.378
63.000000	97.465
64.000000	97.587
65.000000	97.707
66.000000	97.824
67.000000	97.931
68.000000	98.041
69.000000	98.102
