* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 534, L 535, L 536, L 537, L 538, L 539, L 540
* Dated: 21/08/2024 03:15:49 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 534, L 535, L 536, L 537, L 538, L 539, L 540
* Measurement: L AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	71.140
20.299999	71.112
20.600000	70.981
20.900000	70.843
21.200001	70.818
21.400000	70.914
21.799999	71.326
22.000000	71.583
22.400000	72.056
22.700001	72.285
23.000000	72.397
23.299999	72.431
23.600000	72.451
24.000000	72.552
24.299999	72.702
24.700001	72.944
25.000000	73.103
25.400000	73.244
25.799999	73.328
26.200001	73.424
26.500000	73.538
26.900000	73.740
27.200001	73.901
27.600000	74.079
28.000000	74.187
28.500000	74.247
29.000000	74.324
29.500000	74.508
30.000000	74.780
30.400000	74.999
30.700001	75.133
31.100000	75.266
31.500000	75.368
32.000000	75.508
32.500000	75.683
33.000000	75.859
33.500000	76.005
34.000000	76.135
34.500000	76.278
35.000000	76.435
35.500000	76.586
36.000000	76.729
36.500000	76.875
37.000000	77.020
37.500000	77.152
38.200001	77.331
38.700001	77.484
39.500000	77.721
40.000000	77.819
40.599998	77.921
41.200001	78.063
41.799999	78.216
42.500000	78.354
43.099998	78.473
43.700001	78.612
44.400002	78.730
45.000000	78.812
45.500000	78.924
46.200001	79.125
46.799999	79.239
47.500000	79.311
48.200001	79.452
48.700001	79.596
49.400002	79.781
50.000000	79.925
50.799999	80.131
51.500000	80.292
52.200001	80.437
53.000000	80.630
53.799999	80.804
54.500000	80.934
55.200001	81.084
56.000000	81.251
57.000000	81.411
58.000000	81.568
59.000000	81.748
60.000000	82.034
60.799999	82.221
61.500000	82.330
62.200001	82.471
63.000000	82.662
64.000000	82.870
65.000000	83.054
66.000000	83.183
67.000000	83.320
68.000000	83.460
69.000000	83.639
70.000000	83.852
71.000000	84.037
72.000000	84.245
73.000000	84.445
74.000000	84.603
75.000000	84.761
76.199997	84.929
77.500000	85.129
78.800003	85.321
80.000000	85.514
81.199997	85.687
82.500000	85.918
83.800003	86.076
85.000000	86.260
86.199997	86.419
87.500000	86.591
88.500000	86.732
90.000000	86.918
91.199997	87.085
92.500000	87.270
93.800003	87.435
95.000000	87.579
96.199997	87.718
97.500000	87.892
98.800003	88.016
100.000000	88.172
101.500000	88.341
103.000000	88.484
104.400002	88.664
106.000000	88.787
107.500000	88.937
109.000000	89.093
110.599998	89.256
112.000000	89.388
113.800003	89.520
115.000000	89.635
117.199997	89.831
118.000000	89.889
120.599998	90.105
122.000000	90.211
124.099998	90.367
125.000000	90.434
126.500000	90.524
128.000000	90.637
131.500000	90.856
132.000000	90.874
134.000000	91.011
136.000000	91.112
138.000000	91.200
140.000000	91.282
143.000000	91.405
145.000000	91.480
147.500000	91.568
150.000000	91.625
152.500000	91.668
155.000000	91.730
157.500000	91.783
160.000000	91.836
162.500000	91.852
165.000000	91.882
167.500000	91.940
170.000000	91.966
172.500000	92.002
175.000000	92.045
177.500000	92.073
180.000000	92.099
182.500000	92.116
185.000000	92.140
187.500000	92.164
190.000000	92.181
192.500000	92.191
195.000000	92.202
197.500000	92.206
200.000000	92.205
203.000000	92.204
206.000000	92.198
209.000000	92.194
212.000000	92.209
214.000000	92.213
218.000000	92.262
220.000000	92.290
224.000000	92.321
227.000000	92.334
230.000000	92.346
233.000000	92.356
236.000000	92.345
240.000000	92.340
243.000000	92.342
247.000000	92.367
250.000000	92.387
254.000000	92.392
258.000000	92.404
262.000000	92.409
265.000000	92.423
269.000000	92.453
272.000000	92.484
276.000000	92.512
280.000000	92.542
285.000000	92.569
290.000000	92.560
295.000000	92.595
300.000000	92.615
304.000000	92.605
307.000000	92.620
311.000000	92.644
315.000000	92.649
320.000000	92.665
325.000000	92.675
330.000000	92.664
335.000000	92.669
340.000000	92.664
345.000000	92.689
350.000000	92.694
355.000000	92.697
360.000000	92.712
365.000000	92.726
370.000000	92.747
375.000000	92.780
382.000000	92.798
387.000000	92.812
395.000000	92.840
400.000000	92.828
406.000000	92.835
412.000000	92.808
418.000000	92.860
425.000000	92.871
431.000000	92.930
437.000000	92.923
444.000000	92.961
450.000000	92.942
455.000000	92.972
462.000000	93.022
468.000000	93.001
475.000000	93.022
482.000000	93.060
487.000000	93.086
494.000000	93.119
500.000000	93.164
508.000000	93.212
515.000000	93.245
522.000000	93.255
530.000000	93.315
538.000000	93.372
545.000000	93.389
552.000000	93.377
560.000000	93.399
570.000000	93.465
580.000000	93.515
590.000000	93.567
600.000000	93.654
608.000000	93.678
615.000000	93.709
622.000000	93.765
630.000000	93.824
640.000000	93.919
650.000000	94.029
660.000000	94.091
670.000000	94.221
680.000000	94.246
690.000000	94.315
700.000000	94.429
710.000000	94.453
720.000000	94.472
730.000000	94.605
740.000000	94.684
750.000000	94.772
762.000000	94.805
775.000000	94.929
788.000000	95.107
800.000000	95.137
812.000000	95.108
825.000000	95.255
838.000000	95.375
850.000000	95.573
862.000000	95.751
875.000000	95.881
885.000000	95.824
900.000000	95.830
912.000000	95.842
925.000000	96.101
938.000000	96.025
950.000000	96.253
962.000000	96.415
975.000000	96.472
988.000000	96.302
1000.000000	96.413
1015.000000	96.532
1030.000000	96.724
1044.000000	96.873
1060.000000	96.963
1075.000000	96.948
1090.000000	96.951
1106.000000	97.100
1120.000000	97.263
1138.000000	97.320
1150.000000	97.486
1172.000000	97.523
1180.000000	97.656
1206.000000	97.693
1220.000000	98.069
1241.000000	98.000
1250.000000	97.928
1265.000000	98.480
1280.000000	98.660
1315.000000	99.326
1320.000000	99.266
1340.000000	99.195
1360.000000	99.043
1380.000000	99.176
1400.000000	98.778
1430.000000	99.089
1450.000000	98.801
1475.000000	98.660
1500.000000	98.905
1525.000000	98.899
1550.000000	98.712
1575.000000	98.500
1600.000000	98.297
1625.000000	98.195
1650.000000	98.663
1675.000000	98.262
1700.000000	97.770
1725.000000	97.834
1750.000000	98.084
1775.000000	98.054
1800.000000	98.284
1825.000000	98.383
1850.000000	98.165
1875.000000	98.337
1900.000000	98.623
1925.000000	98.408
1950.000000	98.612
1975.000000	98.701
2000.000000	98.772
2030.000000	98.326
2060.000000	98.288
2090.000000	99.138
2120.000000	99.763
2140.000000	99.625
2180.000000	99.891
2200.000000	100.232
2240.000000	100.461
2270.000000	101.077
2300.000000	100.957
2330.000000	101.060
2360.000000	101.209
2400.000000	101.334
2430.000000	101.077
2470.000000	100.763
2500.000000	100.093
2540.000000	98.510
2580.000000	97.731
2620.000000	96.007
2650.000000	94.823
2690.000000	94.009
2720.000000	93.451
2760.000000	91.649
2800.000000	90.471
2850.000000	88.728
2900.000000	88.223
2950.000000	87.347
3000.000000	87.982
3040.000000	88.626
3070.000000	88.516
3110.000000	87.283
3150.000000	87.180
3200.000000	84.141
3250.000000	84.684
3300.000000	84.936
3350.000000	87.650
3400.000000	89.047
3450.000000	89.240
3500.000000	90.474
3550.000000	90.937
3600.000000	92.374
3650.000000	93.044
3700.000000	93.356
3750.000000	93.968
3820.000000	95.090
3870.000000	95.579
3950.000000	97.019
4000.000000	97.200
4060.000000	97.916
4120.000000	97.799
4180.000000	98.083
4250.000000	98.756
4310.000000	98.884
4370.000000	97.830
4440.000000	97.648
4500.000000	96.900
4550.000000	96.626
4620.000000	95.429
4680.000000	94.564
4750.000000	92.899
4820.000000	91.695
4870.000000	91.274
4940.000000	90.628
5000.000000	90.221
5080.000000	89.483
5150.000000	88.847
5220.000000	89.371
5300.000000	89.783
5380.000000	90.156
5450.000000	91.316
5520.000000	92.462
5600.000000	93.795
5700.000000	94.886
5800.000000	95.031
5900.000000	94.159
6000.000000	92.763
6080.000000	91.615
6150.000000	90.601
6220.000000	89.710
6300.000000	89.129
6400.000000	88.619
6500.000000	88.350
6600.000000	88.215
6700.000000	88.168
6800.000000	88.033
6900.000000	87.687
7000.000000	87.530
7100.000000	87.852
7200.000000	88.385
7300.000000	89.161
7400.000000	89.895
7500.000000	90.769
7620.000000	91.380
7750.000000	92.122
7880.000000	92.754
8000.000000	93.014
8120.000000	92.924
8250.000000	92.513
8380.000000	91.548
8500.000000	90.253
8620.000000	88.382
8750.000000	85.785
8850.000000	84.425
9000.000000	83.212
9120.000000	82.568
9250.000000	83.003
9380.000000	83.762
9500.000000	84.223
9620.000000	84.577
9750.000000	84.304
9880.000000	83.410
10000.000000	82.220
10150.000000	80.164
10300.000000	78.476
10440.000000	78.087
10600.000000	78.636
10750.000000	79.850
10900.000000	81.009
11060.000000	82.130
11200.000000	82.436
11380.000000	82.495
11500.000000	82.926
11720.000000	83.343
11800.000000	83.356
12060.000000	83.549
12200.000000	83.970
12410.000000	84.210
12500.000000	84.022
12650.000000	82.792
12800.000000	80.493
13150.000000	72.032
13200.000000	71.082
13400.000000	70.559
13600.000000	69.063
13800.000000	67.559
14000.000000	64.881
14300.000000	65.020
14500.000000	65.721
14750.000000	66.004
15000.000000	65.297
15250.000000	66.222
15500.000000	67.992
15750.000000	69.094
16000.000000	69.658
16250.000000	69.883
16500.000000	70.204
16750.000000	70.610
17000.000000	70.790
17250.000000	71.620
17500.000000	71.851
17750.000000	69.867
18000.000000	68.173
18250.000000	67.449
18500.000000	66.475
18750.000000	67.747
19000.000000	69.967
19250.000000	71.702
19500.000000	72.381
19750.000000	70.913
20000.000000	67.398
