* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 555, L 556, L 557, L 558
* Dated: 22-ago-2024 0:54:48
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 555, L 556, L 557, L 558
* Measurement: L AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	65.651
20.299999	65.865
20.600000	66.031
20.900000	66.172
21.200001	66.327
21.400000	66.455
21.799999	66.771
22.000000	66.945
22.400000	67.284
22.700001	67.498
23.000000	67.677
23.299999	67.845
23.600000	68.033
24.000000	68.354
24.299999	68.642
24.700001	69.042
25.000000	69.319
25.400000	69.631
25.799999	69.879
26.200001	70.078
26.500000	70.199
26.900000	70.336
27.200001	70.437
27.600000	70.613
28.000000	70.864
28.500000	71.243
29.000000	71.552
29.500000	71.705
30.000000	71.805
30.400000	71.974
30.700001	72.179
31.100000	72.513
31.500000	72.821
32.000000	73.092
32.500000	73.294
33.000000	73.552
33.500000	73.870
34.000000	74.134
34.500000	74.287
35.000000	74.414
35.500000	74.623
36.000000	74.907
36.500000	75.162
37.000000	75.330
37.500000	75.440
38.200001	75.608
38.700001	75.757
39.500000	76.004
40.000000	76.166
40.599998	76.364
41.200001	76.536
41.799999	76.691
42.500000	76.914
43.099998	77.154
43.700001	77.400
44.400002	77.662
45.000000	77.864
45.500000	78.008
46.200001	78.184
46.799999	78.348
47.500000	78.586
48.200001	78.829
48.700001	78.979
49.400002	79.172
50.000000	79.344
50.799999	79.581
51.500000	79.777
52.200001	79.958
53.000000	80.142
53.799999	80.318
54.500000	80.489
55.200001	80.664
56.000000	80.850
57.000000	81.076
58.000000	81.282
59.000000	81.514
60.000000	81.785
60.799999	81.936
61.500000	82.062
62.200001	82.240
63.000000	82.442
64.000000	82.605
65.000000	82.792
66.000000	82.983
67.000000	83.110
68.000000	83.273
69.000000	83.478
70.000000	83.617
71.000000	83.752
72.000000	83.934
73.000000	84.069
74.000000	84.234
75.000000	84.384
76.199997	84.526
77.500000	84.702
78.800003	84.878
80.000000	85.049
81.199997	85.208
82.500000	85.385
83.800003	85.519
85.000000	85.705
86.199997	85.823
87.500000	85.987
88.500000	86.097
90.000000	86.226
91.199997	86.363
92.500000	86.516
93.800003	86.631
95.000000	86.736
96.199997	86.861
97.500000	86.982
98.800003	87.105
100.000000	87.200
101.500000	87.348
103.000000	87.476
104.400002	87.594
106.000000	87.677
107.500000	87.821
109.000000	87.929
110.599998	88.073
112.000000	88.142
113.800003	88.280
115.000000	88.325
117.199997	88.500
118.000000	88.557
120.599998	88.678
122.000000	88.783
124.099998	88.903
125.000000	88.962
126.500000	89.014
128.000000	89.094
131.500000	89.277
132.000000	89.289
134.000000	89.374
136.000000	89.473
138.000000	89.551
140.000000	89.612
143.000000	89.710
145.000000	89.753
147.500000	89.869
150.000000	89.981
152.500000	90.054
155.000000	90.135
157.500000	90.238
160.000000	90.303
162.500000	90.379
165.000000	90.411
167.500000	90.469
170.000000	90.607
172.500000	90.598
175.000000	90.638
177.500000	90.624
180.000000	90.706
182.500000	90.758
185.000000	90.783
187.500000	90.844
190.000000	90.871
192.500000	90.896
195.000000	90.949
197.500000	90.970
200.000000	91.016
203.000000	91.087
206.000000	91.115
209.000000	91.188
212.000000	91.243
214.000000	91.263
218.000000	91.322
220.000000	91.364
224.000000	91.388
227.000000	91.439
230.000000	91.472
233.000000	91.512
236.000000	91.522
240.000000	91.546
243.000000	91.542
247.000000	91.502
250.000000	91.436
254.000000	91.252
258.000000	91.187
262.000000	91.251
265.000000	91.371
269.000000	91.557
272.000000	91.644
276.000000	91.739
280.000000	91.842
285.000000	91.914
290.000000	91.998
295.000000	92.133
300.000000	92.269
304.000000	92.275
307.000000	92.288
311.000000	92.256
315.000000	92.273
320.000000	92.285
325.000000	92.321
330.000000	92.358
335.000000	92.344
340.000000	92.373
345.000000	92.394
350.000000	92.421
355.000000	92.435
360.000000	92.441
365.000000	92.469
370.000000	92.476
375.000000	92.492
382.000000	92.509
387.000000	92.524
395.000000	92.531
400.000000	92.544
406.000000	92.546
412.000000	92.545
418.000000	92.575
425.000000	92.599
431.000000	92.593
437.000000	92.609
444.000000	92.612
450.000000	92.622
455.000000	92.653
462.000000	92.656
468.000000	92.649
475.000000	92.695
482.000000	92.723
487.000000	92.754
494.000000	92.763
500.000000	92.796
508.000000	92.819
515.000000	92.858
522.000000	92.870
530.000000	92.889
538.000000	92.953
545.000000	92.989
552.000000	93.011
560.000000	93.063
570.000000	93.147
580.000000	93.184
590.000000	93.241
600.000000	93.323
608.000000	93.369
615.000000	93.426
622.000000	93.474
630.000000	93.553
640.000000	93.608
650.000000	93.719
660.000000	93.800
670.000000	93.903
680.000000	93.935
690.000000	94.052
700.000000	94.160
710.000000	94.208
720.000000	94.346
730.000000	94.462
740.000000	94.545
750.000000	94.655
762.000000	94.748
775.000000	94.878
788.000000	95.013
800.000000	95.056
812.000000	95.178
825.000000	95.244
838.000000	95.388
850.000000	95.514
862.000000	95.615
875.000000	95.653
885.000000	95.634
900.000000	95.736
912.000000	95.805
925.000000	95.907
938.000000	95.997
950.000000	96.038
962.000000	96.130
975.000000	96.130
