* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 551, R 552, R 553, R 554
* Dated: 22-ago-2024 0:54:37
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 551, R 552, R 553, R 554
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	65.265
20.299999	65.474
20.600000	65.594
20.900000	65.639
21.200001	65.652
21.400000	65.676
21.799999	65.848
22.000000	66.015
22.400000	66.482
22.700001	66.874
23.000000	67.233
23.299999	67.512
23.600000	67.698
24.000000	67.831
24.299999	67.894
24.700001	68.016
25.000000	68.172
25.400000	68.469
25.799999	68.806
26.200001	69.107
26.500000	69.285
26.900000	69.467
27.200001	69.589
27.600000	69.785
28.000000	70.050
28.500000	70.458
29.000000	70.849
29.500000	71.145
30.000000	71.353
30.400000	71.509
30.700001	71.649
31.100000	71.882
31.500000	72.149
32.000000	72.468
32.500000	72.708
33.000000	72.879
33.500000	73.057
34.000000	73.306
34.500000	73.600
35.000000	73.848
35.500000	74.004
36.000000	74.125
36.500000	74.299
37.000000	74.532
37.500000	74.748
38.200001	74.947
38.700001	75.075
39.500000	75.377
40.000000	75.574
40.599998	75.768
41.200001	75.954
41.799999	76.161
42.500000	76.393
43.099998	76.592
43.700001	76.816
44.400002	77.060
45.000000	77.221
45.500000	77.353
46.200001	77.569
46.799999	77.745
47.500000	77.921
48.200001	78.140
48.700001	78.331
49.400002	78.578
50.000000	78.754
50.799999	78.995
51.500000	79.221
52.200001	79.419
53.000000	79.613
53.799999	79.825
54.500000	80.012
55.200001	80.167
56.000000	80.327
57.000000	80.567
58.000000	80.795
59.000000	81.014
60.000000	81.251
60.799999	81.433
61.500000	81.594
62.200001	81.751
63.000000	81.913
64.000000	82.126
65.000000	82.345
66.000000	82.521
67.000000	82.706
68.000000	82.902
69.000000	83.084
70.000000	83.264
71.000000	83.441
72.000000	83.571
73.000000	83.682
74.000000	83.864
75.000000	84.023
76.199997	84.221
77.500000	84.434
78.800003	84.619
80.000000	84.753
81.199997	84.925
82.500000	85.080
83.800003	85.290
85.000000	85.446
86.199997	85.566
87.500000	85.711
88.500000	85.851
90.000000	85.986
91.199997	86.099
92.500000	86.298
93.800003	86.425
95.000000	86.524
96.199997	86.658
97.500000	86.759
98.800003	86.869
100.000000	86.980
101.500000	87.134
103.000000	87.266
104.400002	87.396
106.000000	87.493
107.500000	87.611
109.000000	87.737
110.599998	87.864
112.000000	87.966
113.800003	88.101
115.000000	88.172
117.199997	88.332
118.000000	88.369
120.599998	88.527
122.000000	88.626
124.099998	88.737
125.000000	88.794
126.500000	88.846
128.000000	88.949
131.500000	89.128
132.000000	89.154
134.000000	89.217
136.000000	89.332
138.000000	89.407
140.000000	89.499
143.000000	89.604
145.000000	89.683
147.500000	89.769
150.000000	89.860
152.500000	89.931
155.000000	90.005
157.500000	90.079
160.000000	90.145
162.500000	90.193
165.000000	90.217
167.500000	90.312
170.000000	90.347
172.500000	90.412
175.000000	90.501
177.500000	90.511
180.000000	90.558
182.500000	90.626
185.000000	90.670
187.500000	90.704
190.000000	90.762
192.500000	90.819
195.000000	90.847
197.500000	90.899
200.000000	90.936
203.000000	91.001
206.000000	91.071
209.000000	91.123
212.000000	91.171
214.000000	91.200
218.000000	91.251
220.000000	91.292
224.000000	91.358
227.000000	91.423
230.000000	91.454
233.000000	91.483
236.000000	91.522
240.000000	91.579
243.000000	91.609
247.000000	91.655
250.000000	91.692
254.000000	91.718
258.000000	91.733
262.000000	91.751
265.000000	91.751
269.000000	91.738
272.000000	91.722
276.000000	91.711
280.000000	91.738
285.000000	91.796
290.000000	91.875
295.000000	92.022
300.000000	92.157
304.000000	92.202
307.000000	92.240
311.000000	92.260
315.000000	92.258
320.000000	92.255
325.000000	92.274
330.000000	92.216
335.000000	92.256
340.000000	92.366
345.000000	92.387
350.000000	92.430
355.000000	92.457
360.000000	92.476
365.000000	92.488
370.000000	92.532
375.000000	92.580
382.000000	92.607
387.000000	92.630
395.000000	92.671
400.000000	92.684
406.000000	92.702
412.000000	92.741
418.000000	92.780
425.000000	92.808
431.000000	92.841
437.000000	92.874
444.000000	92.909
450.000000	92.926
455.000000	92.959
462.000000	92.998
468.000000	93.013
475.000000	93.059
482.000000	93.104
487.000000	93.133
494.000000	93.166
500.000000	93.197
508.000000	93.232
515.000000	93.267
522.000000	93.291
530.000000	93.332
538.000000	93.375
545.000000	93.402
552.000000	93.436
560.000000	93.507
570.000000	93.595
580.000000	93.645
590.000000	93.703
600.000000	93.770
608.000000	93.828
615.000000	93.881
622.000000	93.955
630.000000	94.003
640.000000	94.087
650.000000	94.191
660.000000	94.297
670.000000	94.373
680.000000	94.422
690.000000	94.549
700.000000	94.640
710.000000	94.682
720.000000	94.790
730.000000	94.909
740.000000	95.000
750.000000	95.078
762.000000	95.167
775.000000	95.260
788.000000	95.375
800.000000	95.419
812.000000	95.494
825.000000	95.547
838.000000	95.644
850.000000	95.739
862.000000	95.822
875.000000	95.851
885.000000	95.801
900.000000	95.856
912.000000	95.879
925.000000	95.910
938.000000	95.903
950.000000	95.799
962.000000	95.752
975.000000	95.651
988.000000	95.594
1000.000000	95.688
1015.000000	95.693
1030.000000	95.797
1044.000000	95.782
1060.000000	95.758
1075.000000	95.850
1090.000000	95.875
1106.000000	95.931
1120.000000	95.964
1138.000000	95.926
1150.000000	95.931
1172.000000	95.754
1180.000000	95.736
1206.000000	95.773
1220.000000	95.884
1241.000000	96.038
1250.000000	96.121
1265.000000	96.329
1280.000000	96.431
1315.000000	96.740
1320.000000	96.775
1340.000000	96.965
1360.000000	97.188
1380.000000	97.493
1400.000000	97.777
1430.000000	98.122
1450.000000	98.422
1475.000000	98.814
1500.000000	99.192
1525.000000	99.559
1550.000000	99.935
1575.000000	100.250
1600.000000	100.624
1625.000000	100.983
1650.000000	101.390
1675.000000	101.786
1700.000000	102.166
1725.000000	102.487
1750.000000	102.972
1775.000000	103.313
1800.000000	103.761
1825.000000	104.250
1850.000000	104.577
1875.000000	104.939
1900.000000	105.427
1925.000000	105.755
1950.000000	106.284
1975.000000	106.807
2000.000000	107.171
2030.000000	107.642
2060.000000	108.302
2090.000000	108.860
2120.000000	109.699
2140.000000	109.838
2180.000000	110.607
2200.000000	110.971
2240.000000	111.775
2270.000000	112.367
2300.000000	112.863
2330.000000	113.530
2360.000000	114.074
2400.000000	114.830
2430.000000	115.167
2470.000000	115.593
2500.000000	115.953
2540.000000	116.219
2580.000000	116.598
2620.000000	116.665
2650.000000	116.840
2690.000000	116.915
2720.000000	116.607
2760.000000	116.709
2800.000000	116.642
2850.000000	116.511
2900.000000	116.372
2950.000000	116.358
3000.000000	116.290
3040.000000	116.277
3070.000000	116.212
3110.000000	116.166
3150.000000	116.100
3200.000000	115.892
3250.000000	115.654
3300.000000	115.328
3350.000000	114.967
3400.000000	114.476
3450.000000	114.044
3500.000000	113.793
3550.000000	113.418
3600.000000	112.816
3650.000000	112.134
3700.000000	111.506
3750.000000	111.125
3820.000000	111.402
3870.000000	111.711
3950.000000	111.704
4000.000000	111.476
4060.000000	111.101
4120.000000	110.497
4180.000000	110.014
4250.000000	109.676
4310.000000	109.758
4370.000000	110.430
4440.000000	111.629
4500.000000	112.418
4550.000000	112.847
4620.000000	113.220
4680.000000	113.429
4750.000000	113.572
4820.000000	113.545
4870.000000	113.321
4940.000000	113.048
5000.000000	112.724
5080.000000	112.202
5150.000000	111.806
5220.000000	111.165
5300.000000	110.353
5380.000000	109.493
5450.000000	108.746
5520.000000	108.123
5600.000000	107.538
5700.000000	106.846
5800.000000	105.950
5900.000000	104.728
6000.000000	102.793
6080.000000	100.846
6150.000000	99.077
6220.000000	97.581
6300.000000	96.319
6400.000000	95.216
6500.000000	94.418
6600.000000	93.886
6700.000000	93.587
6800.000000	93.529
6900.000000	93.402
7000.000000	93.545
7100.000000	93.996
7200.000000	94.268
7300.000000	94.239
7400.000000	94.116
7500.000000	94.215
7620.000000	94.759
7750.000000	95.909
7880.000000	97.456
8000.000000	99.211
8120.000000	101.034
8250.000000	102.893
8380.000000	103.930
8500.000000	104.158
8620.000000	104.122
8750.000000	103.937
8850.000000	103.599
9000.000000	102.631
9120.000000	101.787
9250.000000	101.100
9380.000000	100.719
9500.000000	100.602
9620.000000	100.664
9750.000000	100.743
9880.000000	100.594
10000.000000	99.954
10150.000000	97.850
10300.000000	94.483
10440.000000	91.764
10600.000000	91.745
10750.000000	93.193
10900.000000	93.380
11060.000000	93.247
11200.000000	94.098
11380.000000	95.165
11500.000000	95.046
11720.000000	94.938
11800.000000	95.154
12060.000000	96.767
12200.000000	97.032
12410.000000	96.976
12500.000000	96.923
12650.000000	96.843
12800.000000	97.365
13150.000000	98.960
13200.000000	99.119
13400.000000	99.221
13600.000000	98.880
13800.000000	98.736
14000.000000	98.650
14300.000000	98.125
14500.000000	96.130
14750.000000	90.263
15000.000000	85.642
15250.000000	85.023
15500.000000	85.848
15750.000000	85.715
16000.000000	84.391
16250.000000	83.962
16500.000000	84.723
16750.000000	86.457
17000.000000	91.009
17250.000000	91.070
17500.000000	89.545
17750.000000	88.393
18000.000000	85.530
18250.000000	83.626
18500.000000	82.578
18750.000000	80.823
19000.000000	81.197
19250.000000	81.942
19500.000000	80.749
19750.000000	77.734
20000.000000	75.362
