* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 564, R 565, R 566, R 567, R 568
* Dated: 22-ago-2024 1:05:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 564, R 565, R 566, R 567, R 568
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	64.358
20.299999	64.268
20.600000	64.183
20.900000	64.199
21.200001	64.365
21.400000	64.548
21.799999	64.982
22.000000	65.190
22.400000	65.534
22.700001	65.723
23.000000	65.880
23.299999	66.038
23.600000	66.219
24.000000	66.500
24.299999	66.717
24.700001	66.974
25.000000	67.121
25.400000	67.251
25.799999	67.333
26.200001	67.416
26.500000	67.510
26.900000	67.698
27.200001	67.879
27.600000	68.129
28.000000	68.337
28.500000	68.482
29.000000	68.526
29.500000	68.571
30.000000	68.711
30.400000	68.898
30.700001	69.062
31.100000	69.283
31.500000	69.476
32.000000	69.652
32.500000	69.758
33.000000	69.855
33.500000	70.025
34.000000	70.284
34.500000	70.552
35.000000	70.743
35.500000	70.852
36.000000	70.946
36.500000	71.060
37.000000	71.164
37.500000	71.227
38.200001	71.330
38.700001	71.486
39.500000	71.748
40.000000	71.803
40.599998	71.809
41.200001	71.912
41.799999	72.157
42.500000	72.458
43.099998	72.632
43.700001	72.769
44.400002	72.950
45.000000	73.108
45.500000	73.233
46.200001	73.408
46.799999	73.538
47.500000	73.638
48.200001	73.753
48.700001	73.883
49.400002	74.041
50.000000	74.081
50.799999	74.142
51.500000	74.330
52.200001	74.490
53.000000	74.546
53.799999	74.669
54.500000	74.845
55.200001	74.988
56.000000	75.120
57.000000	75.225
58.000000	75.383
59.000000	75.661
60.000000	75.662
60.799999	75.653
61.500000	75.805
62.200001	75.945
63.000000	75.998
64.000000	76.227
65.000000	76.461
66.000000	76.418
67.000000	76.574
68.000000	76.695
69.000000	76.759
70.000000	76.969
71.000000	77.016
72.000000	77.117
73.000000	77.330
74.000000	77.372
75.000000	77.351
76.199997	77.638
77.500000	77.734
78.800003	77.782
80.000000	77.907
81.199997	78.077
82.500000	78.129
83.800003	78.282
85.000000	78.404
86.199997	78.555
87.500000	78.635
88.500000	78.676
90.000000	78.759
91.199997	78.985
92.500000	78.960
93.800003	79.015
95.000000	79.178
96.199997	79.321
97.500000	79.310
98.800003	79.473
100.000000	79.481
101.500000	79.668
103.000000	79.764
104.400002	79.864
106.000000	79.943
107.500000	80.040
109.000000	80.132
110.599998	80.218
112.000000	80.308
113.800003	80.369
115.000000	80.450
117.199997	80.639
118.000000	80.677
120.599998	80.753
122.000000	80.804
124.099998	80.909
125.000000	80.976
126.500000	81.018
128.000000	81.122
131.500000	81.246
132.000000	81.234
134.000000	81.300
136.000000	81.329
138.000000	81.448
140.000000	81.512
143.000000	81.602
145.000000	81.668
147.500000	81.735
150.000000	81.831
152.500000	81.869
155.000000	81.922
157.500000	82.005
160.000000	82.130
162.500000	82.212
165.000000	82.335
167.500000	82.273
170.000000	82.201
172.500000	82.318
175.000000	82.467
177.500000	82.532
180.000000	82.510
182.500000	82.607
185.000000	82.653
187.500000	82.688
190.000000	82.727
192.500000	82.757
195.000000	82.842
197.500000	82.887
200.000000	82.888
203.000000	82.920
206.000000	83.009
209.000000	83.075
212.000000	83.124
214.000000	83.190
218.000000	83.257
220.000000	83.420
224.000000	83.415
227.000000	83.433
230.000000	83.541
233.000000	83.593
236.000000	83.635
240.000000	83.750
243.000000	83.805
247.000000	83.882
250.000000	83.961
254.000000	83.984
258.000000	84.016
262.000000	84.002
265.000000	83.981
269.000000	84.036
272.000000	84.067
276.000000	84.145
280.000000	84.244
285.000000	84.417
290.000000	84.467
295.000000	84.657
300.000000	84.788
304.000000	84.829
307.000000	84.873
311.000000	84.989
315.000000	85.058
320.000000	85.103
325.000000	85.237
330.000000	85.297
335.000000	85.363
340.000000	85.472
345.000000	85.585
350.000000	85.674
355.000000	85.768
360.000000	85.778
365.000000	85.871
370.000000	85.991
375.000000	86.090
382.000000	86.208
387.000000	86.283
395.000000	86.465
400.000000	86.556
406.000000	86.687
412.000000	86.808
418.000000	86.883
425.000000	86.962
431.000000	87.134
437.000000	87.221
444.000000	87.354
450.000000	87.469
455.000000	87.556
462.000000	87.688
468.000000	87.814
475.000000	87.915
482.000000	88.065
487.000000	88.174
494.000000	88.307
500.000000	88.443
508.000000	88.603
515.000000	88.783
522.000000	88.937
530.000000	89.086
538.000000	89.277
545.000000	89.423
552.000000	89.554
560.000000	89.732
570.000000	89.965
580.000000	90.214
590.000000	90.457
600.000000	90.681
608.000000	90.853
615.000000	91.002
622.000000	91.188
630.000000	91.388
640.000000	91.587
650.000000	91.830
660.000000	92.067
670.000000	92.292
680.000000	92.521
690.000000	92.718
700.000000	92.958
710.000000	93.124
720.000000	93.294
730.000000	93.548
740.000000	93.718
750.000000	93.909
762.000000	94.087
775.000000	94.236
788.000000	94.490
800.000000	94.572
812.000000	94.660
825.000000	94.745
838.000000	94.761
850.000000	94.908
862.000000	95.063
875.000000	95.009
885.000000	94.719
900.000000	94.367
912.000000	94.338
925.000000	94.455
938.000000	94.483
950.000000	94.505
962.000000	94.666
975.000000	94.727
988.000000	94.554
1000.000000	94.561
1015.000000	94.534
1030.000000	94.579
1044.000000	94.524
1060.000000	94.428
1075.000000	94.301
1090.000000	94.277
1106.000000	94.333
1120.000000	94.284
1138.000000	94.135
1150.000000	94.170
1172.000000	94.088
1180.000000	94.113
1206.000000	94.058
1220.000000	94.049
1241.000000	93.962
1250.000000	94.039
1265.000000	94.222
1280.000000	94.162
1315.000000	94.311
1320.000000	94.218
1340.000000	94.104
1360.000000	94.065
1380.000000	94.198
1400.000000	94.300
1430.000000	94.299
1450.000000	94.393
1475.000000	94.609
1500.000000	94.699
