* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 513, L 514, L 515, L 516
* Dated: 21/08/2024 03:09:31 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 513, L 514, L 515, L 516
* Measurement: L AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	79.067
20.299999	79.263
20.600000	79.433
20.900000	79.589
21.200001	79.747
21.400000	79.861
21.799999	80.116
22.000000	80.252
22.400000	80.524
22.700001	80.714
23.000000	80.887
23.299999	81.048
23.600000	81.207
24.000000	81.431
24.299999	81.610
24.700001	81.856
25.000000	82.033
25.400000	82.249
25.799999	82.442
26.200001	82.624
26.500000	82.758
26.900000	82.938
27.200001	83.071
27.600000	83.245
28.000000	83.414
28.500000	83.623
29.000000	83.830
29.500000	84.027
30.000000	84.208
30.400000	84.345
30.700001	84.448
31.100000	84.589
31.500000	84.736
32.000000	84.923
32.500000	85.109
33.000000	85.295
33.500000	85.478
34.000000	85.649
34.500000	85.798
35.000000	85.933
35.500000	86.073
36.000000	86.229
36.500000	86.389
37.000000	86.531
37.500000	86.650
38.200001	86.815
38.700001	86.944
39.500000	87.138
40.000000	87.244
40.599998	87.381
41.200001	87.537
41.799999	87.693
42.500000	87.855
43.099998	87.997
43.700001	88.148
44.400002	88.306
45.000000	88.412
45.500000	88.496
46.200001	88.635
46.799999	88.767
47.500000	88.905
48.200001	89.016
48.700001	89.090
49.400002	89.195
50.000000	89.279
50.799999	89.391
51.500000	89.512
52.200001	89.640
53.000000	89.744
53.799999	89.804
54.500000	89.849
55.200001	89.903
56.000000	89.989
57.000000	90.106
58.000000	90.211
59.000000	90.361
60.000000	90.520
60.799999	90.635
61.500000	90.730
62.200001	90.815
63.000000	90.914
64.000000	91.046
65.000000	91.158
66.000000	91.264
67.000000	91.359
68.000000	91.480
69.000000	91.608
70.000000	91.686
71.000000	91.799
72.000000	91.918
73.000000	92.037
74.000000	92.153
75.000000	92.246
76.199997	92.324
77.500000	92.356
78.800003	92.516
80.000000	92.615
81.199997	92.715
82.500000	92.853
83.800003	92.926
85.000000	93.039
86.199997	93.144
87.500000	93.182
88.500000	93.230
90.000000	93.300
91.199997	93.344
92.500000	93.405
93.800003	93.449
95.000000	93.464
96.199997	93.499
97.500000	93.526
98.800003	93.547
100.000000	93.566
101.500000	93.585
103.000000	93.604
104.400002	93.611
106.000000	93.623
107.500000	93.622
109.000000	93.630
110.599998	93.631
112.000000	93.648
113.800003	93.647
115.000000	93.672
117.199997	93.700
118.000000	93.726
120.599998	93.824
122.000000	93.891
124.099998	93.998
125.000000	94.037
126.500000	94.100
128.000000	94.166
131.500000	94.265
132.000000	94.274
134.000000	94.308
136.000000	94.339
138.000000	94.361
140.000000	94.359
143.000000	94.393
145.000000	94.391
147.500000	94.428
150.000000	94.420
152.500000	94.436
155.000000	94.439
157.500000	94.452
160.000000	94.463
162.500000	94.463
165.000000	94.445
167.500000	94.432
170.000000	94.465
172.500000	94.403
175.000000	94.427
177.500000	94.440
180.000000	94.440
182.500000	94.410
185.000000	94.442
187.500000	94.437
190.000000	94.429
192.500000	94.433
195.000000	94.433
197.500000	94.425
200.000000	94.413
203.000000	94.435
206.000000	94.447
209.000000	94.451
212.000000	94.456
214.000000	94.467
218.000000	94.485
220.000000	94.482
224.000000	94.485
227.000000	94.494
230.000000	94.482
233.000000	94.509
236.000000	94.513
240.000000	94.502
243.000000	94.507
247.000000	94.509
250.000000	94.505
254.000000	94.495
258.000000	94.494
262.000000	94.475
265.000000	94.470
269.000000	94.452
272.000000	94.443
276.000000	94.436
280.000000	94.425
285.000000	94.410
290.000000	94.402
295.000000	94.401
300.000000	94.375
304.000000	94.382
307.000000	94.387
311.000000	94.390
315.000000	94.367
320.000000	94.358
325.000000	94.317
330.000000	94.308
335.000000	94.316
340.000000	94.306
345.000000	94.320
350.000000	94.316
355.000000	94.311
360.000000	94.298
365.000000	94.294
370.000000	94.311
375.000000	94.293
382.000000	94.310
387.000000	94.292
395.000000	94.285
400.000000	94.289
406.000000	94.267
412.000000	94.268
418.000000	94.287
425.000000	94.273
431.000000	94.282
437.000000	94.304
444.000000	94.332
450.000000	94.372
455.000000	94.395
462.000000	94.436
468.000000	94.501
475.000000	94.606
482.000000	94.694
487.000000	94.733
494.000000	94.770
500.000000	94.752
508.000000	94.732
515.000000	94.706
522.000000	94.658
530.000000	94.610
538.000000	94.605
545.000000	94.597
552.000000	94.566
560.000000	94.565
570.000000	94.536
580.000000	94.545
590.000000	94.548
600.000000	94.555
608.000000	94.519
615.000000	94.469
622.000000	94.392
630.000000	94.182
640.000000	93.875
650.000000	93.970
660.000000	94.159
670.000000	94.255
680.000000	94.310
690.000000	94.341
700.000000	94.378
710.000000	94.314
720.000000	94.421
730.000000	94.424
740.000000	94.361
750.000000	94.263
762.000000	94.090
775.000000	94.196
788.000000	94.353
800.000000	94.433
812.000000	94.537
825.000000	94.571
838.000000	94.799
850.000000	94.895
862.000000	94.847
875.000000	94.841
885.000000	94.932
900.000000	95.056
912.000000	95.192
925.000000	95.267
938.000000	95.375
950.000000	95.451
962.000000	95.560
975.000000	95.598
988.000000	95.791
1000.000000	95.869
1015.000000	96.030
1030.000000	96.083
1044.000000	96.222
1060.000000	96.386
1075.000000	96.577
1090.000000	96.735
1106.000000	96.797
1120.000000	96.943
1138.000000	97.163
1150.000000	97.156
1172.000000	97.455
1180.000000	97.491
1206.000000	97.916
1220.000000	98.031
1241.000000	98.318
1250.000000	98.417
1265.000000	98.672
1280.000000	99.015
1315.000000	99.718
1320.000000	99.836
1340.000000	100.182
1360.000000	100.558
1380.000000	100.928
1400.000000	101.074
1430.000000	101.704
1450.000000	102.040
1475.000000	102.347
1500.000000	102.768
1525.000000	103.167
1550.000000	103.539
1575.000000	103.686
1600.000000	103.859
1625.000000	104.070
1650.000000	104.422
1675.000000	104.383
1700.000000	104.514
1725.000000	104.625
1750.000000	104.929
1775.000000	105.102
1800.000000	105.468
1825.000000	105.758
1850.000000	105.939
1875.000000	106.230
1900.000000	106.595
1925.000000	106.838
1950.000000	107.292
1975.000000	107.811
2000.000000	107.809
2030.000000	108.056
2060.000000	108.419
2090.000000	109.316
2120.000000	109.848
2140.000000	109.807
2180.000000	110.697
2200.000000	110.733
2240.000000	111.168
2270.000000	111.816
2300.000000	112.391
2330.000000	112.883
2360.000000	113.191
2400.000000	113.656
2430.000000	114.024
2470.000000	114.344
2500.000000	114.698
2540.000000	115.315
2580.000000	115.626
2620.000000	116.096
2650.000000	116.550
2690.000000	117.026
2720.000000	117.049
2760.000000	117.648
2800.000000	117.802
2850.000000	118.285
2900.000000	118.437
2950.000000	118.609
3000.000000	118.742
3040.000000	118.802
3070.000000	118.852
3110.000000	118.853
3150.000000	118.887
3200.000000	118.733
3250.000000	118.436
3300.000000	118.262
3350.000000	117.901
3400.000000	117.401
3450.000000	117.475
3500.000000	117.066
3550.000000	116.799
3600.000000	116.213
3650.000000	115.862
3700.000000	115.430
3750.000000	114.845
3820.000000	114.248
3870.000000	113.917
3950.000000	113.052
4000.000000	112.736
4060.000000	112.138
4120.000000	111.648
4180.000000	111.147
4250.000000	110.649
4310.000000	110.185
4370.000000	109.767
4440.000000	109.266
4500.000000	108.973
4550.000000	108.692
4620.000000	108.388
4680.000000	108.172
4750.000000	107.852
4820.000000	107.487
4870.000000	107.377
4940.000000	107.258
5000.000000	106.995
5080.000000	106.828
5150.000000	106.392
5220.000000	106.144
5300.000000	106.611
5380.000000	106.375
5450.000000	106.449
5520.000000	106.682
5600.000000	107.056
5700.000000	107.489
5800.000000	106.500
5900.000000	106.415
6000.000000	105.979
6080.000000	105.182
6150.000000	106.053
6220.000000	107.199
6300.000000	106.765
6400.000000	107.471
6500.000000	107.423
6600.000000	107.261
6700.000000	106.863
6800.000000	106.658
6900.000000	106.605
7000.000000	106.023
7100.000000	105.432
7200.000000	105.700
7300.000000	105.453
7400.000000	105.257
7500.000000	105.524
7620.000000	106.298
7750.000000	107.211
7880.000000	108.566
8000.000000	109.236
8120.000000	109.289
8250.000000	108.758
8380.000000	108.320
8500.000000	107.578
8620.000000	106.054
8750.000000	104.331
8850.000000	103.215
9000.000000	103.059
9120.000000	102.827
9250.000000	101.842
9380.000000	100.569
9500.000000	99.238
9620.000000	98.866
9750.000000	99.701
9880.000000	100.504
10000.000000	101.002
10150.000000	101.377
10300.000000	101.922
10440.000000	102.561
10600.000000	103.590
10750.000000	104.791
10900.000000	105.979
11060.000000	106.712
11200.000000	107.318
11380.000000	108.573
11500.000000	108.978
11720.000000	108.603
11800.000000	108.380
12060.000000	107.825
12200.000000	107.392
12410.000000	106.751
12500.000000	106.520
12650.000000	106.210
12800.000000	105.947
13150.000000	105.157
13200.000000	104.904
13400.000000	102.753
13600.000000	99.621
13800.000000	96.852
14000.000000	95.177
14300.000000	93.695
14500.000000	92.952
14750.000000	91.425
15000.000000	90.040
15250.000000	88.372
15500.000000	83.428
15750.000000	80.853
16000.000000	79.978
16250.000000	82.278
16500.000000	84.718
16750.000000	84.988
17000.000000	83.933
17250.000000	83.455
17500.000000	83.689
17750.000000	84.185
18000.000000	84.373
18250.000000	82.370
18500.000000	81.243
18750.000000	80.927
19000.000000	80.160
19250.000000	79.722
19500.000000	81.804
19750.000000	83.576
20000.000000	83.957
