* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 204, R 205, R 206, R 207
* Dated: 31/07/2024 01:15:49 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 204, R 205, R 206, R 207
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	64.956
20.299999	64.605
20.600000	64.118
20.900000	63.786
21.200001	63.919
21.400000	64.294
21.799999	65.296
22.000000	65.752
22.400000	66.381
22.700001	66.589
23.000000	66.666
23.299999	66.741
23.600000	66.920
24.000000	67.356
24.299999	67.734
24.700001	68.147
25.000000	68.345
25.400000	68.499
25.799999	68.648
26.200001	68.901
26.500000	69.168
26.900000	69.575
27.200001	69.882
27.600000	70.253
28.000000	70.560
28.500000	70.847
29.000000	71.066
29.500000	71.299
30.000000	71.605
30.400000	71.878
30.700001	72.072
31.100000	72.308
31.500000	72.552
32.000000	72.939
32.500000	73.398
33.000000	73.781
33.500000	73.978
34.000000	74.038
34.500000	74.126
35.000000	74.348
35.500000	74.648
36.000000	74.925
36.500000	75.174
37.000000	75.457
37.500000	75.791
38.200001	76.223
38.700001	76.464
39.500000	76.843
40.000000	77.119
40.599998	77.442
41.200001	77.714
41.799999	77.949
42.500000	78.224
43.099998	78.500
43.700001	78.838
44.400002	79.251
45.000000	79.535
45.500000	79.711
46.200001	79.931
46.799999	80.142
47.500000	80.428
48.200001	80.765
48.700001	81.021
49.400002	81.353
50.000000	81.604
50.799999	81.934
51.500000	82.247
52.200001	82.582
53.000000	82.928
53.799999	83.209
54.500000	83.484
55.200001	83.772
56.000000	84.034
57.000000	84.387
58.000000	84.707
59.000000	85.047
60.000000	85.565
60.799999	85.804
61.500000	85.912
62.200001	86.045
63.000000	86.207
64.000000	86.484
65.000000	86.902
66.000000	87.309
67.000000	87.745
68.000000	88.174
69.000000	88.603
70.000000	89.017
71.000000	89.405
72.000000	89.800
73.000000	90.153
74.000000	90.402
75.000000	90.522
76.199997	90.701
77.500000	91.145
78.800003	91.612
80.000000	92.016
81.199997	92.397
82.500000	92.783
83.800003	93.163
85.000000	93.457
86.199997	93.749
87.500000	94.043
88.500000	94.251
90.000000	94.546
91.199997	94.768
92.500000	94.986
93.800003	95.201
95.000000	95.359
96.199997	95.510
97.500000	95.652
98.800003	95.776
100.000000	95.878
101.500000	95.987
103.000000	96.088
104.400002	96.162
106.000000	96.229
107.500000	96.271
109.000000	96.305
110.599998	96.302
112.000000	96.317
113.800003	96.296
115.000000	96.282
117.199997	96.227
118.000000	96.129
120.599998	96.102
