* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L 270, L 271, L 272, L 273, L 274
* Dated: 4/08/2024 01:19:13 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L 270, L 271, L 272, L 273, L 274
* Measurement: L AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	78.471
20.299999	78.716
20.600000	78.940
20.900000	79.143
21.200001	79.334
21.400000	79.459
21.799999	79.713
22.000000	79.842
22.400000	80.100
22.700001	80.287
23.000000	80.465
23.299999	80.635
23.600000	80.803
24.000000	81.032
24.299999	81.209
24.700001	81.451
25.000000	81.630
25.400000	81.862
25.799999	82.084
26.200001	82.301
26.500000	82.462
26.900000	82.672
27.200001	82.821
27.600000	83.008
28.000000	83.182
28.500000	83.393
29.000000	83.608
29.500000	83.827
30.000000	84.042
30.400000	84.209
30.700001	84.333
31.100000	84.499
31.500000	84.665
32.000000	84.866
32.500000	85.052
33.000000	85.220
33.500000	85.380
34.000000	85.546
34.500000	85.724
35.000000	85.903
35.500000	86.069
36.000000	86.222
36.500000	86.368
37.000000	86.518
37.500000	86.666
38.200001	86.863
38.700001	87.000
39.500000	87.235
40.000000	87.382
40.599998	87.541
41.200001	87.680
41.799999	87.805
42.500000	87.939
43.099998	88.056
43.700001	88.183
44.400002	88.331
45.000000	88.437
45.500000	88.520
46.200001	88.656
46.799999	88.789
47.500000	88.926
48.200001	89.032
48.700001	89.104
49.400002	89.209
50.000000	89.293
50.799999	89.377
51.500000	89.444
52.200001	89.526
53.000000	89.629
53.799999	89.726
54.500000	89.822
55.200001	89.929
56.000000	90.045
57.000000	90.190
58.000000	90.333
59.000000	90.472
60.000000	90.611
60.799999	90.687
61.500000	90.758
62.200001	90.842
63.000000	90.924
64.000000	91.028
65.000000	91.124
66.000000	91.204
67.000000	91.340
68.000000	91.447
69.000000	91.552
70.000000	91.663
71.000000	91.761
72.000000	91.853
73.000000	91.924
74.000000	91.994
75.000000	92.049
76.199997	92.128
77.500000	92.230
78.800003	92.317
80.000000	92.388
81.199997	92.453
82.500000	92.513
83.800003	92.579
85.000000	92.634
86.199997	92.690
87.500000	92.736
88.500000	92.771
90.000000	92.801
91.199997	92.833
92.500000	92.873
93.800003	92.888
95.000000	92.918
96.199997	92.948
97.500000	92.961
98.800003	92.965
100.000000	92.981
101.500000	93.000
103.000000	93.020
104.400002	93.019
106.000000	93.030
107.500000	93.035
109.000000	93.024
110.599998	93.039
112.000000	93.037
