* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -16,9 dBFS, measurement signal peak level -13,4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 26/07/2024 11:51:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0298 ms (-10 mm, -0,4 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: L 88
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.482	-160.0075
20.299999	106.488	-160.7457
20.600000	106.489	-161.4914
20.900000	106.485	-162.2246
21.200001	106.475	-162.9239
21.400000	106.467	-163.3639
21.799999	106.451	-164.1862
22.000000	106.446	-164.5770
22.400000	106.439	-165.3447
22.700001	106.436	-165.9294
23.000000	106.432	-166.5277
23.299999	106.425	-167.1335
23.600000	106.413	-167.7332
24.000000	106.393	-168.5001
24.299999	106.376	-169.0437
24.700001	106.355	-169.7336
25.000000	106.341	-170.2383
25.400000	106.325	-170.9103
25.799999	106.309	-171.5874
26.200001	106.291	-172.2614
26.500000	106.277	-172.7573
26.900000	106.257	-173.4006
27.200001	106.242	-173.8712
27.600000	106.224	-174.4902
28.000000	106.205	-175.1043
28.500000	106.180	-175.8583
29.000000	106.150	-176.5691
29.500000	106.121	-177.2148
30.000000	106.098	-177.8131
30.400000	106.084	-178.2911
30.700001	106.075	-178.6656
31.100000	106.060	-179.1903
31.500000	106.038	-179.7248
32.000000	106.001	179.6426
32.500000	105.960	179.0803
33.000000	105.924	178.5551
33.500000	105.893	178.0053
34.000000	105.859	177.4115
34.500000	105.817	176.8120
35.000000	105.774	176.2465
35.500000	105.734	175.7063
36.000000	105.699	175.1611
36.500000	105.665	174.6116
37.000000	105.633	174.0845
37.500000	105.605	173.5833
38.200001	105.571	172.8893
38.700001	105.543	172.4206
39.500000	105.498	171.8018
40.000000	105.476	171.4450
40.599998	105.444	170.9827
41.200001	105.393	170.5637
41.799999	105.339	170.2329
42.500000	105.280	169.7938
43.099998	105.214	169.3254
43.700001	105.142	168.8438
44.400002	105.062	167.9774
45.000000	104.918	166.8529
45.500000	104.697	166.2264
46.200001	104.386	166.9517
46.799999	104.379	168.4579
47.500000	104.649	168.6633
48.200001	104.819	166.8855
48.700001	104.792	165.5800
49.400002	104.703	164.6510
50.000000	104.679	164.2133
50.799999	104.656	163.5016
51.500000	104.607	163.1102
52.200001	104.580	162.9213
53.000000	104.552	162.5481
53.799999	104.487	162.1978
54.500000	104.429	162.0143
55.200001	104.384	161.7521
56.000000	104.320	161.3066
57.000000	104.229	160.8434
58.000000	104.183	160.3211
59.000000	104.108	159.4921
60.000000	104.006	159.1600
60.799999	103.982	158.9375
61.500000	103.944	158.5267
62.200001	103.873	158.2829
63.000000	103.818	158.2144
64.000000	103.766	157.8483
65.000000	103.677	157.5195
66.000000	103.610	157.2085
67.000000	103.527	156.7812
68.000000	103.445	156.5098
69.000000	103.385	156.2811
70.000000	103.342	155.9910
71.000000	103.289	155.6135
72.000000	103.227	155.3159
73.000000	103.168	155.0023
74.000000	103.099	154.7297
75.000000	103.036	154.4933
76.199997	102.957	154.2062
77.500000	102.878	153.9330
78.800003	102.793	153.6642
80.000000	102.715	153.4076
81.199997	102.639	153.2637
82.500000	102.575	152.8972
83.800003	102.497	152.7262
85.000000	102.444	152.1524
86.199997	102.305	152.0634
87.500000	102.269	152.1033
88.500000	102.211	151.8902
90.000000	102.135	151.7761
91.199997	102.077	151.5460
92.500000	101.997	151.3088
93.800003	101.923	151.1395
95.000000	101.855	151.0063
96.199997	101.789	150.8794
97.500000	101.723	150.8222
98.800003	101.664	150.6555
100.000000	101.597	150.5185
101.500000	101.506	150.3786
103.000000	101.438	150.2464
104.400002	101.351	150.1109
106.000000	101.272	149.9603
107.500000	101.192	149.9530
109.000000	101.138	149.8581
110.599998	101.054	149.7815
112.000000	100.997	149.6587
113.800003	100.908	149.6622
115.000000	100.849	149.5197
117.199997	100.746	149.5145
118.000000	100.719	149.3721
120.599998	100.572	149.5948
122.000000	100.520	149.3781
124.099998	100.425	149.3244
125.000000	100.392	149.3097
126.500000	100.330	149.2602
128.000000	100.268	149.2592
131.500000	100.118	149.2806
132.000000	100.092	149.2982
134.000000	100.000	149.2889
136.000000	99.923	149.2861
138.000000	99.838	149.4053
140.000000	99.755	149.4310
143.000000	99.623	149.5785
145.000000	99.533	149.5891
147.500000	99.451	149.6907
150.000000	99.342	149.8286
152.500000	99.235	150.0900
155.000000	99.104	150.4639
157.500000	98.983	150.6581
160.000000	98.884	151.3668
162.500000	98.839	151.9174
165.000000	98.762	152.3691
167.500000	98.670	153.1187
170.000000	98.670	154.0818
172.500000	98.652	154.6509
175.000000	98.776	154.8238
177.500000	98.873	154.7414
180.000000	98.817	153.9523
182.500000	98.756	153.5523
185.000000	98.711	153.3440
187.500000	98.615	153.0646
190.000000	98.531	152.9324
192.500000	98.454	152.9109
195.000000	98.372	152.9429
197.500000	98.297	152.9283
200.000000	98.234	152.9557
203.000000	98.138	153.0633
206.000000	98.080	153.1992
209.000000	98.001	153.1955
212.000000	97.933	153.3998
