* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -14,8 dBFS, measurement signal peak level -12,1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 30/07/2024 12:52:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0222 ms (-7,6 mm, -0,3 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: L 172
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.410	-166.2854
20.299999	106.396	-167.0570
20.600000	106.383	-167.8154
20.900000	106.369	-168.5621
21.200001	106.353	-169.2962
21.400000	106.341	-169.7769
21.799999	106.316	-170.7139
22.000000	106.304	-171.1695
22.400000	106.278	-172.0575
22.700001	106.258	-172.7081
23.000000	106.239	-173.3501
23.299999	106.219	-173.9856
23.600000	106.198	-174.6138
24.000000	106.167	-175.4347
24.299999	106.143	-176.0344
24.700001	106.110	-176.8120
25.000000	106.086	-177.3825
25.400000	106.054	-178.1331
25.799999	106.020	-178.8756
26.200001	105.984	-179.6055
26.500000	105.956	179.8605
26.900000	105.916	179.1709
27.200001	105.886	178.6703
27.600000	105.847	178.0218
28.000000	105.807	177.3920
28.500000	105.758	176.6302
29.000000	105.712	175.8916
29.500000	105.668	175.1585
30.000000	105.623	174.4135
30.400000	105.584	173.8138
30.700001	105.552	173.3723
31.100000	105.507	172.8083
31.500000	105.461	172.2791
32.000000	105.406	171.6570
32.500000	105.356	171.0557
33.000000	105.308	170.4551
33.500000	105.259	169.8476
34.000000	105.208	169.2368
34.500000	105.153	168.6395
35.000000	105.095	168.0795
35.500000	105.038	167.5610
36.000000	104.985	167.0572
36.500000	104.933	166.5400
37.000000	104.878	166.0168
37.500000	104.819	165.5197
38.200001	104.740	164.8806
38.700001	104.687	164.4281
39.500000	104.600	163.6801
40.000000	104.543	163.2278
40.599998	104.476	162.7087
41.200001	104.409	162.1938
41.799999	104.340	161.6938
42.500000	104.261	161.1561
43.099998	104.198	160.6983
43.700001	104.134	160.2114
44.400002	104.050	159.6632
45.000000	103.978	159.2527
45.500000	103.923	158.9243
46.200001	103.847	158.4335
46.799999	103.775	158.0066
47.500000	103.688	157.5616
48.200001	103.604	157.1574
48.700001	103.546	156.8629
49.400002	103.462	156.4436
50.000000	103.387	156.1053
50.799999	103.287	155.6935
51.500000	103.202	155.3393
52.200001	103.114	154.9845
53.000000	103.012	154.6123
53.799999	102.913	154.2411
54.500000	102.820	153.8781
55.200001	102.717	153.5567
56.000000	102.603	153.2724
57.000000	102.462	152.8055
58.000000	102.278	152.4507
59.000000	102.114	152.3810
60.000000	101.952	152.1053
60.799999	101.771	151.9999
61.500000	101.608	152.2089
62.200001	101.462	152.4972
63.000000	101.266	152.8630
64.000000	100.991	154.0736
65.000000	100.787	155.9068
66.000000	100.624	158.7931
67.000000	100.855	162.4171
68.000000	101.277	163.6880
69.000000	101.649	164.5634
70.000000	102.220	163.9299
71.000000	102.538	160.9695
72.000000	102.565	158.5496
73.000000	102.541	156.6833
74.000000	102.446	155.0039
75.000000	102.286	153.7157
76.199997	102.066	153.0714
77.500000	101.968	152.9200
78.800003	101.925	152.0316
80.000000	101.806	151.3252
81.199997	101.748	150.7505
82.500000	101.595	149.9367
83.800003	101.497	149.8543
85.000000	101.396	149.2184
86.199997	101.268	149.0936
87.500000	101.163	148.6571
88.500000	101.050	148.5580
90.000000	100.950	148.4045
91.199997	100.847	148.1812
