* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -13,8 dBFS, measurement signal peak level -13,2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 30/07/2024 12:49:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0204 ms (-7,0 mm, -0,28 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset
* Measurement: R 169
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.694	-158.8264
20.299999	105.695	-159.6310
20.600000	105.695	-160.4225
20.900000	105.692	-161.1968
21.200001	105.688	-161.9499
21.400000	105.684	-162.4395
21.799999	105.677	-163.3945
22.000000	105.674	-163.8635
22.400000	105.667	-164.7921
22.700001	105.661	-165.4835
23.000000	105.652	-166.1677
23.299999	105.640	-166.8382
23.600000	105.627	-167.4881
24.000000	105.607	-168.3156
24.299999	105.593	-168.9108
24.700001	105.577	-169.6856
25.000000	105.565	-170.2652
25.400000	105.550	-171.0453
25.799999	105.531	-171.8271
26.200001	105.507	-172.5889
26.500000	105.487	-173.1347
26.900000	105.460	-173.8252
27.200001	105.442	-174.3226
27.600000	105.420	-174.9785
28.000000	105.401	-175.6437
28.500000	105.374	-176.4924
29.000000	105.340	-177.3337
29.500000	105.303	-178.1384
30.000000	105.265	-178.9011
30.400000	105.235	-179.4908
30.700001	105.214	-179.9270
31.100000	105.185	179.4958
31.500000	105.156	178.9249
32.000000	105.118	178.2266
32.500000	105.080	177.5505
33.000000	105.042	176.8922
33.500000	105.005	176.2401
34.000000	104.965	175.5906
34.500000	104.921	174.9583
35.000000	104.874	174.3627
35.500000	104.829	173.8027
36.000000	104.787	173.2522
36.500000	104.745	172.6909
37.000000	104.699	172.1315
37.500000	104.649	171.6032
38.200001	104.583	170.9226
38.700001	104.541	170.4384
39.500000	104.473	169.6120
40.000000	104.424	169.0934
40.599998	104.361	168.5168
41.200001	104.301	167.9891
41.799999	104.245	167.4746
42.500000	104.181	166.8640
43.099998	104.123	166.3512
43.700001	104.066	165.8668
44.400002	104.001	165.3181
45.000000	103.945	164.8432
45.500000	103.896	164.4548
46.200001	103.827	163.9403
46.799999	103.769	163.5095
47.500000	103.700	163.0002
48.200001	103.625	162.5253
48.700001	103.573	162.2170
49.400002	103.506	161.7730
50.000000	103.446	161.3630
50.799999	103.355	160.8684
51.500000	103.282	160.5098
52.200001	103.216	160.1291
53.000000	103.135	159.6561
53.799999	103.047	159.2143
54.500000	102.968	158.8489
55.200001	102.886	158.5218
56.000000	102.798	158.1850
