* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -15,6 dBFS, measurement signal peak level -15,1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 16/11/2025 02:33:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0266 ms (-9,1 mm, -0,36 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 38,5 ppm
* Measurement: L  SR myellow
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.295	-151.4547
20.299999	102.316	-152.0600
20.600000	102.336	-152.6360
20.900000	102.357	-153.1875
21.200001	102.380	-153.7245
21.400000	102.396	-154.0805
21.799999	102.430	-154.7942
22.000000	102.446	-155.1535
22.400000	102.477	-155.8754
22.700001	102.499	-156.4147
23.000000	102.518	-156.9487
23.299999	102.536	-157.4768
23.600000	102.552	-157.9988
24.000000	102.570	-158.6829
24.299999	102.580	-159.1819
24.700001	102.591	-159.8185
25.000000	102.597	-160.2695
25.400000	102.606	-160.8369
25.799999	102.618	-161.3799
26.200001	102.633	-161.9198
26.500000	102.644	-162.3319
26.900000	102.659	-162.8934
27.200001	102.667	-163.3196
27.600000	102.676	-163.8869
28.000000	102.682	-164.4466
28.500000	102.686	-165.1311
29.000000	102.685	-165.7875
29.500000	102.682	-166.3946
30.000000	102.682	-166.9464
30.400000	102.689	-167.3744
30.700001	102.697	-167.7103
31.100000	102.709	-168.1992
31.500000	102.716	-168.7280
32.000000	102.711	-169.3846
32.500000	102.696	-169.9580
33.000000	102.686	-170.4439
33.500000	102.685	-170.9199
34.000000	102.685	-171.4436
34.500000	102.677	-171.9767
35.000000	102.664	-172.4611
35.500000	102.659	-172.9227
36.000000	102.655	-173.4408
36.500000	102.641	-174.0042
37.000000	102.612	-174.4875
37.500000	102.593	-174.8352
38.200001	102.610	-175.4006
38.700001	102.620	-176.0759
39.500000	102.546	-177.1509
40.000000	102.483	-177.4047
40.599998	102.468	-177.4406
41.200001	102.511	-177.7621
41.799999	102.531	-178.4345
42.500000	102.496	-179.1023
43.099998	102.476	-179.4207
43.700001	102.480	-179.8043
44.400002	102.470	179.5792
45.000000	102.441	179.1152
45.500000	102.420	178.8009
46.200001	102.401	178.3195
46.799999	102.376	177.8558
47.500000	102.339	177.3995
48.200001	102.316	177.0100
48.700001	102.306	176.6918
49.400002	102.284	176.2087
50.000000	102.258	175.8718
50.799999	102.242	175.4942
51.500000	102.230	175.0652
52.200001	102.200	174.6454
53.000000	102.167	174.2473
53.799999	102.123	173.7290
54.500000	102.058	173.4144
55.200001	102.030	173.2054
56.000000	102.003	172.5396
57.000000	101.904	172.0608
58.000000	101.979	171.1553
59.000000	101.768	168.9656
60.000000	101.500	170.1592
60.799999	101.693	170.6240
61.500000	101.761	169.4828
62.200001	101.672	168.9550
