* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -15,9 dBFS, measurement signal peak level -15,5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 16/11/2025 02:38:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0233 ms (-8,0 mm, -0,32 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 36,1 ppm
* Measurement: R 1092
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.465	-153.0733
20.299999	102.489	-153.6521
20.600000	102.513	-154.2365
20.900000	102.537	-154.8281
21.200001	102.558	-155.4210
21.400000	102.570	-155.8118
21.799999	102.593	-156.5760
22.000000	102.603	-156.9475
22.400000	102.623	-157.6711
22.700001	102.638	-158.2032
23.000000	102.652	-158.7328
23.299999	102.666	-159.2619
23.600000	102.677	-159.7873
24.000000	102.687	-160.4703
24.299999	102.691	-160.9568
24.700001	102.696	-161.5598
25.000000	102.701	-161.9809
25.400000	102.713	-162.5212
25.799999	102.730	-163.0744
26.200001	102.748	-163.6692
26.500000	102.757	-164.1408
26.900000	102.761	-164.7784
27.200001	102.757	-165.2367
27.600000	102.747	-165.7931
28.000000	102.737	-166.2823
28.500000	102.732	-166.8391
29.000000	102.735	-167.3981
29.500000	102.740	-167.9853
30.000000	102.745	-168.5889
30.400000	102.747	-169.0772
30.700001	102.748	-169.4485
31.100000	102.746	-169.9502
31.500000	102.740	-170.4469
32.000000	102.726	-171.0245
32.500000	102.712	-171.5289
33.000000	102.705	-171.9868
33.500000	102.705	-172.4524
34.000000	102.705	-172.9500
34.500000	102.702	-173.4572
35.000000	102.695	-173.9534
35.500000	102.687	-174.4455
36.000000	102.673	-174.9364
36.500000	102.653	-175.3944
37.000000	102.635	-175.7929
37.500000	102.625	-176.1726
38.200001	102.619	-176.8238
38.700001	102.599	-177.3700
39.500000	102.536	-178.0647
40.000000	102.507	-178.3177
40.599998	102.503	-178.6145
41.200001	102.514	-179.0924
41.799999	102.508	-179.6951
42.500000	102.477	179.6720
43.099998	102.451	179.2458
43.700001	102.431	178.8546
44.400002	102.411	178.4099
45.000000	102.396	178.0605
45.500000	102.388	177.7700
46.200001	102.381	177.2907
46.799999	102.361	176.8201
47.500000	102.321	176.3396
48.200001	102.284	175.9789
48.700001	102.266	175.7145
49.400002	102.239	175.2647
50.000000	102.204	174.8920
50.799999	102.162	174.5067
51.500000	102.139	174.1451
52.200001	102.111	173.7124
53.000000	102.069	173.2763
