* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -15,6 dBFS, measurement signal peak level -15,3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 16/11/2025 02:28:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0327 ms (-11 mm, -0,44 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 31,0 ppm
* Measurement: L 1081
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.292	-150.8909
20.299999	102.306	-151.5281
20.600000	102.317	-152.1096
20.900000	102.330	-152.6373
21.200001	102.347	-153.1357
21.400000	102.362	-153.4713
21.799999	102.393	-154.1686
22.000000	102.407	-154.5313
22.400000	102.428	-155.2612
22.700001	102.437	-155.7806
23.000000	102.446	-156.2552
23.299999	102.457	-156.6933
23.600000	102.473	-157.1169
24.000000	102.500	-157.6955
24.299999	102.521	-158.1525
24.700001	102.546	-158.7781
25.000000	102.563	-159.2404
25.400000	102.586	-159.8386
25.799999	102.612	-160.4424
26.200001	102.637	-161.0874
26.500000	102.650	-161.5948
26.900000	102.656	-162.2603
27.200001	102.653	-162.7086
27.600000	102.648	-163.2056
28.000000	102.653	-163.6150
28.500000	102.679	-164.1299
29.000000	102.712	-164.7603
29.500000	102.730	-165.4673
30.000000	102.731	-166.1228
30.400000	102.730	-166.5723
30.700001	102.733	-166.8840
31.100000	102.741	-167.3108
31.500000	102.749	-167.7766
32.000000	102.750	-168.3926
32.500000	102.737	-168.9697
33.000000	102.724	-169.4581
33.500000	102.720	-169.8994
34.000000	102.726	-170.3872
34.500000	102.730	-170.9604
35.000000	102.721	-171.5571
35.500000	102.704	-172.0829
36.000000	102.695	-172.5352
36.500000	102.696	-173.0053
37.000000	102.695	-173.5422
37.500000	102.681	-174.0545
38.200001	102.665	-174.5395
38.700001	102.687	-174.8475
39.500000	102.734	-175.7853
40.000000	102.717	-176.5173
40.599998	102.651	-177.1230
41.200001	102.603	-177.3600
41.799999	102.596	-177.5852
42.500000	102.592	-178.0846
43.099998	102.567	-178.5290
43.700001	102.542	-178.9011
44.400002	102.523	-179.3800
45.000000	102.500	-179.8463
45.500000	102.477	179.7969
46.200001	102.455	179.3397
46.799999	102.445	178.8924
47.500000	102.424	178.3067
48.200001	102.387	177.8154
48.700001	102.362	177.5661
49.400002	102.343	177.2773
50.000000	102.335	177.0105
50.799999	102.324	176.5612
51.500000	102.289	176.0598
52.200001	102.218	175.7171
53.000000	102.174	175.6379
53.799999	102.180	175.0873
54.500000	102.112	174.3679
55.200001	102.043	174.1690
56.000000	102.071	173.6763
57.000000	101.975	172.7526
58.000000	102.113	173.1310
59.000000	102.279	170.0126
60.000000	101.741	168.9340
60.799999	101.693	171.2857
61.500000	101.896	171.3296
