* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -15,0 dBFS, measurement signal peak level -15,1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 16/11/2025 02:24:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0304 ms (-10 mm, -0,41 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 19,1 ppm
* Measurement: R SR sblue
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.501	-152.9034
20.299999	102.517	-153.5375
20.600000	102.532	-154.1401
20.900000	102.545	-154.7112
21.200001	102.561	-155.2593
21.400000	102.572	-155.6199
21.799999	102.595	-156.3404
22.000000	102.607	-156.7035
22.400000	102.627	-157.4324
22.700001	102.640	-157.9720
23.000000	102.651	-158.4974
23.299999	102.662	-159.0096
23.600000	102.673	-159.5161
24.000000	102.688	-160.1962
24.299999	102.696	-160.7142
24.700001	102.702	-161.4023
25.000000	102.702	-161.8955
25.400000	102.698	-162.4949
25.799999	102.696	-163.0204
26.200001	102.703	-163.5034
26.500000	102.714	-163.8708
26.900000	102.733	-164.4007
27.200001	102.746	-164.8326
27.600000	102.756	-165.4328
28.000000	102.757	-166.0152
28.500000	102.752	-166.6708
29.000000	102.751	-167.2702
29.500000	102.753	-167.8809
30.000000	102.750	-168.5171
30.400000	102.740	-169.0019
30.700001	102.731	-169.3315
31.100000	102.725	-169.7380
31.500000	102.726	-170.1534
32.000000	102.729	-170.7481
32.500000	102.720	-171.3928
33.000000	102.699	-171.9730
33.500000	102.684	-172.4647
34.000000	102.681	-172.9749
34.500000	102.674	-173.5603
35.000000	102.652	-174.1130
35.500000	102.634	-174.5311
36.000000	102.643	-174.9516
36.500000	102.662	-175.6129
37.000000	102.640	-176.4845
37.500000	102.557	-177.2005
38.200001	102.437	-177.4287
38.700001	102.429	-177.3406
39.500000	102.494	-177.8860
40.000000	102.498	-178.5603
40.599998	102.458	-179.2166
41.200001	102.429	-179.6114
41.799999	102.427	179.9842
42.500000	102.421	179.3735
43.099998	102.397	178.9031
43.700001	102.371	178.5578
44.400002	102.349	178.2200
45.000000	102.333	177.8992
45.500000	102.313	177.5895
46.200001	102.267	177.1362
46.799999	102.216	176.8055
47.500000	102.170	176.4010
48.200001	102.120	175.7509
48.700001	102.056	175.2567
49.400002	101.967	174.8917
50.000000	101.958	174.6060
50.799999	101.950	173.5449
51.500000	101.844	172.8268
52.200001	101.792	172.7971
53.000000	101.778	172.1783
53.799999	101.569	172.1001
54.500000	101.510	173.3326
55.200001	101.558	173.2294
56.000000	101.243	172.9041
57.000000	101.067	175.1727
58.000000	100.565	173.2083
59.000000	99.569	-177.3749
60.000000	101.392	-172.5123
60.799999	101.982	-179.7422
61.500000	101.686	176.5457
62.200001	101.588	175.9708
63.000000	101.693	174.4521
64.000000	101.689	173.4011
65.000000	101.904	172.3697
66.000000	101.854	170.8599
67.000000	101.797	170.9926
68.000000	101.791	170.7974
69.000000	101.776	170.4546
70.000000	101.680	169.5178
71.000000	101.530	169.6694
72.000000	101.633	169.4120
73.000000	101.564	167.8653
74.000000	101.431	167.8838
75.000000	101.462	167.4642
76.199997	101.335	166.8703
77.500000	101.290	166.7200
78.800003	101.224	166.0089
80.000000	101.115	165.8178
81.199997	101.116	165.6377
82.500000	101.071	165.7466
83.800003	101.149	164.8271
85.000000	100.909	164.3922
86.199997	100.861	164.9125
87.500000	100.807	164.4825
88.500000	100.747	164.1647
90.000000	100.673	163.8544
91.199997	100.634	163.6932
92.500000	100.629	163.6044
93.800003	100.584	163.2618
95.000000	100.520	163.3660
96.199997	100.519	163.2299
97.500000	100.450	162.7397
98.800003	100.383	162.6270
100.000000	100.368	162.4305
101.500000	100.307	162.0580
103.000000	100.290	161.8675
104.400002	100.236	161.6721
106.000000	100.194	160.9807
107.500000	100.076	161.1711
109.000000	100.066	161.1092
110.599998	99.993	160.9447
112.000000	99.958	160.9746
113.800003	99.851	160.7816
115.000000	99.836	160.6771
117.199997	99.740	160.4505
118.000000	99.767	160.0956
120.599998	99.549	160.0597
122.000000	99.542	159.8980
124.099998	99.449	160.0725
125.000000	99.425	160.2186
126.500000	99.366	160.0259
128.000000	99.346	160.0629
131.500000	99.192	159.4462
132.000000	99.154	159.4769
134.000000	99.105	160.0637
136.000000	99.041	159.9836
138.000000	99.034	159.9395
140.000000	99.021	159.7980
143.000000	98.977	159.9601
145.000000	98.896	159.6724
147.500000	98.821	159.3900
150.000000	98.762	159.3069
152.500000	98.636	159.4411
155.000000	98.581	159.1240
157.500000	98.551	159.3898
160.000000	98.458	159.1851
162.500000	98.400	159.3174
165.000000	98.323	159.2533
167.500000	98.274	159.1935
170.000000	98.202	159.2661
172.500000	98.104	159.0067
175.000000	98.072	159.2379
177.500000	98.016	159.3050
180.000000	97.982	159.5538
182.500000	97.890	159.5825
185.000000	97.839	159.7566
187.500000	97.755	159.5843
190.000000	97.727	159.7920
192.500000	97.671	159.8357
195.000000	97.618	160.0718
197.500000	97.557	160.0958
200.000000	97.502	160.2602
203.000000	97.438	160.3678
206.000000	97.391	160.4764
209.000000	97.310	160.3907
212.000000	97.272	160.5613
214.000000	97.274	160.6440
218.000000	97.162	161.0589
220.000000	97.129	161.0308
224.000000	97.055	161.1357
227.000000	97.009	161.3853
230.000000	96.927	161.5090
233.000000	96.887	161.7397
236.000000	96.866	161.9619
240.000000	96.785	162.1360
243.000000	96.758	162.1651
247.000000	96.691	162.4485
250.000000	96.648	162.7618
254.000000	96.577	162.9992
258.000000	96.512	163.2606
262.000000	96.487	163.5491
265.000000	96.439	163.7070
269.000000	96.386	163.9563
272.000000	96.343	164.0420
276.000000	96.289	164.3875
280.000000	96.247	164.5993
285.000000	96.190	164.8478
290.000000	96.130	165.3392
295.000000	96.083	165.6440
300.000000	96.020	165.8604
304.000000	95.999	166.2320
307.000000	95.951	166.4080
311.000000	95.903	166.6809
315.000000	95.882	166.9623
320.000000	95.824	167.2221
325.000000	95.789	167.5735
330.000000	95.762	167.8339
335.000000	95.716	168.2240
340.000000	95.655	168.5942
345.000000	95.613	168.9279
350.000000	95.590	169.2023
355.000000	95.571	169.5639
360.000000	95.500	169.9733
365.000000	95.486	170.1042
370.000000	95.448	170.5111
375.000000	95.409	170.8427
382.000000	95.361	171.2740
387.000000	95.344	171.6997
395.000000	95.278	172.0749
400.000000	95.287	172.3238
406.000000	95.246	172.8171
412.000000	95.212	173.3165
418.000000	95.186	173.7729
425.000000	95.144	173.9918
431.000000	95.120	174.4860
437.000000	95.105	174.8131
444.000000	95.084	175.1459
450.000000	95.043	175.5942
455.000000	95.047	175.9014
462.000000	95.033	176.4004
468.000000	95.014	176.8521
475.000000	94.952	177.1765
482.000000	94.980	177.6043
487.000000	94.939	177.9236
494.000000	94.925	178.3402
500.000000	94.911	178.7114
508.000000	94.899	179.1614
515.000000	94.875	179.6425
522.000000	94.864	-179.7117
530.000000	94.835	-179.4010
