* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (High Definition Audio Device), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -29,1 dBFS, measurement signal peak level -24,0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 15/03/2026 02:39:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0275 ms (-9,4 mm, -0,37 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 18,9 ppm
* Measurement: L mar 15
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.549	-151.2343
20.299999	100.583	-152.1843
20.600000	100.597	-153.0979
20.900000	100.596	-153.9037
21.200001	100.589	-154.5624
21.400000	100.589	-154.9296
21.799999	100.603	-155.5537
22.000000	100.619	-155.8484
22.400000	100.666	-156.4808
22.700001	100.708	-157.0284
23.000000	100.745	-157.6490
23.299999	100.774	-158.3257
23.600000	100.789	-159.0260
24.000000	100.784	-159.9224
24.299999	100.768	-160.5016
24.700001	100.743	-161.0976
25.000000	100.735	-161.4319
25.400000	100.752	-161.8353
25.799999	100.798	-162.3649
26.200001	100.850	-163.1274
26.500000	100.876	-163.8250
26.900000	100.882	-164.8102
27.200001	100.870	-165.5022
27.600000	100.843	-166.2979
28.000000	100.819	-166.9667
28.500000	100.802	-167.7222
29.000000	100.794	-168.4445
29.500000	100.795	-169.1240
30.000000	100.808	-169.8060
30.400000	100.822	-170.4125
30.700001	100.828	-170.9083
31.100000	100.823	-171.5784
31.500000	100.806	-172.2008
32.000000	100.778	-172.8761
32.500000	100.750	-173.4786
33.000000	100.720	-174.0292
33.500000	100.694	-174.4974
34.000000	100.688	-174.9549
34.500000	100.698	-175.6005
35.000000	100.685	-176.4904
35.500000	100.621	-177.3622
36.000000	100.533	-177.8949
36.500000	100.482	-178.1183
37.000000	100.486	-178.4084
37.500000	100.503	-178.9938
38.200001	100.480	-179.9597
38.700001	100.448	179.5552
39.500000	100.441	178.9110
40.000000	100.442	178.4138
40.599998	100.431	177.8356
41.200001	100.422	177.3305
41.799999	100.414	176.7730
42.500000	100.381	176.0952
43.099998	100.343	175.6197
43.700001	100.309	175.1573
44.400002	100.260	174.5962
45.000000	100.217	174.2014
45.500000	100.196	173.8579
46.200001	100.164	173.1950
46.799999	100.105	172.6718
47.500000	100.058	172.3705
48.200001	100.068	171.9114
48.700001	100.062	171.3217
49.400002	99.993	170.6046
50.000000	99.938	170.3522
50.799999	99.925	169.9347
51.500000	99.889	169.2560
52.200001	99.810	168.7504
53.000000	99.742	168.4302
53.799999	99.699	168.0300
54.500000	99.666	167.6276
55.200001	99.639	167.1501
56.000000	99.589	166.5813
57.000000	99.526	166.1730
58.000000	99.478	165.8107
59.000000	99.385	165.7170
60.000000	99.327	166.0001
60.799999	99.294	165.9270
61.500000	99.227	165.6592
62.200001	99.131	165.3471
63.000000	99.001	164.9357
64.000000	98.871	164.6531
65.000000	98.918	163.5681
66.000000	98.805	161.4327
67.000000	98.752	161.6219
68.000000	99.049	160.1589
69.000000	98.847	158.5725
70.000000	98.797	160.4229
71.000000	98.800	160.8664
72.000000	98.731	163.3856
73.000000	99.021	163.4498
74.000000	98.846	161.4374
75.000000	98.638	159.8519
76.199997	97.979	157.1987
77.500000	97.872	160.4552
78.800003	98.222	157.0844
80.000000	98.102	158.5187
81.199997	98.295	156.9921
82.500000	97.976	163.6815
83.800003	99.059	159.8782
85.000000	97.968	157.2103
86.199997	97.879	158.1263
87.500000	97.315	157.2065
88.500000	97.394	156.9953
