* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (High Definition Audio Device), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -29,3 dBFS, measurement signal peak level -25,0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 15/03/2026 02:41:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0267 ms (-9,1 mm, -0,36 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 18,9 ppm
* Measurement: R mar 15
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.728	-152.1862
20.299999	100.749	-152.8848
20.600000	100.769	-153.5278
20.900000	100.793	-154.1410
21.200001	100.821	-154.7651
21.400000	100.839	-155.2027
21.799999	100.867	-156.1212
22.000000	100.876	-156.5885
22.400000	100.879	-157.4906
22.700001	100.875	-158.1075
23.000000	100.872	-158.6705
23.299999	100.873	-159.2114
23.600000	100.878	-159.7631
24.000000	100.883	-160.5437
24.299999	100.879	-161.1433
24.700001	100.860	-161.8871
25.000000	100.843	-162.3514
25.400000	100.833	-162.8376
25.799999	100.851	-163.2776
26.200001	100.897	-163.8405
26.500000	100.935	-164.4057
26.900000	100.969	-165.3244
27.200001	100.975	-166.0527
27.600000	100.957	-166.9424
28.000000	100.929	-167.6505
28.500000	100.913	-168.3456
29.000000	100.923	-169.0501
29.500000	100.935	-169.8586
30.000000	100.935	-170.6645
30.400000	100.935	-171.2475
30.700001	100.941	-171.6733
31.100000	100.952	-172.2961
31.500000	100.955	-173.0011
32.000000	100.928	-173.8734
32.500000	100.879	-174.5179
33.000000	100.850	-174.9272
33.500000	100.856	-175.3720
34.000000	100.860	-176.0432
34.500000	100.823	-176.7456
35.000000	100.762	-177.1597
35.500000	100.738	-177.2952
36.000000	100.772	-177.5594
36.500000	100.814	-178.2464
37.000000	100.804	-179.1799
37.500000	100.740	-179.9546
38.200001	100.655	179.4721
38.700001	100.637	179.1169
39.500000	100.615	178.2166
40.000000	100.579	177.6483
40.599998	100.537	177.1052
41.200001	100.511	176.5754
41.799999	100.484	175.9900
42.500000	100.442	175.3716
43.099998	100.412	174.9290
43.700001	100.392	174.4731
44.400002	100.370	173.8707
45.000000	100.343	173.2843
45.500000	100.304	172.7707
46.200001	100.220	172.2091
46.799999	100.156	172.0184
47.500000	100.141	171.8195
48.200001	100.141	171.2215
48.700001	100.108	170.6907
49.400002	100.037	170.2133
50.000000	100.005	169.9706
50.799999	99.989	169.4617
51.500000	99.966	168.9437
52.200001	99.953	168.3777
53.000000	99.910	167.4670
53.799999	99.797	166.8406
54.500000	99.733	166.7296
55.200001	99.718	166.4661
56.000000	99.675	165.9478
57.000000	99.611	165.5746
58.000000	99.574	165.0736
59.000000	99.500	164.5249
60.000000	99.439	164.1102
60.799999	99.391	163.5266
61.500000	99.305	163.0486
62.200001	99.235	162.8528
63.000000	99.195	162.3525
64.000000	99.048	161.9224
65.000000	99.099	162.0929
66.000000	99.073	160.5630
67.000000	98.982	160.8750
68.000000	99.108	158.7654
69.000000	98.499	157.7403
70.000000	98.535	161.2464
71.000000	98.714	159.1189
72.000000	98.366	160.0220
73.000000	98.747	160.6338
74.000000	98.659	157.5790
75.000000	98.377	158.6527
76.199997	98.667	158.0978
77.500000	98.202	156.2703
78.800003	98.249	158.8467
80.000000	98.126	156.5125
81.199997	98.048	157.7957
82.500000	97.646	153.0115
83.800003	97.111	159.0721
85.000000	97.609	157.1157
86.199997	97.473	157.6134
87.500000	97.745	155.5251
88.500000	97.558	154.6923
90.000000	97.421	155.9285
91.199997	97.538	155.4601
92.500000	97.157	157.7261
93.800003	97.741	157.2031
95.000000	97.187	154.8034
96.199997	97.072	156.7697
97.500000	97.195	156.9272
98.800003	97.225	155.6567
100.000000	97.345	157.4446
101.500000	97.279	157.7786
103.000000	98.339	160.3768
104.400002	97.535	155.0048
106.000000	97.635	158.0396
107.500000	96.853	155.7276
109.000000	96.762	154.8239
110.599998	96.430	154.3809
112.000000	96.623	152.7802
113.800003	96.182	154.6715
115.000000	96.676	154.6981
117.199997	96.771	155.6153
118.000000	96.861	153.1891
120.599998	96.253	151.0262
122.000000	96.247	153.9381
124.099998	96.302	153.3160
125.000000	96.262	153.3553
126.500000	96.096	152.8011
128.000000	96.004	154.3227
131.500000	95.959	152.1137
132.000000	95.880	152.2713
134.000000	95.846	152.7247
136.000000	95.747	152.4758
138.000000	95.772	153.1842
140.000000	95.636	153.0630
143.000000	95.439	152.3004
145.000000	95.311	152.9012
147.500000	95.291	152.8208
150.000000	95.161	152.2681
152.500000	95.029	152.5681
155.000000	94.916	152.3461
157.500000	94.846	152.2280
160.000000	94.844	152.3592
162.500000	94.806	153.1011
165.000000	94.723	153.1870
167.500000	94.599	153.3492
170.000000	94.508	152.9348
172.500000	94.460	152.3902
175.000000	94.384	153.4769
177.500000	94.356	153.2959
180.000000	94.246	154.0066
182.500000	94.252	154.0538
185.000000	94.133	154.5217
187.500000	94.091	153.9504
190.000000	94.092	154.9167
192.500000	93.973	154.4648
195.000000	93.973	154.5060
197.500000	93.855	154.9537
200.000000	93.690	154.5811
203.000000	93.668	154.9540
206.000000	93.608	154.7854
209.000000	93.636	155.0421
212.000000	93.500	155.5459
214.000000	93.413	155.1498
218.000000	93.366	155.3737
220.000000	93.410	156.0986
224.000000	93.226	156.6379
227.000000	93.192	156.8010
230.000000	93.144	157.5079
233.000000	93.099	156.5554
236.000000	93.030	156.7303
240.000000	92.939	157.5864
243.000000	92.896	157.5820
247.000000	92.836	157.8345
250.000000	92.792	158.4624
254.000000	92.721	158.1815
258.000000	92.657	158.7898
262.000000	92.585	158.9076
265.000000	92.495	158.7278
269.000000	92.479	159.3005
272.000000	92.384	159.8712
276.000000	92.385	160.2950
280.000000	92.268	160.1820
285.000000	92.339	160.0944
290.000000	92.264	161.3062
295.000000	92.078	161.0115
300.000000	92.064	161.9918
304.000000	92.037	162.2225
307.000000	92.079	162.0905
311.000000	91.982	162.1928
315.000000	91.946	162.6834
320.000000	91.878	163.6267
325.000000	91.792	163.5705
330.000000	91.795	163.9265
