* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -12,4 dBFS, measurement signal peak level -12,4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 27/07/2024 12:44:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0055 ms (-1,9 mm, -0,07 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: L rose gold + m bal eartips
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.294	-141.6052
20.299999	101.328	-142.3109
20.600000	101.361	-143.0134
20.900000	101.391	-143.7090
21.200001	101.419	-144.3924
21.400000	101.437	-144.8393
21.799999	101.470	-145.7137
22.000000	101.486	-146.1429
22.400000	101.516	-146.9892
22.700001	101.536	-147.6140
23.000000	101.554	-148.2272
23.299999	101.571	-148.8244
23.600000	101.586	-149.4023
24.000000	101.606	-150.1452
24.299999	101.623	-150.6904
24.700001	101.646	-151.4174
25.000000	101.663	-151.9702
25.400000	101.683	-152.7159
25.799999	101.698	-153.4530
26.200001	101.708	-154.1582
26.500000	101.714	-154.6588
26.900000	101.724	-155.2952
27.200001	101.734	-155.7609
27.600000	101.749	-156.3854
28.000000	101.763	-157.0225
28.500000	101.776	-157.8229
29.000000	101.782	-158.5905
29.500000	101.787	-159.3031
30.000000	101.795	-159.9754
30.400000	101.804	-160.5074
30.700001	101.812	-160.9134
31.100000	101.822	-161.4687
31.500000	101.828	-162.0345
32.000000	101.831	-162.7352
32.500000	101.828	-163.4023
33.000000	101.823	-164.0250
33.500000	101.821	-164.6172
34.000000	101.820	-165.2046
34.500000	101.820	-165.7994
35.000000	101.816	-166.3913
35.500000	101.809	-166.9627
36.000000	101.801	-167.5071
36.500000	101.795	-168.0312
37.000000	101.791	-168.5472
37.500000	101.788	-169.0663
38.200001	101.784	-169.8154
38.700001	101.776	-170.3648
39.500000	101.752	-171.2093
40.000000	101.733	-171.6769
40.599998	101.718	-172.1849
41.200001	101.711	-172.6973
41.799999	101.706	-173.2608
42.500000	101.692	-173.9525
43.099998	101.673	-174.5170
43.700001	101.654	-175.0473
44.400002	101.632	-175.6528
45.000000	101.611	-176.1478
45.500000	101.593	-176.5223
46.200001	101.578	-177.0152
46.799999	101.573	-177.4793
47.500000	101.558	-178.0905
48.200001	101.527	-178.6632
48.700001	101.503	-178.9923
49.400002	101.482	-179.4046
50.000000	101.471	-179.8142
50.799999	101.444	179.5869
51.500000	101.412	179.1498
52.200001	101.392	178.7462
53.000000	101.368	178.1935
53.799999	101.329	177.6739
54.500000	101.300	177.2942
55.200001	101.276	176.8771
56.000000	101.237	176.4002
57.000000	101.195	175.9229
58.000000	101.168	175.3707
59.000000	101.128	174.7325
60.000000	101.067	174.1562
60.799999	101.023	173.8293
61.500000	101.001	173.5380
62.200001	100.979	173.1807
63.000000	100.949	172.7849
64.000000	100.920	172.2595
65.000000	100.869	171.6840
66.000000	100.811	171.3263
67.000000	100.776	171.0017
68.000000	100.743	170.6343
69.000000	100.712	170.2183
70.000000	100.665	169.7548
71.000000	100.613	169.3965
72.000000	100.570	169.0410
73.000000	100.525	168.6862
74.000000	100.490	168.3602
75.000000	100.454	167.9208
76.199997	100.387	167.5175
77.500000	100.344	167.1307
78.800003	100.269	166.7382
80.000000	100.232	166.4642
81.199997	100.167	166.0775
82.500000	100.122	165.7670
83.800003	100.048	165.3710
85.000000	100.013	165.0867
86.199997	99.956	164.6641
87.500000	99.900	164.3418
88.500000	99.853	164.0909
90.000000	99.790	163.8079
91.199997	99.745	163.5600
92.500000	99.690	163.2912
93.800003	99.642	163.0148
95.000000	99.583	162.7690
96.199997	99.536	162.6066
97.500000	99.491	162.3140
98.800003	99.419	162.0468
100.000000	99.362	161.9504
101.500000	99.305	161.8145
103.000000	99.261	161.5227
104.400002	99.198	161.2642
106.000000	99.126	161.0673
107.500000	99.082	160.8405
109.000000	99.011	160.6394
110.599998	98.958	160.4716
112.000000	98.912	160.2576
113.800003	98.823	160.0908
115.000000	98.796	160.0353
117.199997	98.705	159.7877
118.000000	98.675	159.7240
120.599998	98.594	159.5311
122.000000	98.538	159.3938
124.099998	98.463	159.1686
125.000000	98.424	159.1542
126.500000	98.390	158.9912
128.000000	98.307	158.9342
131.500000	98.217	158.7870
132.000000	98.204	158.6979
134.000000	98.122	158.6139
136.000000	98.051	158.5740
138.000000	97.978	158.4853
140.000000	97.921	158.4359
143.000000	97.817	158.3525
145.000000	97.758	158.3253
147.500000	97.657	158.2738
150.000000	97.582	158.2178
152.500000	97.510	158.0667
155.000000	97.442	158.2211
157.500000	97.354	158.3105
160.000000	97.257	158.1086
162.500000	97.172	158.2995
165.000000	97.068	158.6377
167.500000	96.919	158.6630
170.000000	96.829	157.9694
172.500000	96.744	159.7466
175.000000	96.721	160.1071
177.500000	96.713	160.7755
180.000000	96.628	161.3340
182.500000	96.697	161.7373
185.000000	96.796	161.1306
187.500000	96.795	160.6957
190.000000	96.741	160.3163
192.500000	96.663	160.0352
195.000000	96.584	159.8311
197.500000	96.517	159.7375
200.000000	96.446	159.8128
203.000000	96.372	159.8905
206.000000	96.289	159.9462
209.000000	96.239	160.1301
212.000000	96.164	160.0636
214.000000	96.144	160.1163
218.000000	96.061	160.2089
220.000000	96.016	160.2804
