* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 97, R 98, R 100, R 101
* Dated: 27/07/2024 01:50:51 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 97, R 98, R 100, R 101
* Measurement: RMS L Average
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	88.311
20.299999	88.367
20.600000	88.453
20.900000	88.567
21.200001	88.697
21.400000	88.782
21.799999	88.927
22.000000	88.981
22.400000	89.052
22.700001	89.087
23.000000	89.120
23.299999	89.163
23.600000	89.221
24.000000	89.312
24.299999	89.377
24.700001	89.450
25.000000	89.494
25.400000	89.549
25.799999	89.611
26.200001	89.684
26.500000	89.739
26.900000	89.803
27.200001	89.841
27.600000	89.882
28.000000	89.923
28.500000	89.982
29.000000	90.035
29.500000	90.057
30.000000	90.048
30.400000	90.041
30.700001	90.050
31.100000	90.090
31.500000	90.151
32.000000	90.225
32.500000	90.275
33.000000	90.317
33.500000	90.372
34.000000	90.444
34.500000	90.516
35.000000	90.586
35.500000	90.668
36.000000	90.754
36.500000	90.815
37.000000	90.832
37.500000	90.837
38.200001	90.899
38.700001	90.960
39.500000	90.926
40.000000	90.830
40.599998	90.762
41.200001	90.790
41.799999	90.835
42.500000	90.825
43.099998	90.801
43.700001	90.801
44.400002	90.793
45.000000	90.772
45.500000	90.778
46.200001	90.844
46.799999	90.910
47.500000	90.936
48.200001	90.922
48.700001	90.920
49.400002	90.954
50.000000	91.014
50.799999	91.109
51.500000	91.187
52.200001	91.264
53.000000	91.365
53.799999	91.463
54.500000	91.525
55.200001	91.574
56.000000	91.640
57.000000	91.741
58.000000	91.825
59.000000	91.893
60.000000	91.957
60.799999	91.984
61.500000	91.989
62.200001	91.988
63.000000	91.991
64.000000	91.989
65.000000	91.980
66.000000	92.000
67.000000	92.021
68.000000	92.024
69.000000	92.031
70.000000	92.008
71.000000	92.006
72.000000	92.017
73.000000	92.013
74.000000	92.027
75.000000	91.992
76.199997	91.968
77.500000	91.992
78.800003	92.008
80.000000	92.014
81.199997	92.032
82.500000	92.012
83.800003	92.066
85.000000	92.045
86.199997	91.987
87.500000	92.011
88.500000	91.986
90.000000	92.007
91.199997	91.988
92.500000	91.989
93.800003	91.985
95.000000	91.959
96.199997	91.967
97.500000	91.954
98.800003	91.989
100.000000	92.019
101.500000	92.051
103.000000	92.046
104.400002	92.020
106.000000	92.005
107.500000	91.998
109.000000	92.014
110.599998	92.035
112.000000	92.056
113.800003	92.086
115.000000	92.067
117.199997	92.036
118.000000	92.011
120.599998	91.992
122.000000	91.973
124.099998	91.976
125.000000	91.969
126.500000	91.972
128.000000	91.965
131.500000	91.946
132.000000	91.943
134.000000	91.958
136.000000	91.948
138.000000	91.947
140.000000	91.951
143.000000	91.953
145.000000	91.951
147.500000	91.952
150.000000	91.975
152.500000	91.958
155.000000	91.957
157.500000	91.965
160.000000	91.995
162.500000	91.987
165.000000	91.962
167.500000	91.946
170.000000	91.915
172.500000	91.983
175.000000	91.987
177.500000	92.030
180.000000	92.048
182.500000	92.078
185.000000	92.061
187.500000	92.090
190.000000	92.136
192.500000	92.165
195.000000	92.191
197.500000	92.243
200.000000	92.282
203.000000	92.344
206.000000	92.391
209.000000	92.429
212.000000	92.451
214.000000	92.470
218.000000	92.537
220.000000	92.550
224.000000	92.610
227.000000	92.594
230.000000	92.623
233.000000	92.649
236.000000	92.678
240.000000	92.723
243.000000	92.735
247.000000	92.732
250.000000	92.733
254.000000	92.749
258.000000	92.778
262.000000	92.736
265.000000	92.733
269.000000	92.714
272.000000	92.700
276.000000	92.689
280.000000	92.690
285.000000	92.674
290.000000	92.683
295.000000	92.703
300.000000	92.700
304.000000	92.734
307.000000	92.729
311.000000	92.759
315.000000	92.761
320.000000	92.775
325.000000	92.758
330.000000	92.716
335.000000	92.638
340.000000	92.514
345.000000	92.396
350.000000	92.240
355.000000	92.089
360.000000	91.957
365.000000	91.919
370.000000	91.895
375.000000	91.908
382.000000	91.970
387.000000	92.018
395.000000	92.084
400.000000	92.118
406.000000	92.154
412.000000	92.039
418.000000	91.977
425.000000	91.830
431.000000	91.683
437.000000	91.566
444.000000	91.446
450.000000	91.409
455.000000	91.484
462.000000	91.651
468.000000	91.660
475.000000	91.739
482.000000	91.886
487.000000	91.928
494.000000	91.991
500.000000	92.011
508.000000	92.042
515.000000	92.122
522.000000	92.150
530.000000	92.171
538.000000	92.229
545.000000	92.221
552.000000	92.194
560.000000	92.245
570.000000	92.261
580.000000	92.315
590.000000	92.355
600.000000	92.386
608.000000	92.445
615.000000	92.591
622.000000	92.821
630.000000	93.096
640.000000	93.375
650.000000	93.559
660.000000	93.649
670.000000	93.684
680.000000	93.686
690.000000	93.761
700.000000	93.934
710.000000	93.902
720.000000	93.953
730.000000	94.175
740.000000	94.335
750.000000	94.475
762.000000	94.705
775.000000	94.959
788.000000	95.185
800.000000	95.355
812.000000	95.233
825.000000	95.213
838.000000	94.808
850.000000	94.474
862.000000	94.206
875.000000	93.981
885.000000	93.760
900.000000	93.783
912.000000	93.961
925.000000	94.392
938.000000	94.474
950.000000	94.879
962.000000	95.055
975.000000	94.933
988.000000	94.928
1000.000000	95.185
1015.000000	95.180
1030.000000	95.233
1044.000000	95.368
1060.000000	95.305
1075.000000	95.487
1090.000000	95.234
1106.000000	95.325
1120.000000	95.783
1138.000000	95.738
1150.000000	95.898
1172.000000	95.639
1180.000000	95.345
1206.000000	94.929
1220.000000	95.334
1241.000000	95.076
1250.000000	94.948
1265.000000	95.146
1280.000000	95.100
1315.000000	95.348
1320.000000	95.218
1340.000000	94.777
1360.000000	94.411
1380.000000	94.103
1400.000000	93.493
1430.000000	93.676
1450.000000	93.576
1475.000000	93.282
1500.000000	92.581
1525.000000	92.313
1550.000000	92.740
1575.000000	92.804
1600.000000	92.101
1625.000000	92.158
1650.000000	92.571
1675.000000	92.526
1700.000000	91.348
1725.000000	90.230
1750.000000	90.940
1775.000000	90.839
1800.000000	90.025
1825.000000	90.044
1850.000000	91.251
1875.000000	90.801
1900.000000	91.788
1925.000000	91.510
1950.000000	91.210
1975.000000	91.256
2000.000000	92.049
2030.000000	91.453
2060.000000	92.304
2090.000000	92.870
2120.000000	93.080
2140.000000	93.079
2180.000000	93.290
2200.000000	94.236
2240.000000	94.077
2270.000000	94.568
2300.000000	94.789
2330.000000	94.857
2360.000000	94.711
2400.000000	95.372
2430.000000	95.865
2470.000000	95.292
2500.000000	95.884
2540.000000	96.303
2580.000000	97.304
2620.000000	97.052
2650.000000	97.537
2690.000000	98.170
2720.000000	98.345
2760.000000	99.106
2800.000000	99.570
2850.000000	99.855
2900.000000	99.959
2950.000000	100.039
3000.000000	100.402
3040.000000	100.427
