* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 389, R 390
* Dated: 9/08/2024 02:32:16 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 389, R 390
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	101.603
20.299999	101.702
20.600000	101.798
20.900000	101.880
21.200001	101.941
21.400000	101.968
21.799999	102.000
22.000000	102.011
22.400000	102.031
22.700001	102.055
23.000000	102.090
23.299999	102.134
23.600000	102.183
24.000000	102.249
24.299999	102.294
24.700001	102.346
25.000000	102.379
25.400000	102.417
25.799999	102.452
26.200001	102.485
26.500000	102.509
26.900000	102.541
27.200001	102.564
27.600000	102.592
28.000000	102.616
28.500000	102.638
29.000000	102.651
29.500000	102.655
30.000000	102.656
30.400000	102.659
30.700001	102.664
31.100000	102.675
31.500000	102.691
32.000000	102.719
32.500000	102.758
33.000000	102.804
33.500000	102.852
34.000000	102.897
34.500000	102.942
35.000000	102.995
35.500000	103.061
36.000000	103.137
36.500000	103.214
37.000000	103.283
37.500000	103.338
38.200001	103.383
38.700001	103.396
39.500000	103.396
40.000000	103.384
40.599998	103.356
41.200001	103.311
41.799999	103.256
42.500000	103.185
43.099998	103.116
43.700001	103.042
44.400002	102.962
45.000000	102.906
45.500000	102.876
46.200001	102.868
46.799999	102.900
47.500000	102.981
48.200001	103.097
48.700001	103.169
49.400002	103.186
50.000000	103.094
50.799999	102.882
51.500000	102.711
52.200001	102.588
53.000000	102.509
53.799999	102.510
54.500000	102.555
55.200001	102.618
56.000000	102.712
57.000000	102.842
58.000000	102.940
59.000000	103.013
60.000000	103.045
60.799999	103.047
61.500000	103.045
62.200001	103.042
63.000000	103.034
64.000000	103.044
65.000000	103.094
66.000000	103.150
67.000000	103.224
68.000000	103.305
69.000000	103.387
70.000000	103.473
71.000000	103.561
72.000000	103.645
73.000000	103.711
74.000000	103.789
75.000000	103.864
76.199997	103.943
77.500000	103.975
78.800003	103.955
80.000000	103.828
81.199997	103.770
82.500000	103.777
83.800003	103.768
85.000000	103.777
86.199997	103.827
87.500000	103.895
88.500000	103.945
90.000000	104.020
91.199997	104.050
92.500000	104.082
93.800003	104.109
95.000000	104.127
96.199997	104.140
97.500000	104.155
98.800003	104.169
100.000000	104.177
101.500000	104.139
103.000000	104.034
104.400002	103.952
106.000000	103.986
107.500000	104.043
109.000000	104.093
110.599998	104.134
112.000000	104.180
113.800003	104.214
115.000000	104.245
117.199997	104.289
118.000000	104.303
120.599998	104.341
122.000000	104.365
124.099998	104.388
125.000000	104.398
126.500000	104.413
128.000000	104.429
131.500000	104.445
132.000000	104.449
134.000000	104.450
136.000000	104.464
138.000000	104.491
140.000000	104.516
143.000000	104.548
145.000000	104.576
147.500000	104.600
150.000000	104.612
152.500000	104.605
155.000000	104.580
157.500000	104.548
160.000000	104.542
162.500000	104.552
165.000000	104.564
167.500000	104.581
170.000000	104.564
172.500000	104.580
175.000000	104.583
177.500000	104.591
180.000000	104.575
182.500000	104.566
185.000000	104.568
187.500000	104.560
190.000000	104.547
192.500000	104.535
195.000000	104.514
197.500000	104.482
200.000000	104.446
203.000000	104.423
206.000000	104.404
209.000000	104.386
212.000000	104.367
214.000000	104.351
218.000000	104.279
220.000000	104.256
224.000000	104.213
227.000000	104.189
230.000000	104.151
233.000000	104.113
236.000000	104.057
240.000000	103.982
243.000000	103.926
247.000000	103.839
250.000000	103.780
254.000000	103.693
258.000000	103.625
262.000000	103.580
265.000000	103.577
269.000000	103.595
272.000000	103.595
276.000000	103.570
280.000000	103.510
285.000000	103.375
290.000000	103.212
295.000000	103.026
300.000000	102.834
304.000000	102.677
307.000000	102.555
311.000000	102.397
315.000000	102.249
320.000000	102.047
325.000000	101.858
330.000000	101.663
335.000000	101.467
340.000000	101.287
345.000000	101.098
350.000000	100.910
355.000000	100.723
360.000000	100.542
365.000000	100.358
370.000000	100.176
375.000000	100.003
382.000000	99.761
387.000000	99.591
395.000000	99.326
400.000000	99.174
406.000000	98.988
412.000000	98.831
418.000000	98.642
425.000000	98.469
431.000000	98.299
437.000000	98.155
444.000000	97.980
450.000000	97.828
455.000000	97.711
462.000000	97.535
468.000000	97.383
475.000000	97.227
482.000000	97.051
487.000000	96.961
494.000000	96.792
500.000000	96.671
508.000000	96.503
515.000000	96.352
522.000000	96.219
530.000000	96.058
538.000000	95.882
545.000000	95.741
552.000000	95.613
560.000000	95.463
570.000000	95.303
580.000000	95.154
590.000000	95.000
600.000000	94.862
608.000000	94.784
615.000000	94.692
622.000000	94.607
630.000000	94.551
640.000000	94.471
650.000000	94.409
660.000000	94.379
670.000000	94.314
680.000000	94.281
690.000000	94.266
700.000000	94.251
710.000000	94.218
720.000000	94.188
730.000000	94.200
740.000000	94.200
750.000000	94.236
762.000000	94.242
775.000000	94.273
788.000000	94.305
800.000000	94.322
812.000000	94.373
825.000000	94.397
838.000000	94.428
850.000000	94.488
862.000000	94.538
875.000000	94.604
885.000000	94.649
900.000000	94.707
912.000000	94.771
925.000000	94.828
938.000000	94.868
950.000000	94.947
962.000000	95.002
975.000000	95.068
988.000000	95.173
1000.000000	95.287
1015.000000	95.424
1030.000000	95.543
1044.000000	95.627
1060.000000	95.696
1075.000000	95.753
1090.000000	95.800
1106.000000	95.866
1120.000000	95.911
1138.000000	95.995
1150.000000	96.048
1172.000000	96.148
1180.000000	96.178
1206.000000	96.305
1220.000000	96.359
1241.000000	96.455
1250.000000	96.493
1265.000000	96.564
1280.000000	96.641
1315.000000	96.808
1320.000000	96.832
1340.000000	96.839
1360.000000	96.870
1380.000000	97.127
1400.000000	97.322
1430.000000	97.542
1450.000000	97.678
1475.000000	97.818
1500.000000	98.018
1525.000000	98.172
1550.000000	98.337
1575.000000	98.493
1600.000000	98.652
1625.000000	98.798
1650.000000	98.969
1675.000000	99.128
1700.000000	99.284
1725.000000	99.438
1750.000000	99.602
1775.000000	99.756
1800.000000	99.909
1825.000000	100.064
1850.000000	100.210
1875.000000	100.337
1900.000000	100.464
1925.000000	100.543
1950.000000	100.601
1975.000000	100.886
2000.000000	101.305
2030.000000	101.581
2060.000000	101.787
2090.000000	102.015
2120.000000	102.218
2140.000000	102.341
2180.000000	102.596
2200.000000	102.715
2240.000000	102.935
2270.000000	103.102
2300.000000	103.293
2330.000000	103.505
2360.000000	103.676
2400.000000	103.892
2430.000000	104.106
2470.000000	104.440
2500.000000	104.716
2540.000000	105.054
2580.000000	105.278
2620.000000	105.437
2650.000000	105.518
2690.000000	105.610
2720.000000	105.833
2760.000000	106.306
2800.000000	106.413
2850.000000	106.678
2900.000000	107.214
2950.000000	107.493
3000.000000	107.623
3040.000000	107.650
3070.000000	107.635
3110.000000	107.573
3150.000000	107.471
3200.000000	107.284
3250.000000	107.327
3300.000000	107.242
3350.000000	107.208
3400.000000	107.177
3450.000000	107.239
3500.000000	107.286
3550.000000	105.932
3600.000000	103.256
3650.000000	101.665
3700.000000	100.752
3750.000000	100.057
3820.000000	99.480
3870.000000	99.163
3950.000000	98.469
4000.000000	98.219
4060.000000	97.954
4120.000000	98.488
4180.000000	99.058
4250.000000	98.911
4310.000000	98.710
4370.000000	98.578
4440.000000	98.267
4500.000000	97.935
4550.000000	97.471
4620.000000	96.925
4680.000000	97.528
4750.000000	98.938
4820.000000	100.042
4870.000000	100.396
4940.000000	100.157
5000.000000	100.293
5080.000000	100.448
5150.000000	100.482
5220.000000	100.550
5300.000000	100.771
5380.000000	100.712
5450.000000	100.710
5520.000000	100.812
5600.000000	101.023
5700.000000	101.310
5800.000000	101.912
5900.000000	102.400
6000.000000	102.788
6080.000000	103.188
6150.000000	103.542
6220.000000	103.685
6300.000000	103.629
6400.000000	103.414
6500.000000	102.694
6600.000000	101.849
6700.000000	100.918
6800.000000	100.196
6900.000000	99.750
7000.000000	99.612
7100.000000	99.753
7200.000000	100.170
7300.000000	100.721
7400.000000	101.251
7500.000000	101.681
7620.000000	102.141
7750.000000	102.527
7880.000000	103.057
8000.000000	103.924
8120.000000	104.829
8250.000000	105.716
8380.000000	106.511
8500.000000	106.978
8620.000000	107.019
8750.000000	106.386
8850.000000	105.269
9000.000000	104.229
9120.000000	103.702
9250.000000	101.662
9380.000000	99.420
9500.000000	98.662
9620.000000	98.823
9750.000000	98.106
9880.000000	98.716
10000.000000	99.242
10150.000000	97.880
10300.000000	96.027
10440.000000	94.321
10600.000000	92.616
10750.000000	91.341
10900.000000	90.125
11060.000000	88.859
11200.000000	88.338
11380.000000	90.172
11500.000000	91.548
11720.000000	92.589
11800.000000	92.784
12060.000000	92.897
12200.000000	93.014
12410.000000	95.004
12500.000000	96.597
12650.000000	99.500
12800.000000	103.011
13150.000000	107.663
13200.000000	107.714
13400.000000	106.625
13600.000000	104.781
13800.000000	102.436
14000.000000	99.086
14300.000000	99.457
14500.000000	99.776
14750.000000	99.835
15000.000000	98.787
15250.000000	95.736
15500.000000	91.516
15750.000000	89.474
16000.000000	88.088
16250.000000	87.788
16500.000000	87.556
16750.000000	89.203
17000.000000	93.358
17250.000000	100.273
17500.000000	99.772
17750.000000	96.792
18000.000000	94.406
18250.000000	92.041
18500.000000	91.067
18750.000000	90.272
19000.000000	89.570
19250.000000	91.365
19500.000000	89.892
19750.000000	92.979
20000.000000	93.998
