* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 399, R 400, R 402, R 403
* Dated: 14/08/2024 01:35:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 399, R 400, R 402, R 403
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	66.312
20.299999	66.602
20.600000	66.970
20.900000	67.372
21.200001	67.742
21.400000	67.942
21.799999	68.193
22.000000	68.248
22.400000	68.271
22.700001	68.296
23.000000	68.398
23.299999	68.604
23.600000	68.893
24.000000	69.302
24.299999	69.553
24.700001	69.767
25.000000	69.850
25.400000	69.920
25.799999	70.023
26.200001	70.197
26.500000	70.370
26.900000	70.631
27.200001	70.842
27.600000	71.141
28.000000	71.454
28.500000	71.829
29.000000	72.120
29.500000	72.300
30.000000	72.428
30.400000	72.562
30.700001	72.708
31.100000	72.958
31.500000	73.230
32.000000	73.525
32.500000	73.741
33.000000	73.931
33.500000	74.165
34.000000	74.435
34.500000	74.662
35.000000	74.798
35.500000	74.894
36.000000	75.054
36.500000	75.313
37.000000	75.596
37.500000	75.823
38.200001	76.061
38.700001	76.250
39.500000	76.608
40.000000	76.810
40.599998	77.013
41.200001	77.201
41.799999	77.399
42.500000	77.664
43.099998	77.915
43.700001	78.140
44.400002	78.338
45.000000	78.503
45.500000	78.670
46.200001	78.904
46.799999	79.076
47.500000	79.304
48.200001	79.598
48.700001	79.790
49.400002	79.981
50.000000	80.128
50.799999	80.379
51.500000	80.593
52.200001	80.768
53.000000	80.982
53.799999	81.216
54.500000	81.415
55.200001	81.645
56.000000	81.925
57.000000	82.167
58.000000	82.389
59.000000	82.660
60.000000	82.916
60.799999	83.142
61.500000	83.333
62.200001	83.500
63.000000	83.668
64.000000	83.893
65.000000	84.177
66.000000	84.401
67.000000	84.598
68.000000	84.840
69.000000	85.012
70.000000	85.207
71.000000	85.448
72.000000	85.642
73.000000	85.845
74.000000	86.083
75.000000	86.284
76.199997	86.511
77.500000	86.765
78.800003	86.992
80.000000	87.224
81.199997	87.401
82.500000	87.632
83.800003	87.895
85.000000	88.055
86.199997	88.277
87.500000	88.472
88.500000	88.651
90.000000	88.884
91.199997	89.066
92.500000	89.258
93.800003	89.454
95.000000	89.602
96.199997	89.767
97.500000	89.962
98.800003	90.124
100.000000	90.284
101.500000	90.460
103.000000	90.663
104.400002	90.829
106.000000	91.024
107.500000	91.183
109.000000	91.341
110.599998	91.524
112.000000	91.670
113.800003	91.852
115.000000	91.978
117.199997	92.174
118.000000	92.262
120.599998	92.495
122.000000	92.617
124.099998	92.802
125.000000	92.886
126.500000	92.991
128.000000	93.098
131.500000	93.366
132.000000	93.397
134.000000	93.568
136.000000	93.689
138.000000	93.820
140.000000	93.956
143.000000	94.130
145.000000	94.245
147.500000	94.371
150.000000	94.512
152.500000	94.634
155.000000	94.749
157.500000	94.858
160.000000	94.982
