* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -11,3 dBFS, measurement signal peak level -11,2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 16/11/2025 02:11:10 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0901 ms (-31 mm, -1,22 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 18,7 ppm
* Measurement: L 1065
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.188	-135.4317
20.299999	101.246	-136.0719
20.600000	101.302	-136.7048
20.900000	101.356	-137.3348
21.200001	101.408	-137.9644
21.400000	101.442	-138.3834
21.799999	101.505	-139.2153
22.000000	101.534	-139.6260
22.400000	101.590	-140.4326
22.700001	101.630	-141.0248
23.000000	101.668	-141.6082
23.299999	101.706	-142.1855
23.600000	101.741	-142.7574
24.000000	101.786	-143.5087
24.299999	101.817	-144.0578
24.700001	101.856	-144.7623
25.000000	101.885	-145.2681
25.400000	101.926	-145.9200
25.799999	101.971	-146.5682
26.200001	102.016	-147.2341
26.500000	102.048	-147.7461
26.900000	102.084	-148.4272
27.200001	102.107	-148.9163
27.600000	102.135	-149.5196
28.000000	102.166	-150.0750
28.500000	102.212	-150.7621
29.000000	102.256	-151.4987
29.500000	102.288	-152.2492
30.000000	102.309	-152.9182
30.400000	102.329	-153.3808
30.700001	102.349	-153.7162
31.100000	102.383	-154.2056
31.500000	102.413	-154.7650
32.000000	102.433	-155.4987
32.500000	102.437	-156.1409
33.000000	102.448	-156.6567
33.500000	102.477	-157.1637
34.000000	102.514	-157.7814
34.500000	102.538	-158.4766
35.000000	102.550	-159.1336
35.500000	102.563	-159.7153
36.000000	102.586	-160.3042
36.500000	102.607	-160.9611
37.000000	102.612	-161.6235
37.500000	102.606	-162.1845
38.200001	102.611	-162.7977
38.700001	102.629	-163.2427
39.500000	102.649	-164.0651
40.000000	102.648	-164.5459
40.599998	102.648	-165.0298
41.200001	102.657	-165.4870
41.799999	102.671	-165.9924
42.500000	102.680	-166.6296
43.099998	102.682	-167.1705
43.700001	102.683	-167.7077
44.400002	102.682	-168.3558
45.000000	102.673	-168.9065
45.500000	102.662	-169.3142
46.200001	102.655	-169.7988
46.799999	102.664	-170.2280
47.500000	102.675	-170.8414
48.200001	102.667	-171.4766
48.700001	102.656	-171.8701
49.400002	102.645	-172.3605
50.000000	102.639	-172.7834
50.799999	102.628	-173.3403
51.500000	102.618	-173.8045
52.200001	102.609	-174.2708
53.000000	102.597	-174.7855
53.799999	102.588	-175.2826
54.500000	102.582	-175.7400
55.200001	102.573	-176.2091
56.000000	102.555	-176.7358
57.000000	102.526	-177.2827
58.000000	102.520	-177.7770
59.000000	102.503	-178.4411
60.000000	102.477	-178.9069
60.799999	102.487	-179.4190
61.500000	102.460	179.9099
62.200001	102.386	179.4966
63.000000	102.342	179.4780
64.000000	102.377	179.1127
65.000000	102.353	178.3398
66.000000	102.300	177.9135
67.000000	102.281	177.5201
68.000000	102.250	177.0053
69.000000	102.209	176.6232
70.000000	102.189	176.2202
71.000000	102.151	175.7181
72.000000	102.115	175.3883
73.000000	102.100	174.9445
74.000000	102.057	174.4642
75.000000	102.022	174.1614
76.199997	101.990	173.6852
77.500000	101.951	173.2683
78.800003	101.910	172.7202
80.000000	101.861	172.3818
81.199997	101.833	171.9880
82.500000	101.794	171.5073
83.800003	101.741	171.0297
85.000000	101.694	170.7263
86.199997	101.663	170.4034
87.500000	101.626	169.9525
88.500000	101.577	169.6295
90.000000	101.526	169.3445
91.199997	101.482	168.9585
92.500000	101.430	168.7248
93.800003	101.387	168.3615
95.000000	101.344	168.1206
96.199997	101.306	167.7381
97.500000	101.254	167.4501
98.800003	101.214	167.0995
100.000000	101.172	166.8529
101.500000	101.116	166.6256
103.000000	101.102	166.3559
104.400002	101.024	165.9968
106.000000	100.963	165.7880
107.500000	100.910	165.5594
109.000000	100.846	165.2667
110.599998	100.803	164.9069
112.000000	100.733	164.7651
113.800003	100.681	164.5452
115.000000	100.656	164.2800
117.199997	100.527	164.2067
118.000000	100.551	164.0378
120.599998	100.430	163.3650
122.000000	100.385	163.3849
124.099998	100.309	163.1830
125.000000	100.274	163.1228
126.500000	100.229	163.0290
128.000000	100.173	162.8444
131.500000	100.044	162.0807
132.000000	100.026	162.1307
134.000000	99.991	162.1262
136.000000	99.930	161.9827
138.000000	99.828	161.8609
140.000000	99.773	161.6229
143.000000	99.701	161.1417
145.000000	99.666	161.0746
147.500000	99.598	161.1359
150.000000	99.408	161.0094
152.500000	99.345	160.7266
155.000000	99.329	160.6603
157.500000	99.202	160.8908
160.000000	99.116	160.6199
162.500000	99.011	160.4943
165.000000	98.957	160.3749
167.500000	98.874	160.3500
170.000000	98.781	160.3422
172.500000	98.652	160.4062
175.000000	98.597	160.4455
177.500000	98.557	160.8933
180.000000	98.463	161.1891
182.500000	98.331	161.3791
185.000000	98.300	161.9535
187.500000	98.338	162.7088
190.000000	98.324	162.3926
192.500000	98.327	162.7568
195.000000	98.251	161.9790
197.500000	98.247	162.0984
200.000000	98.151	161.3652
203.000000	98.066	161.3468
206.000000	97.948	161.5048
209.000000	97.908	161.4269
212.000000	97.803	161.2910
214.000000	97.763	161.6052
218.000000	97.682	161.5904
220.000000	97.620	161.6371
224.000000	97.535	161.8505
227.000000	97.460	161.7733
230.000000	97.398	162.0721
233.000000	97.347	162.1718
236.000000	97.233	162.4341
240.000000	97.161	162.5299
243.000000	97.095	162.6966
247.000000	96.995	162.8701
250.000000	96.952	163.0521
254.000000	96.864	163.3110
258.000000	96.779	163.5296
262.000000	96.715	163.6565
265.000000	96.660	164.0261
269.000000	96.573	164.1711
272.000000	96.520	164.4215
276.000000	96.423	164.6664
280.000000	96.367	165.1103
285.000000	96.265	165.4402
290.000000	96.156	165.8787
295.000000	96.094	166.3197
300.000000	96.014	166.5939
304.000000	95.948	166.8801
307.000000	95.888	167.1648
311.000000	95.867	167.4800
315.000000	95.779	167.8468
320.000000	95.707	168.0969
325.000000	95.633	168.6839
330.000000	95.560	169.2703
335.000000	95.465	169.6864
340.000000	95.403	169.9451
345.000000	95.347	170.4002
350.000000	95.305	170.9100
355.000000	95.234	171.5258
360.000000	95.160	171.9772
365.000000	95.108	172.2675
370.000000	95.076	172.7811
375.000000	94.991	173.3482
382.000000	94.909	173.8470
387.000000	94.857	174.5847
395.000000	94.797	175.0635
400.000000	94.713	175.6333
406.000000	94.647	176.1624
412.000000	94.585	176.6233
418.000000	94.541	177.3281
425.000000	94.476	178.0263
431.000000	94.409	178.5904
437.000000	94.345	179.2382
444.000000	94.266	179.8280
450.000000	94.226	-179.4231
455.000000	94.167	-178.8743
462.000000	94.147	-178.2424
468.000000	94.065	-177.5111
475.000000	94.020	-176.6933
482.000000	93.979	-176.1613
