* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -10,7 dBFS, measurement signal peak level -10,7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 16/11/2025 02:08:02 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0843 ms (-29 mm, -1,14 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 18,5 ppm
* Measurement: R flash
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.590	-135.4278
20.299999	101.649	-136.0351
20.600000	101.710	-136.6502
20.900000	101.770	-137.2815
21.200001	101.828	-137.9323
21.400000	101.865	-138.3738
21.799999	101.930	-139.2598
22.000000	101.959	-139.6947
22.400000	102.012	-140.5283
22.700001	102.049	-141.1136
23.000000	102.087	-141.6673
23.299999	102.127	-142.2029
23.600000	102.168	-142.7349
24.000000	102.225	-143.4567
24.299999	102.266	-144.0106
24.700001	102.315	-144.7529
25.000000	102.347	-145.2962
25.400000	102.385	-145.9841
25.799999	102.422	-146.6253
26.200001	102.461	-147.2357
26.500000	102.493	-147.6898
26.900000	102.535	-148.3073
27.200001	102.565	-148.7830
27.600000	102.601	-149.4249
28.000000	102.631	-150.0531
28.500000	102.663	-150.7902
29.000000	102.696	-151.4790
29.500000	102.734	-152.1614
30.000000	102.770	-152.8702
30.400000	102.795	-153.4461
30.700001	102.810	-153.8680
31.100000	102.828	-154.4018
31.500000	102.846	-154.9041
32.000000	102.872	-155.5142
32.500000	102.899	-156.1341
33.000000	102.923	-156.7615
33.500000	102.943	-157.3709
34.000000	102.962	-157.9503
34.500000	102.982	-158.5164
35.000000	103.002	-159.0889
35.500000	103.020	-159.6702
36.000000	103.034	-160.2470
36.500000	103.044	-160.8065
37.000000	103.053	-161.3424
37.500000	103.061	-161.8550
38.200001	103.077	-162.5531
38.700001	103.090	-163.0625
39.500000	103.105	-163.9087
40.000000	103.108	-164.4212
40.599998	103.110	-164.9854
41.200001	103.116	-165.5164
41.799999	103.123	-166.0552
42.500000	103.126	-166.6822
43.099998	103.125	-167.1763
43.700001	103.129	-167.6414
44.400002	103.136	-168.2007
45.000000	103.141	-168.7078
45.500000	103.142	-169.1380
46.200001	103.137	-169.7335
46.799999	103.129	-170.2132
47.500000	103.120	-170.7195
48.200001	103.119	-171.2157
48.700001	103.120	-171.5924
49.400002	103.118	-172.1353
50.000000	103.114	-172.5929
50.799999	103.106	-173.2044
51.500000	103.092	-173.7245
52.200001	103.075	-174.1827
53.000000	103.065	-174.6583
53.799999	103.062	-175.1881
54.500000	103.053	-175.7043
55.200001	103.033	-176.1741
56.000000	103.016	-176.6177
57.000000	103.009	-177.2428
58.000000	102.982	-177.8731
59.000000	102.962	-178.3550
60.000000	102.952	-178.9057
60.799999	102.935	-179.3551
61.500000	102.919	-179.7245
62.200001	102.904	179.8943
63.000000	102.881	179.4235
64.000000	102.839	178.8752
65.000000	102.803	178.4307
66.000000	102.776	177.9710
67.000000	102.755	177.5366
68.000000	102.742	177.0122
69.000000	102.705	176.4728
70.000000	102.668	176.1336
71.000000	102.656	175.7697
72.000000	102.626	175.2394
73.000000	102.574	174.9094
74.000000	102.556	174.6503
75.000000	102.541	174.1719
76.199997	102.494	173.5919
77.500000	102.442	173.1397
78.800003	102.411	172.6776
80.000000	102.376	172.2502
81.199997	102.328	171.8436
82.500000	102.294	171.6256
83.800003	102.264	171.0383
85.000000	102.196	170.6741
86.199997	102.150	170.3450
87.500000	102.115	169.9405
88.500000	102.072	169.5756
90.000000	102.042	169.2190
91.199997	101.987	168.8029
92.500000	101.947	168.5140
93.800003	101.863	168.2449
95.000000	101.850	168.1214
96.199997	101.807	167.5801
97.500000	101.735	167.3327
98.800003	101.719	167.1782
100.000000	101.682	166.7799
101.500000	101.635	166.5305
103.000000	101.544	166.1392
104.400002	101.491	165.7418
106.000000	101.394	165.5279
107.500000	101.365	165.1711
109.000000	101.344	165.0035
110.599998	101.270	164.6621
112.000000	101.227	164.6563
113.800003	101.146	164.0458
115.000000	101.076	163.9930
117.199997	101.005	163.3558
118.000000	101.003	163.6280
120.599998	100.956	162.7889
122.000000	100.828	162.4771
124.099998	100.801	162.5485
125.000000	100.715	162.0529
126.500000	100.675	162.3263
128.000000	100.539	162.0456
131.500000	100.063	161.3856
132.000000	100.045	163.0775
134.000000	100.028	160.8480
136.000000	100.188	162.1176
138.000000	100.303	161.7663
140.000000	100.181	162.2057
143.000000	100.178	160.4126
145.000000	99.222	163.9560
147.500000	99.660	164.5448
150.000000	100.248	164.7964
152.500000	99.961	162.5780
155.000000	100.008	162.1422
157.500000	99.910	161.5424
160.000000	99.802	161.0072
162.500000	99.749	160.4342
165.000000	99.634	160.7267
167.500000	99.566	160.5488
170.000000	99.483	160.3158
172.500000	99.423	160.1856
175.000000	99.310	160.1053
177.500000	99.250	160.1240
180.000000	99.180	159.9972
182.500000	99.102	160.0586
185.000000	99.037	160.2117
187.500000	98.932	160.1249
190.000000	98.858	160.0510
192.500000	98.808	159.9832
195.000000	98.723	159.9544
197.500000	98.661	159.9618
200.000000	98.596	160.0746
203.000000	98.494	160.2407
206.000000	98.420	160.2870
209.000000	98.343	160.4203
212.000000	98.276	160.5716
214.000000	98.191	160.5949
218.000000	98.103	160.7760
220.000000	98.052	160.9886
224.000000	97.992	161.3019
227.000000	97.943	161.6453
230.000000	97.869	161.7155
233.000000	97.841	161.8411
236.000000	97.852	162.2279
240.000000	97.707	162.1219
243.000000	97.651	162.1047
247.000000	97.593	162.1359
250.000000	97.516	162.3115
254.000000	97.390	162.4620
258.000000	97.349	162.4915
262.000000	97.247	162.8077
265.000000	97.170	163.0016
269.000000	97.077	163.1538
272.000000	97.048	163.4552
276.000000	96.974	163.6148
280.000000	96.901	163.7868
285.000000	96.812	164.3086
290.000000	96.717	164.5851
295.000000	96.629	164.9589
300.000000	96.526	165.3385
304.000000	96.465	165.6651
307.000000	96.425	165.7169
311.000000	96.346	166.1100
315.000000	96.276	166.5590
320.000000	96.198	166.9006
325.000000	96.122	167.1840
330.000000	96.059	167.8571
335.000000	95.990	168.1193
340.000000	95.904	168.5896
345.000000	95.844	169.1540
350.000000	95.785	169.5573
355.000000	95.713	170.0141
360.000000	95.640	170.4758
365.000000	95.597	170.8517
370.000000	95.532	171.3115
375.000000	95.476	171.6913
382.000000	95.384	172.3880
387.000000	95.330	172.8419
395.000000	95.228	173.6733
400.000000	95.154	174.0182
406.000000	95.101	174.7850
412.000000	95.033	175.2603
418.000000	94.982	175.7719
425.000000	94.907	176.3018
431.000000	94.886	177.0365
437.000000	94.791	177.8174
444.000000	94.747	178.3723
450.000000	94.689	179.0511
455.000000	94.655	179.4149
462.000000	94.586	179.9860
468.000000	94.534	-179.1322
475.000000	94.476	-178.2850
482.000000	94.432	-177.7535
487.000000	94.397	-177.1547
494.000000	94.360	-176.4703
500.000000	94.324	-175.8352
508.000000	94.290	-175.0798
515.000000	94.243	-174.2605
522.000000	94.185	-173.4060
530.000000	94.160	-172.4557
538.000000	94.115	-171.6020
545.000000	94.064	-170.9613
552.000000	94.036	-170.1750
560.000000	94.014	-169.2791
570.000000	93.990	-168.1803
580.000000	93.949	-167.1729
590.000000	93.936	-166.1190
600.000000	93.898	-164.7717
608.000000	93.866	-164.0636
615.000000	93.868	-163.3279
622.000000	93.872	-162.3936
630.000000	93.875	-161.2809
640.000000	93.878	-160.4414
650.000000	93.857	-159.4618
660.000000	93.843	-158.2495
670.000000	93.855	-157.1119
680.000000	93.868	-155.9786
690.000000	93.890	-154.9998
700.000000	93.893	-154.0045
710.000000	93.915	-152.8063
720.000000	93.949	-151.7417
730.000000	93.979	-150.6904
740.000000	94.015	-149.7410
750.000000	94.029	-148.7135
762.000000	94.107	-147.4906
775.000000	94.159	-146.3298
788.000000	94.224	-144.9628
800.000000	94.254	-143.7605
812.000000	94.311	-142.6480
825.000000	94.356	-141.6204
838.000000	94.467	-140.4749
850.000000	94.544	-139.3744
862.000000	94.596	-138.3316
875.000000	94.670	-137.2018
885.000000	94.727	-136.3782
900.000000	94.829	-135.1082
912.000000	94.933	-134.1700
925.000000	95.004	-133.1838
938.000000	95.104	-132.0936
950.000000	95.203	-131.3330
962.000000	95.282	-130.3978
975.000000	95.401	-129.5328
988.000000	95.483	-128.5416
1000.000000	95.572	-127.7332
1015.000000	95.680	-126.8334
1030.000000	95.818	-125.6951
1044.000000	95.951	-124.9324
1060.000000	96.069	-123.8983
1075.000000	96.198	-122.9722
1090.000000	96.283	-122.3207
1106.000000	96.450	-121.5947
1120.000000	96.557	-120.6758
1138.000000	96.684	-119.5954
1150.000000	96.812	-119.1970
1172.000000	96.981	-118.0879
1180.000000	97.022	-117.7509
1206.000000	97.235	-116.6590
1220.000000	97.353	-116.2373
1241.000000	97.545	-115.2028
1250.000000	97.610	-114.6873
1265.000000	97.720	-114.1977
1280.000000	97.837	-113.4805
1315.000000	98.115	-112.1233
1320.000000	98.173	-111.9079
1340.000000	98.332	-111.2524
1360.000000	98.510	-110.3514
1380.000000	98.660	-109.7542
1400.000000	98.826	-109.0948
1430.000000	99.058	-107.9814
1450.000000	99.229	-107.2839
1475.000000	99.464	-106.5155
1500.000000	99.687	-105.7935
1525.000000	99.892	-104.9992
1550.000000	100.119	-104.4966
1575.000000	100.368	-103.8085
1600.000000	100.618	-103.2841
1625.000000	100.855	-102.6627
1650.000000	101.104	-102.2431
1675.000000	101.355	-101.8208
1700.000000	101.599	-101.5199
1725.000000	101.877	-101.3062
1750.000000	102.135	-101.1325
1775.000000	102.390	-101.0728
1800.000000	102.666	-101.1035
1825.000000	102.937	-101.3066
1850.000000	103.211	-101.5110
1875.000000	103.484	-101.8414
1900.000000	103.742	-102.3309
1925.000000	104.017	-102.9573
1950.000000	104.261	-103.6876
1975.000000	104.503	-104.5061
2000.000000	104.748	-105.4924
2030.000000	105.012	-106.7958
2060.000000	105.244	-108.2946
2090.000000	105.452	-109.9117
2120.000000	105.627	-111.6085
2140.000000	105.728	-112.8411
2180.000000	105.888	-115.3896
2200.000000	105.940	-116.5911
2240.000000	105.996	-119.0992
2270.000000	105.995	-120.9339
2300.000000	105.967	-122.6465
2330.000000	105.920	-124.3270
2360.000000	105.823	-125.7971
2400.000000	105.691	-127.5292
2430.000000	105.572	-128.6661
2470.000000	105.394	-129.9695
2500.000000	105.247	-130.7021
2540.000000	105.056	-131.5613
2580.000000	104.860	-132.0987
2620.000000	104.678	-132.4442
2650.000000	104.542	-132.5563
2690.000000	104.366	-132.5720
2720.000000	104.257	-132.5042
2760.000000	104.123	-132.3063
2800.000000	103.998	-131.9705
2850.000000	103.879	-131.5226
2900.000000	103.775	-130.8649
2950.000000	103.705	-130.3148
3000.000000	103.677	-129.5166
3040.000000	103.690	-128.9094
3070.000000	103.717	-128.5752
3110.000000	103.759	-128.1384
3150.000000	103.835	-127.7990
3200.000000	103.964	-127.5316
3250.000000	104.117	-127.4966
3300.000000	104.312	-127.6967
3350.000000	104.519	-128.4771
3400.000000	104.751	-129.4909
3450.000000	105.005	-130.9585
3500.000000	105.239	-133.0654
3550.000000	105.467	-135.7670
3600.000000	105.643	-139.1848
3650.000000	105.756	-143.2114
3700.000000	105.779	-147.7383
3750.000000	105.683	-152.6644
3820.000000	105.331	-160.0290
3870.000000	104.927	-165.1822
3950.000000	104.057	-173.0730
4000.000000	103.383	-177.4447
4060.000000	102.531	177.8651
4120.000000	101.619	173.6098
4180.000000	100.696	169.6241
4250.000000	99.665	165.3516
4310.000000	98.813	161.5914
4370.000000	98.031	157.2101
4440.000000	97.221	151.1733
4500.000000	96.596	144.4180
4550.000000	96.135	137.6864
4620.000000	95.672	126.4229
4680.000000	95.455	114.5559
4750.000000	95.537	99.1763
4820.000000	95.965	82.1878
4870.000000	96.435	69.3113
4940.000000	97.133	51.4937
5000.000000	97.672	37.0677
5080.000000	98.070	19.2561
5150.000000	98.112	6.2419
5220.000000	97.886	-4.2737
5300.000000	97.533	-12.8009
5380.000000	97.066	-18.7112
5450.000000	96.655	-21.8599
5520.000000	96.290	-23.7271
5600.000000	95.917	-24.6342
5700.000000	95.517	-24.4039
5800.000000	95.232	-22.8741
5900.000000	94.995	-20.8211
6000.000000	94.807	-18.1003
6080.000000	94.705	-15.3739
6150.000000	94.694	-12.9938
6220.000000	94.659	-10.2288
6300.000000	94.668	-6.8605
6400.000000	94.769	-2.5566
6500.000000	94.916	1.6471
6600.000000	95.203	5.8752
6700.000000	95.536	10.3562
6800.000000	95.941	14.6699
6900.000000	96.385	18.9656
7000.000000	96.976	23.0267
7100.000000	97.654	26.9343
7200.000000	98.405	30.3701
7300.000000	99.281	33.3983
7400.000000	100.287	36.0019
7500.000000	101.432	37.4200
7620.000000	103.021	37.5181
7750.000000	104.939	33.9270
7880.000000	106.850	24.5756
8000.000000	107.983	9.8734
8120.000000	107.903	-6.8798
8250.000000	106.678	-20.4619
8380.000000	105.134	-27.7278
8500.000000	103.859	-30.6956
8620.000000	102.819	-31.8543
8750.000000	101.893	-31.9907
8850.000000	101.331	-31.7030
9000.000000	100.684	-31.2675
9120.000000	100.314	-31.2784
9250.000000	100.077	-32.0703
9380.000000	99.908	-34.2499
9500.000000	99.779	-37.9977
9620.000000	99.541	-43.1592
9750.000000	99.176	-50.7631
9880.000000	98.565	-61.1835
10000.000000	97.594	-73.2612
10150.000000	95.530	-91.2275
10300.000000	92.478	-110.6685
10440.000000	89.295	-133.0571
10600.000000	85.865	-168.9563
10750.000000	85.613	151.9600
10900.000000	86.955	123.8857
11060.000000	88.438	105.1532
11200.000000	89.177	97.7031
11380.000000	91.033	93.4690
11500.000000	92.201	87.2350
11720.000000	93.154	74.9167
11800.000000	93.361	71.2369
12060.000000	93.835	61.2288
12200.000000	94.027	55.5625
12410.000000	94.223	43.6616
12500.000000	94.139	37.1978
12650.000000	93.530	25.8690
12800.000000	92.277	14.6995
13150.000000	87.602	-0.7026
13200.000000	86.723	-1.0411
13400.000000	83.734	-0.0535
13600.000000	80.690	6.5212
13800.000000	78.699	18.4180
14000.000000	77.394	29.7953
14300.000000	76.385	41.4764
14500.000000	75.917	45.4078
14750.000000	74.255	50.7169
15000.000000	72.848	53.6234
15250.000000	70.984	59.3330
15500.000000	68.688	66.3564
15750.000000	62.561	62.5605
16000.000000	67.172	-157.2489
16250.000000	75.616	131.3816
16500.000000	73.955	112.3210
16750.000000	73.093	99.8193
17000.000000	73.325	91.3412
17250.000000	74.967	71.0310
17500.000000	77.340	30.9895
17750.000000	80.438	-21.9001
18000.000000	82.397	-79.9358
18250.000000	83.384	-130.2490
18500.000000	82.769	-174.0546
18750.000000	80.150	152.0857
19000.000000	77.388	137.3367
19250.000000	74.837	124.5782
19500.000000	73.237	114.9033
19750.000000	71.990	112.8276
