* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -17,8 dBFS, measurement signal peak level -12,8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 16/11/2025 02:59:28 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0261 ms (-9,0 mm, -0,35 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 32,9 ppm
* Measurement: L kb02
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.699	178.5143
20.299999	105.668	177.8990
20.600000	105.635	177.3049
20.900000	105.600	176.7402
21.200001	105.565	176.2078
21.400000	105.543	175.8666
21.799999	105.502	175.2020
22.000000	105.482	174.8704
22.400000	105.443	174.1962
22.700001	105.412	173.6835
23.000000	105.377	173.1775
23.299999	105.339	172.6936
23.600000	105.300	172.2401
24.000000	105.249	171.6805
24.299999	105.215	171.2781
24.700001	105.174	170.7353
25.000000	105.144	170.3106
25.400000	105.100	169.7269
25.799999	105.049	169.1564
26.200001	104.994	168.6353
26.500000	104.954	168.2810
26.900000	104.906	167.8364
27.200001	104.875	167.4992
27.600000	104.835	167.0213
28.000000	104.791	166.5171
28.500000	104.727	165.9064
29.000000	104.661	165.3710
29.500000	104.603	164.8849
30.000000	104.553	164.3715
30.400000	104.510	163.9241
30.700001	104.474	163.5849
31.100000	104.421	163.1639
31.500000	104.366	162.7968
32.000000	104.304	162.3918
32.500000	104.251	161.9876
33.000000	104.198	161.5568
33.500000	104.141	161.1257
34.000000	104.081	160.7241
34.500000	104.023	160.3490
35.000000	103.964	159.9890
35.500000	103.906	159.6490
36.000000	103.849	159.3331
36.500000	103.795	159.0244
37.000000	103.743	158.7026
37.500000	103.688	158.3761
38.200001	103.609	157.9543
38.700001	103.556	157.6709
39.500000	103.474	157.1766
40.000000	103.417	156.8533
40.599998	103.345	156.4963
41.200001	103.273	156.1810
41.799999	103.204	155.8869
42.500000	103.125	155.5618
