* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -18,0 dBFS, measurement signal peak level -13,1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 16/11/2025 03:00:48 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0279 ms (-9,6 mm, -0,38 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 28,2 ppm
* Measurement: R 1110
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.309	178.0667
20.299999	105.282	177.5060
20.600000	105.254	176.9409
20.900000	105.225	176.3723
21.200001	105.194	175.8078
21.400000	105.172	175.4396
21.799999	105.126	174.7290
22.000000	105.103	174.3878
22.400000	105.057	173.7288
22.700001	105.024	173.2475
23.000000	104.992	172.7713
23.299999	104.959	172.3002
23.600000	104.925	171.8379
24.000000	104.878	171.2425
24.299999	104.843	170.8154
24.700001	104.796	170.2711
25.000000	104.762	169.8779
25.400000	104.717	169.3691
25.799999	104.673	168.8755
26.200001	104.630	168.3939
26.500000	104.598	168.0352
26.900000	104.557	167.5507
27.200001	104.524	167.1788
27.600000	104.477	166.6780
28.000000	104.423	166.1961
28.500000	104.351	165.6615
29.000000	104.284	165.2009
29.500000	104.227	164.7482
30.000000	104.173	164.2408
30.400000	104.124	163.8101
30.700001	104.083	163.5010
31.100000	104.025	163.1376
31.500000	103.972	162.8252
32.000000	103.917	162.4442
32.500000	103.867	162.0078
33.000000	103.811	161.5373
33.500000	103.747	161.1113
34.000000	103.687	160.7516
34.500000	103.636	160.3896
35.000000	103.583	159.9795
35.500000	103.519	159.5815
36.000000	103.451	159.2857
36.500000	103.396	159.0734
37.000000	103.356	158.8174
37.500000	103.315	158.4487
38.200001	103.228	157.9137
38.700001	103.159	157.6626
39.500000	103.076	157.3425
40.000000	103.031	157.0471
40.599998	102.962	156.6520
41.200001	102.884	156.3451
41.799999	102.815	156.0951
42.500000	102.741	155.7695
43.099998	102.676	155.4948
43.700001	102.614	155.2439
44.400002	102.548	154.9059
45.000000	102.482	154.5889
45.500000	102.422	154.3759
46.200001	102.344	154.1729
46.799999	102.290	154.0036
47.500000	102.232	153.7293
48.200001	102.164	153.4172
48.700001	102.108	153.2333
49.400002	102.034	153.0590
50.000000	101.982	152.9090
50.799999	101.909	152.6275
51.500000	101.833	152.4220
52.200001	101.765	152.2990
53.000000	101.699	152.1025
53.799999	101.622	151.8562
54.500000	101.549	151.7132
55.200001	101.485	151.6086
56.000000	101.417	151.4497
57.000000	101.324	151.2268
58.000000	101.233	151.0805
59.000000	101.148	150.8668
60.000000	101.050	150.7432
60.799999	100.994	150.6650
61.500000	100.940	150.4581
62.200001	100.866	150.3185
63.000000	100.798	150.3136
64.000000	100.731	150.1134
65.000000	100.629	149.9819
66.000000	100.554	150.0231
67.000000	100.491	149.9002
68.000000	100.410	149.7462
69.000000	100.329	149.7108
70.000000	100.266	149.5842
71.000000	100.173	149.4060
72.000000	100.097	149.4716
73.000000	100.041	149.3058
74.000000	99.949	149.2434
75.000000	99.901	149.3145
76.199997	99.828	149.0131
77.500000	99.716	149.0240
78.800003	99.630	148.9849
80.000000	99.546	149.0000
81.199997	99.450	148.9613
82.500000	99.381	149.1477
83.800003	99.297	148.8596
85.000000	99.197	148.9642
86.199997	99.124	148.9581
87.500000	99.059	148.9867
88.500000	98.992	148.8174
90.000000	98.897	149.0140
91.199997	98.832	148.8920
92.500000	98.749	149.1031
93.800003	98.689	148.9819
95.000000	98.588	148.9865
96.199997	98.510	149.1095
97.500000	98.453	148.8644
98.800003	98.287	148.7373
100.000000	98.236	149.1348
101.500000	98.169	149.0848
103.000000	98.116	149.0516
104.400002	98.055	149.1912
106.000000	97.955	148.7780
107.500000	97.835	148.9057
109.000000	97.704	148.8606
110.599998	97.617	148.8829
112.000000	97.540	148.8757
113.800003	97.406	148.8377
115.000000	97.336	148.9580
117.199997	97.135	148.9938
118.000000	97.086	148.7483
120.599998	96.794	148.5722
122.000000	96.688	148.2384
124.099998	96.446	148.4234
125.000000	96.310	148.7605
126.500000	96.183	148.8345
128.000000	95.762	148.7913
131.500000	95.357	148.4531
132.000000	95.317	147.5289
134.000000	94.549	148.5294
136.000000	93.765	149.8641
138.000000	92.800	153.1134
140.000000	91.685	159.8394
143.000000	91.027	-175.0411
145.000000	93.411	-160.0660
147.500000	96.071	-160.1764
150.000000	97.882	-166.3883
152.500000	98.300	-173.4039
155.000000	98.535	-178.9434
157.500000	98.604	178.0096
160.000000	98.558	175.4727
162.500000	98.482	174.3845
165.000000	98.557	174.3505
167.500000	98.531	172.5339
170.000000	98.454	172.9035
172.500000	98.505	172.3226
175.000000	98.585	172.1838
177.500000	98.707	172.8223
180.000000	98.830	173.1361
182.500000	99.039	173.3964
185.000000	99.297	174.0529
187.500000	99.678	174.7241
