* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -9,1 dBFS, measurement signal peak level -7,5 dBFS
* Format: 512k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 7/09/2025 10:33:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0349 ms (-12 mm, -0,47 in) using estimated IR delay relative to Acoustic reference played from 0-20k_R_refR.wav with no timing offset Clock adjustment: 21,5 ppm
* Measurement: l blue
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.795	-119.9867
20.299999	105.800	-121.2405
20.600000	105.778	-122.3368
20.900000	105.743	-123.1656
21.200001	105.719	-123.6760
21.400000	105.727	-123.8917
21.799999	105.811	-124.2602
22.000000	105.884	-124.5466
22.400000	106.062	-125.5617
22.700001	106.183	-126.7277
23.000000	106.262	-128.1105
23.299999	106.291	-129.5000
23.600000	106.283	-130.7288
24.000000	106.252	-131.9728
24.299999	106.247	-132.6661
24.700001	106.288	-133.5262
25.000000	106.342	-134.3158
25.400000	106.411	-135.6649
25.799999	106.438	-137.2180
26.200001	106.412	-138.7123
26.500000	106.371	-139.6819
26.900000	106.312	-140.7646
27.200001	106.273	-141.4882
27.600000	106.223	-142.4357
28.000000	106.160	-143.3864
28.500000	106.043	-144.4268
29.000000	105.897	-145.0642
29.500000	105.757	-145.1978
30.000000	105.660	-144.8563
30.400000	105.641	-144.3083
30.700001	105.677	-143.8188
31.100000	105.803	-143.3031
31.500000	106.004	-143.2646
32.000000	106.286	-144.2592
32.500000	106.481	-146.3193
33.000000	106.507	-148.7742
33.500000	106.376	-150.8344
34.000000	106.178	-152.0073
34.500000	106.018	-152.4144
35.000000	105.934	-152.5428
35.500000	105.897	-152.7486
36.000000	105.871	-152.9915
36.500000	105.866	-153.1381
37.000000	105.914	-153.3266
37.500000	106.010	-153.9276
38.200001	106.104	-155.8468
38.700001	106.049	-157.6968
39.500000	105.719	-160.1501
40.000000	105.436	-160.8960
40.599998	105.099	-161.0759
41.200001	104.782	-160.7932
41.799999	104.463	-160.0079
42.500000	104.132	-158.1312
43.099998	103.963	-155.8281
43.700001	103.925	-153.2741
44.400002	104.057	-150.2377
45.000000	104.349	-148.0411
45.500000	104.682	-147.0095
46.200001	105.150	-146.8940
46.799999	105.486	-147.5682
47.500000	105.814	-149.0363
48.200001	105.996	-151.3455
48.700001	105.968	-153.0875
49.400002	105.734	-154.5258
50.000000	105.498	-154.3669
50.799999	105.313	-152.8147
51.500000	105.308	-150.8804
52.200001	105.488	-148.8382
53.000000	105.938	-147.4598
53.799999	106.499	-148.3353
54.500000	106.853	-151.1484
55.200001	106.896	-154.9063
56.000000	106.548	-158.4079
57.000000	105.815	-159.6164
58.000000	105.159	-156.7581
59.000000	105.063	-151.7136
60.000000	105.326	-148.2334
60.799999	105.573	-145.7293
