* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -5,1 dBFS, measurement signal peak level -7,8 dBFS
* Format: 512k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 7/09/2025 09:53:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0558 ms (-19 mm, -0,75 in) using estimated IR delay relative to Acoustic reference played from 0-20k_R_refR.wav with no timing offset Clock adjustment: 140,9 ppm
* Measurement: R bluetho
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.513	-60.3203
20.299999	101.653	-61.9707
20.600000	101.772	-63.5198
20.900000	101.873	-64.9193
21.200001	101.961	-66.1217
21.400000	102.019	-66.8005
21.799999	102.149	-67.8909
22.000000	102.228	-68.3346
22.400000	102.421	-69.1266
22.700001	102.596	-69.7385
23.000000	102.790	-70.4438
23.299999	102.993	-71.2686
23.600000	103.199	-72.2116
24.000000	103.471	-73.6321
24.299999	103.669	-74.8030
24.700001	103.924	-76.4983
25.000000	104.105	-77.8721
25.400000	104.330	-79.8352
25.799999	104.528	-81.9193
26.200001	104.698	-84.0777
26.500000	104.806	-85.7193
26.900000	104.925	-87.9172
27.200001	104.996	-89.5608
27.600000	105.065	-91.7261
28.000000	105.104	-93.8258
28.500000	105.113	-96.2962
29.000000	105.082	-98.5446
29.500000	105.009	-100.5150
30.000000	104.890	-102.0262
30.400000	104.777	-102.6960
30.700001	104.705	-102.7955
31.100000	104.674	-102.4366
31.500000	104.760	-101.8054
32.000000	105.045	-101.3833
32.500000	105.444	-102.0812
33.000000	105.823	-104.0318
33.500000	106.096	-106.8565
34.000000	106.236	-110.0526
34.500000	106.254	-113.2424
35.000000	106.170	-116.2002
35.500000	106.013	-118.7552
36.000000	105.820	-120.8255
36.500000	105.629	-122.4991
37.000000	105.453	-124.0393
37.500000	105.266	-125.6583
38.200001	104.890	-127.8610
38.700001	104.518	-128.8597
39.500000	103.871	-128.4248
40.000000	103.558	-126.8624
40.599998	103.380	-124.2211
41.200001	103.453	-121.7023
41.799999	103.702	-120.3422
42.500000	103.967	-120.7232
43.099998	103.984	-121.8790
43.700001	103.800	-122.4070
44.400002	103.528	-121.2873
45.000000	103.416	-119.2078
45.500000	103.433	-117.2074
46.200001	103.612	-114.2854
46.799999	103.932	-111.9416
47.500000	104.477	-110.0799
48.200001	105.123	-109.5136
48.700001	105.611	-110.0063
49.400002	106.258	-112.2650
50.000000	106.646	-115.5992
50.799999	106.747	-120.7727
51.500000	106.450	-124.2469
52.200001	105.963	-125.3585
53.000000	105.550	-123.4103
53.799999	105.604	-120.1959
54.500000	105.940	-118.2899
55.200001	106.397	-117.5103
56.000000	106.961	-118.1961
57.000000	107.455	-120.4468
58.000000	107.876	-122.3943
59.000000	108.172	-125.8109
60.000000	108.031	-127.5144
60.799999	108.148	-126.8041
61.500000	108.423	-127.2841
62.200001	108.599	-128.5036
63.000000	108.758	-129.6064
64.000000	108.982	-131.5239
65.000000	109.108	-133.3690
66.000000	109.310	-135.1067
67.000000	109.474	-137.1573
68.000000	109.680	-138.9031
69.000000	109.870	-141.3298
70.000000	109.939	-143.3191
71.000000	110.082	-144.8758
72.000000	110.237	-147.0035
73.000000	110.341	-149.3870
74.000000	110.409	-152.0758
75.000000	110.397	-155.2596
76.199997	110.052	-159.1149
77.500000	109.453	-158.7239
78.800003	109.629	-156.5305
80.000000	109.930	-157.0881
81.199997	110.187	-158.2971
82.500000	110.387	-160.3108
83.800003	110.509	-162.5023
85.000000	110.547	-164.4125
86.199997	110.587	-166.0342
87.500000	110.634	-167.5970
88.500000	110.718	-168.7217
90.000000	110.856	-170.8893
91.199997	110.929	-172.8020
92.500000	110.976	-174.5570
93.800003	111.076	-176.4961
95.000000	111.078	-178.3215
96.199997	111.134	-179.8035
97.500000	111.155	178.0679
98.800003	111.144	176.3068
100.000000	111.146	174.4702
101.500000	111.081	172.3848
103.000000	111.090	170.4628
104.400002	111.034	168.4232
106.000000	111.014	166.4592
107.500000	110.975	164.3425
109.000000	110.848	162.3090
110.599998	110.734	160.9583
112.000000	110.641	159.5576
113.800003	110.549	158.2875
115.000000	110.500	157.0131
117.199997	110.494	155.1822
118.000000	110.478	154.0711
120.599998	110.319	151.2583
122.000000	110.269	150.4596
124.099998	110.188	148.9550
125.000000	110.172	148.1647
126.500000	110.076	146.9533
128.000000	110.008	145.8811
131.500000	109.821	143.2784
132.000000	109.784	142.8920
134.000000	109.704	141.7125
136.000000	109.559	141.1620
138.000000	109.510	140.7285
140.000000	109.392	139.9382
143.000000	109.149	137.8263
145.000000	109.027	135.9933
147.500000	108.939	134.2106
150.000000	108.789	132.7609
152.500000	108.634	130.9746
155.000000	108.502	129.5404
157.500000	108.284	127.8826
160.000000	108.122	126.4660
162.500000	107.903	124.7494
165.000000	107.648	123.3726
167.500000	107.391	122.4721
170.000000	107.193	121.3558
172.500000	106.957	120.6354
175.000000	106.812	119.6282
177.500000	106.612	118.3036
180.000000	106.432	117.2381
182.500000	106.211	116.5564
185.000000	105.945	115.7785
187.500000	105.716	115.3389
190.000000	105.457	115.0536
192.500000	105.250	114.3709
195.000000	105.003	113.9604
197.500000	104.722	113.6587
200.000000	104.561	113.8362
203.000000	104.368	114.1721
206.000000	104.170	114.3287
209.000000	104.033	114.0387
212.000000	103.973	114.1569
214.000000	103.901	113.2295
