* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -13,3 dBFS, measurement signal peak level -8,4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 7/09/2025 10:34:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0190 ms (-6,5 mm, -0,26 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 19,6 ppm
* Measurement: L 1051
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.027	-161.4787
20.299999	102.001	-162.3598
20.600000	101.938	-163.2382
20.900000	101.833	-163.9459
21.200001	101.701	-164.2811
21.400000	101.619	-164.2299
21.799999	101.522	-163.5920
22.000000	101.526	-163.1517
22.400000	101.654	-162.5064
22.700001	101.817	-162.5784
23.000000	101.976	-163.2540
23.299999	102.087	-164.3712
23.600000	102.129	-165.6764
24.000000	102.083	-167.2712
24.299999	102.007	-168.1134
24.700001	101.913	-168.7309
25.000000	101.880	-169.0009
25.400000	101.888	-169.4497
25.799999	101.915	-170.2407
26.200001	101.908	-171.3040
26.500000	101.870	-172.1173
26.900000	101.787	-173.0421
27.200001	101.718	-173.5735
27.600000	101.638	-174.1315
28.000000	101.572	-174.6628
28.500000	101.490	-175.3986
29.000000	101.385	-176.0936
29.500000	101.268	-176.5646
30.000000	101.174	-176.8317
30.400000	101.126	-177.0614
30.700001	101.099	-177.3263
31.100000	101.051	-177.8203
31.500000	100.973	-178.3727
32.000000	100.827	-178.8438
32.500000	100.674	-178.7847
33.000000	100.591	-178.2872
33.500000	100.615	-177.8538
34.000000	100.703	-178.0003
34.500000	100.773	-178.8078
35.000000	100.774	-179.9907
35.500000	100.704	178.8019
36.000000	100.585	177.7441
36.500000	100.435	176.8578
37.000000	100.263	176.1399
37.500000	100.074	175.6131
38.200001	99.801	175.2039
38.700001	99.612	175.0777
39.500000	99.316	174.9755
40.000000	99.120	174.9509
40.599998	98.862	175.0447
41.200001	98.585	175.4018
41.799999	98.309	176.0624
42.500000	97.996	177.1498
43.099998	97.730	178.3862
43.700001	97.476	-179.9342
44.400002	97.245	-177.3863
45.000000	97.130	-174.8902
45.500000	97.094	-172.6776
46.200001	97.158	-169.4389
46.799999	97.346	-166.8773
47.500000	97.671	-164.7334
48.200001	98.018	-163.4217
48.700001	98.283	-162.8556
49.400002	98.686	-162.9722
50.000000	98.959	-164.2207
50.799999	99.038	-166.4838
51.500000	98.914	-167.4869
52.200001	98.824	-167.5173
53.000000	98.797	-167.5603
53.799999	98.747	-167.6478
