* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -13,8 dBFS, measurement signal peak level -11,8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 7/09/2025 09:56:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0222 ms (-7,6 mm, -0,3 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 19,3 ppm
* Measurement: R w
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.626	-103.9001
20.299999	94.664	-104.9954
20.600000	94.678	-105.9026
20.900000	94.682	-106.5520
21.200001	94.698	-106.9279
21.400000	94.728	-107.0741
21.799999	94.837	-107.2842
22.000000	94.916	-107.4389
22.400000	95.101	-107.9993
22.700001	95.241	-108.6476
23.000000	95.366	-109.4130
23.299999	95.475	-110.1853
23.600000	95.577	-110.9002
24.000000	95.725	-111.7551
24.299999	95.856	-112.4083
24.700001	96.056	-113.4570
25.000000	96.209	-114.4501
25.400000	96.392	-116.0330
25.799999	96.533	-117.7717
26.200001	96.633	-119.5054
26.500000	96.689	-120.7518
26.900000	96.748	-122.3421
27.200001	96.781	-123.4997
27.600000	96.808	-125.0051
28.000000	96.815	-126.4381
28.500000	96.800	-128.0794
29.000000	96.772	-129.5938
29.500000	96.721	-131.0724
30.000000	96.621	-132.4389
30.400000	96.501	-133.2305
30.700001	96.400	-133.5168
31.100000	96.294	-133.4285
31.500000	96.268	-132.9599
32.000000	96.387	-132.4330
32.500000	96.627	-132.6963
33.000000	96.875	-134.0392
33.500000	97.040	-136.1878
34.000000	97.087	-138.6405
34.500000	97.035	-141.0105
35.000000	96.913	-143.1631
35.500000	96.734	-145.0990
36.000000	96.495	-146.7705
36.500000	96.198	-147.9970
37.000000	95.876	-148.5844
37.500000	95.583	-148.5662
38.200001	95.274	-148.1546
38.700001	95.089	-148.0082
39.500000	94.717	-147.8159
40.000000	94.426	-147.1047
40.599998	94.122	-145.1404
41.200001	94.032	-142.4198
41.799999	94.180	-140.4052
42.500000	94.380	-140.0926
43.099998	94.335	-140.5504
43.700001	94.127	-140.0582
44.400002	93.933	-137.9284
45.000000	93.888	-135.7152
45.500000	93.879	-133.7558
46.200001	93.954	-130.3325
46.799999	94.226	-127.2178
47.500000	94.748	-124.6727
48.200001	95.379	-123.5616
48.700001	95.883	-123.8601
49.400002	96.542	-126.5818
50.000000	96.823	-130.8545
50.799999	96.524	-136.5755
51.500000	95.811	-138.1135
52.200001	95.262	-135.5299
53.000000	95.174	-131.1660
53.799999	95.423	-127.1200
54.500000	95.920	-124.5335
55.200001	96.428	-124.0979
56.000000	96.777	-124.0846
57.000000	97.323	-124.8865
58.000000	97.177	-128.4021
59.000000	96.831	-123.7830
60.000000	97.946	-122.8695
60.799999	98.194	-127.4216
61.500000	98.041	-128.7068
62.200001	98.185	-128.6505
63.000000	98.424	-130.1040
64.000000	98.561	-131.1110
65.000000	98.848	-132.1479
66.000000	98.980	-133.1698
67.000000	99.213	-133.6374
68.000000	99.368	-134.9878
69.000000	99.458	-135.7137
70.000000	99.603	-136.7037
71.000000	99.708	-137.7855
72.000000	99.857	-138.9637
73.000000	99.969	-140.4648
74.000000	100.079	-141.8496
75.000000	100.174	-143.7987
76.199997	100.112	-146.6655
77.500000	99.604	-149.1634
78.800003	99.109	-146.7046
80.000000	99.232	-144.3907
81.199997	99.539	-143.5467
82.500000	99.788	-144.5710
83.800003	99.895	-144.8914
85.000000	100.014	-145.2545
86.199997	100.123	-145.1747
87.500000	100.331	-145.5314
88.500000	100.447	-146.1942
90.000000	100.600	-147.1724
91.199997	100.718	-148.1043
92.500000	100.825	-149.1625
93.800003	100.929	-150.1622
95.000000	101.002	-151.1826
96.199997	101.062	-151.9904
97.500000	101.132	-152.9940
98.800003	101.179	-153.9007
100.000000	101.228	-154.7715
101.500000	101.273	-155.8315
103.000000	101.316	-156.8956
104.400002	101.335	-157.9774
106.000000	101.360	-158.9749
107.500000	101.355	-160.1714
109.000000	101.374	-161.0679
110.599998	101.328	-162.2072
112.000000	101.308	-162.7169
113.800003	101.299	-163.3987
115.000000	101.330	-164.0679
117.199997	101.335	-165.1010
118.000000	101.267	-166.0448
120.599998	101.279	-166.4133
122.000000	101.182	-166.3368
124.099998	101.268	-166.8963
125.000000	101.318	-167.2483
126.500000	101.337	-167.9058
128.000000	101.373	-168.8404
131.500000	101.307	-170.7023
132.000000	101.293	-170.8907
134.000000	101.236	-171.6229
136.000000	101.228	-171.8731
138.000000	101.274	-172.1397
140.000000	101.310	-173.4450
143.000000	101.341	-174.5329
145.000000	101.355	-175.5402
147.500000	101.348	-176.5148
150.000000	101.329	-177.4898
152.500000	101.304	-178.5555
155.000000	101.266	-179.7099
157.500000	101.212	179.2554
160.000000	101.155	178.0820
162.500000	101.054	177.0537
165.000000	101.023	175.9184
167.500000	100.882	175.2625
170.000000	100.779	174.8468
172.500000	100.776	174.3057
175.000000	100.667	173.4326
177.500000	100.606	172.6428
180.000000	100.477	171.7980
182.500000	100.358	171.0922
185.000000	100.213	170.5767
187.500000	100.113	170.2292
190.000000	100.017	169.8808
192.500000	99.890	169.6090
195.000000	99.757	169.3605
197.500000	99.648	169.2372
200.000000	99.534	169.4376
203.000000	99.474	169.8057
206.000000	99.458	169.6773
209.000000	99.412	169.3094
212.000000	99.466	169.6046
214.000000	99.458	168.7614
218.000000	99.346	167.8102
220.000000	99.289	167.4078
224.000000	99.137	167.0089
227.000000	99.046	166.4122
230.000000	98.948	166.2024
233.000000	98.834	166.2333
236.000000	98.742	165.7451
240.000000	98.518	165.6389
243.000000	98.387	166.3654
247.000000	98.539	167.4955
250.000000	98.585	166.4075
254.000000	98.517	165.7062
258.000000	98.379	164.9721
262.000000	98.275	164.6749
265.000000	98.173	164.3793
269.000000	98.039	164.2664
272.000000	97.972	164.1616
276.000000	97.895	164.1637
280.000000	97.811	163.9147
285.000000	97.707	163.6320
290.000000	97.569	163.3534
295.000000	97.426	162.9984
300.000000	97.287	162.9149
304.000000	97.142	162.6658
307.000000	97.066	162.6501
311.000000	96.979	162.5337
315.000000	96.824	162.6532
320.000000	96.673	162.7985
325.000000	96.558	162.7887
330.000000	96.391	162.9406
335.000000	96.263	163.2285
340.000000	96.144	163.3396
345.000000	96.004	163.5693
350.000000	95.861	163.8361
355.000000	95.745	164.1925
360.000000	95.620	164.4957
365.000000	95.515	164.9040
370.000000	95.390	165.2015
375.000000	95.254	165.5041
382.000000	95.099	166.0379
387.000000	94.973	166.2029
395.000000	94.799	167.0423
400.000000	94.650	167.3705
406.000000	94.476	167.9334
412.000000	94.277	168.7185
418.000000	94.074	169.7053
425.000000	93.904	171.4390
431.000000	93.792	173.0242
437.000000	93.761	174.6494
444.000000	93.794	176.0004
450.000000	93.827	176.6852
455.000000	93.818	177.5272
462.000000	93.831	178.1018
468.000000	93.832	178.7513
475.000000	93.841	179.3416
482.000000	93.742	-179.9626
487.000000	93.735	-179.6137
494.000000	93.679	-179.0814
500.000000	93.661	-178.4521
508.000000	93.583	-177.8974
515.000000	93.532	-177.3427
522.000000	93.492	-176.2941
530.000000	93.440	-175.6966
538.000000	93.337	-174.7985
545.000000	93.293	-174.2214
552.000000	93.215	-173.4101
560.000000	93.145	-172.4052
570.000000	93.074	-171.1252
580.000000	92.975	-169.4819
590.000000	92.909	-167.9377
600.000000	92.893	-166.3326
608.000000	92.887	-164.8188
615.000000	92.895	-163.6324
622.000000	92.968	-162.2759
630.000000	93.014	-161.0375
640.000000	93.110	-159.7211
650.000000	93.228	-158.6615
660.000000	93.311	-158.1353
670.000000	93.353	-157.2478
680.000000	93.385	-156.5250
690.000000	93.393	-155.7683
700.000000	93.342	-154.7028
710.000000	93.388	-153.4660
720.000000	93.379	-152.0721
730.000000	93.463	-150.9092
740.000000	93.527	-149.5791
750.000000	93.590	-148.5249
762.000000	93.713	-146.8799
775.000000	93.818	-145.4349
788.000000	93.991	-143.9152
800.000000	94.168	-142.7232
812.000000	94.353	-141.9585
825.000000	94.535	-141.8062
838.000000	94.561	-141.4554
850.000000	94.541	-140.1732
862.000000	94.687	-138.1998
875.000000	95.017	-137.2357
885.000000	95.157	-137.3319
900.000000	95.293	-137.4515
912.000000	95.355	-137.1830
925.000000	95.419	-136.7571
938.000000	95.461	-136.1022
950.000000	95.507	-135.6493
962.000000	95.525	-134.8778
975.000000	95.554	-133.9905
988.000000	95.583	-132.7993
1000.000000	95.644	-131.5843
1015.000000	95.761	-130.0375
1030.000000	95.919	-128.5391
1044.000000	96.105	-126.9600
1060.000000	96.338	-125.7308
1075.000000	96.559	-124.7926
1090.000000	96.793	-123.9640
1106.000000	97.028	-122.8428
1120.000000	97.234	-122.2466
1138.000000	97.516	-121.3282
1150.000000	97.732	-120.9464
1172.000000	98.058	-120.5045
1180.000000	98.181	-120.3212
1206.000000	98.384	-119.4195
1220.000000	98.681	-118.2282
1241.000000	99.122	-118.3383
1250.000000	99.232	-118.3128
1265.000000	99.456	-118.4122
1280.000000	99.658	-118.3936
1315.000000	100.139	-118.3309
1320.000000	100.190	-118.3485
1340.000000	100.479	-118.4058
1360.000000	100.760	-118.4729
1380.000000	101.042	-118.7781
1400.000000	101.310	-119.1167
1430.000000	101.699	-119.9878
1450.000000	101.924	-120.6471
1475.000000	102.194	-121.5097
1500.000000	102.441	-122.3898
1525.000000	102.645	-123.2702
1550.000000	102.817	-124.0859
1575.000000	103.008	-124.5053
1600.000000	103.252	-125.1614
1625.000000	103.465	-126.2138
1650.000000	103.600	-127.2824
