* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -22,4 dBFS, measurement signal peak level -22,3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 26/07/2024 01:54:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0135 ms (-4,6 mm, -0,18 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: L 49
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.062	179.7283
20.299999	99.038	179.1612
20.600000	99.017	178.5444
20.900000	98.990	177.8863
21.200001	98.953	177.2223
21.400000	98.923	176.8000
21.799999	98.857	176.0418
22.000000	98.825	175.7080
22.400000	98.767	175.0986
22.700001	98.731	174.6481
23.000000	98.697	174.1771
23.299999	98.660	173.6876
23.600000	98.617	173.2047
24.000000	98.554	172.6287
24.299999	98.508	172.2635
24.700001	98.460	171.8280
25.000000	98.434	171.4813
25.400000	98.406	170.9243
25.799999	98.369	170.2605
26.200001	98.312	169.5784
26.500000	98.259	169.1200
26.900000	98.185	168.6149
27.200001	98.136	168.2960
27.600000	98.081	167.8780
28.000000	98.030	167.4144
28.500000	97.959	166.7947
29.000000	97.877	166.2540
29.500000	97.803	165.8288
30.000000	97.749	165.3917
30.400000	97.709	164.9557
30.700001	97.672	164.5908
31.100000	97.611	164.1212
31.500000	97.541	163.7473
32.000000	97.464	163.4208
32.500000	97.411	163.1121
33.000000	97.367	162.6777
33.500000	97.309	162.1529
34.000000	97.231	161.6954
34.500000	97.155	161.3788
35.000000	97.097	161.1118
35.500000	97.051	160.7723
36.000000	96.999	160.3578
36.500000	96.937	159.9583
37.000000	96.876	159.6155
37.500000	96.823	159.2711
38.200001	96.745	158.6975
38.700001	96.675	158.3023
39.500000	96.561	157.8727
40.000000	96.506	157.6411
40.599998	96.446	157.2761
41.200001	96.371	156.8909
41.799999	96.290	156.5993
42.500000	96.208	156.3213
43.099998	96.139	156.0524
43.700001	96.063	155.8089
44.400002	95.981	155.5986
45.000000	95.919	155.3961
45.500000	95.864	155.1972
46.200001	95.781	154.9608
46.799999	95.716	154.8135
47.500000	95.653	154.6119
48.200001	95.593	154.3371
48.700001	95.549	154.0900
49.400002	95.471	153.6834
50.000000	95.382	153.4225
50.799999	95.276	153.3864
51.500000	95.230	153.3394
52.200001	95.180	153.0287
53.000000	95.083	152.7575
53.799999	95.011	152.6978
54.500000	94.965	152.4635
55.200001	94.891	152.1418
56.000000	94.790	151.9503
57.000000	94.679	151.8629
58.000000	94.602	151.8462
59.000000	94.540	151.4976
60.000000	94.410	151.2475
60.799999	94.339	151.4319
61.500000	94.322	151.4088
62.200001	94.287	151.0838
63.000000	94.194	150.7613
64.000000	94.082	150.7039
65.000000	93.983	150.5146
66.000000	93.849	150.6132
67.000000	93.813	150.8993
68.000000	93.785	150.4526
69.000000	93.673	150.1257
70.000000	93.579	150.0958
71.000000	93.495	150.0687
72.000000	93.406	150.0069
73.000000	93.301	150.0945
74.000000	93.232	150.1624
75.000000	93.135	149.9606
76.199997	93.005	150.0409
77.500000	92.921	150.0127
78.800003	92.828	149.9111
80.000000	92.757	149.9691
81.199997	92.704	150.1096
82.500000	92.668	149.7824
83.800003	92.418	149.7329
85.000000	92.350	150.5828
86.199997	92.221	150.4055
87.500000	92.126	150.7652
88.500000	91.991	150.5057
90.000000	91.850	150.9790
91.199997	91.603	151.1772
92.500000	91.475	153.1351
93.800003	91.422	154.4623
95.000000	91.428	155.9677
96.199997	91.472	157.0591
97.500000	91.573	158.0590
98.800003	91.679	158.5978
100.000000	91.870	159.0084
101.500000	92.102	158.0673
103.000000	92.130	156.2502
104.400002	92.021	156.1020
106.000000	91.924	155.7036
107.500000	91.962	155.4333
109.000000	91.802	155.8221
110.599998	91.871	155.0939
112.000000	91.838	155.6517
113.800003	91.792	154.9468
115.000000	91.751	154.7949
117.199997	91.578	155.0067
118.000000	91.537	154.7892
120.599998	91.434	154.3655
122.000000	91.419	154.4346
124.099998	91.298	154.3004
125.000000	91.280	154.4644
126.500000	91.217	154.6983
128.000000	91.145	155.0433
131.500000	91.012	154.5861
132.000000	90.958	154.6626
134.000000	90.874	155.4507
136.000000	90.867	155.8300
138.000000	90.753	155.7697
140.000000	90.715	155.8925
143.000000	90.620	156.2854
145.000000	90.523	156.4327
147.500000	90.495	156.4402
150.000000	90.433	156.7033
152.500000	90.349	156.8137
155.000000	90.300	157.3552
157.500000	90.302	157.3804
160.000000	90.218	158.1450
162.500000	90.038	158.4860
165.000000	90.107	158.6933
167.500000	89.927	158.9052
170.000000	89.897	159.2581
172.500000	89.888	159.4717
175.000000	89.817	159.4152
177.500000	89.801	160.2924
