* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -16,8 dBFS, measurement signal peak level -14,5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 7/09/2025 09:19:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0,0211 ms (-7,2 mm, -0,28 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 19,2 ppm
* Measurement: L black
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.156	-155.7002
20.299999	104.168	-156.4181
20.600000	104.175	-157.0970
20.900000	104.179	-157.7217
21.200001	104.184	-158.2929
21.400000	104.190	-158.6562
21.799999	104.210	-159.3719
22.000000	104.221	-159.7383
22.400000	104.244	-160.5033
22.700001	104.256	-161.0917
23.000000	104.263	-161.6672
23.299999	104.267	-162.2110
23.600000	104.271	-162.7219
24.000000	104.279	-163.3719
24.299999	104.289	-163.8621
24.700001	104.301	-164.5392
25.000000	104.306	-165.0560
25.400000	104.307	-165.7258
25.799999	104.305	-166.3472
26.200001	104.306	-166.9356
26.500000	104.310	-167.3826
26.900000	104.314	-168.0077
27.200001	104.312	-168.4881
27.600000	104.301	-169.1028
28.000000	104.287	-169.6458
28.500000	104.279	-170.2502
29.000000	104.285	-170.9058
29.500000	104.283	-171.6781
30.000000	104.255	-172.4371
30.400000	104.221	-172.9067
30.700001	104.201	-173.1618
31.100000	104.193	-173.4468
31.500000	104.206	-173.7833
32.000000	104.229	-174.3855
32.500000	104.232	-175.1177
33.000000	104.212	-175.7980
33.500000	104.188	-176.3577
34.000000	104.173	-176.8730
34.500000	104.161	-177.4155
35.000000	104.141	-177.9569
35.500000	104.120	-178.4481
36.000000	104.103	-178.9137
36.500000	104.088	-179.4059
37.000000	104.066	-179.9113
37.500000	104.040	179.6265
38.200001	104.013	179.0303
38.700001	104.000	178.5508
39.500000	103.958	177.7358
40.000000	103.925	177.3170
40.599998	103.899	176.8803
41.200001	103.884	176.3813
41.799999	103.862	175.8369
42.500000	103.829	175.2758
43.099998	103.808	174.8198
43.700001	103.781	174.3347
44.400002	103.736	173.8601
45.000000	103.708	173.5647
45.500000	103.696	173.2719
46.200001	103.665	172.7390
46.799999	103.616	172.3720
47.500000	103.581	172.1285
48.200001	103.582	171.6932
