* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -17,1 dBFS, measurement signal peak level -14,3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 7/09/2025 09:01:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0,0189 ms (-6,5 mm, -0,26 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 19,1 ppm
* Measurement: R black
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.553	-158.9566
20.299999	104.569	-159.7209
20.600000	104.574	-160.4743
20.900000	104.571	-161.1832
21.200001	104.562	-161.8185
21.400000	104.556	-162.1985
21.799999	104.553	-162.8830
22.000000	104.556	-163.2092
22.400000	104.571	-163.8839
22.700001	104.586	-164.4360
23.000000	104.595	-165.0263
23.299999	104.597	-165.6258
23.600000	104.591	-166.2035
24.000000	104.578	-166.9043
24.299999	104.568	-167.3761
24.700001	104.563	-167.9673
25.000000	104.565	-168.4162
25.400000	104.569	-169.0506
25.799999	104.569	-169.7191
26.200001	104.563	-170.3860
26.500000	104.555	-170.8658
26.900000	104.544	-171.4713
27.200001	104.536	-171.9049
27.600000	104.527	-172.4627
28.000000	104.517	-172.9926
28.500000	104.508	-173.5945
29.000000	104.509	-174.1311
29.500000	104.528	-174.6589
30.000000	104.562	-175.2722
30.400000	104.595	-175.8880
30.700001	104.616	-176.4492
31.100000	104.627	-177.3382
31.500000	104.601	-178.3324
32.000000	104.495	-179.4786
32.500000	104.325	179.9010
33.000000	104.179	-179.9493
33.500000	104.147	-179.3959
34.000000	104.235	-179.2674
34.500000	104.332	179.9924
35.000000	104.332	178.7463
35.500000	104.227	177.7698
36.000000	104.109	177.4677
36.500000	104.067	177.5268
37.000000	104.098	177.3205
37.500000	104.125	176.6590
38.200001	104.080	175.6082
38.700001	104.026	175.1701
39.500000	104.001	174.6787
40.000000	104.001	174.2040
40.599998	103.976	173.5652
41.200001	103.934	173.0906
41.799999	103.907	172.7364
42.500000	103.890	172.2382
43.099998	103.861	171.7442
43.700001	103.820	171.3237
44.400002	103.779	170.9137
45.000000	103.750	170.5201
45.500000	103.720	170.1648
46.200001	103.671	169.7172
46.799999	103.636	169.3745
47.500000	103.599	168.9308
48.200001	103.557	168.4745
48.700001	103.526	168.1790
49.400002	103.488	167.7706
50.000000	103.452	167.4139
50.799999	103.404	167.0167
51.500000	103.376	166.6825
52.200001	103.346	166.2463
53.000000	103.289	165.7673
53.799999	103.234	165.4221
54.500000	103.195	165.0890
55.200001	103.145	164.7306
56.000000	103.086	164.4110
57.000000	103.028	164.0081
58.000000	102.968	163.5533
59.000000	102.915	163.0803
60.000000	102.855	162.5548
60.799999	102.806	162.1947
61.500000	102.766	161.8923
62.200001	102.726	161.6077
63.000000	102.684	161.3146
64.000000	102.626	160.9552
65.000000	102.565	160.7089
66.000000	102.512	160.4409
67.000000	102.444	160.1858
68.000000	102.380	159.9665
69.000000	102.320	159.7538
70.000000	102.277	159.4016
71.000000	102.201	158.9366
72.000000	102.137	158.6933
73.000000	102.085	158.2768
74.000000	102.018	157.9937
75.000000	101.976	157.7076
76.199997	101.923	157.4092
77.500000	101.856	156.8801
78.800003	101.777	156.9106
80.000000	101.719	156.5729
81.199997	101.649	157.0140
82.500000	101.713	156.5909
83.800003	101.589	155.7326
85.000000	101.449	155.6815
86.199997	101.385	155.6630
87.500000	101.298	155.3463
88.500000	101.240	155.2572
90.000000	101.171	154.9175
91.199997	101.096	154.7464
92.500000	101.031	154.5793
93.800003	100.959	154.5120
95.000000	100.916	154.2730
96.199997	100.830	154.0741
97.500000	100.774	153.9958
98.800003	100.707	153.8424
100.000000	100.667	153.7739
101.500000	100.590	153.4833
103.000000	100.517	153.4831
104.400002	100.435	153.2907
106.000000	100.379	153.3425
107.500000	100.309	153.0946
109.000000	100.246	152.9787
110.599998	100.166	152.9397
112.000000	100.112	152.9169
113.800003	100.033	152.7710
115.000000	99.973	152.7162
117.199997	99.870	152.6300
118.000000	99.839	152.6673
120.599998	99.735	152.4984
122.000000	99.676	152.4654
124.099998	99.583	152.3864
125.000000	99.531	152.3842
126.500000	99.482	152.4153
128.000000	99.421	152.2748
131.500000	99.285	152.2774
132.000000	99.275	152.3011
134.000000	99.196	152.1789
136.000000	99.101	152.3083
138.000000	99.016	152.1961
140.000000	98.957	152.4388
143.000000	98.853	152.3207
145.000000	98.791	152.3572
147.500000	98.678	152.3608
150.000000	98.584	152.4612
152.500000	98.523	152.5898
155.000000	98.413	152.8599
157.500000	98.340	152.6920
160.000000	98.265	152.7954
162.500000	98.154	152.9459
165.000000	98.086	152.9351
167.500000	97.987	153.7947
170.000000	97.919	153.6031
172.500000	97.927	154.5787
175.000000	97.786	153.9507
177.500000	97.690	154.3639
180.000000	97.587	154.5554
182.500000	97.584	154.7019
185.000000	97.462	155.1493
187.500000	97.446	155.5687
190.000000	97.378	155.9416
192.500000	97.396	156.3227
195.000000	97.389	156.6035
197.500000	97.366	156.6687
200.000000	97.356	156.5338
203.000000	97.322	156.7077
206.000000	97.290	156.7211
209.000000	97.297	156.9863
212.000000	97.133	156.5700
214.000000	97.190	155.6147
218.000000	97.081	156.6907
220.000000	97.049	157.0126
224.000000	96.983	157.0235
227.000000	96.884	157.0656
230.000000	96.828	157.3009
233.000000	96.776	157.5934
236.000000	96.722	157.5578
240.000000	96.645	157.8257
243.000000	96.604	157.9574
247.000000	96.524	158.3749
250.000000	96.492	158.3860
254.000000	96.426	158.6178
258.000000	96.331	158.9423
262.000000	96.280	159.0729
265.000000	96.228	159.3757
269.000000	96.181	159.7306
272.000000	96.143	159.9568
276.000000	96.060	160.0800
280.000000	95.995	160.2816
285.000000	95.977	160.5689
290.000000	95.901	161.2523
295.000000	95.828	161.6851
300.000000	95.769	162.0178
304.000000	95.730	162.2424
307.000000	95.685	162.3528
