* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -19,0 dBFS, measurement signal peak level -14,5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 7/09/2025 09:07:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0,0163 ms (-5,6 mm, -0,22 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 19,2 ppm
* Measurement: L default
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.106	-155.4171
20.299999	104.121	-155.8029
20.600000	104.162	-156.1974
20.900000	104.223	-156.7109
21.200001	104.287	-157.4121
21.400000	104.320	-157.9679
21.799999	104.353	-159.1751
22.000000	104.351	-159.7556
22.400000	104.320	-160.7274
22.700001	104.293	-161.2508
23.000000	104.281	-161.6415
23.299999	104.290	-162.0033
23.600000	104.313	-162.4193
24.000000	104.349	-163.1255
24.299999	104.365	-163.7406
24.700001	104.364	-164.5651
25.000000	104.351	-165.1116
25.400000	104.332	-165.7104
25.799999	104.326	-166.2200
26.200001	104.333	-166.7410
26.500000	104.340	-167.1729
26.900000	104.346	-167.7919
27.200001	104.344	-168.2566
27.600000	104.337	-168.8386
28.000000	104.331	-169.3731
28.500000	104.330	-170.0284
29.000000	104.331	-170.7310
29.500000	104.322	-171.4624
30.000000	104.301	-172.1389
30.400000	104.282	-172.6046
30.700001	104.272	-172.9180
31.100000	104.266	-173.3259
31.500000	104.266	-173.7592
32.000000	104.265	-174.3528
32.500000	104.256	-174.9597
33.000000	104.243	-175.5267
33.500000	104.234	-176.0637
34.000000	104.229	-176.6255
34.500000	104.219	-177.2313
35.000000	104.199	-177.8351
35.500000	104.170	-178.3714
36.000000	104.143	-178.8237
36.500000	104.124	-179.2334
37.000000	104.113	-179.6602
37.500000	104.101	179.8719
38.200001	104.072	179.2111
38.700001	104.045	178.8016
39.500000	104.016	178.2207
40.000000	104.006	177.8010
40.599998	103.984	177.2166
41.200001	103.946	176.6571
41.799999	103.907	176.1895
42.500000	103.876	175.6695
43.099998	103.853	175.1675
43.700001	103.824	174.6542
44.400002	103.789	174.1115
45.000000	103.764	173.6897
45.500000	103.748	173.3369
46.200001	103.724	172.8194
46.799999	103.694	172.3896
47.500000	103.655	171.9684
48.200001	103.621	171.5876
48.700001	103.597	171.2805
49.400002	103.547	170.8160
50.000000	103.490	170.5076
50.799999	103.436	170.2868
51.500000	103.432	169.9406
52.200001	103.411	169.2685
53.000000	103.338	168.6927
53.799999	103.323	168.4056
54.500000	103.326	167.7869
55.200001	103.262	167.3624
56.000000	103.260	167.4784
57.000000	103.265	166.6063
58.000000	103.085	167.5800
59.000000	103.457	168.2374
60.000000	103.419	164.7524
60.799999	103.021	164.6493
61.500000	102.983	165.6424
62.200001	103.027	164.9760
63.000000	102.863	164.0295
64.000000	102.743	164.0964
65.000000	102.703	163.4483
66.000000	102.641	163.0974
67.000000	102.627	162.6027
68.000000	102.573	162.2584
69.000000	102.546	162.0466
70.000000	102.498	161.7214
71.000000	102.437	161.4935
72.000000	102.381	161.1845
73.000000	102.315	160.8582
74.000000	102.266	160.5574
75.000000	102.222	160.1633
76.199997	102.163	159.7747
77.500000	102.094	159.4298
78.800003	102.028	159.2428
80.000000	101.971	158.8449
81.199997	101.854	158.4499
82.500000	101.762	158.3702
83.800003	101.709	158.1860
85.000000	101.697	157.8515
86.199997	101.648	157.4188
87.500000	101.593	157.1557
88.500000	101.537	157.0042
90.000000	101.469	156.8897
91.199997	101.418	156.6646
92.500000	101.345	156.3582
93.800003	101.278	156.1605
95.000000	101.219	155.9817
96.199997	101.174	155.8256
97.500000	101.105	155.6829
98.800003	101.058	155.5361
100.000000	100.981	155.3791
101.500000	100.916	155.2030
103.000000	100.838	155.0712
104.400002	100.789	154.7971
106.000000	100.713	154.6687
107.500000	100.656	154.4818
109.000000	100.594	154.3818
110.599998	100.509	154.2289
112.000000	100.448	154.1573
113.800003	100.391	153.9841
115.000000	100.328	153.8012
117.199997	100.254	153.7711
118.000000	100.245	153.6857
120.599998	100.082	153.4700
122.000000	100.040	153.4934
124.099998	99.956	153.3484
125.000000	99.917	153.3077
126.500000	99.868	153.2255
128.000000	99.806	153.0817
131.500000	99.663	153.0974
132.000000	99.657	153.1134
134.000000	99.574	152.9536
136.000000	99.500	152.8989
138.000000	99.405	152.8097
140.000000	99.360	152.9555
143.000000	99.239	152.8683
145.000000	99.179	152.8745
147.500000	99.096	152.7829
150.000000	99.000	152.8160
152.500000	98.921	152.8766
155.000000	98.842	152.8576
157.500000	98.753	152.8043
160.000000	98.659	152.8270
162.500000	98.598	153.0375
165.000000	98.498	152.9022
167.500000	98.438	152.8209
170.000000	98.354	152.9150
172.500000	98.261	153.2944
175.000000	98.236	153.2944
177.500000	98.140	153.0974
180.000000	98.073	153.5581
182.500000	97.998	153.5903
185.000000	97.913	153.8661
187.500000	97.845	153.9588
190.000000	97.761	153.9925
192.500000	97.709	154.1545
195.000000	97.623	154.2592
197.500000	97.591	154.5500
200.000000	97.483	154.7595
203.000000	97.428	155.1600
206.000000	97.362	155.5139
209.000000	97.308	155.9421
212.000000	97.283	156.1620
214.000000	97.249	156.2563
218.000000	97.180	156.4966
220.000000	97.216	156.8119
224.000000	97.119	156.6402
227.000000	97.082	156.6682
230.000000	97.031	156.8207
233.000000	96.991	157.0768
236.000000	96.910	157.1208
240.000000	96.851	157.2138
243.000000	96.820	157.4644
247.000000	96.713	157.7251
250.000000	96.675	157.7589
254.000000	96.616	157.9613
258.000000	96.575	158.2175
262.000000	96.497	158.4305
265.000000	96.463	158.7419
269.000000	96.369	158.8536
272.000000	96.333	159.0596
276.000000	96.248	159.3009
280.000000	96.217	159.6146
285.000000	96.142	159.9441
290.000000	96.063	160.1168
295.000000	96.007	160.5849
300.000000	95.929	161.1035
304.000000	95.886	161.3469
307.000000	95.843	161.5378
311.000000	95.760	161.8034
315.000000	95.746	162.1234
320.000000	95.695	162.5819
325.000000	95.615	163.0056
330.000000	95.569	163.2282
335.000000	95.532	163.5377
340.000000	95.484	163.9958
345.000000	95.435	164.3628
350.000000	95.374	164.7840
355.000000	95.347	165.1974
360.000000	95.311	165.6358
365.000000	95.280	165.8979
370.000000	95.237	166.1061
375.000000	95.182	166.6174
382.000000	95.152	167.0075
387.000000	95.149	167.2775
395.000000	95.078	167.7828
400.000000	95.018	168.2203
406.000000	95.000	168.8043
412.000000	94.948	168.9614
418.000000	94.914	169.4479
425.000000	94.854	169.9080
431.000000	94.815	170.2102
437.000000	94.811	170.6094
444.000000	94.747	171.1835
450.000000	94.731	171.5229
455.000000	94.698	171.9500
462.000000	94.702	172.3204
468.000000	94.620	172.8470
475.000000	94.620	173.1965
482.000000	94.579	173.7422
487.000000	94.544	174.0597
494.000000	94.521	174.5196
500.000000	94.501	174.9012
508.000000	94.466	175.4404
515.000000	94.467	175.9363
522.000000	94.414	176.3916
530.000000	94.391	176.8786
538.000000	94.371	177.5566
545.000000	94.358	177.8946
552.000000	94.334	178.2137
560.000000	94.295	179.0396
570.000000	94.283	179.5544
580.000000	94.259	-179.8420
590.000000	94.255	-179.1387
600.000000	94.211	-178.5032
608.000000	94.206	-177.8577
615.000000	94.210	-177.5526
622.000000	94.186	-177.0064
630.000000	94.185	-176.5163
640.000000	94.177	-175.9922
650.000000	94.152	-175.0782
660.000000	94.150	-174.5988
670.000000	94.136	-173.8040
680.000000	94.151	-173.2587
690.000000	94.154	-172.5213
700.000000	94.178	-171.7977
710.000000	94.144	-170.9947
720.000000	94.166	-170.3543
730.000000	94.160	-169.6723
740.000000	94.173	-168.9062
750.000000	94.202	-168.3136
762.000000	94.243	-167.4579
775.000000	94.270	-166.5990
788.000000	94.321	-166.0408
800.000000	94.343	-165.5310
812.000000	94.320	-164.7516
825.000000	94.325	-163.4677
838.000000	94.416	-162.3767
850.000000	94.503	-161.5352
862.000000	94.588	-160.6141
875.000000	94.671	-160.3117
885.000000	94.751	-159.5964
900.000000	94.865	-158.9176
912.000000	94.924	-158.5566
925.000000	94.997	-158.1087
938.000000	95.080	-157.4512
950.000000	95.161	-157.2187
962.000000	95.215	-156.6199
975.000000	95.280	-156.3769
988.000000	95.384	-155.6767
1000.000000	95.440	-155.3067
1015.000000	95.524	-154.9756
1030.000000	95.595	-154.5711
1044.000000	95.690	-154.0948
1060.000000	95.791	-153.5845
1075.000000	95.893	-153.1637
1090.000000	95.970	-152.7923
1106.000000	96.096	-152.4713
1120.000000	96.145	-152.3048
1138.000000	96.255	-151.8347
1150.000000	96.339	-151.5872
1172.000000	96.476	-151.1592
1180.000000	96.501	-151.0298
1206.000000	96.653	-150.8172
1220.000000	96.737	-150.7649
1241.000000	96.843	-150.4570
1250.000000	96.879	-150.3729
1265.000000	97.003	-150.1602
1280.000000	97.042	-149.9651
1315.000000	97.223	-149.7895
1320.000000	97.221	-149.6445
1340.000000	97.327	-149.4960
1360.000000	97.424	-149.3947
1380.000000	97.505	-149.2782
1400.000000	97.609	-149.2532
1430.000000	97.721	-148.9752
1450.000000	97.803	-148.8533
1475.000000	97.915	-148.7243
1500.000000	98.041	-148.4878
1525.000000	98.113	-148.4498
1550.000000	98.218	-148.3058
1575.000000	98.308	-148.1629
