* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -19,0 dBFS, measurement signal peak level -14,3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 7/09/2025 08:57:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0,0171 ms (-5,9 mm, -0,23 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 19,1 ppm
* Measurement: R default
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.552	-157.8135
20.299999	104.572	-158.5207
20.600000	104.584	-159.2453
20.900000	104.586	-159.9560
21.200001	104.580	-160.6165
21.400000	104.575	-161.0168
21.799999	104.565	-161.7291
22.000000	104.564	-162.0531
22.400000	104.573	-162.6811
22.700001	104.587	-163.1711
23.000000	104.603	-163.6997
23.299999	104.618	-164.2648
23.600000	104.628	-164.8526
24.000000	104.633	-165.6401
24.299999	104.630	-166.2087
24.700001	104.623	-166.9175
25.000000	104.617	-167.4108
25.400000	104.613	-168.0323
25.799999	104.613	-168.6433
26.200001	104.614	-169.2700
26.500000	104.614	-169.7508
26.900000	104.607	-170.3863
27.200001	104.599	-170.8387
27.600000	104.587	-171.3952
28.000000	104.579	-171.9181
28.500000	104.575	-172.5950
29.000000	104.564	-173.3311
29.500000	104.534	-174.0356
30.000000	104.497	-174.5786
30.400000	104.481	-174.9066
30.700001	104.481	-175.1494
31.100000	104.494	-175.5596
31.500000	104.507	-176.1013
32.000000	104.500	-176.8821
32.500000	104.468	-177.6078
33.000000	104.431	-178.1947
33.500000	104.404	-178.7068
34.000000	104.386	-179.2265
34.500000	104.368	-179.7639
35.000000	104.352	179.6888
35.500000	104.334	179.1096
36.000000	104.305	178.5130
36.500000	104.262	177.9945
37.000000	104.221	177.6325
37.500000	104.202	177.3537
38.200001	104.206	176.7918
38.700001	104.196	176.2305
39.500000	104.139	175.4570
40.000000	104.109	175.1268
40.599998	104.093	174.6982
41.200001	104.071	174.1324
41.799999	104.026	173.5955
42.500000	103.975	173.1595
43.099998	103.955	172.7657
43.700001	103.927	172.2322
44.400002	103.864	171.6969
45.000000	103.825	171.4604
45.500000	103.825	171.1932
46.200001	103.819	170.4167
46.799999	103.746	169.6921
47.500000	103.634	169.4229
48.200001	103.606	169.4549
48.700001	103.622	169.2190
49.400002	103.608	168.5655
50.000000	103.557	168.1329
50.799999	103.510	167.8065
51.500000	103.488	167.4094
52.200001	103.449	166.9463
53.000000	103.396	166.5293
53.799999	103.350	166.1362
54.500000	103.308	165.7646
55.200001	103.259	165.4240
56.000000	103.207	165.0987
57.000000	103.154	164.6733
58.000000	103.096	164.2083
59.000000	103.045	163.7789
60.000000	102.988	163.2546
60.799999	102.929	162.9271
61.500000	102.890	162.7236
62.200001	102.864	162.4519
63.000000	102.822	162.0387
64.000000	102.746	161.6430
65.000000	102.693	161.3693
66.000000	102.637	160.9272
67.000000	102.558	160.6835
68.000000	102.524	160.4606
69.000000	102.467	160.0209
70.000000	102.403	159.7932
71.000000	102.359	159.4512
72.000000	102.285	159.1418
73.000000	102.236	158.9639
74.000000	102.181	158.5906
75.000000	102.111	158.4362
76.199997	102.074	158.0772
77.500000	101.966	157.7145
78.800003	101.920	157.5356
80.000000	101.848	157.2100
81.199997	101.782	157.0052
82.500000	101.716	156.9693
83.800003	101.691	156.5688
85.000000	101.597	156.2152
86.199997	101.525	156.0690
87.500000	101.450	155.8137
88.500000	101.386	155.6823
90.000000	101.321	155.4893
91.199997	101.254	155.2378
92.500000	101.190	155.1334
93.800003	101.136	154.8654
95.000000	101.056	154.7246
96.199997	101.010	154.6810
97.500000	100.952	154.4497
98.800003	100.887	154.2431
100.000000	100.814	154.1059
101.500000	100.750	154.0302
103.000000	100.675	153.8523
104.400002	100.620	153.7611
106.000000	100.542	153.6486
107.500000	100.486	153.5156
109.000000	100.415	153.3776
110.599998	100.342	153.2889
112.000000	100.276	153.1030
113.800003	100.188	153.1221
115.000000	100.142	153.0261
117.199997	100.056	152.9451
118.000000	100.025	152.8399
120.599998	99.905	152.7094
122.000000	99.841	152.7136
124.099998	99.771	152.6517
125.000000	99.740	152.6273
126.500000	99.681	152.6255
128.000000	99.628	152.5509
131.500000	99.463	152.4872
132.000000	99.445	152.5426
134.000000	99.388	152.5101
136.000000	99.305	152.4584
138.000000	99.225	152.4193
140.000000	99.165	152.4861
143.000000	99.054	152.4185
145.000000	98.983	152.5525
147.500000	98.895	152.5595
150.000000	98.832	152.6443
152.500000	98.737	152.6816
155.000000	98.644	152.7251
157.500000	98.558	152.6940
160.000000	98.503	152.9099
162.500000	98.405	152.9369
165.000000	98.354	153.0236
167.500000	98.271	153.1965
170.000000	98.220	153.2275
172.500000	98.126	153.3450
175.000000	98.000	153.4005
177.500000	97.979	153.5406
180.000000	97.916	153.5797
182.500000	97.860	153.7138
185.000000	97.792	153.8665
187.500000	97.709	153.9068
190.000000	97.648	154.0735
192.500000	97.582	154.0677
195.000000	97.519	154.3482
197.500000	97.460	154.4263
200.000000	97.406	154.6635
203.000000	97.319	155.0421
206.000000	97.244	155.1361
209.000000	97.171	155.2227
212.000000	97.096	155.6461
214.000000	96.996	155.5649
218.000000	96.938	156.0627
220.000000	96.897	155.9179
224.000000	96.789	156.6436
227.000000	96.729	156.8730
230.000000	96.672	157.1754
233.000000	96.631	157.4600
236.000000	96.543	157.8194
240.000000	96.449	158.5314
243.000000	96.407	159.1393
247.000000	96.407	160.2389
250.000000	96.397	160.6606
254.000000	96.483	161.0148
258.000000	96.496	160.6995
262.000000	96.413	160.7161
265.000000	96.419	160.6063
269.000000	96.391	160.5498
272.000000	96.355	160.6036
276.000000	96.304	160.8210
280.000000	96.229	160.8963
285.000000	96.147	161.1427
290.000000	96.100	161.4520
295.000000	96.006	161.6581
300.000000	95.966	162.0692
304.000000	95.912	162.2233
307.000000	95.866	162.5215
311.000000	95.832	162.7023
315.000000	95.766	162.8746
320.000000	95.725	163.5222
325.000000	95.653	163.5903
330.000000	95.601	163.9713
335.000000	95.537	164.4193
340.000000	95.525	164.6473
345.000000	95.441	165.0997
350.000000	95.399	165.4299
355.000000	95.385	165.8778
360.000000	95.319	166.1226
365.000000	95.282	166.3589
370.000000	95.244	166.9658
375.000000	95.212	167.3061
382.000000	95.157	167.6669
387.000000	95.145	167.9219
395.000000	95.061	168.5213
400.000000	95.029	168.9083
406.000000	95.001	169.3895
412.000000	94.946	169.7088
418.000000	94.931	170.1432
425.000000	94.858	170.6068
431.000000	94.854	171.0195
437.000000	94.801	171.4577
444.000000	94.755	172.0260
450.000000	94.741	172.3583
455.000000	94.710	172.6555
462.000000	94.677	173.2297
468.000000	94.636	173.4990
475.000000	94.603	174.0350
482.000000	94.596	174.6560
487.000000	94.549	174.9589
494.000000	94.507	175.5566
500.000000	94.521	176.0114
508.000000	94.510	176.7603
515.000000	94.497	177.3152
522.000000	94.507	177.6719
530.000000	94.516	177.9752
538.000000	94.516	178.3879
545.000000	94.477	178.5636
552.000000	94.483	179.2617
560.000000	94.427	179.5956
570.000000	94.411	-179.8434
580.000000	94.396	-179.0873
590.000000	94.372	-178.6029
600.000000	94.355	-177.8343
608.000000	94.329	-177.3914
615.000000	94.323	-176.9593
622.000000	94.350	-176.6329
630.000000	94.314	-175.8544
640.000000	94.328	-175.3014
650.000000	94.284	-174.7347
660.000000	94.278	-174.1931
670.000000	94.306	-173.5177
680.000000	94.290	-172.7494
690.000000	94.263	-172.1619
700.000000	94.319	-171.2659
710.000000	94.292	-170.7574
720.000000	94.312	-170.1511
730.000000	94.363	-169.4103
740.000000	94.340	-168.9073
750.000000	94.391	-168.0557
762.000000	94.504	-167.0505
775.000000	94.585	-167.0721
788.000000	94.623	-166.9771
800.000000	94.612	-167.4209
812.000000	94.415	-167.2216
825.000000	94.233	-165.3423
838.000000	94.301	-163.2124
850.000000	94.379	-162.0943
862.000000	94.501	-161.0804
875.000000	94.648	-160.2464
885.000000	94.717	-159.7920
900.000000	94.812	-159.0610
912.000000	94.903	-158.4752
925.000000	95.009	-158.1909
938.000000	95.077	-157.4812
950.000000	95.174	-157.0999
962.000000	95.221	-156.6647
975.000000	95.307	-156.2410
988.000000	95.396	-155.7332
1000.000000	95.448	-155.3868
1015.000000	95.564	-154.9694
1030.000000	95.643	-154.6455
1044.000000	95.715	-154.1062
1060.000000	95.814	-153.7026
1075.000000	95.905	-153.3082
1090.000000	96.001	-152.9864
1106.000000	96.088	-152.6608
1120.000000	96.166	-152.3368
1138.000000	96.290	-152.0858
1150.000000	96.352	-151.6979
1172.000000	96.470	-151.5807
1180.000000	96.517	-151.4372
1206.000000	96.658	-151.1028
1220.000000	96.762	-150.8099
1241.000000	96.840	-150.7137
1250.000000	96.896	-150.4716
1265.000000	96.973	-150.4072
1280.000000	97.025	-150.2815
1315.000000	97.195	-149.8970
1320.000000	97.221	-149.9245
1340.000000	97.303	-149.7546
1360.000000	97.411	-149.7526
1380.000000	97.481	-149.6899
1400.000000	97.558	-149.5823
1430.000000	97.693	-149.2807
1450.000000	97.773	-149.0114
1475.000000	97.868	-149.0738
1500.000000	97.950	-148.8937
1525.000000	98.040	-148.7116
1550.000000	98.116	-148.6738
1575.000000	98.249	-148.5511
1600.000000	98.319	-148.2372
1625.000000	98.402	-148.2426
1650.000000	98.517	-148.1485
1675.000000	98.612	-148.0611
1700.000000	98.686	-147.9708
1725.000000	98.784	-147.8281
1750.000000	98.890	-147.7298
1775.000000	98.980	-147.7709
1800.000000	99.069	-147.6721
1825.000000	99.171	-147.5231
1850.000000	99.250	-147.6435
1875.000000	99.362	-147.5741
1900.000000	99.425	-147.4919
1925.000000	99.534	-147.5073
1950.000000	99.630	-147.5829
1975.000000	99.732	-147.6527
2000.000000	99.817	-147.5786
2030.000000	99.951	-147.5548
2060.000000	100.057	-147.7556
2090.000000	100.182	-147.8888
2120.000000	100.284	-147.9419
2140.000000	100.377	-148.1452
2180.000000	100.539	-148.3896
2200.000000	100.614	-148.4562
2240.000000	100.765	-148.8320
2270.000000	100.866	-149.1026
2300.000000	101.001	-149.4027
2330.000000	101.118	-149.6311
2360.000000	101.238	-150.0287
2400.000000	101.380	-150.5026
2430.000000	101.495	-150.9733
2470.000000	101.624	-151.5599
2500.000000	101.737	-152.1242
2540.000000	101.857	-152.6857
2580.000000	102.002	-153.5161
2620.000000	102.131	-154.2831
2650.000000	102.212	-154.8907
2690.000000	102.338	-155.7244
2720.000000	102.407	-156.3604
2760.000000	102.516	-157.4819
2800.000000	102.606	-158.4158
2850.000000	102.714	-159.8210
2900.000000	102.802	-161.0695
2950.000000	102.883	-162.4891
3000.000000	102.943	-163.8186
3040.000000	102.993	-164.9554
3070.000000	103.000	-165.8543
3110.000000	103.037	-167.1058
3150.000000	103.040	-168.2055
3200.000000	103.038	-169.7696
3250.000000	103.027	-171.1830
3300.000000	102.987	-172.6643
3350.000000	102.932	-174.1453
3400.000000	102.874	-175.4888
3450.000000	102.789	-176.9563
3500.000000	102.706	-178.1319
3550.000000	102.612	-179.4270
3600.000000	102.477	179.3604
3650.000000	102.363	178.1970
3700.000000	102.208	177.0961
3750.000000	102.066	176.0038
3820.000000	101.859	174.7433
3870.000000	101.682	173.8419
3950.000000	101.395	172.6265
4000.000000	101.217	171.8748
4060.000000	100.970	171.2073
4120.000000	100.735	170.7221
4180.000000	100.499	170.2025
4250.000000	100.245	169.9415
4310.000000	100.013	169.8572
4370.000000	99.821	169.6508
4440.000000	99.566	169.4611
4500.000000	99.351	169.5246
4550.000000	99.186	169.4747
4620.000000	98.917	169.4453
4680.000000	98.702	169.4827
4750.000000	98.460	169.6643
4820.000000	98.182	169.9614
4870.000000	97.986	170.0682
4940.000000	97.703	170.6221
5000.000000	97.402	170.9845
5080.000000	96.895	172.7992
5150.000000	96.882	178.8190
5220.000000	97.298	176.3444
5300.000000	96.961	175.4945
5380.000000	96.695	176.2769
5450.000000	96.480	177.3116
5520.000000	96.290	178.2188
5600.000000	96.108	179.6559
5700.000000	95.923	-178.6127
5800.000000	95.756	-177.1145
5900.000000	95.584	-175.1452
6000.000000	95.483	-173.2784
6080.000000	95.441	-171.6791
6150.000000	95.362	-170.5360
6220.000000	95.317	-169.0826
6300.000000	95.309	-167.3960
6400.000000	95.351	-165.7481
6500.000000	95.380	-163.8410
6600.000000	95.457	-161.5149
6700.000000	95.583	-159.7685
6800.000000	95.740	-158.3555
6900.000000	95.938	-156.6218
7000.000000	96.132	-155.1051
7100.000000	96.412	-154.0186
7200.000000	96.755	-152.9921
7300.000000	97.129	-152.3213
7400.000000	97.543	-152.0046
7500.000000	97.975	-152.6261
7620.000000	98.542	-153.9509
7750.000000	99.139	-156.8021
7880.000000	99.646	-161.6622
8000.000000	99.931	-167.1380
8120.000000	99.914	-173.8002
8250.000000	99.566	179.2072
8380.000000	98.841	173.4498
8500.000000	98.068	169.3998
8620.000000	97.189	167.0045
8750.000000	96.206	166.1655
8850.000000	95.539	165.9514
9000.000000	94.618	167.3586
9120.000000	94.043	169.9066
9250.000000	93.557	171.1983
9380.000000	93.194	173.1915
9500.000000	92.889	174.2629
9620.000000	92.584	175.0613
9750.000000	92.222	175.7361
9880.000000	91.770	175.9397
10000.000000	91.366	177.3244
10150.000000	90.815	178.7258
10300.000000	90.218	-179.1194
10440.000000	89.794	-175.8065
10600.000000	89.338	-172.3094
10750.000000	88.959	-168.6342
10900.000000	88.782	-164.4173
11060.000000	88.534	-159.9921
11200.000000	88.443	-156.0893
11380.000000	88.543	-151.3407
11500.000000	88.586	-148.2352
11720.000000	88.812	-142.6703
11800.000000	89.028	-141.0612
12060.000000	89.674	-134.9457
12200.000000	90.095	-132.6323
12410.000000	90.925	-129.6339
12500.000000	91.408	-128.5585
12650.000000	92.272	-127.3848
12800.000000	93.254	-127.2523
13150.000000	95.885	-134.4490
13200.000000	96.310	-136.4840
13400.000000	97.578	-148.6893
13600.000000	97.923	-165.3523
13800.000000	97.494	-179.1848
14000.000000	95.949	167.8431
14300.000000	93.627	159.5849
14500.000000	92.350	157.6392
14750.000000	91.079	156.7251
15000.000000	90.143	156.6180
15250.000000	89.338	156.8998
15500.000000	88.676	155.0945
15750.000000	88.344	154.6640
16000.000000	87.859	151.7693
16250.000000	87.378	147.4451
16500.000000	86.977	143.3643
16750.000000	86.310	138.8582
17000.000000	85.626	134.9477
17250.000000	84.710	129.7301
17500.000000	83.924	127.1471
17750.000000	83.153	124.3008
18000.000000	82.122	120.5713
18250.000000	81.429	118.5800
18500.000000	80.711	115.8792
18750.000000	80.415	112.7024
19000.000000	80.242	108.7996
19250.000000	79.917	101.9432
19500.000000	79.994	93.2081
19750.000000	78.780	81.1626
