* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -19,0 dBFS, measurement signal peak level -14,4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 7/09/2025 09:12:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0,0173 ms (-5,9 mm, -0,23 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 19,2 ppm
* Measurement: L white
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.094	-154.9426
20.299999	104.117	-155.5338
20.600000	104.146	-156.1263
20.900000	104.180	-156.7594
21.200001	104.212	-157.4597
21.400000	104.227	-157.9554
21.799999	104.240	-158.9598
22.000000	104.238	-159.4362
22.400000	104.224	-160.2789
22.700001	104.216	-160.8156
23.000000	104.215	-161.3127
23.299999	104.222	-161.8214
23.600000	104.229	-162.3596
24.000000	104.231	-163.0998
24.299999	104.226	-163.6220
24.700001	104.220	-164.2348
25.000000	104.223	-164.6599
25.400000	104.238	-165.2677
25.799999	104.248	-165.9759
26.200001	104.236	-166.6938
26.500000	104.216	-167.1348
26.900000	104.194	-167.5367
27.200001	104.199	-167.7722
27.600000	104.234	-168.1976
28.000000	104.270	-168.9054
28.500000	104.253	-169.9801
29.000000	104.178	-170.6730
29.500000	104.146	-170.8626
30.000000	104.204	-171.2755
30.400000	104.244	-172.1479
30.700001	104.222	-172.9832
31.100000	104.113	-173.8206
31.500000	103.980	-173.9218
32.000000	103.947	-173.2438
32.500000	104.109	-173.0398
33.000000	104.273	-174.1595
33.500000	104.267	-175.7667
34.000000	104.140	-176.4929
34.500000	104.102	-176.2270
35.000000	104.225	-176.2215
35.500000	104.336	-177.2634
36.000000	104.268	-178.4518
36.500000	104.095	-178.3395
37.000000	104.093	-176.7805
37.500000	104.411	-175.5863
38.200001	104.996	-177.4893
38.700001	105.140	179.1915
39.500000	104.735	174.7772
40.000000	104.323	174.1750
40.599998	103.995	175.1896
41.200001	103.912	176.1949
41.799999	103.907	176.3558
42.500000	103.863	175.9533
43.099998	103.792	175.5278
43.700001	103.714	175.2223
44.400002	103.674	174.9904
45.000000	103.688	174.4406
45.500000	103.669	173.6699
46.200001	103.565	172.8936
46.799999	103.519	172.8017
47.500000	103.559	172.3215
48.200001	103.515	171.4076
48.700001	103.437	171.2253
49.400002	103.434	171.4771
50.000000	103.499	171.0908
50.799999	103.453	170.0190
51.500000	103.343	169.7265
52.200001	103.298	169.6512
53.000000	103.266	169.2420
53.799999	103.224	168.6783
54.500000	103.170	168.1300
55.200001	103.127	167.7991
56.000000	103.141	167.1870
57.000000	103.050	166.3369
