* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -19,1 dBFS, measurement signal peak level -14,2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 7/09/2025 09:05:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0,0171 ms (-5,9 mm, -0,23 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 19,2 ppm
* Measurement: R white
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.386	-158.3848
20.299999	104.391	-158.9646
20.600000	104.401	-159.5189
20.900000	104.417	-160.0750
21.200001	104.436	-160.6554
21.400000	104.447	-161.0575
21.799999	104.466	-161.8825
22.000000	104.473	-162.2951
22.400000	104.481	-163.0985
22.700001	104.485	-163.6773
23.000000	104.489	-164.2426
23.299999	104.493	-164.8052
23.600000	104.495	-165.3690
24.000000	104.495	-166.1172
24.299999	104.490	-166.6624
24.700001	104.480	-167.3518
25.000000	104.473	-167.8375
25.400000	104.465	-168.4525
25.799999	104.460	-169.0498
26.200001	104.458	-169.6470
26.500000	104.456	-170.1010
26.900000	104.454	-170.7164
27.200001	104.450	-171.1823
27.600000	104.440	-171.7965
28.000000	104.426	-172.3787
28.500000	104.408	-173.0320
29.000000	104.398	-173.6194
29.500000	104.401	-174.2088
30.000000	104.410	-174.8593
30.400000	104.414	-175.4232
30.700001	104.414	-175.8593
31.100000	104.409	-176.4451
31.500000	104.397	-177.0283
32.000000	104.373	-177.7354
32.500000	104.338	-178.3757
33.000000	104.298	-178.9130
33.500000	104.262	-179.3668
34.000000	104.233	-179.7907
34.500000	104.204	179.7969
35.000000	104.177	179.4148
35.500000	104.156	179.0515
36.000000	104.142	178.6524
36.500000	104.126	178.1935
37.000000	104.103	177.7200
37.500000	104.077	177.2753
38.200001	104.051	176.6315
38.700001	104.032	176.0860
39.500000	103.973	175.1934
40.000000	103.928	174.7481
40.599998	103.886	174.3181
41.200001	103.861	173.8843
41.799999	103.844	173.3829
42.500000	103.816	172.7356
43.099998	103.781	172.1973
43.700001	103.739	171.7417
44.400002	103.697	171.3020
45.000000	103.668	170.9249
45.500000	103.641	170.5999
46.200001	103.602	170.1879
46.799999	103.577	169.8505
47.500000	103.550	169.3410
48.200001	103.496	168.7950
48.700001	103.447	168.5360
49.400002	103.407	168.3315
50.000000	103.400	168.0366
50.799999	103.370	167.4008
51.500000	103.315	166.9670
52.200001	103.274	166.6669
53.000000	103.234	166.2488
53.799999	103.183	165.9012
54.500000	103.152	165.6249
55.200001	103.114	165.2575
