* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -16,5 dBFS, measurement signal peak level -14,2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 29/07/2024 01:56:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0230 ms (-7,9 mm, -0,31 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: L 126
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.264	-150.6036
20.299999	101.275	-151.3131
20.600000	101.286	-151.9896
20.900000	101.297	-152.6344
21.200001	101.310	-153.2569
21.400000	101.320	-153.6668
21.799999	101.342	-154.4915
22.000000	101.354	-154.9103
22.400000	101.373	-155.7578
22.700001	101.384	-156.3912
23.000000	101.392	-157.0110
23.299999	101.397	-157.6104
23.600000	101.402	-158.1889
24.000000	101.409	-158.9374
24.299999	101.414	-159.4901
24.700001	101.419	-160.2206
25.000000	101.422	-160.7596
25.400000	101.423	-161.4575
25.799999	101.425	-162.1291
26.200001	101.427	-162.7854
26.500000	101.429	-163.2778
26.900000	101.431	-163.9395
27.200001	101.429	-164.4347
27.600000	101.423	-165.0760
28.000000	101.414	-165.6814
28.500000	101.405	-166.3912
29.000000	101.402	-167.0889
29.500000	101.399	-167.8071
30.000000	101.390	-168.5322
30.400000	101.379	-169.0892
30.700001	101.369	-169.4824
31.100000	101.358	-169.9741
31.500000	101.351	-170.4437
32.000000	101.349	-171.0344
32.500000	101.349	-171.6573
33.000000	101.346	-172.3111
33.500000	101.336	-172.9666
34.000000	101.320	-173.5907
34.500000	101.302	-174.1761
35.000000	101.285	-174.7410
35.500000	101.267	-175.2970
36.000000	101.245	-175.8277
36.500000	101.223	-176.3145
37.000000	101.207	-176.7774
37.500000	101.196	-177.2650
38.200001	101.175	-178.0115
38.700001	101.150	-178.5294
39.500000	101.111	-179.2505
40.000000	101.095	-179.6947
40.599998	101.077	179.7184
41.200001	101.050	179.1247
41.799999	101.019	178.5889
42.500000	100.991	178.0041
43.099998	100.970	177.4778
43.700001	100.944	176.9415
44.400002	100.909	176.3542
45.000000	100.879	175.8878
45.500000	100.855	175.5164
46.200001	100.824	175.0111
46.799999	100.800	174.5739
47.500000	100.769	174.0522
48.200001	100.733	173.5543
48.700001	100.709	173.2234
49.400002	100.679	172.7582
50.000000	100.654	172.3348
50.799999	100.615	171.7706
51.500000	100.580	171.3000
52.200001	100.545	170.8240
53.000000	100.497	170.3046
53.799999	100.452	169.8753
54.500000	100.425	169.4864
55.200001	100.394	169.0217
56.000000	100.343	168.5457
57.000000	100.294	168.0687
58.000000	100.246	167.4493
59.000000	100.179	166.9403
60.000000	100.131	166.4402
60.799999	100.084	165.9980
61.500000	100.044	165.6592
62.200001	100.007	165.2904
63.000000	99.956	164.8792
64.000000	99.906	164.4784
65.000000	99.865	163.9519
66.000000	99.803	163.4580
67.000000	99.741	163.0687
68.000000	99.684	162.7632
69.000000	99.643	162.4061
70.000000	99.586	161.9759
71.000000	99.531	161.6147
72.000000	99.473	161.1473
73.000000	99.396	160.7661
74.000000	99.337	160.4921
75.000000	99.289	160.1232
76.199997	99.211	159.6617
77.500000	99.146	159.3865
78.800003	99.098	158.7993
80.000000	99.007	158.3333
81.199997	98.932	157.9694
82.500000	98.845	157.6484
83.800003	98.781	157.1796
85.000000	98.674	156.8477
86.199997	98.601	156.6327
87.500000	98.501	156.4025
88.500000	98.445	156.1989
90.000000	98.311	155.8685
91.199997	98.222	155.6972
92.500000	98.105	155.4780
93.800003	97.994	155.4072
95.000000	97.881	155.3564
96.199997	97.769	155.6874
97.500000	97.681	156.0900
98.800003	97.634	157.0012
100.000000	97.703	157.3261
101.500000	97.715	156.9720
103.000000	97.616	156.4063
104.400002	97.412	156.9172
106.000000	97.493	158.6469
107.500000	97.684	158.3105
109.000000	97.770	157.9843
110.599998	97.851	157.0724
112.000000	97.865	156.2393
113.800003	97.757	155.1382
115.000000	97.699	154.7859
117.199997	97.568	153.8988
118.000000	97.525	153.6825
120.599998	97.388	153.1230
122.000000	97.311	152.8877
124.099998	97.199	152.6090
125.000000	97.156	152.5220
126.500000	97.070	152.3394
128.000000	97.005	152.1462
131.500000	96.827	151.7781
132.000000	96.797	151.7208
134.000000	96.693	151.5251
136.000000	96.589	151.5906
138.000000	96.488	151.4304
140.000000	96.393	151.5034
143.000000	96.249	151.4872
145.000000	96.113	151.5901
147.500000	96.000	151.8716
150.000000	95.877	152.0196
152.500000	95.797	152.2911
155.000000	95.711	152.7211
157.500000	95.598	153.2541
160.000000	95.583	153.3416
162.500000	95.459	154.0965
165.000000	95.490	154.5889
167.500000	95.476	154.9417
170.000000	95.451	155.1302
172.500000	95.456	155.2736
175.000000	95.451	155.1668
177.500000	95.476	155.1647
180.000000	95.484	155.0531
182.500000	95.457	154.7128
185.000000	95.455	154.4713
187.500000	95.409	153.9804
190.000000	95.342	153.6513
192.500000	95.255	153.1592
195.000000	95.186	152.8516
197.500000	95.092	152.6484
200.000000	94.970	152.2559
203.000000	94.908	152.0086
206.000000	94.808	152.0529
209.000000	94.725	151.9865
212.000000	94.611	151.7597
214.000000	94.538	151.8486
218.000000	94.420	151.9693
220.000000	94.353	151.9648
224.000000	94.246	152.1064
227.000000	94.161	152.2502
230.000000	94.077	152.5518
233.000000	94.002	152.7195
236.000000	93.931	152.9740
240.000000	93.815	153.1872
243.000000	93.756	153.3913
247.000000	93.699	153.7156
250.000000	93.629	154.0734
254.000000	93.550	154.0925
258.000000	93.468	154.4547
262.000000	93.416	154.5651
265.000000	93.357	154.8639
269.000000	93.261	155.0710
272.000000	93.204	155.0988
276.000000	93.158	155.3766
280.000000	93.070	155.4685
285.000000	92.968	155.9299
290.000000	92.857	156.1637
295.000000	92.796	156.4742
300.000000	92.702	156.8357
304.000000	92.599	157.1422
307.000000	92.561	157.2576
311.000000	92.519	157.4532
315.000000	92.438	157.9666
320.000000	92.352	158.3843
325.000000	92.292	158.6632
330.000000	92.225	158.8705
335.000000	92.144	159.5616
340.000000	92.056	159.9648
345.000000	92.034	160.1134
350.000000	91.955	160.6411
355.000000	91.851	160.9634
360.000000	91.766	161.5698
365.000000	91.722	162.0544
370.000000	91.685	162.2206
375.000000	91.615	162.6982
382.000000	91.500	163.5352
387.000000	91.439	163.7966
395.000000	91.363	164.3742
400.000000	91.344	164.8127
406.000000	91.257	165.6451
412.000000	91.188	165.9883
418.000000	91.136	166.5228
425.000000	91.041	167.0441
431.000000	91.057	167.4934
437.000000	90.969	168.0397
444.000000	90.936	168.8616
450.000000	90.840	169.3670
455.000000	90.837	170.0012
462.000000	90.787	170.5117
468.000000	90.755	171.1052
475.000000	90.688	171.5986
482.000000	90.625	172.2533
487.000000	90.621	172.5917
494.000000	90.575	173.4187
500.000000	90.537	173.9856
508.000000	90.505	174.6754
515.000000	90.498	175.3036
522.000000	90.404	175.7885
530.000000	90.404	176.6342
538.000000	90.396	177.5234
545.000000	90.330	177.9350
552.000000	90.269	178.6882
560.000000	90.276	179.5995
570.000000	90.222	-179.6602
580.000000	90.219	-178.5476
590.000000	90.193	-177.7446
600.000000	90.146	-176.6170
608.000000	90.124	-176.0635
615.000000	90.125	-175.3630
622.000000	90.110	-174.6936
630.000000	90.112	-173.5698
640.000000	90.095	-172.8133
650.000000	90.106	-172.0504
660.000000	90.078	-171.2059
670.000000	90.059	-169.7918
680.000000	90.058	-169.1557
690.000000	90.071	-167.9830
700.000000	90.114	-166.9010
710.000000	90.114	-166.1758
720.000000	90.157	-165.0068
730.000000	90.171	-164.3618
740.000000	90.205	-163.3536
750.000000	90.207	-162.3647
762.000000	90.315	-161.0127
775.000000	90.377	-159.9947
788.000000	90.449	-158.5365
800.000000	90.528	-157.7121
812.000000	90.579	-156.4114
825.000000	90.627	-155.6133
838.000000	90.705	-154.3153
850.000000	90.809	-153.3092
862.000000	90.867	-152.5657
875.000000	91.015	-151.5166
885.000000	91.043	-150.7182
900.000000	91.197	-149.3960
912.000000	91.266	-148.6272
925.000000	91.371	-148.0421
938.000000	91.523	-147.0921
950.000000	91.651	-146.6391
962.000000	91.734	-145.6934
975.000000	91.861	-145.2501
988.000000	91.959	-144.5313
1000.000000	92.083	-143.9669
1015.000000	92.186	-143.1636
1030.000000	92.314	-142.7192
1044.000000	92.457	-141.9774
1060.000000	92.601	-141.4848
1075.000000	92.707	-140.9487
1090.000000	92.843	-140.4465
1106.000000	92.962	-139.9290
1120.000000	93.093	-139.4149
1138.000000	93.250	-139.0277
1150.000000	93.335	-138.8758
1172.000000	93.525	-138.2123
1180.000000	93.551	-137.8088
1206.000000	93.744	-137.3034
1220.000000	93.881	-137.0262
1241.000000	93.994	-136.5941
1250.000000	94.039	-136.2573
1265.000000	94.163	-135.8314
1280.000000	94.217	-135.3807
1315.000000	94.463	-133.6700
1320.000000	94.528	-133.3203
1340.000000	94.792	-132.1182
1360.000000	95.074	-131.5872
1380.000000	95.384	-131.4079
1400.000000	95.633	-131.2839
1430.000000	95.984	-131.4337
1450.000000	96.181	-131.2986
1475.000000	96.435	-131.3179
1500.000000	96.703	-131.3178
1525.000000	96.957	-131.4176
1550.000000	97.207	-131.4390
1575.000000	97.477	-131.4893
1600.000000	97.752	-131.8042
1625.000000	98.035	-131.9258
1650.000000	98.294	-132.1465
1675.000000	98.584	-132.5803
1700.000000	98.883	-132.9700
1725.000000	99.158	-133.6216
1750.000000	99.464	-134.3003
1775.000000	99.761	-135.1833
1800.000000	100.045	-136.0195
1825.000000	100.348	-137.2090
1850.000000	100.645	-138.3691
1875.000000	100.922	-139.8667
1900.000000	101.191	-141.5352
1925.000000	101.446	-143.1729
1950.000000	101.687	-145.1613
1975.000000	101.896	-147.2009
2000.000000	102.080	-149.4818
2030.000000	102.291	-152.1624
2060.000000	102.451	-155.2122
2090.000000	102.544	-158.2775
2120.000000	102.595	-161.4223
2140.000000	102.589	-163.4553
2180.000000	102.538	-167.6000
2200.000000	102.487	-169.5718
2240.000000	102.298	-173.2872
2270.000000	102.111	-175.9657
2300.000000	101.879	-178.3558
2330.000000	101.630	179.5620
2360.000000	101.367	177.6108
2400.000000	100.991	175.2971
2430.000000	100.689	173.8460
2470.000000	100.296	172.2214
2500.000000	99.971	171.1672
2540.000000	99.582	170.1392
2580.000000	99.175	169.2851
2620.000000	98.780	168.8368
2650.000000	98.455	168.5506
2690.000000	98.041	168.2884
2720.000000	97.739	168.4641
2760.000000	97.299	168.4978
2800.000000	96.948	169.1013
2850.000000	96.427	169.8868
2900.000000	95.903	170.4968
2950.000000	95.223	171.0584
3000.000000	94.222	173.1508
3040.000000	93.197	177.6929
3070.000000	92.511	-174.9281
3110.000000	92.711	-161.7607
3150.000000	93.929	-153.8029
3200.000000	95.341	-152.7177
3250.000000	96.086	-154.5378
3300.000000	96.384	-156.4178
3350.000000	96.497	-157.7558
3400.000000	96.540	-158.4358
3450.000000	96.533	-158.4768
3500.000000	96.489	-158.2552
3550.000000	96.450	-157.7357
3600.000000	96.449	-157.0814
3650.000000	96.440	-156.1290
3700.000000	96.483	-154.9290
3750.000000	96.501	-153.8229
3820.000000	96.597	-152.1356
3870.000000	96.719	-151.1744
3950.000000	96.904	-149.2714
4000.000000	97.042	-148.1259
4060.000000	97.303	-146.9255
4120.000000	97.554	-145.6758
4180.000000	97.839	-144.6846
4250.000000	98.229	-143.4818
4310.000000	98.611	-142.5636
4370.000000	99.046	-142.0638
4440.000000	99.565	-141.6052
4500.000000	100.064	-141.7376
4550.000000	100.504	-142.0488
4620.000000	101.142	-142.9017
4680.000000	101.740	-144.4109
4750.000000	102.422	-147.0091
4820.000000	103.097	-150.6358
4870.000000	103.538	-153.9356
4940.000000	104.058	-159.7201
5000.000000	104.349	-165.4560
5080.000000	104.402	-173.8196
5150.000000	104.171	179.0421
5220.000000	103.676	172.5576
5300.000000	102.930	166.5439
5380.000000	102.051	162.2652
5450.000000	101.269	159.8183
5520.000000	100.495	158.1275
5600.000000	99.654	157.3822
5700.000000	98.673	157.3651
5800.000000	97.829	158.5497
5900.000000	97.062	160.2428
6000.000000	96.421	162.3411
6080.000000	95.946	164.3270
6150.000000	95.587	166.3448
6220.000000	95.270	168.3330
6300.000000	94.976	170.7414
6400.000000	94.689	173.9849
6500.000000	94.515	177.4247
6600.000000	94.352	-179.2336
6700.000000	94.278	-175.0973
6800.000000	94.437	-170.9047
6900.000000	94.710	-168.1251
7000.000000	94.916	-165.5886
7100.000000	95.223	-162.7653
7200.000000	95.609	-160.0257
7300.000000	96.140	-157.8905
7400.000000	96.738	-156.0880
7500.000000	97.479	-155.2001
7620.000000	98.565	-155.3085
7750.000000	99.936	-158.5654
7880.000000	101.288	-166.5153
