* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -16,4 dBFS, measurement signal peak level -14,8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 29/07/2024 01:51:48 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0234 ms (-8,0 mm, -0,32 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset
* Measurement: R 119
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.272	-148.6026
20.299999	101.295	-149.3004
20.600000	101.319	-149.9978
20.900000	101.342	-150.6998
21.200001	101.362	-151.4050
21.400000	101.373	-151.8734
21.799999	101.391	-152.7924
22.000000	101.397	-153.2372
22.400000	101.407	-154.0911
22.700001	101.415	-154.7019
23.000000	101.423	-155.2952
23.299999	101.432	-155.8806
23.600000	101.441	-156.4655
24.000000	101.451	-157.2462
24.299999	101.456	-157.8247
24.700001	101.459	-158.5721
25.000000	101.462	-159.1100
25.400000	101.467	-159.8045
25.799999	101.474	-160.4930
26.200001	101.481	-161.1902
26.500000	101.484	-161.7161
26.900000	101.485	-162.4051
27.200001	101.484	-162.9031
27.600000	101.482	-163.5413
28.000000	101.482	-164.1641
28.500000	101.481	-164.9423
29.000000	101.476	-165.7071
29.500000	101.467	-166.4209
30.000000	101.462	-167.0840
30.400000	101.462	-167.6123
30.700001	101.464	-168.0246
31.100000	101.462	-168.5956
31.500000	101.455	-169.1643
32.000000	101.440	-169.8264
32.500000	101.427	-170.4309
33.000000	101.420	-171.0305
33.500000	101.411	-171.6597
34.000000	101.396	-172.2904
34.500000	101.377	-172.8776
35.000000	101.361	-173.4226
35.500000	101.349	-173.9696
36.000000	101.339	-174.5494
36.500000	101.322	-175.1455
37.000000	101.298	-175.7134
37.500000	101.273	-176.2217
38.200001	101.247	-176.8566
38.700001	101.239	-177.3213
39.500000	101.226	-178.1888
40.000000	101.204	-178.7631
40.599998	101.167	-179.3710
41.200001	101.133	-179.8707
41.799999	101.111	179.6492
42.500000	101.088	179.0329
43.099998	101.063	178.4935
43.700001	101.036	177.9733
44.400002	101.003	177.3708
45.000000	100.971	176.8753
45.500000	100.945	176.5012
46.200001	100.917	176.0069
46.799999	100.901	175.5424
47.500000	100.876	174.9359
48.200001	100.839	174.3493
48.700001	100.809	173.9852
49.400002	100.773	173.5251
50.000000	100.746	173.1329
50.799999	100.710	172.6219
51.500000	100.681	172.1860
52.200001	100.652	171.6994
53.000000	100.602	171.1578
53.799999	100.555	170.7408
54.500000	100.528	170.3246
55.200001	100.490	169.8271
56.000000	100.437	169.3600
57.000000	100.391	168.7651
58.000000	100.321	168.0986
59.000000	100.261	167.6924
60.000000	100.229	167.1405
60.799999	100.184	166.6337
61.500000	100.136	166.2804
62.200001	100.094	166.0000
63.000000	100.059	165.6640
64.000000	100.010	165.1157
65.000000	99.941	164.6527
66.000000	99.883	164.2340
67.000000	99.821	163.8119
68.000000	99.770	163.3932
69.000000	99.707	162.9161
70.000000	99.646	162.5834
71.000000	99.601	162.1982
72.000000	99.552	161.7494
73.000000	99.485	161.2742
74.000000	99.410	160.9579
75.000000	99.349	160.6133
76.199997	99.253	160.2767
77.500000	99.194	159.9664
78.800003	99.117	159.4198
80.000000	99.032	158.9270
81.199997	98.933	158.5860
82.500000	98.853	158.3113
83.800003	98.770	157.8872
85.000000	98.665	157.6567
86.199997	98.592	157.4461
87.500000	98.475	157.2133
88.500000	98.416	157.0849
90.000000	98.251	156.8504
91.199997	98.178	156.9167
92.500000	98.032	156.7720
93.800003	97.910	156.9998
95.000000	97.767	157.4137
96.199997	97.704	158.0485
97.500000	97.616	158.8278
98.800003	97.687	160.0184
100.000000	97.817	160.1577
101.500000	97.926	160.0881
103.000000	97.966	159.1581
104.400002	97.866	159.6819
106.000000	98.035	159.8570
107.500000	98.073	159.0452
109.000000	98.104	158.3201
110.599998	98.077	157.3832
112.000000	98.059	156.3176
113.800003	97.918	155.6389
115.000000	97.858	155.2121
117.199997	97.764	154.6848
118.000000	97.713	154.3949
120.599998	97.563	153.8528
122.000000	97.487	153.5925
124.099998	97.368	153.2303
125.000000	97.314	153.1565
126.500000	97.244	152.9762
128.000000	97.153	152.8667
131.500000	96.963	152.4092
132.000000	96.937	152.3961
134.000000	96.842	152.1953
136.000000	96.731	152.1220
138.000000	96.628	152.1371
140.000000	96.535	151.9937
143.000000	96.339	152.1365
145.000000	96.254	152.5029
147.500000	96.127	152.5852
150.000000	96.017	152.8874
152.500000	95.928	153.6169
155.000000	95.858	154.2061
157.500000	95.794	154.6910
160.000000	95.799	155.0457
162.500000	95.705	155.5699
165.000000	95.785	156.2629
167.500000	95.805	156.1491
170.000000	95.848	156.1163
172.500000	95.855	155.7009
175.000000	95.917	155.8298
177.500000	95.848	155.1514
180.000000	95.756	154.5459
182.500000	95.691	154.0999
185.000000	95.641	153.6963
187.500000	95.579	153.2803
190.000000	95.476	152.9439
192.500000	95.384	152.8970
195.000000	95.287	152.6910
197.500000	95.192	152.6312
200.000000	95.080	152.4425
203.000000	94.981	152.3659
206.000000	94.866	152.3519
209.000000	94.795	152.3271
212.000000	94.705	152.4457
214.000000	94.666	152.5392
218.000000	94.529	152.6515
220.000000	94.452	152.7537
224.000000	94.342	152.9361
227.000000	94.262	153.0281
230.000000	94.189	153.3455
233.000000	94.142	153.4706
236.000000	94.041	153.6719
240.000000	93.942	154.0171
243.000000	93.892	154.3515
247.000000	93.831	154.6699
250.000000	93.789	154.9343
254.000000	93.702	155.1956
258.000000	93.633	155.3137
262.000000	93.605	155.4874
265.000000	93.562	155.7883
269.000000	93.476	155.7085
272.000000	93.426	155.9940
276.000000	93.327	156.0081
280.000000	93.260	156.4075
285.000000	93.156	156.5172
290.000000	93.079	156.9255
295.000000	92.961	157.3457
300.000000	92.865	157.4674
304.000000	92.781	157.9155
307.000000	92.721	158.1168
311.000000	92.696	158.5531
315.000000	92.623	158.8009
320.000000	92.540	159.1230
325.000000	92.494	159.5942
330.000000	92.440	160.0704
335.000000	92.366	160.3425
340.000000	92.244	160.7092
345.000000	92.170	161.0466
350.000000	92.144	161.5056
355.000000	92.076	162.0512
360.000000	91.992	162.2541
365.000000	91.953	162.7116
370.000000	91.881	163.0480
375.000000	91.817	163.6233
382.000000	91.723	164.1686
387.000000	91.686	164.8084
395.000000	91.632	165.2167
400.000000	91.550	165.9886
406.000000	91.497	166.2169
412.000000	91.432	166.7397
418.000000	91.375	167.4134
425.000000	91.334	168.1454
431.000000	91.264	168.5498
437.000000	91.231	169.1482
444.000000	91.105	169.8222
450.000000	91.096	169.9280
455.000000	91.072	170.7106
462.000000	91.007	171.2763
468.000000	90.978	171.8378
475.000000	90.960	172.2685
482.000000	90.918	173.3811
487.000000	90.830	173.9871
494.000000	90.864	174.2460
500.000000	90.801	174.9631
508.000000	90.739	175.4187
515.000000	90.721	176.1107
522.000000	90.719	176.9790
530.000000	90.638	177.3487
538.000000	90.609	178.2080
545.000000	90.620	178.7603
552.000000	90.568	179.6314
560.000000	90.564	-179.8553
570.000000	90.494	-178.7368
580.000000	90.453	-177.9788
590.000000	90.439	-176.9342
600.000000	90.421	-175.9718
608.000000	90.423	-175.4664
615.000000	90.407	-174.6779
622.000000	90.413	-173.9979
630.000000	90.377	-173.0977
640.000000	90.366	-172.2014
650.000000	90.402	-171.2648
660.000000	90.336	-170.3640
670.000000	90.384	-169.1699
680.000000	90.366	-168.6135
690.000000	90.405	-167.2783
700.000000	90.398	-166.7523
710.000000	90.426	-165.3212
720.000000	90.416	-164.7774
730.000000	90.464	-163.6895
740.000000	90.496	-162.4333
750.000000	90.524	-161.4845
762.000000	90.564	-160.5071
775.000000	90.647	-159.1625
788.000000	90.715	-157.7848
800.000000	90.785	-156.6346
812.000000	90.835	-155.5430
825.000000	90.936	-154.5118
838.000000	91.028	-153.7076
