* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 383, R 384, R 385, R 386
* Dated: 9/08/2024 02:48:29 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 383, R 384, R 385, R 386
* Measurement: R AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	80.877
20.299999	81.077
20.600000	81.125
20.900000	81.036
21.200001	80.868
21.400000	80.758
21.799999	80.673
22.000000	80.729
22.400000	81.008
22.700001	81.274
23.000000	81.513
23.299999	81.688
23.600000	81.805
24.000000	81.932
24.299999	82.048
24.700001	82.248
25.000000	82.407
25.400000	82.582
25.799999	82.691
26.200001	82.767
26.500000	82.836
26.900000	82.970
27.200001	83.097
27.600000	83.266
28.000000	83.411
28.500000	83.555
29.000000	83.708
29.500000	83.896
30.000000	84.092
30.400000	84.226
30.700001	84.307
31.100000	84.389
31.500000	84.455
32.000000	84.534
32.500000	84.628
33.000000	84.739
33.500000	84.856
34.000000	84.961
34.500000	85.057
35.000000	85.168
35.500000	85.311
36.000000	85.475
36.500000	85.625
37.000000	85.739
37.500000	85.823
38.200001	85.941
38.700001	86.047
39.500000	86.227
40.000000	86.326
40.599998	86.438
41.200001	86.557
41.799999	86.673
42.500000	86.783
43.099998	86.863
43.700001	86.953
44.400002	87.088
45.000000	87.214
45.500000	87.296
46.200001	87.337
46.799999	87.320
47.500000	87.324
48.200001	87.393
48.700001	87.465
49.400002	87.572
50.000000	87.670
50.799999	87.797
51.500000	87.900
52.200001	87.992
53.000000	88.081
53.799999	88.190
54.500000	88.276
55.200001	88.319
56.000000	88.387
57.000000	88.403
58.000000	88.374
59.000000	88.748
60.000000	88.783
60.799999	88.584
61.500000	88.615
62.200001	88.699
63.000000	88.660
64.000000	88.592
65.000000	88.555
66.000000	88.540
67.000000	88.576
68.000000	88.635
69.000000	88.749
70.000000	88.837
71.000000	88.892
72.000000	88.924
73.000000	88.941
74.000000	89.023
75.000000	89.054
76.199997	89.102
77.500000	89.162
78.800003	89.185
80.000000	89.137
81.199997	89.140
82.500000	89.147
83.800003	89.160
85.000000	89.163
86.199997	89.183
87.500000	89.183
88.500000	89.186
90.000000	89.232
91.199997	89.280
92.500000	89.318
93.800003	89.373
95.000000	89.398
96.199997	89.427
97.500000	89.452
98.800003	89.496
100.000000	89.499
101.500000	89.503
103.000000	89.508
104.400002	89.529
106.000000	89.524
107.500000	89.524
109.000000	89.516
110.599998	89.518
112.000000	89.492
113.800003	89.490
115.000000	89.425
117.199997	89.338
118.000000	89.329
120.599998	89.204
122.000000	89.309
124.099998	89.311
125.000000	89.259
