* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -16,0 dBFS, measurement signal peak level -15,0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 7/09/2025 08:31:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0,0156 ms (-5,3 mm, -0,21 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 19,3 ppm
* Measurement: L golden
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.436	-158.1747
20.299999	103.453	-158.7891
20.600000	103.471	-159.4279
20.900000	103.487	-160.0977
21.200001	103.497	-160.7864
21.400000	103.499	-161.2408
21.799999	103.495	-162.1121
22.000000	103.492	-162.5202
22.400000	103.485	-163.2805
22.700001	103.485	-163.8229
23.000000	103.489	-164.3682
23.299999	103.495	-164.9318
23.600000	103.499	-165.5138
24.000000	103.501	-166.3012
24.299999	103.499	-166.8787
24.700001	103.493	-167.6123
25.000000	103.490	-168.1373
25.400000	103.488	-168.8225
25.799999	103.487	-169.5102
26.200001	103.480	-170.1908
26.500000	103.471	-170.6711
26.900000	103.455	-171.2361
27.200001	103.446	-171.5951
27.600000	103.445	-172.0155
28.000000	103.458	-172.4455
28.500000	103.480	-173.0981
29.000000	103.482	-173.8397
29.500000	103.456	-174.4715
30.000000	103.434	-174.8549
30.400000	103.446	-175.0908
30.700001	103.475	-175.3515
31.100000	103.517	-175.9387
31.500000	103.533	-176.7796
32.000000	103.480	-177.8888
32.500000	103.368	-178.6259
33.000000	103.275	-178.8714
33.500000	103.250	-178.9973
34.000000	103.264	-179.4401
34.500000	103.255	179.8057
35.000000	103.202	179.0687
35.500000	103.142	178.5631
36.000000	103.109	178.1577
36.500000	103.094	177.6440
37.000000	103.067	177.0418
37.500000	103.025	176.5330
38.200001	102.988	176.0411
38.700001	102.986	175.6465
39.500000	102.967	174.8337
40.000000	102.937	174.4042
40.599998	102.908	174.0005
41.200001	102.888	173.5490
41.799999	102.852	173.0542
42.500000	102.798	172.5941
43.099998	102.765	172.2260
43.700001	102.732	171.7365
44.400002	102.671	171.1342
45.000000	102.618	170.7309
45.500000	102.589	170.3990
46.200001	102.553	169.8054
46.799999	102.505	169.2891
47.500000	102.448	168.9361
48.200001	102.440	168.7033
48.700001	102.452	168.3641
49.400002	102.426	167.6721
50.000000	102.356	167.3247
50.799999	102.309	167.2485
51.500000	102.293	166.7046
52.200001	102.166	166.0646
53.000000	102.028	166.2715
53.799999	102.042	165.9866
54.500000	101.966	165.0937
55.200001	101.883	164.9264
56.000000	101.957	164.1939
57.000000	101.816	162.7958
58.000000	102.056	163.4421
59.000000	102.247	158.6460
60.000000	101.375	158.0250
60.799999	101.398	162.0287
61.500000	101.695	161.8866
62.200001	101.604	160.8920
63.000000	101.469	161.5247
64.000000	101.451	161.2566
65.000000	101.308	161.1393
66.000000	101.295	160.5506
67.000000	101.168	159.8806
68.000000	101.124	159.7099
69.000000	101.091	159.9340
70.000000	101.223	159.5289
71.000000	100.985	158.2010
72.000000	100.809	159.9873
73.000000	100.940	159.2181
74.000000	100.616	158.2224
75.000000	100.552	159.0699
76.199997	100.555	157.8769
77.500000	100.396	157.1468
78.800003	100.265	157.9225
80.000000	100.093	158.2776
81.199997	100.075	159.9160
82.500000	99.477	158.5487
83.800003	99.642	164.7640
85.000000	99.912	159.2767
86.199997	99.461	160.1438
87.500000	99.728	158.5161
88.500000	99.504	159.3050
