* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -17,2 dBFS, measurement signal peak level -15,2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 7/09/2025 08:00:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0,0123 ms (-4,2 mm, -0,17 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 19,2 ppm
* Measurement: r golden mt
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.701	-154.1207
20.299999	102.734	-154.7645
20.600000	102.768	-155.4539
20.900000	102.796	-156.1845
21.200001	102.816	-156.9266
21.400000	102.823	-157.4050
21.799999	102.830	-158.2946
22.000000	102.832	-158.6992
22.400000	102.841	-159.4408
22.700001	102.854	-159.9707
23.000000	102.871	-160.5111
23.299999	102.888	-161.0744
23.600000	102.902	-161.6545
24.000000	102.913	-162.4264
24.299999	102.916	-162.9783
24.700001	102.917	-163.6620
25.000000	102.919	-164.1434
25.400000	102.926	-164.7720
25.799999	102.934	-165.4174
26.200001	102.940	-166.0904
26.500000	102.939	-166.6037
26.900000	102.932	-167.2781
27.200001	102.922	-167.7615
27.600000	102.907	-168.3636
28.000000	102.893	-168.9194
28.500000	102.884	-169.5842
29.000000	102.884	-170.2864
29.500000	102.883	-171.0706
30.000000	102.868	-171.8906
30.400000	102.845	-172.4951
30.700001	102.826	-172.8893
31.100000	102.808	-173.3469
31.500000	102.802	-173.7805
32.000000	102.805	-174.3764
32.500000	102.803	-175.0326
33.000000	102.791	-175.6528
33.500000	102.779	-176.1943
34.000000	102.774	-176.7281
34.500000	102.762	-177.3012
35.000000	102.734	-177.8249
35.500000	102.703	-178.1953
36.000000	102.694	-178.5011
36.500000	102.699	-178.9468
37.000000	102.682	-179.5562
37.500000	102.628	179.9146
38.200001	102.560	179.6236
38.700001	102.570	179.4404
39.500000	102.602	178.3978
40.000000	102.559	177.5511
40.599998	102.466	176.8790
41.200001	102.411	176.5362
41.799999	102.400	176.0809
42.500000	102.376	175.2982
43.099998	102.332	174.7006
43.700001	102.290	174.2462
44.400002	102.256	173.7870
45.000000	102.233	173.4167
45.500000	102.219	173.0945
46.200001	102.193	172.5807
46.799999	102.156	172.1529
47.500000	102.107	171.7554
48.200001	102.066	171.3778
48.700001	102.036	171.0895
49.400002	101.996	170.6879
50.000000	101.967	170.3028
50.799999	101.920	169.6907
51.500000	101.865	169.2063
52.200001	101.817	168.8142
53.000000	101.774	168.3508
53.799999	101.725	167.8902
54.500000	101.681	167.5487
55.200001	101.641	167.2356
56.000000	101.594	166.8714
57.000000	101.530	166.3773
58.000000	101.448	165.8585
59.000000	101.359	165.4615
60.000000	101.303	165.0756
60.799999	101.255	164.6188
61.500000	101.206	164.3126
62.200001	101.177	164.0518
63.000000	101.141	163.6322
64.000000	101.080	163.3726
65.000000	101.069	162.9242
66.000000	100.954	162.2995
67.000000	100.837	162.3770
68.000000	100.757	162.4328
69.000000	100.734	162.5982
70.000000	100.717	161.9786
71.000000	100.586	161.7707
72.000000	100.552	161.9633
73.000000	100.541	161.7645
74.000000	100.484	161.1930
75.000000	100.330	161.3024
76.199997	100.386	161.3949
77.500000	100.237	160.2198
78.800003	100.114	160.2595
80.000000	100.143	160.5427
81.199997	100.118	160.0944
82.500000	100.421	161.1302
83.800003	100.307	157.1255
85.000000	99.898	159.5859
86.199997	100.005	159.5069
87.500000	99.805	160.0069
88.500000	99.794	159.8416
90.000000	99.689	159.4436
91.199997	99.635	158.9319
92.500000	99.555	158.6089
93.800003	99.523	158.5452
95.000000	99.452	158.3545
96.199997	99.414	158.4437
97.500000	99.330	158.2104
98.800003	99.290	158.2712
100.000000	99.277	157.9792
101.500000	99.171	157.5886
103.000000	99.150	157.9037
104.400002	99.091	158.0178
106.000000	99.050	157.5328
107.500000	98.970	157.6967
109.000000	98.902	157.1593
110.599998	98.849	157.1861
112.000000	98.798	157.0390
113.800003	98.797	157.5182
115.000000	98.757	157.3293
117.199997	98.661	157.0602
118.000000	98.630	157.0701
120.599998	98.541	156.7979
122.000000	98.447	156.4254
124.099998	98.404	156.3371
125.000000	98.385	156.4447
126.500000	98.287	156.1757
128.000000	98.318	156.4255
131.500000	98.071	155.7991
132.000000	98.029	156.2209
134.000000	98.118	156.2503
136.000000	97.994	155.9974
138.000000	97.895	155.9597
140.000000	97.822	155.7372
143.000000	97.715	155.7347
145.000000	97.654	155.7911
147.500000	97.580	155.8408
150.000000	97.469	155.8042
152.500000	97.360	155.9114
155.000000	97.290	155.9980
157.500000	97.204	156.1221
160.000000	97.081	156.2276
162.500000	97.055	156.6624
165.000000	96.960	156.8460
167.500000	96.877	157.1052
170.000000	96.804	157.5942
172.500000	96.807	158.1241
175.000000	96.772	158.1367
177.500000	96.763	158.0462
180.000000	96.789	157.5263
182.500000	96.676	157.8190
185.000000	96.616	157.2119
187.500000	96.604	157.7483
190.000000	96.551	157.8016
192.500000	96.465	157.9265
195.000000	96.389	157.8148
197.500000	96.300	157.8587
200.000000	96.282	158.1025
203.000000	96.196	158.1866
206.000000	96.127	158.3702
209.000000	96.060	158.5599
212.000000	95.996	158.8531
214.000000	95.949	158.7879
218.000000	95.865	159.0330
220.000000	95.820	159.2892
224.000000	95.730	159.5344
227.000000	95.674	159.5612
230.000000	95.611	159.8150
233.000000	95.572	160.1398
236.000000	95.499	160.3862
240.000000	95.449	160.4555
243.000000	95.397	160.7679
247.000000	95.316	161.0565
250.000000	95.289	161.4399
254.000000	95.223	161.7694
258.000000	95.169	162.0217
262.000000	95.048	162.5845
265.000000	95.037	162.6141
269.000000	94.973	162.7876
272.000000	94.954	163.2120
276.000000	94.867	163.3733
280.000000	94.858	163.7090
285.000000	94.756	163.9473
290.000000	94.735	164.3672
295.000000	94.654	164.9938
300.000000	94.598	165.4431
304.000000	94.567	165.5923
307.000000	94.501	165.8301
311.000000	94.477	166.1958
315.000000	94.441	166.6046
320.000000	94.369	166.9467
325.000000	94.313	167.2758
330.000000	94.290	167.7349
335.000000	94.256	168.0637
340.000000	94.201	168.3090
345.000000	94.168	169.0063
350.000000	94.116	169.2174
355.000000	94.083	169.6570
360.000000	94.031	170.2293
365.000000	94.011	170.4880
370.000000	93.980	170.9702
375.000000	93.938	171.3178
382.000000	93.889	171.7727
387.000000	93.844	172.3246
395.000000	93.810	172.9057
400.000000	93.759	173.2101
406.000000	93.730	173.6579
412.000000	93.725	174.2560
418.000000	93.648	174.6636
425.000000	93.632	175.2879
431.000000	93.638	175.6686
437.000000	93.569	176.1980
444.000000	93.563	176.4890
450.000000	93.503	177.0423
455.000000	93.531	177.4451
462.000000	93.465	178.0224
468.000000	93.451	178.4914
475.000000	93.434	178.9703
482.000000	93.410	179.4971
487.000000	93.388	179.8197
494.000000	93.349	-179.7154
500.000000	93.360	-179.2227
508.000000	93.303	-178.7441
515.000000	93.297	-178.0620
522.000000	93.297	-177.4525
530.000000	93.284	-176.9218
538.000000	93.276	-176.3127
545.000000	93.240	-175.8815
552.000000	93.236	-175.3401
560.000000	93.245	-174.7171
570.000000	93.191	-173.9553
580.000000	93.164	-173.2907
590.000000	93.198	-172.5635
600.000000	93.199	-172.0555
608.000000	93.199	-171.4342
615.000000	93.167	-170.8091
622.000000	93.191	-170.2594
630.000000	93.184	-169.7977
640.000000	93.163	-168.7634
650.000000	93.185	-168.2881
660.000000	93.199	-167.6130
670.000000	93.194	-166.8025
680.000000	93.223	-166.0444
690.000000	93.238	-165.4577
700.000000	93.198	-164.6621
710.000000	93.230	-164.1567
720.000000	93.239	-163.5522
730.000000	93.263	-162.9225
740.000000	93.276	-161.9506
750.000000	93.299	-161.2474
762.000000	93.349	-160.4844
775.000000	93.382	-159.6222
788.000000	93.414	-158.7598
800.000000	93.455	-157.9960
812.000000	93.465	-157.1344
825.000000	93.541	-156.2711
838.000000	93.617	-155.5883
850.000000	93.639	-154.8751
862.000000	93.688	-153.8471
875.000000	93.737	-153.2234
885.000000	93.812	-152.5840
900.000000	93.876	-151.7207
912.000000	93.960	-151.1394
925.000000	94.002	-150.3792
938.000000	94.127	-149.8018
950.000000	94.169	-149.0177
962.000000	94.247	-148.2117
975.000000	94.343	-147.5814
988.000000	94.451	-147.0904
1000.000000	94.495	-146.7453
1015.000000	94.598	-145.9725
1030.000000	94.715	-145.2872
1044.000000	94.788	-144.9260
1060.000000	94.921	-144.0983
1075.000000	95.023	-143.9213
1090.000000	95.144	-143.1882
1106.000000	95.245	-142.6464
1120.000000	95.366	-142.2052
1138.000000	95.464	-141.6820
1150.000000	95.531	-141.3281
1172.000000	95.692	-140.9817
1180.000000	95.766	-140.7638
1206.000000	95.910	-140.1303
1220.000000	96.004	-139.9122
1241.000000	96.138	-139.4846
1250.000000	96.198	-139.2812
1265.000000	96.303	-138.9744
1280.000000	96.380	-138.8878
1315.000000	96.625	-138.2309
1320.000000	96.641	-138.1883
1340.000000	96.749	-137.8544
1360.000000	96.867	-137.6209
1380.000000	96.974	-137.2714
1400.000000	97.080	-137.1096
1430.000000	97.264	-136.6218
1450.000000	97.367	-136.4378
1475.000000	97.494	-136.1711
1500.000000	97.631	-135.9282
1525.000000	97.774	-135.7159
1550.000000	97.902	-135.3703
1575.000000	98.015	-135.1315
1600.000000	98.152	-135.0008
1625.000000	98.286	-134.6883
1650.000000	98.433	-134.5061
1675.000000	98.551	-134.1722
1700.000000	98.713	-134.1541
1725.000000	98.840	-134.0072
1750.000000	98.976	-133.7576
1775.000000	99.121	-133.6979
1800.000000	99.249	-133.5854
1825.000000	99.399	-133.4479
1850.000000	99.548	-133.3502
1875.000000	99.688	-133.3588
1900.000000	99.830	-133.3138
1925.000000	99.980	-133.3274
1950.000000	100.109	-133.4635
1975.000000	100.263	-133.4982
2000.000000	100.391	-133.5776
2030.000000	100.554	-133.6632
2060.000000	100.755	-133.9005
2090.000000	100.920	-134.1343
2120.000000	101.077	-134.4535
2140.000000	101.195	-134.6247
2180.000000	101.432	-135.1290
2200.000000	101.535	-135.4500
2240.000000	101.750	-136.0950
2270.000000	101.909	-136.5264
2300.000000	102.064	-137.0550
2330.000000	102.201	-137.7435
2360.000000	102.356	-138.4307
2400.000000	102.536	-139.2922
2430.000000	102.662	-140.0627
2470.000000	102.830	-141.0945
2500.000000	102.950	-141.9183
2540.000000	103.078	-143.0716
2580.000000	103.215	-144.3019
2620.000000	103.324	-145.4902
2650.000000	103.405	-146.4486
2690.000000	103.485	-147.8029
2720.000000	103.535	-148.7543
2760.000000	103.586	-149.9653
2800.000000	103.625	-151.2689
2850.000000	103.645	-152.8184
2900.000000	103.646	-154.3262
2950.000000	103.620	-155.5963
