* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -14,4 dBFS, measurement signal peak level -12,9 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 7/09/2025 08:36:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0,0186 ms (-6,4 mm, -0,25 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 19,4 ppm
* Measurement: L black
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.424	-158.4112
20.299999	103.445	-159.0448
20.600000	103.468	-159.6987
20.900000	103.488	-160.3770
21.200001	103.504	-161.0691
21.400000	103.511	-161.5247
21.799999	103.516	-162.3963
22.000000	103.516	-162.8017
22.400000	103.516	-163.5434
22.700001	103.520	-164.0536
23.000000	103.528	-164.5506
23.299999	103.540	-165.0598
23.600000	103.551	-165.5944
24.000000	103.561	-166.3456
24.299999	103.560	-166.9158
24.700001	103.547	-167.6418
25.000000	103.532	-168.1360
25.400000	103.511	-168.7219
25.799999	103.495	-169.2551
26.200001	103.486	-169.7840
26.500000	103.480	-170.1963
26.900000	103.473	-170.7672
27.200001	103.465	-171.2012
27.600000	103.455	-171.7773
28.000000	103.447	-172.3564
28.500000	103.438	-173.1130
29.000000	103.428	-173.9151
29.500000	103.412	-174.7343
30.000000	103.393	-175.5506
30.400000	103.373	-176.2069
30.700001	103.353	-176.6956
31.100000	103.317	-177.2978
31.500000	103.274	-177.7769
32.000000	103.230	-178.1464
32.500000	103.224	-178.3794
33.000000	103.254	-178.7419
33.500000	103.283	-179.3566
34.000000	103.275	179.9283
34.500000	103.237	179.3545
35.000000	103.197	178.9679
35.500000	103.169	178.6122
36.000000	103.135	178.1915
36.500000	103.082	177.8203
37.000000	103.029	177.6393
37.500000	103.012	177.5423
38.200001	103.040	176.9950
38.700001	103.035	176.2141
39.500000	102.936	175.0716
40.000000	102.874	174.6886
40.599998	102.848	174.2809
41.200001	102.838	173.6418
41.799999	102.800	172.9812
42.500000	102.755	172.4976
43.099998	102.748	172.1237
43.700001	102.734	171.6205
44.400002	102.686	171.1260
45.000000	102.649	170.8593
45.500000	102.626	170.5487
46.200001	102.555	169.9502
46.799999	102.448	169.6763
47.500000	102.372	169.7728
48.200001	102.386	169.5431
48.700001	102.388	168.9500
49.400002	102.320	168.0915
50.000000	102.264	167.7483
50.799999	102.281	167.1962
51.500000	102.270	166.2170
52.200001	102.171	165.4982
53.000000	102.046	165.3945
53.799999	101.961	165.8824
54.500000	102.003	166.3490
55.200001	102.058	165.5238
56.000000	101.795	164.3002
57.000000	101.634	165.6588
58.000000	101.660	161.9460
59.000000	100.491	161.5973
60.000000	100.901	168.4872
60.799999	101.560	164.9954
61.500000	101.362	161.8494
62.200001	101.185	162.2547
63.000000	101.349	162.1876
64.000000	101.259	161.1697
65.000000	101.181	162.1489
66.000000	101.201	162.4423
67.000000	101.068	162.0095
68.000000	100.857	162.5508
69.000000	100.822	161.8605
70.000000	100.389	161.1714
71.000000	100.350	163.8404
72.000000	100.706	163.1350
73.000000	100.753	161.0490
74.000000	100.519	159.7256
75.000000	100.329	161.2831
76.199997	100.501	161.5793
77.500000	100.480	161.9324
78.800003	100.544	160.7455
80.000000	100.488	161.3609
81.199997	100.523	160.3446
82.500000	100.525	162.8871
83.800003	100.996	160.0454
85.000000	100.454	158.6052
86.199997	100.396	159.8854
87.500000	100.308	158.9945
88.500000	100.232	158.6287
90.000000	100.165	157.6421
91.199997	99.985	157.3209
92.500000	100.016	158.1882
93.800003	99.977	157.3048
95.000000	99.844	157.8143
96.199997	99.844	157.5482
97.500000	99.738	157.2160
98.800003	99.682	156.6418
100.000000	99.599	156.7292
101.500000	99.621	156.3546
103.000000	99.549	156.4183
104.400002	99.511	156.2910
106.000000	99.417	156.0980
107.500000	99.321	156.2238
109.000000	99.228	155.8860
110.599998	99.163	156.2552
112.000000	99.105	156.0846
113.800003	99.042	155.7744
115.000000	98.959	155.8552
117.199997	98.890	155.9060
118.000000	98.844	155.7773
120.599998	98.746	155.9157
122.000000	98.680	156.0087
124.099998	98.691	156.0637
125.000000	98.662	155.7107
126.500000	98.583	155.8855
128.000000	98.519	155.6716
131.500000	98.350	156.1639
132.000000	98.342	156.2081
134.000000	98.255	155.8660
136.000000	98.187	155.8633
138.000000	98.114	156.2842
140.000000	97.891	156.5590
143.000000	97.915	156.4235
145.000000	97.833	155.8983
147.500000	97.761	156.2906
150.000000	97.699	156.9140
152.500000	97.611	157.0895
155.000000	97.584	157.3004
157.500000	97.552	157.5800
160.000000	97.532	157.8737
162.500000	97.520	157.7719
165.000000	97.505	157.6035
167.500000	97.428	157.3412
170.000000	97.222	158.0669
172.500000	97.297	156.9970
175.000000	97.326	156.3942
177.500000	97.130	157.5886
180.000000	97.023	157.4817
182.500000	96.976	157.7460
185.000000	96.898	157.4732
187.500000	96.828	157.7431
190.000000	96.772	157.8249
192.500000	96.699	157.9993
195.000000	96.637	158.1736
197.500000	96.589	158.2579
200.000000	96.520	158.3940
203.000000	96.431	158.6277
206.000000	96.374	158.9569
209.000000	96.310	159.0448
212.000000	96.253	159.4103
214.000000	96.210	159.3751
218.000000	96.116	159.6218
220.000000	96.088	159.9214
224.000000	95.996	160.2245
227.000000	95.937	160.4465
230.000000	95.847	160.7564
233.000000	95.837	161.0759
236.000000	95.769	161.2216
240.000000	95.713	161.4140
243.000000	95.669	161.9965
247.000000	95.586	162.2404
250.000000	95.545	162.4328
254.000000	95.469	162.8719
258.000000	95.409	163.0714
262.000000	95.366	163.3957
265.000000	95.303	163.7378
269.000000	95.261	164.1428
272.000000	95.221	164.3255
276.000000	95.165	164.7381
280.000000	95.134	165.0031
285.000000	95.042	165.2716
290.000000	94.995	165.9990
295.000000	94.926	166.2721
