* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -15,5 dBFS, measurement signal peak level -12,9 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 7/09/2025 08:08:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0,0147 ms (-5,0 mm, -0,2 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 19,2 ppm
* Measurement: R black
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.818	-153.4304
20.299999	102.863	-154.1911
20.600000	102.900	-155.0329
20.900000	102.920	-155.9152
21.200001	102.919	-156.7637
21.400000	102.911	-157.2699
21.799999	102.888	-158.1168
22.000000	102.881	-158.4651
22.400000	102.883	-159.0821
22.700001	102.899	-159.5546
23.000000	102.920	-160.0875
23.299999	102.938	-160.6717
23.600000	102.948	-161.2714
24.000000	102.951	-162.0321
24.299999	102.952	-162.5498
24.700001	102.958	-163.1949
25.000000	102.968	-163.6850
25.400000	102.982	-164.3814
25.799999	102.988	-165.1078
26.200001	102.985	-165.8082
26.500000	102.981	-166.2969
26.900000	102.978	-166.9124
27.200001	102.978	-167.3705
27.600000	102.977	-167.9945
28.000000	102.971	-168.6124
28.500000	102.960	-169.3188
29.000000	102.957	-169.9649
29.500000	102.964	-170.6525
30.000000	102.962	-171.4163
30.400000	102.946	-172.0031
30.700001	102.928	-172.3796
31.100000	102.911	-172.7923
31.500000	102.907	-173.1712
32.000000	102.914	-173.7334
32.500000	102.909	-174.4064
33.000000	102.880	-175.0179
33.500000	102.849	-175.4438
34.000000	102.846	-175.7934
34.500000	102.863	-176.2941
35.000000	102.870	-177.0103
35.500000	102.842	-177.7841
36.000000	102.788	-178.4224
36.500000	102.731	-178.8741
37.000000	102.691	-179.2214
37.500000	102.669	-179.5632
38.200001	102.654	179.8592
38.700001	102.645	179.3486
39.500000	102.608	178.4632
40.000000	102.574	177.9796
