* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -16,5 dBFS, measurement signal peak level -14,9 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 7/09/2025 08:41:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0,0160 ms (-5,5 mm, -0,22 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 19,4 ppm
* Measurement: L red
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.520	-159.5052
20.299999	103.513	-160.4461
20.600000	103.481	-161.2791
20.900000	103.437	-161.9208
21.200001	103.398	-162.3385
21.400000	103.385	-162.5276
21.799999	103.397	-162.8320
22.000000	103.421	-163.0227
22.400000	103.486	-163.6064
22.700001	103.530	-164.2229
23.000000	103.554	-164.9199
23.299999	103.557	-165.5990
23.600000	103.548	-166.1992
24.000000	103.532	-166.8502
24.299999	103.527	-167.2733
24.700001	103.533	-167.8461
25.000000	103.539	-168.3215
25.400000	103.540	-169.0002
25.799999	103.528	-169.6581
26.200001	103.514	-170.2518
26.500000	103.507	-170.6731
26.900000	103.503	-171.2512
27.200001	103.500	-171.7169
27.600000	103.490	-172.3629
28.000000	103.470	-172.9764
28.500000	103.445	-173.6390
29.000000	103.436	-174.2466
29.500000	103.440	-174.9121
30.000000	103.439	-175.6524
30.400000	103.431	-176.2454
30.700001	103.423	-176.6707
31.100000	103.412	-177.2228
31.500000	103.399	-177.7839
32.000000	103.371	-178.4957
32.500000	103.323	-179.1215
33.000000	103.271	-179.5498
33.500000	103.238	-179.8203
34.000000	103.236	179.8733
34.500000	103.240	179.3839
35.000000	103.223	178.7687
35.500000	103.182	178.2178
36.000000	103.140	177.8259
36.500000	103.120	177.4858
37.000000	103.115	177.0182
37.500000	103.097	176.4017
38.200001	103.030	175.6030
38.700001	102.975	175.2505
39.500000	102.936	174.8310
40.000000	102.929	174.4531
40.599998	102.909	173.8828
41.200001	102.868	173.3373
41.799999	102.819	172.9123
42.500000	102.776	172.5097
43.099998	102.751	172.0981
43.700001	102.718	171.6205
44.400002	102.672	171.1276
45.000000	102.647	170.6971
45.500000	102.623	170.2234
46.200001	102.549	169.6390
46.799999	102.494	169.5442
47.500000	102.524	169.4243
48.200001	102.562	168.6044
48.700001	102.519	167.8953
49.400002	102.403	167.4549
50.000000	102.343	167.4385
50.799999	102.304	167.2281
51.500000	102.249	166.9157
52.200001	102.189	166.6527
53.000000	102.144	166.3130
53.799999	102.114	165.5410
54.500000	102.017	164.7103
55.200001	101.923	164.5866
56.000000	101.997	164.2291
57.000000	101.893	162.7725
58.000000	102.006	164.5751
59.000000	102.584	161.1657
60.000000	101.886	156.9373
60.799999	101.434	160.4254
61.500000	101.688	162.0609
62.200001	101.721	160.9547
63.000000	101.476	161.1605
64.000000	101.494	161.8904
65.000000	101.406	160.8842
66.000000	101.291	160.5451
67.000000	101.215	159.6747
68.000000	101.062	159.4907
69.000000	101.105	159.9288
70.000000	101.171	158.9165
71.000000	100.996	158.2551
72.000000	100.860	158.5204
73.000000	100.754	158.7986
74.000000	100.721	158.7045
75.000000	100.602	158.1343
76.199997	100.520	157.7551
77.500000	100.313	157.4070
78.800003	100.291	157.5683
80.000000	100.124	158.1013
81.199997	100.096	158.3238
82.500000	99.953	160.4884
83.800003	100.198	159.0338
85.000000	99.772	159.8994
86.199997	100.009	160.5992
87.500000	99.798	160.8474
88.500000	99.998	161.7455
90.000000	100.002	159.4559
91.199997	99.882	160.1683
92.500000	100.109	156.7007
93.800003	99.734	159.7510
95.000000	101.111	153.6920
96.199997	99.319	145.5095
97.500000	99.313	158.1397
98.800003	99.788	156.8496
100.000000	99.927	156.8716
101.500000	99.644	156.9953
103.000000	99.556	156.7919
104.400002	99.541	157.2433
106.000000	99.434	155.9053
107.500000	99.402	156.3221
109.000000	99.348	155.8445
110.599998	99.271	156.3635
112.000000	99.204	155.7274
113.800003	99.103	156.0092
115.000000	99.097	155.5930
117.199997	98.993	155.2674
118.000000	99.050	155.3707
120.599998	98.816	155.5774
122.000000	98.729	155.3660
124.099998	98.758	154.9881
125.000000	98.688	155.2117
126.500000	98.671	154.8509
128.000000	98.612	154.9910
131.500000	98.434	154.8326
132.000000	98.423	154.8475
134.000000	98.371	154.8615
136.000000	98.284	154.6210
138.000000	98.236	154.6797
140.000000	98.185	155.3044
143.000000	98.038	154.8090
145.000000	97.971	154.8045
147.500000	97.901	154.7224
150.000000	97.767	154.9406
152.500000	97.682	154.7960
155.000000	97.584	154.8327
157.500000	97.504	154.9172
160.000000	97.447	155.0010
162.500000	97.373	155.2144
165.000000	97.278	155.4294
167.500000	97.203	155.6209
170.000000	97.147	155.5906
172.500000	97.076	156.0589
175.000000	97.052	155.8499
177.500000	97.006	156.5500
180.000000	96.921	157.0361
182.500000	96.898	156.9017
185.000000	96.836	156.6823
187.500000	96.786	156.5595
190.000000	96.733	156.8317
192.500000	96.701	157.1019
195.000000	96.642	157.0974
197.500000	96.565	157.1702
200.000000	96.526	157.0446
203.000000	96.437	157.3247
206.000000	96.356	157.4937
209.000000	96.281	157.5750
212.000000	96.227	158.0869
214.000000	96.190	157.9072
218.000000	96.084	158.1393
220.000000	96.056	158.2838
224.000000	95.977	158.7319
227.000000	95.909	158.8058
230.000000	95.853	159.1846
233.000000	95.791	159.4912
236.000000	95.733	159.5280
240.000000	95.674	159.7903
243.000000	95.612	160.1345
247.000000	95.552	160.3813
250.000000	95.524	160.6459
254.000000	95.459	160.8681
258.000000	95.357	161.2590
262.000000	95.322	161.4828
265.000000	95.286	161.7707
269.000000	95.220	162.0342
272.000000	95.184	162.4816
276.000000	95.143	162.7509
