* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -17,5 dBFS, measurement signal peak level -14,8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 7/09/2025 08:16:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0,0113 ms (-3,9 mm, -0,15 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 20,6 ppm
* Measurement: R red
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.957	-153.5962
20.299999	102.978	-154.6797
20.600000	102.964	-155.7243
20.900000	102.921	-156.6171
21.200001	102.864	-157.2715
21.400000	102.831	-157.5732
21.799999	102.795	-157.9567
22.000000	102.796	-158.1130
22.400000	102.836	-158.5336
22.700001	102.880	-159.0282
23.000000	102.916	-159.6749
23.299999	102.935	-160.3933
23.600000	102.937	-161.1009
24.000000	102.924	-161.9322
24.299999	102.916	-162.4629
24.700001	102.919	-163.1189
25.000000	102.930	-163.6378
25.400000	102.943	-164.4015
25.799999	102.945	-165.1926
26.200001	102.935	-165.9133
26.500000	102.927	-166.3795
26.900000	102.927	-166.9330
27.200001	102.935	-167.3472
27.600000	102.951	-167.9487
28.000000	102.960	-168.5948
28.500000	102.957	-169.3591
29.000000	102.951	-170.0033
29.500000	102.957	-170.6085
30.000000	102.964	-171.2839
30.400000	102.959	-171.8509
30.700001	102.949	-172.2497
31.100000	102.935	-172.7281
31.500000	102.927	-173.1992
32.000000	102.920	-173.9030
32.500000	102.884	-174.7198
33.000000	102.810	-175.3918
33.500000	102.735	-175.7243
34.000000	102.708	-175.8880
34.500000	102.726	-176.2639
35.000000	102.736	-176.9609
35.500000	102.705	-177.7234
36.000000	102.653	-178.2913
36.500000	102.614	-178.6783
37.000000	102.594	-179.0286
37.500000	102.586	-179.3687
38.200001	102.607	-179.8411
38.700001	102.645	179.6074
39.500000	102.642	178.2590
40.000000	102.577	177.6069
40.599998	102.514	177.2653
41.200001	102.509	176.8529
41.799999	102.482	176.0765
42.500000	102.366	175.4639
43.099998	102.311	175.5259
43.700001	102.352	175.3334
44.400002	102.375	174.3031
45.000000	102.296	173.4570
45.500000	102.226	173.1904
46.200001	102.217	172.9988
46.799999	102.250	172.3698
47.500000	102.216	171.2505
48.200001	102.094	170.5079
48.700001	102.011	170.4346
49.400002	101.979	170.5995
50.000000	102.009	170.4119
50.799999	101.993	169.6542
51.500000	101.908	169.3001
52.200001	101.870	169.3436
53.000000	101.896	168.9689
53.799999	101.856	168.0807
54.500000	101.760	167.5699
55.200001	101.690	167.3871
56.000000	101.660	167.0796
57.000000	101.612	166.4584
58.000000	101.564	166.0060
59.000000	101.532	165.4119
60.000000	101.440	164.8462
60.799999	101.350	164.7920
61.500000	101.313	164.9179
62.200001	101.315	164.7663
63.000000	101.268	164.0770
64.000000	101.085	163.6428
65.000000	100.994	163.8099
66.000000	100.950	163.4592
67.000000	100.914	163.0386
68.000000	100.850	162.0712
69.000000	100.653	161.7140
70.000000	100.543	162.2685
71.000000	100.512	162.7229
72.000000	100.557	162.9441
73.000000	100.581	162.1268
74.000000	100.436	161.5434
75.000000	100.389	161.8875
76.199997	100.407	161.0978
77.500000	100.206	161.6948
78.800003	100.427	162.1715
80.000000	100.274	161.9173
81.199997	100.432	161.4208
82.500000	99.644	160.9181
83.800003	100.177	164.9768
85.000000	100.129	160.3279
86.199997	99.932	160.9447
87.500000	100.012	159.7542
88.500000	100.004	158.8589
90.000000	99.857	158.9434
91.199997	99.865	158.4574
92.500000	99.762	158.7401
93.800003	99.646	157.7326
95.000000	99.536	158.2639
96.199997	99.521	157.9366
97.500000	99.544	157.8080
98.800003	99.410	157.9583
100.000000	99.530	158.5250
101.500000	99.365	158.0135
103.000000	99.366	157.8832
104.400002	99.160	157.3820
106.000000	99.141	157.9294
107.500000	99.183	156.3624
109.000000	99.046	157.1574
110.599998	98.991	155.9919
112.000000	98.922	156.7958
113.800003	98.817	156.1251
115.000000	98.792	155.9070
117.199997	98.706	156.5744
118.000000	98.738	156.1546
120.599998	98.551	156.4245
122.000000	98.518	156.2269
124.099998	98.387	156.2644
125.000000	98.407	156.0469
126.500000	98.335	155.9406
128.000000	98.295	155.8023
131.500000	98.155	156.0416
132.000000	98.142	156.0772
134.000000	98.111	156.0665
136.000000	98.027	155.4431
138.000000	97.922	156.0800
140.000000	97.904	155.8827
143.000000	97.786	156.1195
145.000000	97.663	155.8089
147.500000	97.602	156.0355
150.000000	97.473	156.0942
152.500000	97.374	156.0560
155.000000	97.323	156.0354
157.500000	97.242	156.2769
160.000000	97.244	156.4848
162.500000	97.081	157.2103
165.000000	96.945	157.4221
167.500000	96.920	157.7167
170.000000	96.845	158.0668
172.500000	96.900	158.6106
175.000000	96.875	158.5843
177.500000	96.887	158.5837
180.000000	96.847	158.5783
182.500000	96.828	158.3210
185.000000	96.791	158.0141
187.500000	96.749	158.5083
190.000000	96.711	157.9726
192.500000	96.554	158.3281
195.000000	96.504	158.2701
197.500000	96.434	158.5447
200.000000	96.389	158.3659
203.000000	96.315	158.2463
206.000000	96.239	158.3285
209.000000	96.185	158.6723
212.000000	96.139	158.8701
214.000000	96.073	158.8453
218.000000	95.983	159.2202
220.000000	95.949	159.2932
224.000000	95.855	159.5105
227.000000	95.800	159.7815
230.000000	95.741	160.1743
233.000000	95.698	160.2052
236.000000	95.618	160.3796
240.000000	95.538	160.5485
243.000000	95.506	160.9179
247.000000	95.435	161.1257
250.000000	95.375	161.4246
254.000000	95.312	161.7173
258.000000	95.259	161.8554
262.000000	95.188	162.2716
265.000000	95.165	162.6644
269.000000	95.097	162.9192
272.000000	95.047	162.9962
276.000000	94.972	163.4117
280.000000	94.941	163.8323
285.000000	94.879	164.1926
290.000000	94.835	164.5497
295.000000	94.755	164.8752
300.000000	94.702	165.4440
304.000000	94.666	165.6948
307.000000	94.613	165.9277
311.000000	94.577	166.1265
315.000000	94.523	166.5605
320.000000	94.484	166.9046
325.000000	94.443	167.3813
330.000000	94.372	167.6947
335.000000	94.346	168.0095
340.000000	94.314	168.5080
345.000000	94.261	168.8325
350.000000	94.237	169.2496
355.000000	94.180	169.8027
360.000000	94.145	170.1669
365.000000	94.095	170.4992
370.000000	94.104	170.8514
375.000000	94.018	171.2760
382.000000	93.965	171.7532
387.000000	93.961	172.1911
395.000000	93.901	172.7489
400.000000	93.877	173.2043
406.000000	93.824	173.6192
412.000000	93.825	174.1932
418.000000	93.786	174.6247
425.000000	93.752	175.2051
431.000000	93.710	175.5621
437.000000	93.706	176.0245
444.000000	93.635	176.7347
450.000000	93.645	177.0685
455.000000	93.596	177.4414
462.000000	93.576	178.1562
468.000000	93.531	178.3940
475.000000	93.528	178.8462
482.000000	93.484	179.4110
487.000000	93.482	179.8522
494.000000	93.468	-179.5253
500.000000	93.426	-179.2346
508.000000	93.440	-178.6562
515.000000	93.427	-178.0762
522.000000	93.385	-177.8144
530.000000	93.386	-177.0359
538.000000	93.364	-176.5423
545.000000	93.362	-175.7758
552.000000	93.356	-175.4760
560.000000	93.336	-174.8793
570.000000	93.274	-174.0205
580.000000	93.332	-173.3412
590.000000	93.290	-172.4302
600.000000	93.267	-172.1070
608.000000	93.254	-171.3609
615.000000	93.283	-170.8346
622.000000	93.263	-170.1880
630.000000	93.279	-169.9350
640.000000	93.258	-168.9806
650.000000	93.244	-168.3925
660.000000	93.284	-167.6699
670.000000	93.261	-167.0467
680.000000	93.277	-166.1868
690.000000	93.303	-165.4256
700.000000	93.300	-164.9326
710.000000	93.332	-164.2656
720.000000	93.332	-163.3436
730.000000	93.384	-162.8756
740.000000	93.359	-162.1204
750.000000	93.407	-161.4560
762.000000	93.425	-160.5958
775.000000	93.471	-159.8690
788.000000	93.522	-158.8556
800.000000	93.567	-158.0598
812.000000	93.560	-157.3624
825.000000	93.641	-156.1890
838.000000	93.680	-155.7053
850.000000	93.731	-154.6812
862.000000	93.754	-153.9756
875.000000	93.863	-153.3313
885.000000	93.903	-152.7078
900.000000	93.955	-151.7662
912.000000	94.056	-151.2206
925.000000	94.106	-150.3271
938.000000	94.196	-149.7020
950.000000	94.274	-149.1321
962.000000	94.365	-148.4051
975.000000	94.432	-147.9624
988.000000	94.536	-147.1490
1000.000000	94.602	-146.5657
1015.000000	94.685	-146.0363
1030.000000	94.823	-145.2590
1044.000000	94.905	-144.7777
1060.000000	95.037	-144.1106
1075.000000	95.127	-143.5709
1090.000000	95.245	-143.2117
1106.000000	95.323	-142.6679
