* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -18,8 dBFS, measurement signal peak level -17,8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 27/07/2024 12:07:23 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0243 ms (-8,3 mm, -0,33 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset
* Measurement: R 95
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.532	-120.7820
20.299999	92.611	-121.3247
20.600000	92.699	-121.9398
20.900000	92.786	-122.6458
21.200001	92.864	-123.4180
21.400000	92.909	-123.9428
21.799999	92.983	-124.9487
22.000000	93.017	-125.4124
22.400000	93.086	-126.2688
22.700001	93.142	-126.8854
23.000000	93.201	-127.5150
23.299999	93.259	-128.1707
23.600000	93.309	-128.8401
24.000000	93.364	-129.6982
24.299999	93.399	-130.2787
24.700001	93.446	-130.9565
25.000000	93.488	-131.4210
25.400000	93.551	-132.0383
25.799999	93.618	-132.6940
26.200001	93.679	-133.3776
26.500000	93.720	-133.8849
26.900000	93.771	-134.5363
27.200001	93.810	-135.0120
27.600000	93.861	-135.6548
28.000000	93.907	-136.3182
28.500000	93.951	-137.1339
29.000000	93.987	-137.8503
29.500000	94.032	-138.4679
30.000000	94.093	-139.1126
30.400000	94.144	-139.7198
30.700001	94.176	-140.2206
31.100000	94.202	-140.8890
31.500000	94.216	-141.4741
32.000000	94.234	-142.0310
32.500000	94.275	-142.4764
33.000000	94.339	-142.9894
33.500000	94.406	-143.6617
34.000000	94.454	-144.4250
34.500000	94.480	-145.1412
35.000000	94.499	-145.7321
35.500000	94.528	-146.2411
36.000000	94.567	-146.7742
36.500000	94.603	-147.3807
37.000000	94.626	-148.0017
37.500000	94.639	-148.5437
38.200001	94.667	-149.1611
38.700001	94.701	-149.6129
39.500000	94.753	-150.4581
40.000000	94.776	-150.9711
40.599998	94.809	-151.5229
41.200001	94.851	-152.1060
41.799999	94.886	-152.7694
42.500000	94.904	-153.4893
43.099998	94.918	-153.9525
43.700001	94.951	-154.3666
44.400002	95.001	-154.9684
45.000000	95.030	-155.5785
45.500000	95.040	-156.0651
46.200001	95.047	-156.6202
46.799999	95.064	-157.0210
47.500000	95.095	-157.5486
48.200001	95.117	-158.1566
48.700001	95.125	-158.5604
49.400002	95.141	-159.0573
50.000000	95.163	-159.5116
50.799999	95.182	-160.1750
51.500000	95.192	-160.6714
52.200001	95.215	-161.1233
53.000000	95.247	-161.7490
53.799999	95.261	-162.4090
54.500000	95.267	-162.9240
55.200001	95.271	-163.3929
56.000000	95.280	-163.8674
57.000000	95.304	-164.4960
58.000000	95.309	-165.1532
59.000000	95.322	-165.6492
60.000000	95.345	-166.2572
60.799999	95.352	-166.6956
61.500000	95.373	-167.0647
62.200001	95.394	-167.5731
63.000000	95.389	-168.1808
64.000000	95.375	-168.7001
65.000000	95.386	-169.1533
66.000000	95.405	-169.7053
67.000000	95.412	-170.2523
68.000000	95.431	-170.7643
69.000000	95.434	-171.3967
70.000000	95.426	-171.8220
71.000000	95.447	-172.3312
72.000000	95.439	-172.9183
73.000000	95.440	-173.3579
74.000000	95.445	-173.8938
75.000000	95.447	-174.3862
76.199997	95.446	-175.0016
77.500000	95.456	-175.5182
78.800003	95.451	-176.2188
80.000000	95.439	-176.5187
81.199997	95.464	-177.0422
82.500000	95.458	-177.6287
83.800003	95.447	-178.2955
85.000000	95.433	-178.6896
86.199997	95.444	-179.2731
87.500000	95.427	-179.7535
88.500000	95.432	179.8618
90.000000	95.423	179.3873
91.199997	95.431	178.9032
92.500000	95.408	178.3844
93.800003	95.393	177.9164
95.000000	95.377	177.4854
96.199997	95.374	177.0314
97.500000	95.350	176.5294
98.800003	95.338	176.2808
100.000000	95.351	175.9103
101.500000	95.323	175.4794
103.000000	95.339	175.0358
104.400002	95.296	174.4651
106.000000	95.272	174.1621
107.500000	95.289	173.6315
109.000000	95.249	173.0898
110.599998	95.221	172.6413
112.000000	95.204	172.5079
113.800003	95.206	171.8536
115.000000	95.207	171.6602
117.199997	95.145	170.8907
118.000000	95.148	171.0081
120.599998	95.146	170.5922
122.000000	95.147	170.3516
124.099998	95.155	169.9277
125.000000	95.167	169.8508
126.500000	95.209	169.3669
128.000000	95.218	168.9475
131.500000	95.240	167.9155
132.000000	95.247	167.7557
134.000000	95.246	166.9670
136.000000	95.229	166.3429
138.000000	95.198	165.5803
140.000000	95.179	165.0598
143.000000	95.137	164.0627
145.000000	95.099	163.6962
147.500000	95.106	163.1475
150.000000	95.051	162.4298
152.500000	95.028	161.8775
155.000000	94.986	161.1348
157.500000	94.949	160.6418
160.000000	94.912	160.1187
162.500000	94.842	159.4196
165.000000	94.795	159.0160
167.500000	94.763	158.4644
170.000000	94.738	157.8900
172.500000	94.657	157.5597
175.000000	94.619	156.8904
177.500000	94.561	156.4213
180.000000	94.503	156.0490
182.500000	94.434	155.6283
185.000000	94.387	155.0550
187.500000	94.341	154.5930
190.000000	94.292	154.2803
192.500000	94.242	153.7267
195.000000	94.187	153.3096
197.500000	94.141	152.9326
200.000000	94.103	152.4887
203.000000	94.024	152.1306
206.000000	93.994	151.7044
209.000000	93.957	151.1537
212.000000	93.898	150.7936
214.000000	93.862	150.5328
218.000000	93.818	149.9162
220.000000	93.784	149.6745
224.000000	93.729	149.2120
227.000000	93.651	148.6111
230.000000	93.593	148.2929
233.000000	93.582	147.9471
236.000000	93.531	147.5974
240.000000	93.449	147.2009
243.000000	93.402	146.7379
247.000000	93.344	146.1981
250.000000	93.301	146.0334
254.000000	93.216	145.6239
258.000000	93.139	145.3764
262.000000	93.072	145.0092
265.000000	93.009	144.8006
269.000000	92.977	144.5823
272.000000	92.952	144.3820
276.000000	92.904	144.0700
280.000000	92.851	143.4867
285.000000	92.805	143.1205
290.000000	92.700	142.3967
295.000000	92.640	142.0450
300.000000	92.565	141.5107
304.000000	92.484	141.0067
307.000000	92.424	140.9972
311.000000	92.396	140.6087
315.000000	92.336	140.2250
320.000000	92.204	139.9868
325.000000	92.148	139.6246
330.000000	92.081	139.2475
335.000000	92.028	138.8984
340.000000	91.948	138.4468
345.000000	91.856	138.0352
350.000000	91.779	137.9479
355.000000	91.718	137.8113
360.000000	91.623	137.4645
365.000000	91.575	137.2379
370.000000	91.494	136.9818
375.000000	91.430	136.8033
382.000000	91.318	136.3969
387.000000	91.286	136.2204
395.000000	91.150	135.9493
400.000000	91.073	135.6697
406.000000	91.013	135.5517
412.000000	90.936	135.5480
418.000000	90.852	135.2168
425.000000	90.761	135.0483
431.000000	90.721	134.7410
437.000000	90.641	134.7519
444.000000	90.568	134.4553
450.000000	90.478	134.4222
455.000000	90.430	134.4474
462.000000	90.374	134.1532
468.000000	90.343	133.9497
475.000000	90.223	134.0510
482.000000	90.118	133.8279
487.000000	90.087	133.6611
494.000000	90.016	133.6050
500.000000	89.947	133.4575
508.000000	89.902	133.6740
515.000000	89.865	133.2401
522.000000	89.753	133.4531
530.000000	89.700	133.4281
538.000000	89.625	133.4019
545.000000	89.582	133.4244
552.000000	89.552	133.3741
560.000000	89.456	133.4868
570.000000	89.403	133.3986
580.000000	89.319	133.5953
590.000000	89.240	133.6049
600.000000	89.220	133.7149
608.000000	89.181	133.3923
615.000000	89.165	133.9372
622.000000	89.075	133.9419
630.000000	89.013	134.1400
640.000000	88.993	134.0330
650.000000	88.908	134.1386
660.000000	88.881	134.3571
670.000000	88.854	134.6508
680.000000	88.807	134.4694
690.000000	88.807	135.0641
700.000000	88.790	135.2211
710.000000	88.751	135.2994
720.000000	88.698	135.4924
730.000000	88.731	135.7345
740.000000	88.659	135.8762
750.000000	88.666	135.9008
762.000000	88.651	136.2003
775.000000	88.689	136.5618
788.000000	88.673	136.9938
800.000000	88.646	137.0903
812.000000	88.676	137.5676
825.000000	88.669	137.8339
838.000000	88.647	138.2831
850.000000	88.683	138.7717
862.000000	88.702	138.5168
875.000000	88.697	139.0967
885.000000	88.740	139.3051
900.000000	88.757	139.3544
912.000000	88.776	139.4769
925.000000	88.881	140.1348
938.000000	88.930	140.2513
950.000000	88.926	140.3386
962.000000	89.017	140.6940
975.000000	89.052	140.6108
988.000000	89.114	141.1698
1000.000000	89.155	141.4405
1015.000000	89.208	141.4494
1030.000000	89.318	141.8395
1044.000000	89.378	141.9641
1060.000000	89.463	142.1722
1075.000000	89.541	142.1888
1090.000000	89.632	142.3484
1106.000000	89.749	142.6047
1120.000000	89.794	142.6205
1138.000000	89.888	142.8522
1150.000000	89.952	142.8352
1172.000000	90.122	143.0955
1180.000000	90.187	143.0424
1206.000000	90.342	143.4371
1220.000000	90.450	143.6230
1241.000000	90.584	143.5255
1250.000000	90.700	143.5393
1265.000000	90.739	143.7245
1280.000000	90.923	143.5945
1315.000000	91.173	143.9323
1320.000000	91.212	143.9019
1340.000000	91.397	144.1920
1360.000000	91.547	144.1058
1380.000000	91.742	144.1627
1400.000000	91.923	144.3318
1430.000000	92.266	144.4744
1450.000000	92.447	144.4365
1475.000000	92.715	144.6543
1500.000000	93.009	144.6569
1525.000000	93.327	144.7635
1550.000000	93.626	144.6323
1575.000000	93.975	144.3626
1600.000000	94.311	144.3236
1625.000000	94.673	144.1685
1650.000000	95.056	143.6865
1675.000000	95.473	143.2114
1700.000000	95.909	142.5246
1725.000000	96.322	141.6257
1750.000000	96.805	140.5021
1775.000000	97.228	139.2399
1800.000000	97.696	137.4984
1825.000000	98.156	135.5848
1850.000000	98.618	133.2849
1875.000000	99.049	130.7651
1900.000000	99.451	127.7203
1925.000000	99.801	124.5655
1950.000000	100.114	121.0001
1975.000000	100.348	117.3641
2000.000000	100.526	113.5753
2030.000000	100.625	109.0596
2060.000000	100.667	104.8141
2090.000000	100.615	101.0338
2120.000000	100.529	97.3238
2140.000000	100.453	95.3005
2180.000000	100.288	91.5980
2200.000000	100.219	89.8391
2240.000000	100.075	86.8168
2270.000000	99.983	84.5161
2300.000000	99.903	82.3040
2330.000000	99.802	80.2280
2360.000000	99.714	77.8943
2400.000000	99.526	74.8943
2430.000000	99.334	72.8304
2470.000000	99.040	70.0427
2500.000000	98.755	68.3557
2540.000000	98.354	66.5745
2580.000000	97.937	65.6193
2620.000000	97.541	65.3918
2650.000000	97.254	65.5330
2690.000000	96.927	66.4774
2720.000000	96.734	67.3401
2760.000000	96.565	69.0869
2800.000000	96.474	70.7594
2850.000000	96.524	72.9294
2900.000000	96.710	75.0164
2950.000000	97.057	76.5544
3000.000000	97.455	77.3524
3040.000000	97.844	77.3116
3070.000000	98.116	76.8827
3110.000000	98.459	75.8967
3150.000000	98.793	74.4089
3200.000000	99.066	72.2822
3250.000000	99.272	70.0823
3300.000000	99.454	68.1234
3350.000000	99.635	66.0745
3400.000000	99.860	63.7205
3450.000000	100.045	60.6674
3500.000000	100.144	56.8242
3550.000000	100.095	53.0702
3600.000000	99.911	49.4292
3650.000000	99.631	46.4259
3700.000000	99.303	44.1920
3750.000000	98.948	42.4319
3820.000000	98.497	40.8830
3870.000000	98.181	40.4189
3950.000000	97.765	39.8246
4000.000000	97.541	39.8751
4060.000000	97.348	40.1068
4120.000000	97.201	40.4745
4180.000000	97.108	40.9396
4250.000000	97.051	41.8484
4310.000000	97.042	42.3670
4370.000000	97.124	42.9631
4440.000000	97.209	43.5921
4500.000000	97.320	43.8235
4550.000000	97.481	44.0612
4620.000000	97.689	44.1357
4680.000000	97.913	43.7131
4750.000000	98.239	43.3640
4820.000000	98.597	42.1987
4870.000000	98.891	41.0570
4940.000000	99.298	38.5667
5000.000000	99.581	35.4904
5080.000000	99.819	30.8469
5150.000000	99.848	25.9660
5220.000000	99.768	21.0272
5300.000000	99.417	15.8755
5380.000000	98.917	11.1556
5450.000000	98.372	7.8216
5520.000000	97.754	5.1289
5600.000000	97.057	3.0973
5700.000000	96.139	1.6198
5800.000000	95.276	1.5684
5900.000000	94.478	2.2653
6000.000000	93.779	4.2068
6080.000000	93.244	5.8011
6150.000000	92.849	7.6599
6220.000000	92.515	9.5760
6300.000000	92.204	12.4525
6400.000000	91.867	16.3003
6500.000000	91.660	20.1588
6600.000000	91.649	24.5045
6700.000000	91.719	28.2729
6800.000000	91.939	32.2117
6900.000000	92.258	36.6085
7000.000000	92.805	40.0062
7100.000000	93.480	42.3691
7200.000000	94.318	43.6487
7300.000000	95.075	43.5753
7400.000000	95.841	42.3364
7500.000000	96.574	40.5846
7620.000000	97.398	37.4554
7750.000000	98.336	32.8706
7880.000000	99.236	26.1302
8000.000000	99.916	16.9527
8120.000000	100.031	5.6054
8250.000000	99.495	-6.9772
8380.000000	98.307	-17.1995
8500.000000	96.993	-23.3793
8620.000000	95.565	-27.0714
8750.000000	94.300	-28.7833
8850.000000	93.392	-28.9579
9000.000000	92.054	-27.7301
9120.000000	91.101	-25.9204
9250.000000	90.442	-24.2489
9380.000000	89.773	-22.4389
9500.000000	89.131	-20.4473
9620.000000	88.773	-18.5360
9750.000000	88.361	-17.2272
9880.000000	88.009	-16.1782
10000.000000	87.637	-15.5515
10150.000000	87.299	-15.3746
10300.000000	86.729	-15.1965
10440.000000	86.007	-15.1105
10600.000000	85.020	-14.0219
10750.000000	84.247	-11.6194
10900.000000	83.218	-5.8483
11060.000000	82.734	-0.8293
11200.000000	82.461	4.5457
11380.000000	82.217	12.3328
11500.000000	82.405	16.2672
11720.000000	82.590	22.6344
11800.000000	82.836	25.0257
12060.000000	83.176	29.8116
12200.000000	83.573	33.9222
12410.000000	84.283	36.1328
12500.000000	84.659	36.3123
12650.000000	84.958	37.7407
12800.000000	85.522	39.2256
13150.000000	87.598	41.9993
13200.000000	88.042	41.4022
13400.000000	90.006	35.3910
13600.000000	92.095	18.5223
13800.000000	91.822	-9.7748
14000.000000	89.045	-27.7191
14300.000000	85.480	-31.9153
14500.000000	83.711	-33.8864
14750.000000	81.356	-29.2151
15000.000000	80.144	-20.8951
15250.000000	79.391	-14.3480
15500.000000	79.673	-8.3414
15750.000000	80.594	-3.5872
16000.000000	82.683	-7.0322
16250.000000	85.147	-24.3741
16500.000000	85.214	-58.6594
16750.000000	81.760	-86.1307
17000.000000	77.813	-97.0972
17250.000000	73.820	-103.7170
17500.000000	69.137	-98.9272
17750.000000	65.834	-88.2125
18000.000000	63.494	-67.1053
18250.000000	61.725	-45.9984
18500.000000	62.626	-32.0876
18750.000000	61.837	-18.9631
19000.000000	60.518	-27.7166
19250.000000	59.308	11.5107
19500.000000	58.687	50.0014
19750.000000	66.988	43.8220
