* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -15,7 dBFS, measurement signal peak level -13,7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 16/11/2025 02:49:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0236 ms (-8,1 mm, -0,32 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 29,6 ppm
* Measurement: L 1100
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.790	-179.4419
20.299999	104.765	-179.8909
20.600000	104.741	179.6675
20.900000	104.716	179.2311
21.200001	104.691	178.8008
21.400000	104.674	178.5184
21.799999	104.640	177.9659
22.000000	104.623	177.6960
22.400000	104.587	177.1688
22.700001	104.561	176.7844
23.000000	104.534	176.4105
23.299999	104.506	176.0486
23.600000	104.480	175.6983
24.000000	104.445	175.2455
24.299999	104.420	174.9111
24.700001	104.387	174.4654
25.000000	104.362	174.1308
25.400000	104.326	173.6905
25.799999	104.288	173.2679
26.200001	104.249	172.8692
26.500000	104.220	172.5829
26.900000	104.183	172.2111
27.200001	104.154	171.9362
27.600000	104.116	171.5779
28.000000	104.077	171.2383
28.500000	104.029	170.8466
29.000000	103.986	170.4687
29.500000	103.945	170.0736
30.000000	103.901	169.6650
30.400000	103.862	169.3548
30.700001	103.833	169.1426
31.100000	103.796	168.8815
31.500000	103.763	168.6258
32.000000	103.724	168.2874
32.500000	103.682	167.9362
33.000000	103.638	167.6055
33.500000	103.595	167.3009
34.000000	103.554	166.9956
34.500000	103.512	166.6807
35.000000	103.465	166.3853
35.500000	103.418	166.1331
36.000000	103.377	165.9016
36.500000	103.338	165.6557
37.000000	103.297	165.3986
37.500000	103.254	165.1633
38.200001	103.198	164.8739
38.700001	103.162	164.6486
39.500000	103.098	164.2405
40.000000	103.051	164.0146
40.599998	102.996	163.7989
41.200001	102.947	163.6046
41.799999	102.901	163.4048
42.500000	102.850	163.1674
43.099998	102.806	162.9515
43.700001	102.758	162.7300
44.400002	102.697	162.5225
45.000000	102.651	162.4038
45.500000	102.620	162.2977
46.200001	102.578	162.0769
46.799999	102.534	161.8589
47.500000	102.475	161.6652
48.200001	102.421	161.5176
48.700001	102.386	161.4020
49.400002	102.334	161.2371
50.000000	102.290	161.1203
50.799999	102.238	160.9616
51.500000	102.191	160.7961
52.200001	102.140	160.6488
53.000000	102.084	160.5183
53.799999	102.033	160.4056
54.500000	101.992	160.3085
55.200001	101.953	160.1961
56.000000	101.906	160.0720
57.000000	101.853	159.8946
58.000000	101.783	159.6811
59.000000	101.712	159.6414
60.000000	101.664	159.5383
60.799999	101.614	159.4191
61.500000	101.571	159.3788
62.200001	101.537	159.3322
63.000000	101.499	159.2307
64.000000	101.446	159.0666
65.000000	101.384	158.9759
66.000000	101.336	158.9096
67.000000	101.278	158.7651
68.000000	101.214	158.7605
69.000000	101.163	158.7598
70.000000	101.115	158.7711
71.000000	101.076	158.7048
72.000000	101.025	158.6185
73.000000	100.978	158.5406
74.000000	100.920	158.4647
75.000000	100.873	158.4805
76.199997	100.822	158.4238
77.500000	100.770	158.4059
78.800003	100.711	158.3162
80.000000	100.656	158.3629
81.199997	100.606	158.3864
82.500000	100.565	158.4427
83.800003	100.516	158.3403
85.000000	100.462	158.3434
86.199997	100.414	158.3459
87.500000	100.367	158.3361
88.500000	100.326	158.3360
90.000000	100.273	158.3312
91.199997	100.226	158.4175
92.500000	100.197	158.3996
93.800003	100.144	158.3789
95.000000	100.099	158.4453
96.199997	100.072	158.5127
97.500000	100.023	158.4219
98.800003	99.977	158.5319
100.000000	99.929	158.4925
101.500000	99.884	158.6841
103.000000	99.838	158.6241
104.400002	99.808	158.6768
106.000000	99.749	158.7098
107.500000	99.719	158.7306
109.000000	99.670	158.8254
110.599998	99.619	158.8176
112.000000	99.592	158.9508
113.800003	99.542	158.8998
115.000000	99.522	158.9971
117.199997	99.453	159.1204
118.000000	99.450	159.2408
120.599998	99.385	159.4952
122.000000	99.362	159.2946
124.099998	99.293	159.2843
125.000000	99.257	159.3900
126.500000	99.244	159.5291
128.000000	99.229	159.5458
131.500000	99.126	159.5618
132.000000	99.109	159.6943
134.000000	99.079	159.7017
136.000000	99.067	159.7576
138.000000	99.013	159.9433
140.000000	98.972	160.0437
143.000000	98.907	160.2277
145.000000	98.875	160.0908
147.500000	98.829	160.2394
150.000000	98.788	160.3897
152.500000	98.731	160.3892
155.000000	98.693	160.5628
157.500000	98.656	160.7213
160.000000	98.626	160.7978
162.500000	98.579	160.9423
165.000000	98.532	161.0878
167.500000	98.508	161.0370
170.000000	98.486	161.1380
172.500000	98.446	161.3555
175.000000	98.418	161.3740
177.500000	98.361	161.5617
180.000000	98.343	161.6280
182.500000	98.279	161.6686
185.000000	98.256	161.8766
187.500000	98.233	161.6704
190.000000	98.187	161.9298
192.500000	98.177	162.0376
195.000000	98.145	162.0286
197.500000	98.139	162.2137
200.000000	98.073	162.2472
203.000000	98.032	162.4483
206.000000	98.015	162.4666
209.000000	98.003	162.5515
212.000000	97.960	162.8679
214.000000	97.919	162.7410
218.000000	97.899	162.9108
220.000000	97.850	163.1403
224.000000	97.821	163.2387
227.000000	97.779	163.3130
230.000000	97.752	163.4608
233.000000	97.699	163.6238
236.000000	97.667	163.6316
240.000000	97.639	164.0928
243.000000	97.650	164.6251
247.000000	97.616	164.6467
250.000000	97.604	164.9825
254.000000	97.661	164.8862
258.000000	97.598	164.8759
262.000000	97.575	164.7964
265.000000	97.567	164.9453
269.000000	97.524	164.8129
272.000000	97.498	164.8088
276.000000	97.474	164.7681
280.000000	97.439	165.0458
285.000000	97.402	165.1310
290.000000	97.363	165.1696
295.000000	97.318	165.3594
300.000000	97.267	165.4520
304.000000	97.235	165.6847
307.000000	97.225	165.6279
311.000000	97.191	165.7664
315.000000	97.149	165.9804
320.000000	97.111	165.8666
325.000000	97.082	166.1396
330.000000	97.042	166.3291
335.000000	97.013	166.4034
340.000000	96.993	166.5682
345.000000	96.925	166.7985
350.000000	96.917	166.8447
355.000000	96.857	167.0747
360.000000	96.833	167.0771
365.000000	96.820	167.2664
370.000000	96.791	167.3502
375.000000	96.748	167.4987
382.000000	96.683	167.6046
387.000000	96.658	167.7395
395.000000	96.582	168.0368
400.000000	96.586	168.1004
406.000000	96.548	168.3518
412.000000	96.513	168.5293
418.000000	96.469	168.7180
425.000000	96.422	168.9644
431.000000	96.386	169.0894
437.000000	96.348	169.1330
444.000000	96.322	169.5204
450.000000	96.291	169.7650
455.000000	96.236	169.8906
462.000000	96.193	170.0359
468.000000	96.163	170.2029
475.000000	96.125	170.4965
482.000000	96.056	170.6993
487.000000	96.055	170.8893
494.000000	96.012	171.2133
500.000000	95.963	171.3412
508.000000	95.936	171.6230
515.000000	95.910	171.7988
522.000000	95.877	172.1967
530.000000	95.807	172.4473
538.000000	95.736	172.6333
545.000000	95.733	172.9952
552.000000	95.700	173.3080
560.000000	95.672	173.5569
570.000000	95.607	174.2584
580.000000	95.560	174.4729
590.000000	95.529	174.8839
600.000000	95.470	175.3172
608.000000	95.455	175.7308
615.000000	95.410	176.0828
622.000000	95.366	176.4333
630.000000	95.340	176.7661
640.000000	95.300	177.1486
650.000000	95.280	177.5388
660.000000	95.239	177.8459
670.000000	95.214	178.4331
680.000000	95.155	178.8187
690.000000	95.091	179.3094
700.000000	95.067	179.7906
710.000000	95.015	-179.4988
720.000000	94.971	-178.9762
730.000000	94.983	-178.3088
740.000000	94.957	-177.7492
750.000000	94.946	-177.1169
762.000000	94.900	-176.4522
775.000000	94.883	-175.7938
788.000000	94.884	-175.1684
800.000000	94.876	-174.3590
812.000000	94.845	-173.5723
825.000000	94.877	-172.8758
838.000000	94.888	-172.1706
850.000000	94.871	-171.4687
862.000000	94.889	-170.8088
875.000000	94.892	-170.1142
885.000000	94.911	-169.7321
900.000000	94.954	-168.6268
912.000000	94.993	-168.1553
925.000000	95.024	-167.5057
938.000000	95.034	-166.7340
950.000000	95.086	-166.1711
962.000000	95.144	-165.5885
975.000000	95.173	-165.0511
988.000000	95.206	-164.3590
1000.000000	95.274	-163.9841
1015.000000	95.319	-163.3947
1030.000000	95.344	-162.8419
1044.000000	95.424	-162.3635
1060.000000	95.495	-161.8602
1075.000000	95.571	-161.4369
1090.000000	95.632	-160.9861
1106.000000	95.705	-160.4452
1120.000000	95.753	-160.1949
1138.000000	95.862	-159.7388
1150.000000	95.869	-159.4412
1172.000000	95.977	-159.0328
1180.000000	95.996	-158.8245
1206.000000	96.089	-158.4660
1220.000000	96.142	-158.1050
1241.000000	96.175	-157.8000
1250.000000	96.224	-157.7625
1265.000000	96.267	-157.6541
1280.000000	96.306	-157.4180
1315.000000	96.416	-156.7289
1320.000000	96.406	-156.8436
1340.000000	96.457	-156.5605
1360.000000	96.512	-156.1626
1380.000000	96.561	-155.9140
1400.000000	96.615	-155.7644
1430.000000	96.674	-155.0467
1450.000000	96.719	-154.8637
1475.000000	96.758	-154.5615
1500.000000	96.824	-154.2677
1525.000000	96.860	-153.8409
1550.000000	96.925	-153.4124
1575.000000	96.957	-153.1324
1600.000000	96.989	-152.3459
1625.000000	97.073	-152.1148
1650.000000	97.113	-151.6147
1675.000000	97.188	-151.2688
1700.000000	97.227	-150.9629
1725.000000	97.290	-150.2504
1750.000000	97.343	-150.0234
1775.000000	97.409	-149.5280
1800.000000	97.484	-149.2710
1825.000000	97.551	-148.6080
1850.000000	97.635	-148.3733
1875.000000	97.699	-147.9688
1900.000000	97.777	-147.4242
1925.000000	97.840	-147.2136
1950.000000	97.945	-146.7761
1975.000000	98.021	-146.4034
2000.000000	98.060	-146.0354
2030.000000	98.191	-145.6307
2060.000000	98.312	-145.2286
2090.000000	98.414	-144.8296
2120.000000	98.544	-144.5517
2140.000000	98.599	-144.2500
2180.000000	98.777	-143.9732
2200.000000	98.872	-143.7631
2240.000000	99.021	-143.4849
2270.000000	99.160	-143.3574
2300.000000	99.277	-143.1462
2330.000000	99.419	-142.8913
2360.000000	99.538	-142.9809
2400.000000	99.731	-142.8316
2430.000000	99.846	-142.8094
2470.000000	100.032	-142.8321
2500.000000	100.171	-142.8840
2540.000000	100.357	-143.1151
2580.000000	100.544	-143.3129
2620.000000	100.744	-143.6707
2650.000000	100.877	-143.9947
2690.000000	101.056	-144.6043
2720.000000	101.204	-145.1591
2760.000000	101.341	-145.8302
2800.000000	101.505	-146.6209
2850.000000	101.673	-147.6776
2900.000000	101.828	-148.9251
2950.000000	101.960	-150.1773
3000.000000	102.083	-151.4635
3040.000000	102.137	-152.5319
3070.000000	102.175	-153.3665
3110.000000	102.219	-154.4626
3150.000000	102.237	-155.6343
3200.000000	102.249	-157.0029
3250.000000	102.246	-158.3781
3300.000000	102.213	-159.5806
3350.000000	102.168	-160.6739
3400.000000	102.109	-161.7358
3450.000000	102.026	-162.6133
3500.000000	101.946	-163.4836
3550.000000	101.860	-164.2336
3600.000000	101.794	-164.9157
3650.000000	101.710	-165.4138
3700.000000	101.634	-165.9906
3750.000000	101.554	-166.3715
3820.000000	101.438	-166.9689
3870.000000	101.383	-167.3338
3950.000000	101.287	-167.8636
4000.000000	101.231	-168.1853
4060.000000	101.154	-168.6645
4120.000000	101.083	-169.1010
4180.000000	100.996	-169.6783
4250.000000	100.925	-170.0771
4310.000000	100.869	-170.5467
4370.000000	100.794	-171.0744
4440.000000	100.675	-171.7536
4500.000000	100.580	-172.2007
4550.000000	100.498	-172.6285
4620.000000	100.384	-173.3499
4680.000000	100.258	-173.9449
4750.000000	100.113	-174.4664
4820.000000	99.930	-175.1118
4870.000000	99.792	-175.4084
4940.000000	99.609	-175.9585
5000.000000	99.403	-176.3622
5080.000000	99.140	-176.7830
5150.000000	98.897	-176.8931
5220.000000	98.642	-176.8839
5300.000000	98.326	-176.6144
5380.000000	98.007	-176.2348
5450.000000	97.701	-175.1945
5520.000000	97.451	-174.1517
5600.000000	97.197	-172.7945
5700.000000	96.950	-170.5378
5800.000000	96.797	-168.5231
5900.000000	96.681	-166.5937
6000.000000	96.599	-164.7174
6080.000000	96.554	-163.3107
6150.000000	96.546	-162.3563
6220.000000	96.493	-161.4852
6300.000000	96.454	-160.2350
6400.000000	96.412	-158.6992
6500.000000	96.359	-157.1252
6600.000000	96.387	-155.4343
6700.000000	96.376	-153.7896
6800.000000	96.414	-151.9627
6900.000000	96.538	-150.3691
7000.000000	96.643	-148.6248
7100.000000	96.839	-146.9240
7200.000000	97.062	-145.4909
7300.000000	97.291	-144.1277
7400.000000	97.631	-142.6017
7500.000000	97.935	-142.1088
7620.000000	98.549	-141.9267
7750.000000	99.199	-143.3011
7880.000000	99.712	-146.3900
8000.000000	100.045	-150.3864
8120.000000	99.928	-155.2874
8250.000000	98.604	-155.5298
8380.000000	103.122	-147.5307
8500.000000	101.813	-169.7280
8620.000000	100.643	-175.7401
8750.000000	99.657	-179.1362
8850.000000	98.959	179.4512
9000.000000	98.099	178.5511
9120.000000	97.532	178.7527
9250.000000	96.976	179.3358
9380.000000	96.579	-179.4811
9500.000000	96.292	-178.8288
9620.000000	96.077	-177.8671
9750.000000	95.975	-177.5280
9880.000000	95.928	-177.1562
10000.000000	95.940	-178.0033
10150.000000	95.894	-179.9348
10300.000000	95.851	177.3996
10440.000000	95.662	173.9837
10600.000000	95.189	169.7264
10750.000000	94.426	166.2779
10900.000000	93.609	163.8206
11060.000000	92.556	162.1631
11200.000000	91.702	161.9730
11380.000000	90.611	163.5498
11500.000000	89.944	165.0978
11720.000000	88.971	169.1708
11800.000000	88.596	170.7265
12060.000000	87.914	177.0363
12200.000000	87.584	179.4775
12410.000000	87.410	-177.6651
12500.000000	87.295	-175.2241
12650.000000	87.355	-173.4424
12800.000000	87.338	-172.1326
13150.000000	87.371	-170.8302
13200.000000	87.391	-171.1595
13400.000000	87.428	-172.9177
13600.000000	87.121	-174.2298
13800.000000	86.959	-176.9944
14000.000000	86.539	-179.3719
14300.000000	85.706	-179.7140
14500.000000	85.214	179.3823
14750.000000	84.524	-179.1832
15000.000000	83.884	-178.0824
15250.000000	83.598	-177.8474
15500.000000	83.365	-176.3588
15750.000000	83.074	-176.0832
16000.000000	82.762	-175.8971
16250.000000	82.781	-172.7710
16500.000000	83.321	-171.5459
16750.000000	84.344	-172.4789
17000.000000	85.443	-178.1334
17250.000000	86.954	171.4257
17500.000000	87.745	154.5003
17750.000000	87.590	131.7165
18000.000000	85.969	108.0947
18250.000000	82.717	88.6677
18500.000000	78.746	81.8155
18750.000000	74.952	104.2046
19000.000000	78.453	114.7435
19250.000000	79.010	80.3214
19500.000000	75.689	66.7804
19750.000000	72.878	64.9184
