* Measurement data measured by REW V5.31.1
* Source: EXCL: Micrófono (Realtek(R) Audio), MICROPHONE (Volumen general), L, volume: 0,900. Timing signal peak level -17,8 dBFS, measurement signal peak level -14,3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 16/11/2025 02:45:48 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0199 ms (-6,8 mm, -0,27 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 37,3 ppm
* Measurement: R truthear pure
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.454	-173.6499
20.299999	104.436	-174.1144
20.600000	104.421	-174.5663
20.900000	104.408	-175.0171
21.200001	104.395	-175.4756
21.400000	104.386	-175.7859
21.799999	104.364	-176.4086
22.000000	104.352	-176.7143
22.400000	104.323	-177.2986
22.700001	104.300	-177.7053
23.000000	104.278	-178.0856
23.299999	104.259	-178.4498
23.600000	104.242	-178.8096
24.000000	104.222	-179.2971
24.299999	104.205	-179.6709
24.700001	104.181	179.8305
25.000000	104.161	179.4685
25.400000	104.132	179.0120
25.799999	104.104	178.5807
26.200001	104.079	178.1567
26.500000	104.060	177.8343
26.900000	104.032	177.3983
27.200001	104.009	177.0756
27.600000	103.975	176.6669
28.000000	103.940	176.2959
28.500000	103.899	175.8801
29.000000	103.864	175.4840
29.500000	103.835	175.0731
30.000000	103.805	174.6339
30.400000	103.779	174.2703
30.700001	103.757	173.9991
31.100000	103.724	173.6522
31.500000	103.690	173.3328
32.000000	103.647	172.9800
32.500000	103.608	172.6675
33.000000	103.576	172.3633
33.500000	103.547	172.0383
34.000000	103.516	171.6909
34.500000	103.479	171.3522
35.000000	103.441	171.0513
35.500000	103.406	170.7813
36.000000	103.375	170.5040
36.500000	103.345	170.1971
37.000000	103.309	169.8824
37.500000	103.270	169.5950
38.200001	103.220	169.2286
38.700001	103.188	168.9464
39.500000	103.125	168.4746
40.000000	103.081	168.2351
40.599998	103.034	168.0130
41.200001	102.998	167.7906
41.799999	102.965	167.5319
42.500000	102.925	167.2146
43.099998	102.889	166.9425
43.700001	102.849	166.6686
44.400002	102.797	166.3788
45.000000	102.750	166.1747
45.500000	102.713	166.0264
46.200001	102.663	165.8451
46.799999	102.625	165.7043
47.500000	102.587	165.5074
48.200001	102.547	165.2644
48.700001	102.516	165.0868
49.400002	102.471	164.8309
50.000000	102.427	164.6051
50.799999	102.361	164.4025
51.500000	102.319	164.3099
52.200001	102.289	164.1298
53.000000	102.238	163.8757
53.799999	102.187	163.7610
54.500000	102.158	163.6230
55.200001	102.118	163.3979
56.000000	102.059	163.2560
57.000000	102.008	163.1256
58.000000	101.947	162.9052
59.000000	101.890	162.8121
60.000000	101.843	162.6453
60.799999	101.804	162.5397
61.500000	101.776	162.4167
62.200001	101.740	162.2557
63.000000	101.695	162.1515
64.000000	101.646	161.9922
65.000000	101.576	161.9024
66.000000	101.540	161.9458
67.000000	101.505	161.6955
68.000000	101.437	161.5514
69.000000	101.388	161.4653
70.000000	101.330	161.3415
71.000000	101.282	161.3516
72.000000	101.251	161.2315
73.000000	101.194	161.1092
74.000000	101.149	161.1357
75.000000	101.111	161.0386
76.199997	101.050	161.0419
77.500000	101.018	160.9282
78.800003	100.936	160.7981
80.000000	100.911	160.8958
81.199997	100.855	160.7078
82.500000	100.848	160.9165
83.800003	100.797	160.3064
85.000000	100.703	160.5339
86.199997	100.675	160.4893
87.500000	100.606	160.5136
88.500000	100.577	160.5308
90.000000	100.516	160.4442
91.199997	100.480	160.5246
92.500000	100.448	160.3837
93.800003	100.384	160.4158
95.000000	100.355	160.5275
96.199997	100.321	160.4278
97.500000	100.256	160.4810
98.800003	100.224	160.5158
100.000000	100.180	160.4855
101.500000	100.140	160.4979
103.000000	100.103	160.4418
104.400002	100.052	160.5145
106.000000	100.011	160.5315
107.500000	99.971	160.6660
109.000000	99.892	160.5251
110.599998	99.877	160.8343
112.000000	99.861	160.5535
113.800003	99.806	160.7072
115.000000	99.820	160.6088
117.199997	99.727	160.6490
118.000000	99.696	160.6409
120.599998	99.650	160.8710
122.000000	99.625	160.8439
124.099998	99.599	160.9450
125.000000	99.561	161.0978
126.500000	99.521	161.2773
128.000000	99.422	161.3285
131.500000	99.263	160.9569
132.000000	99.267	161.1276
134.000000	99.315	160.8770
136.000000	99.353	161.1232
138.000000	99.284	161.1017
140.000000	99.235	161.5411
143.000000	99.164	161.4089
145.000000	99.119	161.4325
147.500000	99.098	161.5060
150.000000	99.013	161.8174
152.500000	98.961	161.7515
155.000000	98.914	161.9669
157.500000	98.861	162.0035
160.000000	98.763	161.7628
162.500000	98.784	162.3983
165.000000	98.683	162.6145
167.500000	98.645	163.0386
170.000000	98.592	163.3128
172.500000	98.600	163.9581
175.000000	98.611	164.1549
177.500000	98.670	164.3610
180.000000	98.757	164.5051
182.500000	98.705	163.6473
185.000000	98.679	163.8237
187.500000	98.630	163.7933
190.000000	98.622	163.8166
192.500000	98.597	163.8670
195.000000	98.537	163.8074
197.500000	98.518	163.7807
200.000000	98.471	163.8945
203.000000	98.437	163.8965
206.000000	98.388	163.9400
209.000000	98.371	164.0038
212.000000	98.323	164.0617
214.000000	98.332	164.1883
218.000000	98.257	164.0980
220.000000	98.253	164.3853
224.000000	98.208	164.3780
227.000000	98.177	164.5410
230.000000	98.142	164.5653
233.000000	98.095	164.6897
236.000000	98.087	164.8186
240.000000	98.043	164.8149
243.000000	98.025	164.9303
247.000000	97.969	164.8834
250.000000	97.956	165.0251
254.000000	97.924	165.2722
258.000000	97.879	165.2584
262.000000	97.853	165.4633
265.000000	97.832	165.4756
269.000000	97.787	165.6614
272.000000	97.766	165.6784
276.000000	97.730	165.9077
280.000000	97.715	165.8840
285.000000	97.669	165.9913
290.000000	97.628	166.2339
295.000000	97.587	166.3768
300.000000	97.560	166.5006
304.000000	97.528	166.5750
307.000000	97.489	166.6160
311.000000	97.463	166.7966
315.000000	97.447	166.7776
320.000000	97.410	167.1011
325.000000	97.350	167.1740
330.000000	97.326	167.3748
335.000000	97.288	167.4254
340.000000	97.250	167.5834
345.000000	97.210	167.7254
350.000000	97.164	167.9309
355.000000	97.154	168.0811
360.000000	97.089	168.2329
365.000000	97.082	168.5412
370.000000	97.040	168.9376
375.000000	97.018	169.3253
382.000000	97.027	169.5486
387.000000	97.028	169.5383
395.000000	97.005	169.4371
400.000000	96.964	169.4903
406.000000	96.923	169.6192
412.000000	96.899	169.8790
418.000000	96.850	169.7561
425.000000	96.798	170.0583
431.000000	96.753	170.2277
437.000000	96.724	170.4052
444.000000	96.685	170.5532
450.000000	96.638	170.7014
455.000000	96.614	170.7771
462.000000	96.577	171.3013
468.000000	96.545	171.3696
475.000000	96.475	171.4843
482.000000	96.439	171.7277
487.000000	96.416	171.8558
494.000000	96.385	172.1290
500.000000	96.372	172.1713
508.000000	96.290	172.5120
515.000000	96.275	172.9880
522.000000	96.234	173.0955
530.000000	96.197	173.3745
538.000000	96.160	173.7205
545.000000	96.115	173.9971
552.000000	96.081	174.1945
560.000000	96.028	174.6176
570.000000	95.978	174.9365
580.000000	95.937	175.5087
590.000000	95.881	175.7984
600.000000	95.845	176.2997
608.000000	95.792	176.5525
615.000000	95.762	176.9625
622.000000	95.745	177.1333
630.000000	95.715	177.5042
640.000000	95.685	178.0236
650.000000	95.637	178.4388
660.000000	95.595	178.8358
670.000000	95.557	179.4774
680.000000	95.523	179.9702
690.000000	95.487	-179.4052
700.000000	95.447	-178.9379
710.000000	95.451	-178.4118
720.000000	95.420	-177.8860
730.000000	95.370	-177.4765
740.000000	95.357	-176.9076
750.000000	95.328	-176.2754
762.000000	95.318	-175.6227
775.000000	95.308	-174.9922
788.000000	95.302	-174.0600
800.000000	95.281	-173.4217
812.000000	95.296	-172.7954
825.000000	95.276	-172.0545
838.000000	95.288	-171.3101
850.000000	95.289	-170.5120
862.000000	95.300	-169.9363
875.000000	95.306	-169.2577
885.000000	95.343	-168.7285
900.000000	95.359	-167.9069
912.000000	95.388	-167.1628
925.000000	95.450	-166.5334
938.000000	95.461	-166.0344
950.000000	95.534	-165.3707
962.000000	95.514	-164.6750
975.000000	95.597	-164.2634
988.000000	95.645	-163.6658
1000.000000	95.692	-163.0582
1015.000000	95.748	-162.5240
1030.000000	95.814	-161.9620
1044.000000	95.854	-161.4039
1060.000000	95.956	-160.8905
1075.000000	95.988	-160.4461
1090.000000	96.048	-159.9446
1106.000000	96.153	-159.5542
1120.000000	96.196	-159.2929
1138.000000	96.293	-158.7953
1150.000000	96.333	-158.4487
1172.000000	96.427	-158.0922
1180.000000	96.446	-158.0354
1206.000000	96.530	-157.4753
1220.000000	96.595	-157.2916
1241.000000	96.686	-156.8371
1250.000000	96.700	-156.7770
1265.000000	96.721	-156.5271
1280.000000	96.786	-156.2525
1315.000000	96.885	-155.7886
1320.000000	96.885	-155.7408
1340.000000	96.956	-155.4814
1360.000000	97.027	-155.2399
1380.000000	97.057	-154.9569
1400.000000	97.098	-154.6405
1430.000000	97.178	-154.1527
1450.000000	97.229	-153.8674
1475.000000	97.270	-153.4402
1500.000000	97.333	-153.1293
1525.000000	97.378	-152.7167
1550.000000	97.463	-152.4007
1575.000000	97.501	-152.0298
1600.000000	97.552	-151.4748
1625.000000	97.621	-151.0008
1650.000000	97.684	-150.6942
1675.000000	97.741	-150.1404
1700.000000	97.815	-149.9285
1725.000000	97.898	-149.4502
1750.000000	97.985	-149.0592
1775.000000	98.045	-148.6596
1800.000000	98.095	-148.1666
1825.000000	98.196	-147.9072
1850.000000	98.274	-147.4657
1875.000000	98.352	-147.0260
1900.000000	98.440	-146.8591
1925.000000	98.518	-146.3938
1950.000000	98.612	-145.9075
1975.000000	98.709	-145.6273
2000.000000	98.817	-145.4366
2030.000000	98.921	-145.0594
2060.000000	99.048	-144.6779
2090.000000	99.167	-144.3928
2120.000000	99.273	-143.9712
2140.000000	99.387	-143.7690
2180.000000	99.582	-143.5337
2200.000000	99.685	-143.3793
2240.000000	99.887	-143.2696
2270.000000	100.028	-143.1895
2300.000000	100.175	-143.3564
2330.000000	100.317	-143.3171
2360.000000	100.468	-143.4824
2400.000000	100.641	-143.5652
2430.000000	100.784	-143.7833
2470.000000	100.985	-144.0480
2500.000000	101.122	-144.3085
2540.000000	101.319	-144.7596
2580.000000	101.512	-145.2373
2620.000000	101.724	-145.8748
2650.000000	101.840	-146.4402
2690.000000	102.038	-147.2948
2720.000000	102.161	-148.0709
2760.000000	102.331	-149.1798
2800.000000	102.476	-150.3712
2850.000000	102.633	-152.0778
2900.000000	102.740	-153.9604
2950.000000	102.786	-155.8357
3000.000000	102.818	-157.6486
3040.000000	102.809	-159.0327
3070.000000	102.789	-160.1516
3110.000000	102.723	-161.4087
3150.000000	102.670	-162.5675
3200.000000	102.553	-163.8949
3250.000000	102.430	-164.9800
3300.000000	102.299	-165.7634
3350.000000	102.193	-166.5164
3400.000000	102.091	-167.0788
3450.000000	102.009	-167.5856
3500.000000	101.915	-168.2350
3550.000000	101.836	-168.8794
3600.000000	101.729	-169.4869
3650.000000	101.629	-169.9553
3700.000000	101.512	-170.3664
3750.000000	101.393	-170.8482
3820.000000	101.234	-171.1944
3870.000000	101.125	-171.3734
3950.000000	100.958	-171.5037
4000.000000	100.868	-171.5070
4060.000000	100.733	-171.5363
4120.000000	100.658	-171.3329
4180.000000	100.581	-171.3288
4250.000000	100.512	-171.4867
4310.000000	100.452	-171.6228
4370.000000	100.402	-171.8075
4440.000000	100.300	-172.1873
4500.000000	100.247	-172.5280
4550.000000	100.158	-172.6933
4620.000000	100.041	-173.1514
4680.000000	99.927	-173.2846
4750.000000	99.795	-173.7142
4820.000000	99.633	-173.7681
4870.000000	99.540	-173.9290
4940.000000	99.394	-173.9132
5000.000000	99.250	-173.9834
5080.000000	99.080	-174.2711
5150.000000	98.907	-174.3195
5220.000000	98.710	-174.1740
5300.000000	98.503	-174.0084
5380.000000	98.276	-173.8463
5450.000000	98.088	-173.2494
5520.000000	97.912	-172.8425
5600.000000	97.700	-172.1767
5700.000000	97.482	-171.0842
5800.000000	97.244	-170.5353
5900.000000	97.005	-169.2821
6000.000000	96.760	-167.7052
6080.000000	96.591	-166.5071
6150.000000	96.450	-165.2374
6220.000000	96.338	-164.0720
6300.000000	96.219	-162.4658
6400.000000	96.137	-160.1314
6500.000000	96.074	-158.0984
6600.000000	96.047	-155.7030
6700.000000	96.066	-153.3040
6800.000000	96.155	-151.0801
6900.000000	96.258	-148.7814
7000.000000	96.449	-146.5212
7100.000000	96.730	-144.7828
7200.000000	97.029	-142.7809
7300.000000	97.389	-141.4010
7400.000000	97.856	-140.6968
7500.000000	98.327	-140.7787
7620.000000	98.913	-141.4078
7750.000000	99.500	-143.5064
7880.000000	100.006	-146.9455
8000.000000	100.334	-151.2207
8120.000000	100.428	-156.3489
8250.000000	100.092	-162.4917
8380.000000	98.585	-163.8930
8500.000000	99.732	-158.6844
8620.000000	101.370	-167.5608
8750.000000	99.903	-177.5475
8850.000000	99.041	-179.8373
9000.000000	98.013	179.0974
9120.000000	97.314	179.3958
9250.000000	96.751	-179.7101
9380.000000	96.275	-178.4090
9500.000000	95.963	-177.2241
9620.000000	95.743	-175.7649
9750.000000	95.649	-174.6208
9880.000000	95.550	-173.8685
10000.000000	95.627	-173.5073
10150.000000	95.701	-174.1595
10300.000000	95.801	-175.8996
10440.000000	95.819	-178.8340
10600.000000	95.566	177.1446
10750.000000	95.160	172.6673
10900.000000	94.388	168.8347
11060.000000	93.489	166.5271
11200.000000	92.566	166.0590
11380.000000	91.506	167.5911
11500.000000	90.932	168.9849
11720.000000	89.982	172.6550
11800.000000	89.803	174.3091
12060.000000	89.400	178.9764
12200.000000	89.233	-179.5840
12410.000000	89.219	-178.0107
12500.000000	89.160	-178.7504
12650.000000	88.898	-178.7621
12800.000000	88.580	-176.9955
13150.000000	88.620	-176.2764
13200.000000	88.625	-176.5736
13400.000000	88.621	-178.0022
13600.000000	88.362	-179.9335
13800.000000	88.096	178.1066
14000.000000	87.563	175.9619
14300.000000	87.003	173.2899
14500.000000	86.308	172.7503
14750.000000	85.710	173.2153
15000.000000	85.126	172.9358
15250.000000	84.596	172.1014
15500.000000	83.920	172.2661
15750.000000	83.450	176.3537
16000.000000	83.622	177.5280
16250.000000	83.674	178.1976
16500.000000	84.221	179.4521
16750.000000	84.867	178.1251
17000.000000	85.900	175.8474
17250.000000	87.175	169.3976
17500.000000	88.543	155.6687
17750.000000	89.126	134.2485
18000.000000	88.130	110.4763
18250.000000	85.451	90.5422
18500.000000	81.280	86.0835
18750.000000	80.636	106.8039
19000.000000	82.827	86.5494
19250.000000	80.285	67.1263
19500.000000	78.500	60.8262
19750.000000	76.197	54.5486
