* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R 815, R 816, R 817, R 818, R 819
* Dated: 14/09/2024 02:09:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R 815, R 816, R 817, R 818, R 819
* Measurement: R o1 c1 AVG
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	86.778
20.299999	86.958
20.600000	87.104
20.900000	87.214
21.200001	87.297
21.400000	87.347
21.799999	87.457
22.000000	87.528
22.400000	87.720
22.700001	87.901
23.000000	88.092
23.299999	88.272
23.600000	88.428
24.000000	88.596
24.299999	88.705
24.700001	88.850
25.000000	88.970
25.400000	89.139
25.799999	89.305
26.200001	89.460
26.500000	89.575
26.900000	89.738
27.200001	89.869
27.600000	90.042
28.000000	90.193
28.500000	90.355
29.000000	90.547
29.500000	90.827
30.000000	91.152
30.400000	91.373
30.700001	91.491
31.100000	91.598
31.500000	91.686
32.000000	91.830
32.500000	92.004
33.000000	92.135
33.500000	92.201
34.000000	92.274
34.500000	92.429
35.000000	92.646
35.500000	92.837
36.000000	92.955
36.500000	93.043
37.000000	93.173
37.500000	93.353
38.200001	93.563
38.700001	93.637
39.500000	93.784
40.000000	93.976
40.599998	94.227
41.200001	94.381
41.799999	94.474
42.500000	94.646
43.099998	94.823
43.700001	94.945
44.400002	95.066
45.000000	95.228
45.500000	95.370
46.200001	95.524
46.799999	95.669
47.500000	95.887
48.200001	96.031
48.700001	96.067
49.400002	96.141
50.000000	96.289
50.799999	96.495
51.500000	96.613
52.200001	96.709
53.000000	96.804
53.799999	96.897
54.500000	96.993
55.200001	97.076
56.000000	97.142
57.000000	97.232
58.000000	97.324
59.000000	97.412
60.000000	97.523
60.799999	97.625
61.500000	97.681
62.200001	97.706
63.000000	97.761
64.000000	97.854
65.000000	97.892
66.000000	97.992
67.000000	98.150
68.000000	98.265
69.000000	98.291
70.000000	98.288
71.000000	98.255
72.000000	98.142
73.000000	97.996
74.000000	97.820
75.000000	97.636
76.199997	97.491
77.500000	97.504
78.800003	97.602
80.000000	97.745
81.199997	97.868
82.500000	97.971
83.800003	98.021
85.000000	98.029
86.199997	98.066
87.500000	98.003
88.500000	97.948
90.000000	97.909
91.199997	97.929
92.500000	97.940
93.800003	97.952
95.000000	97.929
96.199997	97.895
97.500000	97.868
98.800003	97.841
100.000000	97.802
101.500000	97.767
103.000000	97.716
104.400002	97.682
106.000000	97.631
107.500000	97.595
109.000000	97.546
110.599998	97.506
112.000000	97.453
113.800003	97.409
115.000000	97.376
117.199997	97.313
118.000000	97.289
120.599998	97.240
122.000000	97.207
124.099998	97.163
125.000000	97.144
126.500000	97.112
128.000000	97.030
131.500000	96.966
132.000000	96.961
134.000000	96.892
136.000000	96.840
138.000000	96.765
140.000000	96.728
143.000000	96.669
145.000000	96.636
147.500000	96.580
150.000000	96.504
152.500000	96.480
155.000000	96.414
